"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"902","Trachinus draco","Miscellaneous coastal fishes",1.14487118322013,45,3,NA,0.02865,0.15597,NA,NA,NA,0.98,NA,0.0164,2.930000067,"marine","Finfish",37.37083333,NA,NA,NA,4.18,0.71,1363
"903","Trachurus lathami","Miscellaneous pelagic fishes",0.298531950410336,33,3.99,NA,0.05925,0.269311,NA,NA,NA,1,145,0.0105,2.933000088,"marine","Finfish",25.304304,NA,3.99,0.22,3.27,0.34,369
"904","Trachurus lathami","Miscellaneous pelagic fishes",0.298531950410336,33,3.99,NA,NA,NA,NA,NA,NA,NA,83,0.0105,2.933000088,"marine","Finfish",19.173773,NA,3.99,0.22,3.27,0.34,369
"905","Trachurus lathami","Miscellaneous pelagic fishes",0.298531950410336,33,3.99,NA,0.09453862,0.5303386,NA,NA,NA,2.4,204,0.0105,2.933000088,"marine","Finfish",25.304304,NA,3.99,0.22,3.27,0.34,369
"906","Trachurus lathami","Miscellaneous pelagic fishes",0.298531950410336,33,3.99,NA,0.03992516,0.3904186,NA,NA,NA,1.1,222,0.0105,2.933000088,"marine","Finfish",25.304304,NA,3.99,0.22,3.27,0.34,369
"907","Trachurus lathami","Miscellaneous pelagic fishes",0.298531950410336,33,3.99,NA,0.0349307,0.4611355,NA,NA,NA,1.5,218,0.0105,2.933000088,"marine","Finfish",25.304304,NA,3.99,0.22,3.27,0.34,369
"908","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,218,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"909","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,185,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"910","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,185,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"911","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,192,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"912","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,0.19850993,0.160861495,NA,NA,NA,7.49,276,0.0122,2.907999992,"marine","Finfish",42.163403,NA,3.77,0.269,3.36999988555908,0.43,1278
"913","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,190,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"914","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,198,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"915","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,0.061187819,0.41094602,NA,NA,NA,1.37,NA,0.0122,2.907999992,"marine","Finfish",38.963745,NA,3.77,0.269,3.36999988555908,0.43,1278
"916","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,220,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"917","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,198,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"918","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,169,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"919","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,204,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"920","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,190,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"921","Trachurus mediterraneus","Miscellaneous pelagic fishes",1.47941698073691,56,3.47,NA,NA,NA,NA,NA,NA,NA,190,0.0122,2.907999992,"marine","Finfish",40.416667,NA,3.77,0.269,3.36999988555908,0.43,1278
"922","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,297.8,NA,NA,3.81,1.9569,48,NA,219,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"923","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,412.82,NA,NA,11.98,3.2392,34,NA,137,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"924","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,243.81,NA,NA,2.58,2.924,38,NA,107,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"925","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,156.5,NA,NA,9.16,1.5969,32,NA,74,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"926","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,637.14,NA,NA,8.77,3.5827,33,NA,90,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
"927","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,NA,0.55188,1.84617,NA,NA,NA,6.57,NA,0.0127,3,"marine","Finfish",23.372169,NA,3.71,0.025,3.84,0.59,1365
"928","Trachurus trachurus","Miscellaneous pelagic fishes",3.0267656,62,3.64,302.67,NA,NA,5.24,2.9114,41,NA,181,0.0127,3,"marine","Finfish",41.00527,NA,3.71,0.025,3.84,0.59,1365
