"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"152","Clupea harengus","Herrings, sardines, anchovies",0.712083110344584,45,3.2,NA,0.146682,0.32103,NA,NA,NA,NA,NA,0.00646,3.05,"marine","Finfish",57.891497,NA,3.38,0.128,3.28999996185303,0.51,24
"153","Clupea pallasii pallasii","Herrings, sardines, anchovies",0.902826281862772,45,3.2,NA,0.866548276,0.850684692,NA,NA,NA,10.78,NA,0.00759,3.07,"marine","Finfish",53.726668,NA,3.16,0.186,3.46000003814697,0.53,1520
"154","Clupeoides borneensis","Miscellaneous freshwater fishes",0.00541174100470262,8,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00933,3.06,"freshwater","Finfish",12.265754,NA,NA,NA,3.1,0.3,1561
"155","Clupeonella cultriventris","Shads",0.0315295427473285,14.5,3,NA,0.533070153,NA,NA,NA,NA,10.23,NA,0.00813,3.09,"brackish","Finfish",35.707481,NA,3,0,3.03,0.08,1470
"156","Clupeonella cultriventris","Shads",0.0315295427473285,14.5,3,24.18,NA,NA,0.13,0.503116,NA,NA,114,0.00813,3.09,"brackish","Finfish",35.707481,NA,3,0,3.03,0.08,1470
"157","Trichogaster fasciata","Miscellaneous freshwater fishes",0.0253245540875099,12.5,3,NA,NA,NA,NA,NA,NA,NA,NA,0.01202,3.03,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,4770
"158","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.341081,NA,NA,NA,3.05999994277954,0.17,231
"159","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.508114,NA,NA,NA,3.05999994277954,0.17,231
"160","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.508114,NA,NA,NA,3.05999994277954,0.17,231
"161","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.92411,NA,NA,NA,3.05999994277954,0.17,231
"162","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.92411,NA,NA,NA,3.05999994277954,0.17,231
"163","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.508114,NA,NA,NA,3.05999994277954,0.17,231
"164","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,NA,NA,NA,NA,NA,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",61.341081,NA,NA,NA,3.05999994277954,0.17,231
"165","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,12.63,NA,NA,0.23,0.626962,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",54.117096,NA,NA,NA,3.05999994277954,0.17,231
"166","Coregonus albula","Salmons, trouts, smelts",0.521453511805664,37,3.02,14,NA,NA,0.27,0.643461,NA,NA,NA,0.005,3.200000048,"freshwater","Finfish",54.117096,NA,NA,NA,3.05999994277954,0.17,231
"167","Coregonus clupeaformis","Salmons, trouts, smelts",14.782106114452,100,3.1,5,0.08,0.4,0.3,0.6,61,NA,23,0.00562,3.21,"freshwater","Finfish",52.636704,NA,3.23,0.171,3.4300000667572,0.44,234
"168","Coregonus clupeaformis","Salmons, trouts, smelts",14.782106114452,100,3.1,5,0.07,0.2,0.2,0.4,28,NA,18,0.00562,3.21,"freshwater","Finfish",54.758294,NA,3.23,0.171,3.4300000667572,0.44,234
"169","Coregonus clupeaformis","Salmons, trouts, smelts",14.782106114452,100,3.1,7,0.08,0.3,0.23,0.4,18,NA,23,0.00562,3.21,"freshwater","Finfish",54.866667,NA,3.23,0.171,3.4300000667572,0.44,234
"170","Coregonus lavaretus","Salmons, trouts, smelts",1.03524261308313,49,3.08,37.89,0.14342433,0.136933825,0.31,0.541,7,1.85,134,0.0116,2.928999901,"freshwater","Finfish",42.606001,NA,3.13,0.037,3.15000009536743,0.34,232
"171","Coregonus lavaretus","Salmons, trouts, smelts",1.03524261308313,49,3.08,35.48,0.2103552,0.1705152,0.39,0.583,46,3,167,0.0116,2.928999901,"freshwater","Finfish",42.119525,NA,3.13,0.037,3.15000009536743,0.34,232
"172","Coregonus lavaretus","Salmons, trouts, smelts",1.03524261308313,49,3.08,27.19,0.20466354,0.22814952,0.39,0.7025,35,3.15,139,0.0116,2.928999901,"freshwater","Finfish",42.260357,NA,3.13,0.037,3.15000009536743,0.34,232
"173","Coregonus macrophthalmus","Salmons, trouts, smelts",0.23031611472823,30,3.3,NA,0.4758747,0.2940364,NA,NA,NA,4.3,NA,0.00447,3.19,"freshwater","Finfish",45.967622,NA,NA,NA,3.3,0.43,28065
"174","Coregonus macrophthalmus","Salmons, trouts, smelts",0.23031611472823,30,3.3,NA,0.529135,0.332755,NA,NA,NA,6,NA,0.00447,3.19,"freshwater","Finfish",46.910675,NA,NA,NA,3.3,0.43,28065
"175","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,0.1961604,0.145304,NA,NA,NA,2.1,NA,0.00562,3.21,"freshwater","Finfish",42.606001,NA,3.13,0.037,3.15000009536743,0.34,232
"176","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.92411,NA,3.13,0.037,3.15000009536743,0.34,232
"177","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.341081,NA,3.13,0.037,3.15000009536743,0.34,232
"178","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.508114,NA,3.13,0.037,3.15000009536743,0.34,232
"179","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.508114,NA,3.13,0.037,3.15000009536743,0.34,232
"180","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.341081,NA,3.13,0.037,3.15000009536743,0.34,232
"181","Coregonus lavaretus","Salmons, trouts, smelts",14.782106114452,100,3.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00562,3.21,"freshwater","Finfish",61.92411,NA,3.13,0.037,3.15000009536743,0.34,232
"182","Cyclocheilichthys apogon","Carps, barbels and other cyprinids",NA,25,2.8,1130.22,NA,NA,0.68,2.02878,NA,NA,NA,NA,NA,"freshwater","Finfish",12.265754,NA,2.9,0.28,3.1,0.3,10313
"183","Cyclopterus lumpus","Miscellaneous demersal fishes",5.41836044985693,61,3.9,NA,1.988751156,2.012968768,NA,NA,NA,26.5,NA,0.02291,3.01,"marine","Finfish",63.968654,NA,3.89,NA,3.64,0.43,62
"184","Cyclopterus lumpus","Miscellaneous demersal fishes",5.41836044985693,61,3.9,NA,1.39754671,1.463037526,NA,NA,NA,20.2,NA,0.02291,3.01,"marine","Finfish",63.968654,NA,3.89,NA,3.64,0.43,62
"185","Cyclopterus lumpus","Miscellaneous demersal fishes",5.41836044985693,61,3.9,NA,1.436085114,1.522607588,NA,NA,NA,21.8,NA,0.02291,3.01,"marine","Finfish",63.968654,NA,3.89,NA,3.64,0.43,62
"186","Cyclopterus lumpus","Miscellaneous demersal fishes",5.41836044985693,61,3.9,7.9,NA,NA,0.46,0.61,79,NA,11,0.02291,3.01,"marine","Finfish",63.968654,NA,3.89,NA,3.64,0.43,62
"187","Cynoglossus arel","Flounders, halibuts, soles",0.348967522702774,40,3.3,NA,NA,NA,NA,NA,NA,NA,119,0.00437,3.06,"marine","Finfish",3.144341,NA,3.46,0.098,3.25999999046326,0.4638,7523
"188","Cynoscion arenarius","Miscellaneous coastal fishes",5.08922926374936,63.5,4.2,NA,NA,NA,NA,NA,NA,NA,111,0.01259,3.11,"marine","Finfish",19.173773,NA,4.17,0.334,NA,NA,1170
"189","Cynoscion jamaicensis","Miscellaneous coastal fishes",1.36760676245715,50,3.8,NA,0.1792,0.2324,NA,NA,NA,1.4,NA,0.00832,3.07,"marine","Finfish",23.372169,NA,NA,NA,3.84,0.66,1171
"190","Cynoscion nothus","Miscellaneous coastal fishes",0.581266099671658,36,4,NA,NA,NA,NA,NA,NA,NA,125,0.01202,3.01,"marine","Finfish",19.173773,NA,NA,NA,NA,NA,1175
"191","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"192","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"193","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"194","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"195","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,777.84,NA,NA,1.6,2.925714,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"196","Cyprinus carpio","Carps, barbels and other cyprinids",0.0181699749922653,15,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.00389,3.12,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"197","Cyprinus carpio","Carps, barbels and other cyprinids",0.00113925790640481,6,3.3,NA,0.014770112,0.06626769,NA,NA,NA,0.86,NA,0.00457,3.08,"freshwater","Finfish",15.190255,NA,3.06,NA,3.05,0.39,1450
"198","Cyprinus carpio","Carps, barbels and other cyprinids",0.00113925790640481,6,3.3,NA,0.015297616,0.06626769,NA,NA,NA,0.86,NA,0.00457,3.08,"freshwater","Finfish",14.967522,NA,3.06,NA,3.05,0.39,1450
"199","Cyprinus carpio","Carps, barbels and other cyprinids",1.26190408342821,48.9,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01122,2.99,"freshwater","Finfish",7.031297,NA,3.06,NA,3.05,0.39,1450
"200","Cyprinus carpio","Carps, barbels and other cyprinids",1.26190408342821,48.9,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01122,2.99,"freshwater","Finfish",7.031297,NA,3.06,NA,3.05,0.39,1450
"201","Cyprinus carpio","Carps, barbels and other cyprinids",1.26190408342821,48.9,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01122,2.99,"freshwater","Finfish",7.031297,NA,3.06,NA,3.05,0.39,1450
"202","Cyprinus carpio","Carps, barbels and other cyprinids",0.0970477006477872,20,2.4,870.26,NA,NA,1.35,1.639803,NA,NA,NA,0.01288,2.98,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"203","Cyprinus carpio","Carps, barbels and other cyprinids",0.694617055170104,40.5,2.4,636.89,NA,NA,1.05,1.379924,NA,NA,NA,0.01514,2.9,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"204","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,728.35,NA,NA,9.39,4.22443,NA,NA,NA,0.02089,2.91,"freshwater","Finfish",12.265754,NA,3.06,NA,3.05,0.39,1450
"205","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,NA,0.171254403,NA,NA,NA,NA,3.61,NA,0.02089,2.91,"marine","Finfish",35.707481,NA,3.06,NA,3.05,0.39,1450
"206","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,21.45,NA,NA,0.28,0.165168,NA,NA,153,0.02089,2.91,"marine","Finfish",35.707481,NA,3.06,NA,3.05,0.39,1450
"207","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,52,NA,NA,0.6,0.9,13,NA,138,0.02089,2.91,"freshwater","Finfish",41.53,NA,3.06,NA,3.05,0.39,1450
"208","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,NA,NA,NA,NA,1.25,NA,NA,111,0.02089,2.91,"freshwater","Finfish",36.967401,NA,3.06,NA,3.05,0.39,1450
"209","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,69,NA,NA,0.6,0.9,30,NA,138,0.02089,2.91,"freshwater","Finfish",41.53,NA,3.06,NA,3.05,0.39,1450
"210","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,NA,0.039733144,0.055667084,NA,NA,NA,0.88,NA,0.02089,2.91,"freshwater","Finfish",37,NA,3.06,NA,3.05,0.39,1450
"211","Cyprinus carpio","Carps, barbels and other cyprinids",18.2134053756912,110,3,NA,0.011632,0.05816,NA,NA,NA,1.4,NA,0.02089,2.91,"freshwater","Finfish",41.53,NA,3.06,NA,3.05,0.39,1450
"212","Danio dangila","Carps, barbels and other cyprinids",0.0288824096190653,15,3,926.25,NA,NA,2.17,2.00925,NA,NA,NA,0.00708,3.07,"freshwater","Finfish",12.265754,NA,NA,NA,NA,NA,24381
"213","Dasyatis americana","Sharks, rays, chimaeras",1.32644526755561,50,3.5,NA,0.0133,0.0553,NA,NA,NA,0.6196,264,0.00776,3.08,"marine","Finfish",30.235901,NA,3.51,NA,3.72,0.65,1247
"214","Dasyatis americana","Sharks, rays, chimaeras",1.32644526755561,50,3.5,NA,0.01,0.084,NA,NA,NA,0.583,277,0.00776,3.08,"marine","Finfish",30.211137,NA,3.51,NA,3.72,0.65,1247
"215","Dasyatis sabina","Sharks, rays, chimaeras",NA,61,3.5,NA,0.007,0.059,NA,NA,NA,0.46,268,NA,NA,"marine","Finfish",25.304304,NA,NA,NA,3.45000004768372,0.4202,2574
"216","Dasyatis sabina","Sharks, rays, chimaeras",NA,61,3.5,NA,0.0074,0.047,NA,NA,NA,0.45,239,NA,NA,"marine","Finfish",30.308808,NA,NA,NA,3.45000004768372,0.4202,2574
"217","Deania calcea","Sharks, rays, chimaeras",7.76500522597345,122,4.3,NA,NA,NA,NA,NA,NA,NA,252,0.00229,3.13,"marine","Finfish",57.596278,NA,4.33,0.408,4.36,0.69,670
"218","Decapterus punctatus","Miscellaneous pelagic fishes",0.31402627640662,30,4.3,NA,0.05849834,0.30967986,NA,NA,NA,1.2,252,0.01288,2.97,"marine","Finfish",25.304304,NA,4.43,NA,3.26,0.43,994
"219","Decapterus punctatus","Miscellaneous pelagic fishes",0.31402627640662,30,4.3,NA,0.10575312,0.7470817,NA,NA,NA,2.3,229,0.01288,2.97,"marine","Finfish",25.304304,NA,4.43,NA,3.26,0.43,994
"220","Dentex dentex","Miscellaneous coastal fishes",10.6478533893633,82,4.5,NA,0.05028781,0.124360395,NA,NA,NA,1.61,238,0.017069999,3.028000116,"marine","Finfish",38.483333,NA,4.53,0.41,4.5,0.6,439
"221","Dentex maroccanus","Miscellaneous coastal fishes",1.06159976981787,37,3.85,NA,NA,NA,NA,NA,NA,NA,152,0.015699999,3.079999924,"marine","Finfish",34.208024,NA,NA,NA,3.85,0.61,4538
"222","Dentex dentex","Miscellaneous coastal fishes",NA,100,3.6,249.29,0.13979822,0.4284139,0.71,0.61166,NA,NA,195,NA,NA,"marine","Finfish",4.565474,NA,4.53,0.41,4.5,0.6,439
"223","Dentex dentex","Miscellaneous coastal fishes",NA,100,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"marine","Finfish",4.565474,NA,4.53,0.41,4.5,0.6,439
"224","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,0.054142144,0.075042604,NA,NA,NA,1.22,NA,0.00794,3.079999924,"marine","Finfish",36.5817,NA,NA,NA,3.47,0.5,63
"225","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,0.352387815,0.674479845,NA,NA,NA,5.85,NA,0.00794,3.079999924,"marine","Finfish",36.5817,NA,NA,NA,3.47,0.5,63
"226","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,0.072612096,0.091899684,NA,NA,NA,2.18,NA,0.00794,3.079999924,"marine","Finfish",36.5817,NA,NA,NA,3.47,0.5,63
"227","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,0.36861055,0.76913067,NA,NA,NA,6.05,NA,0.00794,3.079999924,"marine","Finfish",36.5817,NA,NA,NA,3.47,0.5,63
"228","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,0.1232992,0.226824,1.55,1.0682,NA,1.4,145,0.00794,3.079999924,"marine","Finfish",39.019184,NA,NA,NA,3.47,0.5,63
"229","Dicentrarchus labrax","Miscellaneous coastal fishes",11.4767877629273,100,3.8,NA,NA,NA,NA,NA,NA,NA,220,0.00794,3.079999924,"marine","Finfish",39.019184,NA,NA,NA,3.47,0.5,63
"230","Diplodus annularis","Miscellaneous coastal fishes",0.185910598020571,20,3.54,NA,0.075960704,0.194097264,NA,NA,NA,2.52,NA,0.0231,3.002000093,"marine","Finfish",37.370157,NA,3.64,NA,3.21,0.43,1752
"231","Diplodus puntazzo","Miscellaneous coastal fishes",6.97088213267245,49,2.86,NA,0.068736612,0.179836076,NA,NA,NA,1.92,146,0.071699999,2.950999975,"marine","Finfish",38.41885,NA,3.22,NA,3.07,0.39,1749
"232","Diplodus puntazzo","Miscellaneous coastal fishes",6.97088213267245,49,2.86,NA,0.237884906,0.321803488,NA,NA,NA,3.87,NA,0.071699999,2.950999975,"marine","Finfish",37.783915,NA,3.22,NA,3.07,0.39,1749
"233","Diplodus puntazzo","Miscellaneous coastal fishes",6.97088213267245,49,2.86,NA,0.038486368,0.062808608,NA,NA,NA,0.92,NA,0.071699999,2.950999975,"marine","Finfish",37.370157,NA,3.22,NA,3.07,0.39,1749
"234","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,147,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"235","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,127,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"236","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,151,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"237","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,175,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"238","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,197,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"239","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,189,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"240","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,104,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"241","Diplodus sargus sargus","Miscellaneous coastal fishes",1.6415019120004,45,3,NA,NA,NA,NA,NA,NA,NA,121,0.0138,3.069999933,"marine","Finfish",33.917053,NA,3.38,0.088,3.24,0.46,1753
"242","Diplodus vulgaris","Miscellaneous coastal fishes",1.215672,37,3.24,NA,NA,NA,NA,NA,NA,NA,NA,0.024,3,"marine","Finfish",39.019184,NA,3.52,0.119,3.34,0.45,1754
"243","Diplodus vulgaris","Miscellaneous coastal fishes",1.215672,37,3.24,NA,0.04384796,0.181431276,NA,NA,NA,1.04,NA,0.024,3,"marine","Finfish",37.370157,NA,3.52,0.119,3.34,0.45,1754
"244","Eleutheronema tetradactylum","Miscellaneous pelagic fishes",58.7710145359548,200,4.1,NA,NA,NA,NA,NA,NA,NA,187,0.00389,3.12,"marine","Finfish",3.144341,NA,4.06,0.473,4.11,0.7,340
"245","Elops saurus","Miscellaneous coastal fishes",3.83003245915345,82,3.95,NA,NA,NA,NA,NA,NA,NA,69,0.007998399,2.967999935,"marine","Finfish",19.173773,NA,3.49,0.32,4.11,0.71,175
"246","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,0.1720829,0.312878,NA,NA,NA,NA,NA,0.0067,3,"marine","Finfish",39.019184,NA,NA,NA,3.10999989509582,0.45,66
"247","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,NA,NA,NA,NA,NA,NA,106,0.0067,3,"marine","Finfish",39.019184,NA,NA,NA,3.10999989509582,0.45,66
"248","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,NA,NA,NA,NA,NA,NA,220,0.0067,3,"marine","Finfish",39.019184,NA,NA,NA,3.10999989509582,0.45,66
"249","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,0.520800919,0.786013268,NA,NA,NA,4.53,NA,0.0067,3,"marine","Finfish",41.85509,NA,NA,NA,3.10999989509582,0.45,66
"250","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,0.881727265,1.16565215,NA,NA,NA,5.79,NA,0.0067,3,"marine","Finfish",41.85509,NA,NA,NA,3.10999989509582,0.45,66
"251","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,NA,NA,NA,NA,NA,NA,103,0.0067,3,"marine","Finfish",39.019184,NA,NA,NA,3.10999989509582,0.45,66
"252","Engraulis encrasicolus","Herrings, sardines, anchovies",0.0536,20,3.11,NA,1.701033544,3.030125952,NA,NA,NA,18.44,19,0.0067,3,"marine","Finfish",42.163403,NA,NA,NA,3.10999989509582,0.45,66
"253","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.08989824,0.23826688,NA,NA,NA,1.72,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"254","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.072037925,0.22204631,NA,NA,NA,1.97,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"255","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.111803643,0.21686959,NA,NA,NA,2.41,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"256","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.087199302,0.27315444,NA,NA,NA,2.03,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"257","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.09970389,0.32723328,NA,NA,NA,1.98,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"258","Epinephelus aeneus","Miscellaneous coastal fishes",14.2657360688643,98,4.02,NA,0.087734448,0.28838638,NA,NA,NA,2.33,NA,0.00528,3.230000019,"marine","Finfish",18.1,NA,NA,NA,4.02,0.59,426
"259","Epinephelus coioides","Miscellaneous coastal fishes",15.4592891779265,100,3.93,NA,NA,NA,NA,NA,NA,NA,NA,0.0105,3.084000111,"marine","Finfish",37.370157,NA,4,NA,3.95,0.67,6465
"260","Epinephelus sexfasciatus","Miscellaneous coastal fishes",0.847473808896658,40,3.8,NA,NA,NA,NA,NA,NA,NA,132,0.0123,3.02,"marine","Finfish",9.71212,NA,3.8,0.44,NA,NA,4825
"261","Epinephelus sexfasciatus","Miscellaneous coastal fishes",0.847473808896658,40,3.8,NA,NA,NA,NA,NA,NA,NA,130,0.0123,3.02,"marine","Finfish",3.144341,NA,3.8,0.44,NA,NA,4825
"262","Esomus danricus","Carps, barbels and other cyprinids",0.0243437674696645,13,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.04,"freshwater","Finfish",24.4333,NA,2.41,0.079,NA,NA,5150
"263","Esomus danricus","Carps, barbels and other cyprinids",0.0243437674696645,13,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.04,"freshwater","Finfish",24.4333,NA,2.41,0.079,NA,NA,5150
"264","Esomus danricus","Carps, barbels and other cyprinids",0.0243437674696645,13,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.04,"freshwater","Finfish",24.4333,NA,2.41,0.079,NA,NA,5150
"265","Esomus danricus","Carps, barbels and other cyprinids",0.0243437674696645,13,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.04,"freshwater","Finfish",24.4333,NA,2.41,0.079,NA,NA,5150
"266","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",61.92411,NA,4.07,0.407,4.40000009536743,1.05,258
"267","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,7,0.07,0.3,0.1,1.1,17,NA,68,0.00427,3.09,"freshwater","Finfish",54.758294,NA,4.07,0.407,4.40000009536743,1.05,258
"268","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,8,0.07,0.3,0.1,1,67,NA,40,0.00427,3.09,"freshwater","Finfish",52.636704,NA,4.07,0.407,4.40000009536743,1.05,258
"269","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,11.89,NA,NA,0.1,0.62663,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",54.084241,NA,4.07,0.407,4.40000009536743,1.05,258
"270","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,10.65,NA,NA,0.11,0.613815,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",54.117096,NA,4.07,0.407,4.40000009536743,1.05,258
"271","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,10.46,NA,NA,0.09,1.155616,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",54.117096,NA,4.07,0.407,4.40000009536743,1.05,258
"272","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,NA,0.008528929,0.035752452,NA,NA,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",53.642046,NA,4.07,0.407,4.40000009536743,1.05,258
"273","Esox lucius","Miscellaneous freshwater fishes",17.0959967871203,137,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0.00427,3.09,"freshwater","Finfish",61.92411,NA,4.07,0.407,4.40000009536743,1.05,258
