Order,Family,Species,Occurrence,FishBase name,Name
Cypriniformes,Cyprinidae,Barbonymus schwanenfeldii,native ,Tinfoil barb ,Trey kahe 
Perciformes,Gobiidae,Bathygobius fuscus,native ,Dusky frillgoby ,
Siluriformes,Siluridae,Belodontichthys truncatus,native ,,Trey klang hay 
Perciformes,Osphronemidae,Betta prima,native ,,
Perciformes,Osphronemidae,Betta pugnax,native ,Penang betta ,
Perciformes,Osphronemidae,Betta siamorientalis,native ,,
Perciformes,Osphronemidae,Betta splendens,native ,Siamese fighting fish ,Trey kroem phloek 
Perciformes,Osphronemidae,Betta stiktos,native ,,
Perciformes,Sciaenidae,Boesemania microlepis,native ,Boeseman croaker ,Prama 
Perciformes,Gobiidae,Boleophthalmus boddarti,native ,Boddart's goggle-eyed goby ,
Cypriniformes,Cyprinidae,Boraras urophthalmoides,native ,Least rasbora ,Trey changwa chhnoht 
Pleuronectiformes,Soleidae,Brachirus harmandi,native ,,Trey andat chhke 
Pleuronectiformes,Soleidae,Brachirus orientalis,native ,Oriental sole ,Trey andat chhke nis 
Pleuronectiformes,Soleidae,Brachirus panoides,native ,,Trey andat chhke veng 
Pleuronectiformes,Soleidae,Brachirus siamensis,native ,,
Perciformes,Gobiidae,Brachygobius aggregatus,native ,Schooling bumblebee goby ,
Perciformes,Gobiidae,Brachygobius kabiliensis,native ,Kabili bumblebee goby ,
Perciformes,Gobiidae,Brachygobius mekongensis,native ,,
Perciformes,Gobiidae,Brachygobius sua,native ,Bumblebee goby ,
Perciformes,Eleotridae,Butis amboinensis,native ,Olive flathead-gudgeon ,
Perciformes,Eleotridae,Butis butis,native ,Duckbill sleeper ,
Perciformes,Eleotridae,Butis koilomatodon,native ,Mud sleeper ,
Perciformes,Gobiidae,Caragobius urolepis,native ,Scaleless worm goby ,
Tetraodontiformes,Tetraodontidae,Carinotetraodon lorteti,native ,Redeye puffer ,Trey kampot 
Cypriniformes,Cyprinidae,Catlocarpio siamensis,native ,Giant barb ,Kolreang 
Siluriformes,Ariidae,Cephalocassis borneensis,native ,,Trey kaok 
Perciformes,Channidae,Channa gachua,native ,,
Perciformes,Channidae,Channa lucius,native ,,Trey kanh chorn chey 
Perciformes,Channidae,Channa marulius,native ,Great snakehead ,Trey raws 
Perciformes,Channidae,Channa melasoma,native ,Black snakehead ,
Perciformes,Channidae,Channa micropeltes,native ,Indonesian snakehead ,Riel 
Perciformes,Channidae,Channa orientalis,native ,Walking snakehead ,Trey ksan 
Perciformes,Channidae,Channa striata,native ,Striped snakehead ,Ptuok 
Gonorynchiformes,Chanidae,Chanos chanos,native ,Milkfish ,Trey nuan chan 
Synbranchiformes,Chaudhuriidae,Chaudhuria caudata,native ,Burmese spineless eel ,
Mugiliformes,Mugilidae,Chelon melinopterus,native ,Otomebora mullet ,
Osteoglossiformes,Notopteridae,Chitala blanci,native ,Indochina featherback ,Trey krai 
Osteoglossiformes,Notopteridae,Chitala lopis,native ,Giant featherback ,Trey krai 
Osteoglossiformes,Notopteridae,Chitala ornata,native ,Clown featherback ,Trey krai 
Cypriniformes,Cyprinidae,Cirrhinus caudimaculatus,native ,,Trey riel 
Cypriniformes,Cyprinidae,Cirrhinus cirrhosus,introduced ,Mrigal carp ,Trey krawlang 
Cypriniformes,Cyprinidae,Cirrhinus jullieni,native ,,Trey krawlang 
Cypriniformes,Cyprinidae,Cirrhinus microlepis,native ,Small scale mud carp ,Kralang 
Cypriniformes,Cyprinidae,Cirrhinus molitorella,native ,Mud carp ,Trey krawlang 
Siluriformes,Clariidae,Clarias fuscus,native ,Hong Kong catfish ,
Siluriformes,Clariidae,Clarias gariepinus,introduced ,North African catfish ,Trey andaing afrik 
Siluriformes,Clariidae,Clarias gracilentus,native ,,
Siluriformes,Clariidae,Clarias macrocephalus,native ,Bighead catfish ,Trey andaing toun 
Siluriformes,Clariidae,Clarias meladerma,native ,Blackskin catfish ,Trey andaing toun 
Siluriformes,Clariidae,Clarias nieuhofii,native ,Slender walking catfish ,Trey andaing ngaing 
Clupeiformes,Clupeidae,Clupeichthys aesarnensis,native ,Thai river sprat ,Trey bawndol ampeou 
Clupeiformes,Clupeidae,Clupeichthys goniognathus,native ,Sumatran river sprat ,Trey bawndol ampeou 
Clupeiformes,Clupeidae,Clupeoides borneensis,native ,Borneo river sprat ,Trey bawndol ampeou 
Siluriformes,Schilbeidae,Clupisoma sinense,native ,,Trey chhwiet prak 
Clupeiformes,Engraulidae,Coilia lindmani,native ,Lindman's grenadier anchovy ,Trey chonluanh moan 
Clupeiformes,Engraulidae,Coilia macrognathos,native ,Longjaw grenadier anchovy ,Trey chonluanh moan 
Clupeiformes,Clupeidae,Corica laciniata,native ,Bangkok river sprat ,Trey bawndol ampeou 
Cypriniformes,Cyprinidae,Cosmochilus harmandi,native ,,Trey kampoul bay 
Cypriniformes,Cyprinidae,Crossocheilus atrilimes,native ,,
Cypriniformes,Cyprinidae,Crossocheilus cobitis,native ,,
Cypriniformes,Cyprinidae,Crossocheilus oblongus,native ,Siamese flying fox ,
Cypriniformes,Cyprinidae,Crossocheilus reticulatus,native ,,Trey changwa chuhn chuak 
Siluriformes,Ariidae,Cryptarius daugueti,native ,,Trey kaok 
Cypriniformes,Cyprinidae,Ctenopharyngodon idella,introduced ,Grass carp ,Trey srokchen 
Cypriniformes,Cyprinidae,Cyclocheilichthys apogon,native ,Beardless barb ,Trey srakardam 
Cypriniformes,Cyprinidae,Cyclocheilichthys enoplos,native ,,Chhdor 
Cypriniformes,Cyprinidae,Cyclocheilichthys furcatus,native ,,Trey chhkok ploeung 
Cypriniformes,Cyprinidae,Cyclocheilichthys heteronema,native ,,Trey chhkok pookmawt bai 
Cypriniformes,Cyprinidae,Cyclocheilichthys lagleri,native ,,Trey srawka kdam 
Pleuronectiformes,Cynoglossidae,Cynoglossus feldmanni,native ,River tonguesole ,Trey andat chhke 
Pleuronectiformes,Cynoglossidae,Cynoglossus microlepis,native ,Smallscale tonguesole ,Trey andat chhke 
Pleuronectiformes,Cynoglossidae,Cynoglossus puncticeps,native ,Speckled tonguesole ,Trey andat chhke 
Pleuronectiformes,Cynoglossidae,Cynoglossus trulla,native ,Macau sole ,Trey andat chhke 
Cypriniformes,Cyprinidae,Cyprinus carpio,introduced ,Common carp ,Trey carp samahn 
Cypriniformes,Cyprinidae,Danio albolineatus,native ,Pearl danio ,
Myliobatiformes,Dasyatidae,Dasyatis laosensis,native ,Mekong stingray ,Trey bawbel 
Perciformes,Datnioididae,Datnioides microlepis,native ,Finescale tigerfish ,Trey khlar 
Perciformes,Datnioididae,Datnioides polota,native ,,Trey khlar 
Perciformes,Datnioididae,Datnioides pulcher,native ,Siamese tiger perch ,
Perciformes,Datnioididae,Datnioides undecimradiatus,native ,Mekong tiger perch ,
Beloniformes,Zenarchopteridae,Dermogenys pusilla,native ,Wrestling halfbeak ,Trey phtoung 
Beloniformes,Zenarchopteridae,Dermogenys siamensis,native ,,
Cypriniformes,Cyprinidae,Desmopuntius pentazona,native ,Fiveband barb ,
Cypriniformes,Cyprinidae,Devario aequipinnatus,native ,Giant danio ,Trey changwa 
Cypriniformes,Cyprinidae,Devario laoensis,native ,,
Cypriniformes,Cyprinidae,Discherodontus ashmeadi,native ,,Trey kantoei krahawm 
Syngnathiformes,Syngnathidae,Doryichthys boaja,native ,,Trey kabo 
Syngnathiformes,Syngnathidae,Doryichthys contiguus,native ,,
Perciformes,Eleotridae,Eleotris fusca,native ,Dusky sleeper ,Trey damrey khman 
Cypriniformes,Cyprinidae,Epalzeorhynchos frenatus,native ,Rainbow sharkminnow ,Trey kuol chek 
Cypriniformes,Cyprinidae,Epalzeorhynchos munense,native ,,Trey andat pee 
Cypriniformes,Cyprinidae,Esomus longimanus,native ,Mekong flying barb ,Trey changwa phlieng 
Cypriniformes,Cyprinidae,Esomus metallicus,native ,,Trey changwa phlieng 
Siluriformes,Plotosidae,Euristhmus nudiceps,native ,Naked-headed catfish ,Trey andaing tonlay 
Perciformes,Gobiidae,Favonigobius aliciae,native ,,
Cyprinodontiformes,Poeciliidae,Gambusia affinis,introduced ,Mosquitofish ,
Cypriniformes,Cyprinidae,Garra cambodgiensis,native ,Stonelapping minnow ,
Cypriniformes,Cyprinidae,Garra fasciacauda,native ,,
Cypriniformes,Cyprinidae,Garra fisheri,native ,,Trey kantuy khmao 
Cypriniformes,Cyprinidae,Garra fuliginosa,native ,,
Perciformes,Gerreidae,Gerres filamentosus,native ,Whipfin silver-biddy ,Trey doh angkor 
Perciformes,Gobiidae,Glossogobius aureus,native ,Golden tank goby ,Trey ksan 
Perciformes,Gobiidae,Glossogobius giuris,native ,Tank goby ,Trey ksan 
Perciformes,Gobiidae,Glossogobius koragensis,native ,Koragu tank goby ,Trey ksan 
Siluriformes,Sisoridae,Glyptothorax coracinus,native ,,
Siluriformes,Sisoridae,Glyptothorax fuscus,native ,,Trey kanchos krawbey 
Siluriformes,Sisoridae,Glyptothorax lampris,native ,,Trey krawbey 
Siluriformes,Sisoridae,Glyptothorax laosensis,native ,,
Siluriformes,Sisoridae,Glyptothorax major,native ,,
Siluriformes,Sisoridae,Glyptothorax platypogonides,native ,,
Perciformes,Gobiidae,Gobiopsis macrostoma,native ,Longjaw goby ,
Perciformes,Gobiidae,Gobiopterus chuno,native ,,
Cypriniformes,Gyrinocheilidae,Gyrinocheilus aymonieri,native ,Siamese algae-eater ,Chun chuok dai 
Cypriniformes,Gyrinocheilidae,Gyrinocheilus pennocki,native ,Spotted algae eater ,Trey smok 
Cypriniformes,Cyprinidae,Hampala dispar,native ,,Trey khmann 
Cypriniformes,Cyprinidae,Hampala macrolepidota,native ,Hampala barb ,Trey khmann 
Siluriformes,Pangasiidae,Helicophagus leptorhynchus,native ,,
Siluriformes,Pangasiidae,Helicophagus waandersii,native ,,Trey pra kandor 
Perciformes,Helostomatidae,Helostoma temminkii,native ,Kissing gourami ,Trey kantrawb 
Siluriformes,Ariidae,Hemiarius stormii,native ,Armoured sea catfish ,Trey kaok 
Siluriformes,Bagridae,Hemibagrus filamentus,native ,,
Siluriformes,Bagridae,Hemibagrus nemurus,native ,Asian redtail catfish ,Chhlang 
Siluriformes,Bagridae,Hemibagrus planiceps,native ,,
Siluriformes,Bagridae,Hemibagrus spilopterus,native ,,
Siluriformes,Bagridae,Hemibagrus wyckii,native ,,Trey chhlang thmor 
Siluriformes,Bagridae,Hemibagrus wyckioides,native ,,Trey khya 
Cypriniformes,Balitoridae,Hemimyzon papilio,native ,,
Siluriformes,Siluridae,Hemisilurus heterorhynchus,native ,,
Siluriformes,Siluridae,Hemisilurus mekongensis,native ,,Trey krormorm 
Cypriniformes,Cyprinidae,Henicorhynchus lineatus,native ,,
Cypriniformes,Cyprinidae,Henicorhynchus lobatus,native ,,
Cypriniformes,Cyprinidae,Henicorhynchus siamensis,native ,Siamese mud carp ,Trey riel tob 
Myliobatiformes,Dasyatidae,Himantura imbricata,native ,Scaly whipray ,Trey bawbel 
Myliobatiformes,Dasyatidae,Himantura krempfi,native ,Marbled freshwater whip ray ,Trey bawbel 
Myliobatiformes,Dasyatidae,Himantura oxyrhyncha,native ,Marbled whipray ,
Myliobatiformes,Dasyatidae,Himantura polylepis,native ,Freshwater whipray ,Trey bawbel 
Cypriniformes,Balitoridae,Homaloptera confuzona,native ,,
Cypriniformes,Balitoridae,Homaloptera indochinensis,native ,,
Cypriniformes,Balitoridae,Homaloptera leonardi,native ,,
Cypriniformes,Balitoridae,Homaloptera maxinae,native ,,
Cypriniformes,Balitoridae,Homaloptera orthogoniata,native ,,
Cypriniformes,Balitoridae,Homaloptera smithi,native ,,
Cypriniformes,Balitoridae,Homaloptera tweediei,native ,,
Cypriniformes,Balitoridae,Homaloptera zollingeri,native ,,
Cypriniformes,Cyprinidae,Hypophthalmichthys molitrix,introduced ,Silver carp ,
Cypriniformes,Cyprinidae,Hypophthalmichthys nobilis,introduced ,Bighead carp ,
Beloniformes,Hemiramphidae,Hyporhamphus limbatus,native ,Congaturi halfbeak ,Phtinh 
Cypriniformes,Cyprinidae,Hypsibarbus lagleri,native ,,Trey chhpin 
Cypriniformes,Cyprinidae,Hypsibarbus malcolmi,native ,Goldfin tinfoil barb ,Trey chhpin 
Cypriniformes,Cyprinidae,Hypsibarbus pierrei,native ,,Trey chhpin 
Cypriniformes,Cyprinidae,Hypsibarbus suvattii,native ,,Trey chhpin 
Cypriniformes,Cyprinidae,Hypsibarbus vernayi,native ,,Trey chhpin meas 
Cypriniformes,Cyprinidae,Hypsibarbus wetmorei,native ,,Trey chhpin krahorn 
Syngnathiformes,Syngnathidae,Ichthyocampus carce,native ,,Trey krawpoeu 
Clupeiformes,Pristigasteridae,Ilisha megaloptera,native ,Bigeye ilisha ,Trey phneik thom 
Gasterosteiformes,Indostomidae,Indostomus paradoxus,native ,Pipe fish ,
Gasterosteiformes,Indostomidae,Indostomus spinosus,native ,,
Perciformes,Sciaenidae,Johnius borneensis,native ,Sharpnose hammer croaker ,
Siluriformes,Ariidae,Ketengus typus,native ,Bigmouth sea catfish ,Trey kaok 
Siluriformes,Siluridae,Kryptopterus bicirrhis,native ,Glass catfish ,Trey kes prak 
Siluriformes,Siluridae,Kryptopterus cheveyi,native ,,Trey kamplieu snoeung 
Siluriformes,Siluridae,Kryptopterus geminus,native ,,Trey kamphliev 
Siluriformes,Siluridae,Kryptopterus limpok,native ,Long-barbel sheatfish ,Trey kes prak 
Siluriformes,Siluridae,Kryptopterus paraschilbeides,native ,,
Siluriformes,Siluridae,Kryptopterus schilbeides,native ,,Trey kamplieu 
Cypriniformes,Cyprinidae,Labeo barbatulus,native ,,
Cypriniformes,Cyprinidae,Labeo chrysophekadion,native ,Black sharkminnow ,Kaek 
Cypriniformes,Cyprinidae,Labeo dyocheilus,native ,,Trey pruol kmor 
Cypriniformes,Cyprinidae,Labeo erythropterus,native ,,Trey kuol chek 
Cypriniformes,Cyprinidae,Labeo pierrei,native ,,
Cypriniformes,Cyprinidae,Labeo rohita,introduced ,Roho labeo ,
Cypriniformes,Cyprinidae,Labeo yunnanensis,native ,,
Cypriniformes,Cyprinidae,Labiobarbus leptocheilus,native ,,Trey khnawng veng 
Cypriniformes,Cyprinidae,Labiobarbus lineatus,native ,,
Cypriniformes,Cyprinidae,Labiobarbus siamensis,native ,,Archkok 
Siluriformes,Schilbeidae,Laides longibarbis,native ,,Trey chhwiet prak 
Perciformes,Latidae,Lates calcarifer,native ,Barramundi ,Trey spong 
Cypriniformes,Cyprinidae,Laubuka caeruleostigmata,native ,Leaping barb ,
Cypriniformes,Cyprinidae,Laubuka laubuca,native ,Indian glass barb ,
Perciformes,Leiognathidae,Leiognathus equulus,native ,Common ponyfish ,Trey sambow hear 
Cypriniformes,Cobitidae,Lepidocephalichthys birmanicus,native ,,
Cypriniformes,Cobitidae,Lepidocephalichthys hasselti,native ,,
Cypriniformes,Cyprinidae,Leptobarbus hoevenii,native ,Hoven's carp ,Pror loung 
Cypriniformes,Cyprinidae,Lobocheilos cryptopogon,native ,,Trey riel awng kam 
Cypriniformes,Cyprinidae,Lobocheilos davisi,native ,,
Cypriniformes,Cyprinidae,Lobocheilos delacouri,native ,,
Cypriniformes,Cyprinidae,Lobocheilos gracilis,native ,,
Cypriniformes,Cyprinidae,Lobocheilos melanotaenia,native ,,Trey changwa ronoung 
Cypriniformes,Cyprinidae,Lobocheilos rhabdoura,native ,,
Cypriniformes,Cyprinidae,Longiculter siahi,native ,,Trey slak russey 
Cypriniformes,Cyprinidae,Luciosoma bleekeri,native ,,Trey bang kouy 
Cypriniformes,Cyprinidae,Luciosoma setigerum,native ,,Chang wa ronaung 
Perciformes,Lutjanidae,Lutjanus argentimaculatus,native ,Mangrove red snapper ,Cá huong 
Clupeiformes,Engraulidae,Lycothrissa crocodilus,native ,Sabretoothed thryssa ,Chhmar 
Cypriniformes,Cyprinidae,Macrochirichthys macrochirus,native ,Long pectoral-fin minnow ,Dangkhteng 
Synbranchiformes,Mastacembelidae,Macrognathus circumcinctus,native ,,Trey khchoeung 
Synbranchiformes,Mastacembelidae,Macrognathus maculatus,native ,Frecklefin eel ,Trey kchoeung 
Synbranchiformes,Mastacembelidae,Macrognathus semiocellatus,native ,,
Synbranchiformes,Mastacembelidae,Macrognathus siamensis,native ,Peacock eel ,Trey chhlonh chhnoht 
Synbranchiformes,Mastacembelidae,Macrognathus taeniagaster,native ,,Trey kchoeung 
Perciformes,Osphronemidae,Macropodus opercularis,native ,Paradisefish ,
Synbranchiformes,Mastacembelidae,Mastacembelus armatus,native ,Zig-zag eel ,Trey kchoeung 
Synbranchiformes,Mastacembelidae,Mastacembelus erythrotaenia,native ,Fire eel ,Trey kchoeung phka 
Synbranchiformes,Mastacembelidae,Mastacembelus favus,native ,Tire track eel ,Trey kchoeung 
Elopiformes,Megalopidae,Megalops cyprinoides,native ,Indo-Pacific tarpon ,
Cypriniformes,Cyprinidae,Mekongina erythrospila,native ,,Trey pase ee 
Siluriformes,Siluridae,Micronema hexapterus,native ,,Trey kamplieu 
Siluriformes,Siluridae,Micronema moorei,native ,,Trey kamplieu 
Syngnathiformes,Syngnathidae,Microphis brachyurus,native ,Short-tailed pipefish ,Trey krawpoeu 
Clupeiformes,Clupeidae,Minyclupeoides dentibranchialus,native ,,
Cypriniformes,Cobitidae,Misgurnus anguillicaudatus,native ,Pond loach ,Cá diét 
Perciformes,Monodactylidae,Monodactylus argenteus,native ,Silver moony ,
Synbranchiformes,Synbranchidae,Monopterus albus,native ,Asian swamp eel ,Antong 
Perciformes,Gobiidae,Mugilogobius chulae,native ,Yellowstripe goby ,
Cypriniformes,Cyprinidae,Mystacoleucus atridorsalis,native ,,
Cypriniformes,Cyprinidae,Mystacoleucus ectypus,native ,,
Cypriniformes,Cyprinidae,Mystacoleucus marginatus,native ,,Trey tim proek 
Siluriformes,Bagridae,Mystus albolineatus,native ,,Trey kanchos bay 
Siluriformes,Bagridae,Mystus atrifasciatus,native ,,Trey kanchos chhnoht 
Siluriformes,Bagridae,Mystus bocourti,native ,,Kanh chos kdong 
Siluriformes,Bagridae,Mystus multiradiatus,native ,,Trey kanchos chhnoht 
Siluriformes,Bagridae,Mystus mysticetus,native ,,Trey kanchos chhnoht 
Siluriformes,Bagridae,Mystus nigriceps,native ,Twospot catfish ,Trey kanchos 
Siluriformes,Bagridae,Mystus rhegma,native ,,Trey kanchos 
Siluriformes,Bagridae,Mystus singaringan,native ,,Trey kanchos 
Siluriformes,Bagridae,Mystus velifer,native ,,
Siluriformes,Bagridae,Mystus wolffii,native ,,Trey kanchos 
Perciformes,Nandidae,Nandus nandus,native ,Gangetic leaffish ,Trey khlar 
Perciformes,Nandidae,Nandus nebulosus,native ,Bornean leaffish ,Trey khla 
Perciformes,Nandidae,Nandus oxyrhynchus,native ,,
Cypriniformes,Nemacheilidae,Nemacheilus longistriatus,native ,,
Cypriniformes,Nemacheilidae,Nemacheilus masyae,native ,Arrow loach ,
Cypriniformes,Nemacheilidae,Nemacheilus pallidus,native ,,
Cypriniformes,Nemacheilidae,Nemacheilus platiceps,native ,,
Clupeiformes,Clupeidae,Nematalosa nasus,native ,Bloch's gizzard shad ,
Cypriniformes,Cyprinidae,Neobarynotus microlepis,native ,,Trey angkat prak 
Cypriniformes,Cyprinidae,Neolissochilus soroides,native ,,
Osteoglossiformes,Notopteridae,Notopterus notopterus,native ,Bronze featherback ,Trey slat 
Perciformes,Gobiidae,Oligolepis acutipennis,native ,Sharptail goby ,
Siluriformes,Siluridae,Ompok eugeneiatus,native ,Malay glass catfish ,Trey ta aun 
Siluriformes,Siluridae,Ompok hypophthalmus,native ,,Ta aun 
Siluriformes,Siluridae,Ompok pinnatus,native ,Long-fin glass catfish ,
Siluriformes,Siluridae,Ompok siluroides,native ,,Trey krormorm 
Siluriformes,Siluridae,Ompok urbaini,native ,,
Cypriniformes,Cyprinidae,Onychostoma meridionale,native ,,
Perciformes,Eleotridae,Ophiocara porocephala,native ,Northern mud gudgeon ,
Synbranchiformes,Synbranchidae,Ophisternon bengalense,native ,Bengal eel ,Antong 
Cypriniformes,Cyprinidae,Opsarius koratensis,native ,,Trey changwa 
Cypriniformes,Cyprinidae,Opsarius pulchellus,native ,,Trey changwa 
Perciformes,Cichlidae,Oreochromis mossambicus,introduced ,Mozambique tilapia ,Trey tilapia khmao 
Perciformes,Cichlidae,Oreochromis niloticus,introduced ,Nile tilapia ,Trey tilapia chhnoht 
Beloniformes,Adrianichthyidae,Oryzias mekongensis,native ,,
Beloniformes,Adrianichthyidae,Oryzias minutillus,native ,Dwarf medaka ,
Perciformes,Osphronemidae,Osphronemus exodon,native ,Elephant ear gourami ,Trey trochiek damrey 
Perciformes,Osphronemidae,Osphronemus goramy,native ,Giant gourami ,Trey trochiek damrey 
Cypriniformes,Cyprinidae,Osteochilus enneaporos,native ,,Trey chhang vote 
Cypriniformes,Cyprinidae,Osteochilus lini,native ,,Trey kros 
Cypriniformes,Cyprinidae,Osteochilus melanopleurus,native ,,Krom 
Cypriniformes,Cyprinidae,Osteochilus microcephalus,native ,,Trey kros 
Cypriniformes,Cyprinidae,Osteochilus schlegelii,native ,Giant sharkminnow ,Loloksor 
Cypriniformes,Cyprinidae,Osteochilus vittatus,native ,Bonylip barb ,Trey kros 
Cypriniformes,Cyprinidae,Osteochilus waandersii,native ,,Trey kros 
Perciformes,Gobiidae,Oxuderces dentatus,native ,,
Perciformes,Eleotridae,Oxyeleotris marmorata,native ,Marble goby ,Trey damrey 
Cypriniformes,Cyprinidae,Oxygaster anomalura,native ,,Trey slak russey 
Cypriniformes,Cyprinidae,Oxygaster pointoni,native ,,Trey slak russey 
Siluriformes,Pangasiidae,Pangasianodon gigas,native ,Mekong giant catfish ,Trey reach 
Siluriformes,Pangasiidae,Pangasianodon hypophthalmus,native ,Striped catfish ,Trey pra 
Siluriformes,Pangasiidae,Pangasius bocourti,native ,,Trey pra kchau 
Siluriformes,Pangasiidae,Pangasius conchophilus,native ,,Trey ke 
Siluriformes,Pangasiidae,Pangasius djambal,native ,,Trey pra 
Siluriformes,Pangasiidae,Pangasius elongatus,native ,,Trey chhwiet 
Siluriformes,Pangasiidae,Pangasius krempfi,native ,,Trey pra 
Siluriformes,Pangasiidae,Pangasius larnaudii,native ,Spot pangasius ,Trey po 
Siluriformes,Pangasiidae,Pangasius macronema,native ,,Trey chhwiet 
Siluriformes,Pangasiidae,Pangasius nasutus,native ,,Trey prakchouv 
Siluriformes,Pangasiidae,Pangasius pangasius,introduced ,Pangas catfish ,Trey pra 
Siluriformes,Pangasiidae,Pangasius sanitwongsei,native ,Giant pangasius ,Trey po pruy 
Cypriniformes,Cobitidae,Pangio anguillaris,native ,,
Cypriniformes,Cobitidae,Pangio myersi,native ,,
Cypriniformes,Cobitidae,Pangio oblonga,native ,Java loach ,
Tetraodontiformes,Tetraodontidae,Pao cambodgiensis,native ,,
Tetraodontiformes,Tetraodontidae,Pao cochinchinensis,native ,,Trey krepot 
Tetraodontiformes,Tetraodontidae,Pao leiurus,native ,,Trey kampot 
Perciformes,Gobiidae,Papuligobius ocellatus,native ,,
Cypriniformes,Cyprinidae,Parachela maculicauda,native ,,Trey chanteas phluk 
Cypriniformes,Cyprinidae,Parachela oxygastroides,native ,Glass fish ,Trey chanteas phluk 
Cypriniformes,Cyprinidae,Parachela siamensis,native ,,Trey slak russey 
Cypriniformes,Cyprinidae,Parachela williaminae,native ,,Trey chanteas phluk 
Cypriniformes,Cyprinidae,Paralaubuca barroni,native ,,Trey slak russey 
Cypriniformes,Cyprinidae,Paralaubuca harmandi,native ,,Trey slak russey 
Cypriniformes,Cyprinidae,Paralaubuca riveroi,native ,,Ch-teasphluk 
Cypriniformes,Cyprinidae,Paralaubuca typus,native ,,Trey sloeuk russey 
Perciformes,Ambassidae,Parambassis apogonoides,native ,Iridescent glassy perchlet ,Trey kanchanh chras thom 
Perciformes,Ambassidae,Parambassis baculis,native ,Himalayan glassy perchlet ,
