obs_id,taxon_name,genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples
contam308,Cynoscion nebulosus,cynoscion nebulosus,finfish,NA,US-Florida,38,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam309,Cynoscion nebulosus,cynoscion nebulosus,finfish,NA,US-Florida,44.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam310,Cynoscion nebulosus,cynoscion nebulosus,finfish,NA,US-Florida,15.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam311,Cynoscion nebulosus,cynoscion nebulosus,finfish,NA,US-Florida,60.8,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam312,Cynoscion nebulosus,cynoscion nebulosus,finfish,NA,US-Florida,38,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam313,Cynoscion nothus,cynoscion nothus,finfish,NA,US-gulf,0,141,85,11,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam314,Cynoscion nothus,cynoscion nothus,finfish,NA,US-Florida,22.799999999999997,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam315,Cynoscion nothus,cynoscion nothus,finfish,NA,US-Florida,44.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam316,Cynoscion regalis,cynoscion regalis,finfish,NA,US-north atlantic,4.655,47.099999999999994,204.1,7.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam317,Cynoscion regalis,cynoscion regalis,finfish,NA,US-south atlantic,9.595,48.8,163.9,6.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam318,Cynoscion regalis,cynoscion regalis,finfish,seatrout,US,14.4375,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,38
contam319,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-Atlantic,7.6,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",1
contam320,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-New Jersey,15.853124999999999,NA,NA,NA,NA,karimi,State of New Jersey. 2004. Routine Monitoring For Toxics in Fish Program Available: http://www.state.nj.us/dep/dsr/task1.pdf (Task I-Appendix I. Draft Summary of Chemical Contaminant Concentrations) and http://www.state.nj.us/dep/dsr/task2.pdf (Task 2) [accessed 29 November 2011].,16
contam321,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-New Jersey,12.233888888888886,NA,NA,NA,NA,karimi,State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011].,9
contam322,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-Virginia,3.483333333333334,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,3
contam323,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-Atlantic,7.125,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2008. National Coastal Assessment. Available: http://www.epa.gov/emap/nca/html/data/index.html [accessed 3 October 2008].,4
contam324,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US,13.236666666666666,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,33
contam325,Cynoscion regalis,cynoscion regalis,finfish,seatrout (weakfish),US-Atlantic,3.0875,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011b. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Virginian Province 1991-1993) [accessed 3 February 2011].,8
contam326,Cynoscion regalis,cynoscion regalis,finfish,seatrout-gray,US-Virginia,2.0320855614973263,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam327,Cynoscion regalis,cynoscion regalis,finfish,seatrout-gray,US-Virginia,6.494659049390507,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam328,Cynoscion,cynoscion regalis/arenarius,finfish,NA,US-Florida,27.549999999999994,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam329,Cynoscion,cynoscion regalis/arenarius,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam330,Cynoscion,cynoscion regalis/arenarius,finfish,NA,US-Florida,10.45,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam331,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-Atlantic,6.293749999999999,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",4
contam332,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-Delaware,12.70964285714286,NA,NA,NA,NA,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,14
contam333,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-Maryland,8.834999501705173,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,1
contam334,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-New Jersey,14.819999999999999,NA,NA,NA,NA,karimi,State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011].,6
contam335,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-North Carolina,40.85,NA,NA,NA,NA,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",1
contam336,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US-Virginia,6.582509426840415,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,35
contam337,Cyprinus carpio,cyprinus carpio,finfish,carp-common,US,12.566007604562733,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,263
contam338,Cyprinus carpio,cyprinus carpio,finfish,catfish (wild),US-South Carolina,7.125,NA,NA,NA,NA,karimi,"Koli AK, Williams WR, McClary EB, Wright EL, Burrell TM. 1977. Mercury Levels in Freshwater Fish of State of South-Carolina. Bull Environ Contam Toxicol 17(1):82-89.",2
contam339,Cyprinus carpio,cyprinus carpio,finfish,catfish (wild),US-Maryland,6.934998482465744,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,2
contam340,Dasyatis americana,dasyatis americana,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam341,Dasyatis sabina,dasyatis sabina,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam342,Dasyatis sabina,dasyatis sabina,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam343,Dasyatis sabina,dasyatis sabina,finfish,NA,US-Florida,15.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam344,Dasyatis sabina,dasyatis sabina,finfish,NA,US-Florida,9.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam345,Dasyatis sabina,dasyatis sabina,finfish,NA,US-Florida,31.349999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam346,Dasyatis say,dasyatis say,finfish,NA,US-Florida,1.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam347,Dasyatis say,dasyatis say,finfish,NA,US-Florida,6.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam348,Dasyatis say,dasyatis say,finfish,NA,US-Florida,10.45,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam349,Dasyatis say,dasyatis say,finfish,NA,US-Florida,19,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam350,Decapterus pinnulatus,decapterus pinnulatus,finfish,NA,US-hawaii,6.839999999999999,57.699999999999996,345.7,9.2,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam351,Diapterus auratus,diapterus auratus,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam352,Diapterus plumieri,diapterus plumieri,finfish,NA,US-Florida,7.6,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam353,Diapterus plumieri,diapterus plumieri,finfish,NA,US-Florida,11.399999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam354,Diapterus plumieri,diapterus plumieri,finfish,NA,US-Florida,11.399999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam355,Diplectrum formosum,diplectrum formosum,finfish,NA,US-south atlantic,58.9,10,212.5,4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam356,Diplodus holbrooki,diplodus holbrooki,finfish,NA,US-south atlantic,19.474999999999998,64.4,530,8.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam357,Doryteuthis,doryteuthis (amerigo) pealeii,finfish,squid-Atlantic longfinned,US,9.025,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,4
contam358,Elops saurus,elops saurus,crustacean,NA,US-gulf,112.1,33,866.6,16,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam359,Elops saurus,elops saurus,finfish,NA,US-Florida,8.549999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam360,Elops saurus,elops saurus,finfish,NA,US-Florida,32.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam361,Elops saurus,elops saurus,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam362,Elops saurus,elops saurus,finfish,NA,US-Florida,50.349999999999994,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam363,Elops saurus,elops saurus,finfish,NA,US-Florida,68.39999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam364,Elops saurus,elops saurus,finfish,NA,US-Florida,34.199999999999996,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam365,Engraulis mordax,engraulis mordax,finfish,anchovy-California,US-California,4.2749999999999995,NA,NA,NA,NA,karimi,"Greenfield BK, Jahn A. 2010. Mercury in San Francisco Bay forage fish. Environ Pollut 158(8):27162724.",14
contam366,Eopsetta jordani,eopsetta jordani,finfish,NA,US-california,16.625,66.9,236.7,10.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam367,Eopsetta jordani,eopsetta jordani,finfish,NA,US-pacific-northwest,32.964999999999996,43.3,727.7,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam368,Epinephelus drummondhayi,epinephelus drummondhayi,finfish,NA,US-south atlantic,17.005,45.300000000000004,279.8,6.9,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam369,Epinephelus drummondhayi,epinephelus drummondhayi,finfish,NA,US-Florida,19,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam370,Epinephelus flavolimbatus,epinephelus flavolimbatus,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam371,Epinephelus flavolimbatus,epinephelus flavolimbatus,finfish,NA,US-Florida,21.849999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam372,Epinephelus itajara,epinephelus itajara,finfish,NA,US-gulf,15.674999999999999,47.099999999999994,548,0,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam373,Epinephelus itajara,epinephelus itajara,finfish,NA,US-gulf,28.309999999999995,40.699999999999996,250.4,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam374,Epinephelus itajara,epinephelus itajara,finfish,NA,US-Florida,109.24999999999999,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam375,Epinephelus itajara,epinephelus itajara,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam376,Epinephelus itajara,epinephelus itajara,finfish,NA,US-Florida,33.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam377,Epinephelus morio,epinephelus morio,finfish,NA,US-gulf,43.035000000000004,30.8,240.49999999999997,5.6000000000000005,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam378,Epinephelus morio,epinephelus morio,finfish,NA,US-gulf,54.14999999999999,34.4,246.3,5.800000000000001,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam379,Epinephelus morio,epinephelus morio,finfish,NA,US-gulf,24.89,35.4,220.29999999999998,6.2,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam380,Epinephelus morio,epinephelus morio,finfish,grouper-red,US,33.75666666666666,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,3
contam381,Epinephelus morio,epinephelus morio,finfish,NA,US-Florida,32.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam382,Epinephelus morio,epinephelus morio,finfish,NA,US-Florida,25.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam383,Epinephelus morio,epinephelus morio,finfish,NA,US-Florida,31.349999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam384,Epinephelus morio,epinephelus morio,finfish,NA,US-Florida,35.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam385,Epinephelus niveatus,epinephelus niveatus,finfish,NA,US-Florida,90.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam386,Epinephelus niveatus,epinephelus niveatus,finfish,NA,US-Florida,24.7,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam387,Epinephelus niveatus,epinephelus niveatus,finfish,NA,US-Florida,23.75,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam388,Esox lucius,esox lucius,finfish,pike-northern,Canada - Ontario lakes,70.509,NA,NA,NA,NA,karimi,"Kidd KA, Hesslein RH, Fudge RJP, Hallard KA. 1995. The influence of trophic level as measured by delta N-15 on mercury concentrations in freshwater organisms. Water Air Soil Pollut 80(14):1011-1015.",18
contam389,Esox lucius,esox lucius,finfish,pike-northern,Canada - Ontario lakes,49.4,NA,NA,NA,NA,karimi,"Wren CD, Scheider WA, Wales DL, Muncaster BW, Gray IM. 1991. Relation between Mercury Concentrations in Walleye (Stizostedion vitreum vitreum) and Northern Pike (Esox lucius) in Ontario Lakes and Influence of Environmental-Factors. Can J Fish Aquat Sci 48(1):132-139.",79
contam390,Esox lucius,esox lucius,finfish,pike-northern,Canada - Northern Manitoba,53.32254999999999,NA,NA,NA,NA,karimi,"Brinkmann L, Rasmussen JB. 2010. High levels of mercury in biota of a new Prairie irrigation reservoir with a simplified food web in Southern Alberta, Canada. Hydrobiologia 641(1):11-21.",54
contam391,Esox lucius,esox lucius,finfish,pike-northern,Canada-Canadian Shield,48.9915,NA,NA,NA,NA,karimi,"Garcia E, Carignan R. 2000. Mercury concentrations in northern pike (Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments. Can J Fish Aquat Sci 57:129-135.",19
contam392,Esox lucius,esox lucius,finfish,pike-northern,Canada - Northern Manitoba,127.3,NA,NA,NA,NA,karimi,"Jackson TA. 1991. Biological and environmental control of mercury accumulation by fish in lakes and reservoirs of Northern Manitoba, Canada. Can J Fish Aquat Sci 48(12):2449-2470.",7
contam393,Esox lucius,esox lucius,finfish,pike-northern,Northern Canada-lakes/river systems,35.91,NA,NA,NA,NA,karimi,"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463.",1169
contam394,Esox lucius,esox lucius,finfish,pike-northern,Great Lakes,23.465,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,23
