culture,latin_name
Cree,Salmo salar
Cree,Salvelinus alpinus
Cree,Salvelinus fontinalis
Cree,Salvelinus namaycush
Cree,Stenodus leucichthys
Haida,Anoplopoma fimbria
Haida,Boreogadus saida
Haida,Centropristes striata
Haida,Clupea harengus
Haida,Clupea pallasii
Haida,Gadiformes
Haida,Gadus macrocephalus
Haida,Gadus morhua
Haida,Hippoglossus hippoglossus
Haida,Hippoglossus stenolepis
Haida,Melanogrammus aeglefinus
Haida,Mercenaria mercenaria 
Haida,Micropogonias undulatus
Haida,Microstomus pacificus
Haida,Morone saxatillis
Haida,Mugil cephalus
Haida,Mya arenaria
Haida,Mytilidae
Haida,Mytilus edulis
Haida,Oncorhynchus gorbuscha
Haida,Oncorhynchus keta
Haida,Oncorhynchus kisutch
Haida,Oncorhynchus mykiss
Haida,Oncorhynchus nerka
Haida,Oncorhynchus tshawytscha
Haida,Pectinidae
Haida,Pleuronectinae
Haida,Pomatomus saltatrix
Haida,Pseudopleuronectes americanus
Haida,Reinhardtius hippoglossoides
Haida,Salmo salar
Haida,Salvelinus fontinalis
Haida,Salvelinus namaycush
Haida,Sparidae
Haida,Squalus acanthias
Haida,Thaleichthys pacificus
Inuit-Inupiaq,Anoplopoma fimbria
Inuit-Inupiaq,Boreogadus saida
Inuit-Inupiaq,Catostomus catostomus
Inuit-Inupiaq,Catostomus commersonii
Inuit-Inupiaq,Centropristes striata
Inuit-Inupiaq,Clupea harengus
Inuit-Inupiaq,Clupea pallasii
Inuit-Inupiaq,Coregonus artedi
Inuit-Inupiaq,Coregonus autumnalis
Inuit-Inupiaq,Coregonus clupeaformis
Inuit-Inupiaq,Esox lucius
Inuit-Inupiaq,Gadiformes
Inuit-Inupiaq,Gadus macrocephalus
Inuit-Inupiaq,Gadus morhua
Inuit-Inupiaq,Hippoglossus hippoglossus
Inuit-Inupiaq,Hippoglossus stenolepis
Inuit-Inupiaq,Lota lota
Inuit-Inupiaq,Melanogrammus aeglefinus
Inuit-Inupiaq,Mercenaria mercenaria 
Inuit-Inupiaq,Micropogonias undulatus
Inuit-Inupiaq,Microstomus pacificus
Inuit-Inupiaq,Morone saxatillis
Inuit-Inupiaq,Mugil cephalus
Inuit-Inupiaq,Mya arenaria
Inuit-Inupiaq,Mytilidae
Inuit-Inupiaq,Mytilus edulis
Inuit-Inupiaq,Oncorhynchus gorbuscha
Inuit-Inupiaq,Oncorhynchus keta
Inuit-Inupiaq,Oncorhynchus kisutch
Inuit-Inupiaq,Oncorhynchus mykiss
Inuit-Inupiaq,Oncorhynchus nerka
Inuit-Inupiaq,Oncorhynchus tshawytscha
Inuit-Inupiaq,Osmerus mordax
Inuit-Inupiaq,Pleuronectinae
Inuit-Inupiaq,Pomatomus saltatrix
Inuit-Inupiaq,Pseudopleuronectes americanus
Inuit-Inupiaq,Reinhardtius hippoglossoides
Inuit-Inupiaq,Salmo salar
Inuit-Inupiaq,Salvelinus alpinus
Inuit-Inupiaq,Salvelinus fontinalis
Inuit-Inupiaq,Salvelinus namaycush
Inuit-Inupiaq,Scomber scombrus
Inuit-Inupiaq,Scomber spp.
Inuit-Inupiaq,Sebastes norvegicus
Inuit-Inupiaq,Sebastes pinniger
Inuit-Inupiaq,Sebastes spp.
Inuit-Inupiaq,Sparidae
Inuit-Inupiaq,Squalus acanthias
Inuit-Inupiaq,Stenodus leucichthys
Inuit-Inupiaq,Thaleichthys pacificus
Inuit-Inupiaq,Thunnus spp.
Inuit-Inupiaq,Thymallus arcticus
Kwakiutl,Anoplopoma fimbria
Kwakiutl,Boreogadus saida
Kwakiutl,Callinectes sapidus
Kwakiutl,Cancer magister
Kwakiutl,Centropristes striata
Kwakiutl,Clupea harengus
Kwakiutl,Clupea pallasii
Kwakiutl,Gadiformes
Kwakiutl,Gadus macrocephalus
Kwakiutl,Gadus morhua
Kwakiutl,Hippoglossus hippoglossus
Kwakiutl,Hippoglossus stenolepis
Kwakiutl,Melanogrammus aeglefinus
Kwakiutl,Mercenaria mercenaria 
Kwakiutl,Micropogonias undulatus
Kwakiutl,Microstomus pacificus
Kwakiutl,Morone saxatillis
Kwakiutl,Mugil cephalus
Kwakiutl,Mya arenaria
Kwakiutl,Mytilidae
Kwakiutl,Mytilus edulis
Kwakiutl,Octopoda
Kwakiutl,Oncorhynchus gorbuscha
Kwakiutl,Oncorhynchus keta
Kwakiutl,Oncorhynchus kisutch
Kwakiutl,Oncorhynchus mykiss
Kwakiutl,Oncorhynchus nerka
Kwakiutl,Oncorhynchus tshawytscha
Kwakiutl,Pleuronectinae
Kwakiutl,Pomatomus saltatrix
Kwakiutl,Pseudopleuronectes americanus
Kwakiutl,Reinhardtius hippoglossoides
Kwakiutl,Salmo salar
Kwakiutl,Salvelinus fontinalis
Kwakiutl,Salvelinus namaycush
Kwakiutl,Sebastes norvegicus
Kwakiutl,Sebastes pinniger
Kwakiutl,Sebastes spp.
Kwakiutl,Sparidae
Kwakiutl,Thaleichthys pacificus
Micmac,Anguilla rostrata
Micmac,Anoplopoma fimbria
Micmac,Boreogadus saida
Micmac,Callinectes sapidus
Micmac,Cancer magister
Micmac,Catostomus catostomus
Micmac,Catostomus commersonii
Micmac,Centropristes striata
Micmac,Clupea harengus
Micmac,Clupea pallasii
Micmac,Coregonus artedi
Micmac,Coregonus autumnalis
Micmac,Coregonus clupeaformis
Micmac,Crassostrea virginica
Micmac,Gadiformes
Micmac,Gadus macrocephalus
Micmac,Gadus morhua
Micmac,Hippoglossus hippoglossus
Micmac,Hippoglossus stenolepis
Micmac,Melanogrammus aeglefinus
Micmac,Mercenaria mercenaria 
Micmac,Micropogonias undulatus
Micmac,Microstomus pacificus
Micmac,Morone saxatillis
Micmac,Mugil cephalus
Micmac,Mya arenaria
Micmac,Mytilidae
Micmac,Mytilus edulis
Micmac,Nephropidae
Micmac,Oncorhynchus gorbuscha
Micmac,Oncorhynchus keta
Micmac,Oncorhynchus kisutch
Micmac,Oncorhynchus mykiss
Micmac,Oncorhynchus nerka
Micmac,Oncorhynchus tshawytscha
Micmac,Osmerus mordax
Micmac,Ostreidae
Micmac,Pectinidae
Micmac,Perca flavescens
Micmac,Percidae
Micmac,Pleuronectinae
Micmac,Pomatomus saltatrix
Micmac,Pseudopleuronectes americanus
Micmac,Reinhardtius hippoglossoides
Micmac,Salmo salar
Micmac,Salvelinus alpinus
Micmac,Salvelinus fontinalis
Micmac,Salvelinus namaycush
Micmac,Scomber scombrus
Micmac,Scomber spp.
Micmac,Sebastes norvegicus
Micmac,Sebastes pinniger
Micmac,Sebastes spp.
Micmac,Sparidae
Micmac,Squalus acanthias
Micmac,Stenodus leucichthys
Micmac,Thunnus spp.
Montagnais-Naskapi,Anguilla rostrata
Montagnais-Naskapi,Boreogadus saida
Montagnais-Naskapi,Catostomus catostomus
Montagnais-Naskapi,Catostomus commersonii
Montagnais-Naskapi,Coregonus artedi
Montagnais-Naskapi,Coregonus autumnalis
Montagnais-Naskapi,Coregonus clupeaformis
Montagnais-Naskapi,Esox lucius
Montagnais-Naskapi,Gadiformes
Montagnais-Naskapi,Gadus macrocephalus
Montagnais-Naskapi,Gadus morhua
Montagnais-Naskapi,Ictalurus punctatus
Montagnais-Naskapi,Melanogrammus aeglefinus
Montagnais-Naskapi,Oncorhynchus gorbuscha
Montagnais-Naskapi,Oncorhynchus keta
Montagnais-Naskapi,Oncorhynchus kisutch
Montagnais-Naskapi,Oncorhynchus mykiss
Montagnais-Naskapi,Oncorhynchus nerka
Montagnais-Naskapi,Oncorhynchus tshawytscha
Montagnais-Naskapi,Osmerus mordax
Montagnais-Naskapi,Salmo salar
Montagnais-Naskapi,Salvelinus alpinus
Montagnais-Naskapi,Salvelinus fontinalis
Montagnais-Naskapi,Salvelinus namaycush
Montagnais-Naskapi,Stenodus leucichthys
Nootkan,Anoplopoma fimbria
Nootkan,Boreogadus saida
Nootkan,Callinectes sapidus
Nootkan,Cancer magister
Nootkan,Centropristes striata
Nootkan,Clupea harengus
Nootkan,Clupea pallasii
Nootkan,Crassostrea virginica
Nootkan,Cyprinus carpio
Nootkan,Engraulidae
Nootkan,Gadiformes
Nootkan,Gadus macrocephalus
Nootkan,Gadus morhua
Nootkan,Hippoglossus hippoglossus
Nootkan,Hippoglossus stenolepis
Nootkan,Melanogrammus aeglefinus
Nootkan,Mercenaria mercenaria 
Nootkan,Micropogonias undulatus
Nootkan,Microstomus pacificus
Nootkan,Morone saxatillis
Nootkan,Mugil cephalus
Nootkan,Mya arenaria
Nootkan,Mytilidae
Nootkan,Mytilus edulis
Nootkan,Octopoda
Nootkan,Oncorhynchus gorbuscha
Nootkan,Oncorhynchus keta
Nootkan,Oncorhynchus kisutch
Nootkan,Oncorhynchus mykiss
Nootkan,Oncorhynchus nerka
Nootkan,Oncorhynchus tshawytscha
Nootkan,Ostreidae
Nootkan,Pectinidae
Nootkan,Pleuronectinae
Nootkan,Pomatomus saltatrix
Nootkan,Pseudopleuronectes americanus
Nootkan,Reinhardtius hippoglossoides
Nootkan,Salmo salar
Nootkan,Salvelinus fontinalis
Nootkan,Salvelinus namaycush
Nootkan,Scomber scombrus
Nootkan,Scomber spp.
Nootkan,Sebastes norvegicus
Nootkan,Sebastes pinniger
Nootkan,Sebastes spp.
Nootkan,Sparidae
Nootkan,Squalus acanthias
Nootkan,Thaleichthys pacificus
Nootkan,Thunnus spp.
Tlingit,Anoplopoma fimbria
Tlingit,Boreogadus saida
Tlingit,Callinectes sapidus
Tlingit,Cancer magister
Tlingit,Catostomus catostomus
Tlingit,Catostomus commersonii
Tlingit,Centropristes striata
Tlingit,Clupea harengus
Tlingit,Clupea pallasii
Tlingit,Coregonus artedi
Tlingit,Coregonus autumnalis
Tlingit,Coregonus clupeaformis
Tlingit,Crassostrea virginica
Tlingit,Esox lucius
Tlingit,Gadiformes
Tlingit,Gadus macrocephalus
Tlingit,Gadus morhua
Tlingit,Hippoglossus hippoglossus
Tlingit,Hippoglossus stenolepis
Tlingit,Lota lota
Tlingit,Melanogrammus aeglefinus
Tlingit,Mercenaria mercenaria 
Tlingit,Micropogonias undulatus
Tlingit,Microstomus pacificus
Tlingit,Morone saxatillis
Tlingit,Mugil cephalus
Tlingit,Mya arenaria
Tlingit,Mytilidae
Tlingit,Mytilus edulis
Tlingit,Oncorhynchus gorbuscha
Tlingit,Oncorhynchus keta
Tlingit,Oncorhynchus kisutch
Tlingit,Oncorhynchus mykiss
Tlingit,Oncorhynchus nerka
Tlingit,Oncorhynchus tshawytscha
Tlingit,Ostreidae
Tlingit,Pectinidae
Tlingit,Pleuronectinae
Tlingit,Pomatomus saltatrix
Tlingit,Pseudopleuronectes americanus
Tlingit,Reinhardtius hippoglossoides
Tlingit,Salmo salar
Tlingit,Salvelinus fontinalis
Tlingit,Salvelinus namaycush
Tlingit,Sebastes norvegicus
Tlingit,Sebastes pinniger
Tlingit,Sebastes spp.
Tlingit,Sparidae
Tlingit,Stenodus leucichthys
Tlingit,Thaleichthys pacificus
Tlingit,Thymallus arcticus
Tsimshian,Anoplopoma fimbria
Tsimshian,Boreogadus saida
Tsimshian,Callinectes sapidus
Tsimshian,Cancer magister
Tsimshian,Centropristes striata
Tsimshian,Clupea harengus
Tsimshian,Clupea pallasii
Tsimshian,Gadiformes
Tsimshian,Gadus macrocephalus
Tsimshian,Gadus morhua
Tsimshian,Hippoglossus hippoglossus
Tsimshian,Hippoglossus stenolepis
Tsimshian,Melanogrammus aeglefinus
Tsimshian,Mercenaria mercenaria 
Tsimshian,Micropogonias undulatus
Tsimshian,Microstomus pacificus
Tsimshian,Morone saxatillis
Tsimshian,Mugil cephalus
Tsimshian,Mya arenaria
Tsimshian,Mytilidae
Tsimshian,Mytilus edulis
Tsimshian,Octopoda
Tsimshian,Oncorhynchus gorbuscha
Tsimshian,Oncorhynchus keta
Tsimshian,Oncorhynchus kisutch
Tsimshian,Oncorhynchus mykiss
Tsimshian,Oncorhynchus nerka
Tsimshian,Oncorhynchus tshawytscha
Tsimshian,Pleuronectinae
Tsimshian,Pomatomus saltatrix
Tsimshian,Pseudopleuronectes americanus
Tsimshian,Reinhardtius hippoglossoides
Tsimshian,Salmo salar
Tsimshian,Salvelinus fontinalis
Tsimshian,Salvelinus namaycush
Tsimshian,Sebastes norvegicus
Tsimshian,Sebastes pinniger
Tsimshian,Sebastes spp.
Tsimshian,Sparidae
Tsimshian,Squalus acanthias
Tsimshian,Thaleichthys pacificus
Wampanoag,Anguilla rostrata
Wampanoag,Anoplopoma fimbria
Wampanoag,Boreogadus saida
Wampanoag,Callinectes sapidus
Wampanoag,Cancer magister
Wampanoag,Centropristes striata
Wampanoag,Crassostrea virginica
Wampanoag,Gadiformes
Wampanoag,Gadus macrocephalus
Wampanoag,Gadus morhua
Wampanoag,Hippoglossus hippoglossus
Wampanoag,Hippoglossus stenolepis
Wampanoag,Melanogrammus aeglefinus
Wampanoag,Mercenaria mercenaria 
Wampanoag,Micropogonias undulatus
Wampanoag,Microstomus pacificus
Wampanoag,Morone saxatillis
Wampanoag,Mugil cephalus
Wampanoag,Mya arenaria
Wampanoag,Mytilidae
Wampanoag,Mytilus edulis
Wampanoag,Nephropidae
Wampanoag,Osmerus mordax
Wampanoag,Ostreidae
Wampanoag,Pectinidae
Wampanoag,Pleuronectinae
Wampanoag,Pomatomus saltatrix
Wampanoag,Pseudopleuronectes americanus
Wampanoag,Reinhardtius hippoglossoides
Wampanoag,Scomber scombrus
Wampanoag,Scomber spp.
Wampanoag,Sparidae
Wampanoag,Squalus acanthias
Wampanoag,Thunnus spp.
Wampanoag,Thymallus arcticus
Yupik,Anoplopoma fimbria
Yupik,Boreogadus saida
Yupik,Callinectes sapidus
Yupik,Cancer magister
Yupik,Centropristes striata
Yupik,Clupea harengus
Yupik,Clupea pallasii
Yupik,Coregonus artedi
Yupik,Coregonus autumnalis
Yupik,Coregonus clupeaformis
Yupik,Esox lucius
Yupik,Gadiformes
Yupik,Gadus macrocephalus
Yupik,Gadus morhua
Yupik,Hippoglossus hippoglossus
Yupik,Hippoglossus stenolepis
Yupik,Melanogrammus aeglefinus
Yupik,Micropogonias undulatus
Yupik,Microstomus pacificus
Yupik,Morone saxatillis
Yupik,Mugil cephalus
Yupik,Mytilidae
Yupik,Mytilus edulis
Yupik,Oncorhynchus gorbuscha
Yupik,Oncorhynchus keta
Yupik,Oncorhynchus kisutch
Yupik,Oncorhynchus mykiss
Yupik,Oncorhynchus nerka
Yupik,Oncorhynchus tshawytscha
Yupik,Pleuronectinae
Yupik,Pomatomus saltatrix
Yupik,Pseudopleuronectes americanus
Yupik,Reinhardtius hippoglossoides
Yupik,Salmo salar
Yupik,Salvelinus fontinalis
Yupik,Salvelinus namaycush
Yupik,Sparidae
Yupik,Stenodus leucichthys
