taxize_name,subgroup,calcium,zinc,protein,fat,iron,epa,dha
Sander lucioperca,Finfish,65.86,0.7144136666666666,18.927777777777777,0.8723076923076923,0.39466666666666667,0.02312880616666667,0.0483198204
Sardinella,Finfish,398.52,1.56702,20.6886,0.1722,1.8327,0.004056171,0.0326811492
Scomber scombrus,Finfish,11.5,0.6295,17.67142857142857,14,0.905,1.605,2.48
Sebastes marinus,Finfish,13,0.31,17.4,2.964375,0.2,0.191175181716074,0.3138081623688338
Sebastes norvegicus,Finfish,141,0.683,17.333333333333332,4.033333333333333,0.633,0.14,0.07
Sepia officinalis,Mollusc,24.7,1.77,16.588333333333335,1.0427272727272727,3.71025,0.103285276,0.202325938
Silurus glanis,Finfish,25.5,0.855,17.585,2.432,0.6,0.129915196,0.21424307999999997
Solea solea,Finfish,63.999925,1.892725,17.96,1.247142857142857,8.595225,0.042096598,0.10236754
Stenodus leucichthys,Finfish,10,0.3,19.45,6.9,0.4,0.2,0.2
Tenualosa ilisha,Finfish,96.71,1.7666666666666666,16.501428571428573,11.864666666666666,1.8666666666666667,0.815,0.182
Thaleichthys pacificus,Finfish,196.95,1.3,16.45,19.521428571428572,1.6,0.12,0.18
Theragra chalcogramma,Finfish,12.366666666666667,0.3887,15.549999999999999,0.615,0.19163333333333332,0.04918998368691283,0.10641627744612027
Thunnus alalunga,Finfish,18,0.5,23.526666666666667,6.008333333333334,0.6,0.29393,0.85918
Thymallus arcticus,Finfish,281.5,0.7,21.366666666666667,1.8333333333333333,1,0.11256000000000001,0.2643333333333333
Tinca tinca,Finfish,63,1.1,19,1.17,0.8500000000000001,0.037115923,0.07158984
Xiphias gladius,Finfish,39,1.3,17.7,12,1.2,0.243166,1.32636
