FD,replicate
2.0380806082244987,282
2.3987944330704685,283
3.1297539520912636,284
2.073102957049265,285
1.3940815951821532,286
1.9336713505876753,287
1.3226580682001954,288
1.3999148451507144,289
1.3068217240587505,29
2.7783042751304605,290
0.8094436700489043,291
1.7043150358602612,292
1.368861325749729,293
2.4451671366733434,294
2.392104847069652,295
1.2278129242639824,296
1.1577886680030645,297
1.742335049905887,298
1.2578281640937428,299
2.9536217518235306,3
1.9399236754361506,30
2.464949400626738,300
2.050497605303413,301
2.497849400561341,302
2.8714972291039405,303
1.1788157819795815,304
1.3500044120233514,305
2.452694518232115,306
2.8259530298065676,307
2.8203949002146316,308
1.722183687503522,309
1.5427523465242654,31
2.8876223293493934,310
3.1250733519435965,311
2.7675916080522556,312
2.8061540272602477,313
1.608918482441714,314
1.6225014816880328,315
1.6920774463622352,316
3.180340173247455,317
2.459678529826889,318
1.4223324782201463,319
1.201915138088804,32
1.602613305127504,320
1.8022914941439199,321
2.7722921995426737,322
1.5798529319571457,323
3.0722689035910076,324
1.511287439259135,325
2.266464967810862,326
2.3468456818304704,327
2.4519384252192378,328
0.9612201222131094,329
2.442484074872384,33
2.872571622506808,330
3.1071063802352787,331
2.4460388421561583,332
1.5252156553813456,333
1.8060768099174391,334
2.5400337795389003,335
1.2562352333448872,336
2.374915901132459,337
1.7797748469885923,338
2.770730796211186,339
1.861648777572079,34
2.344739411915515,340
1.5220020248679744,341
1.606402976475661,342
2.5697448457006633,343
0.7508762466224477,344
1.2463921278379253,345
2.0968510126464963,346
1.5338345045648991,347
3.109711387085024,348
1.6985568925893675,349
1.9306780293483845,35
1.9707446624469627,350
2.3854724446984443,351
0.9024265691836761,352
2.823364726732229,353
1.6774523614939663,354
1.18923312166117,355
2.6562635538075074,356
2.2297071333979193,357
1.5363642368580743,358
3.1364963455033483,359
2.9819822077905953,36
3.057652208589025,360
1.1579362046015635,361
1.6218492902700739,362
1.05111300951433,363
2.6004702789177028,364
2.735124153788129,365
0.9607305481788256,366
1.9716996581247632,367
1.7464695959669763,368
1.3200598419027474,369
1.6886991268946543,37
2.4857788836661814,370
1.7152401329446647,371
2.5296160227382742,372
2.4335872237807474,373
1.639530250599403,374
1.8359397660832697,375
1.1404682119838523,376
2.634916184067723,377
1.8477835133530058,378
2.9666068168649735,379
2.847301961743797,38
2.8342418441911335,380
2.668738854736107,381
3.1118549836351406,382
1.6232560430238743,383
3.091352216516846,384
2.023008983040373,385
1.7758417240747422,386
1.1918941321709207,387
2.825207098618449,388
1.1475613707257608,389
1.0758534197213603,39
1.3162193906046047,390
1.2395728068051932,391
2.3681298916198363,392
0.7971444790911022,393
1.1693288752118647,394
2.5653646509521306,395
1.7128829983771725,396
3.226275340203036,397
1.3688366702378474,398
2.9919190949518626,399
1.7384121556573833,4
1.6020271199214977,40
2.4383127393695303,400
2.6572582211735996,401
3.076836641633533,402
2.2155122440138895,403
1.5375312020012855,404
1.8435459968687578,405
2.4304798536087233,406
2.380806793052347,407
1.5346092653401315,408
0.824227506851921,409
1.9720686432277919,41
2.054964689940197,410
2.0107625991046127,411
2.8455645115390285,412
1.1580300233590313,413
2.411253898755865,414
1.0528210742657302,415
2.742449819809643,416
1.1466456669347724,417
1.7146889403300047,418
3.0413341867890873,419
1.745525455849643,42
2.4190700844870947,420
2.0804409527194694,421
1.6015998096771384,422
1.5583792570999941,423
1.5075992938215852,424
1.3914367377750227,425
1.5307783814076075,426
1.548823605354154,427
1.5475269114043122,428
3.0322715818654653,429
1.7213380797221873,43
1.5701478718293382,430
2.3616157631907546,431
2.1952746744214755,432
2.4968083114951005,433
2.561298230424422,434
1.2546832171810096,435
2.750440834523751,436
1.1381049805063508,437
2.5079121016154495,438
2.1222602996281386,439
2.0521921423223337,44
2.74741053108458,440
2.689875946437917,441
1.1220039105541095,442
2.482246854221974,443
2.7697432483718276,444
1.5678524001566083,445
1.2771020828859236,446
2.6114534871780526,447
1.6955861629983093,448
2.557061216593858,449
1.136098966446664,45
2.7677245211487063,450
2.176651862624889,451
1.2441826595556902,452
1.3840920943634663,453
1.6973472744878426,454
2.4391179623296684,455
1.6762319265873618,456
2.7546008613109114,457
2.3780166259926405,458
1.53311750970672,459
2.079000356798137,46
2.631475506316977,460
2.365471189604345,461
0.9063309755139869,462
0.861208991914744,463
1.6273849101813147,464
2.8150404584704707,465
0.7757823423497695,466
1.7644812774010326,467
1.6514841449317854,468
1.635889555919465,469
1.7486841982407935,47
1.0381286252296653,470
2.5144014555754253,471
1.495299234924533,472
1.7074893051497084,473
1.1137613633001822,474
1.553217414592047,475
2.113553078170342,476
1.2977298676121396,477
2.1303760167546506,478
2.682118138938319,479
1.6062210531482122,48
1.6157096617566862,480
2.3250092764851913,481
2.070197796347748,482
2.699125466943565,483
1.5635276522257604,484
2.5266518713047086,485
1.1415922135998204,486
2.309339612162536,487
2.7927518690222564,488
1.3698841933181896,489
1.8699914860219815,49
2.3929570092998538,490
2.4987596896847895,491
1.087819666902619,492
2.195274391857946,493
1.3408686969514756,494
