run,species_no,mean,std.error
16,8,1.8,0.06030226891555272
16,9,1.9,0.09999999999999999
16,10,2,NA
17,1,1.2,0.13333333333333333
17,2,1.1111111111111112,0.047377936967913425
17,3,1.0416666666666667,0.018318048122588696
17,4,1.0047619047619047,0.004761904761904762
17,5,1,0
17,6,1,0
17,7,1,0
17,8,1,0
17,9,1,0
17,10,1,NA
18,1,1.3,0.15275252316519466
18,2,1.3111111111111111,0.0697920592732311
18,3,1.2583333333333333,0.040125561565454056
18,4,1.2047619047619047,0.027912582877112634
18,5,1.1626984126984128,0.02329677227475154
18,6,1.1047619047619048,0.021183505372546808
18,7,1.0416666666666667,0.018318048122588696
18,8,1,0
18,9,1,0
18,10,1,NA
19,1,1.4,0.1632993161855452
19,2,1.5333333333333334,0.07521014330903548
19,3,1.6583333333333334,0.04347611684317001
19,4,1.7428571428571429,0.03023199042074988
19,5,1.8055555555555556,0.024980933164903702
19,6,1.8714285714285714,0.02315341143098552
19,7,1.9333333333333333,0.02286647801900118
19,8,1.9777777777777779,0.022222222222222223
19,9,2,0
19,10,2,NA
2,1,1.3,0.21343747458109494
2,2,1.3777777777777778,0.07970202644274288
2,3,1.5416666666666667,0.04567549854280214
2,4,1.6666666666666667,0.03260773253630123
2,5,1.7777777777777777,0.026241257787125154
2,6,1.8666666666666667,0.023513770327249908
2,7,1.9333333333333333,0.02286647801900118
2,8,1.9777777777777779,0.022222222222222223
2,9,2,0
2,10,2,NA
20,1,1.3,0.15275252316519466
20,2,1.3777777777777778,0.07309112127323451
20,3,1.5333333333333334,0.04573295603800236
20,4,1.5714285714285714,0.03423098844989451
20,5,1.4841269841269842,0.03154381303686605
20,6,1.4095238095238096,0.03401477718256439
20,7,1.4666666666666666,0.04573295603800236
20,8,1.6222222222222222,0.07309112127323451
20,9,1.7,0.15275252316519466
20,10,1,NA
21,1,1.3,0.21343747458109494
21,2,1.4666666666666666,0.0816496580927726
21,3,1.5333333333333334,0.04573295603800236
21,4,1.561904761904762,0.034319620711865256
21,5,1.5674603174603174,0.0312711509660525
21,6,1.6,0.0338869496834943
21,7,1.6083333333333334,0.04474614568527821
21,8,1.6666666666666667,0.07106690545187014
21,9,1.8,0.13333333333333333
21,10,2,NA
22,1,1.5,0.22360679774997896
22,2,1.5555555555555556,0.08137427903483971
22,3,1.6166666666666667,0.04456973469931287
22,4,1.6666666666666667,0.03260773253630123
22,5,1.7222222222222223,0.028271399816988563
22,6,1.7714285714285714,0.02904595687156655
22,7,1.825,0.0348315273009618
22,8,1.8888888888888888,0.047377936967913425
22,9,1.9,0.09999999999999999
22,10,2,NA
23,1,1.1,0.09999999999999999
23,2,1.0888888888888888,0.04290254662948546
23,3,1.0083333333333333,0.008333333333333333
23,4,1,0
23,5,1,0
23,6,1,0
23,7,1,0
23,8,1,0
23,9,1,0
23,10,1,NA
24,1,1.4,0.1632993161855452
24,2,1.6666666666666667,0.07106690545187014
24,3,1.7833333333333334,0.03776555522604268
24,4,1.8238095238095238,0.026353085788487014
24,5,1.8571428571428572,0.022087203087003134
24,6,1.9095238095238096,0.01984271279024388
24,7,1.9666666666666666,0.01645524161649806
24,8,2,0
24,9,2,0
24,10,2,NA
25,1,1.4,0.22110831935702663
25,2,1.6,0.08645662192537638
25,3,1.7416666666666667,0.0548691253350432
25,4,1.542857142857143,0.03996874083726914
25,5,1.4444444444444444,0.031364302052090925
25,6,1.4476190476190476,0.03439540944025798
25,7,1.4666666666666666,0.04573295603800236
25,8,1.4666666666666666,0.07521014330903548
25,9,1.4,0.1632993161855452
25,10,1,NA
26,1,1.3,0.15275252316519466
26,2,1.4444444444444444,0.07491109582924912
26,3,1.5333333333333334,0.04573295603800236
26,4,1.6666666666666667,0.03260773253630123
26,5,1.7658730158730158,0.026728048999302433
26,6,1.7428571428571429,0.03023199042074988
26,7,1.7666666666666666,0.03877199986918664
26,8,1.711111111111111,0.0683294324254051
26,9,1.8,0.13333333333333333
26,10,2,NA
27,1,1.7,0.15275252316519466
27,2,1.9333333333333333,0.03760507165451774
27,3,1.9916666666666667,0.008333333333333333
27,4,1.9857142857142858,0.008208302674107883
27,5,2,0
27,6,2,0
27,7,2,0
27,8,2,0
27,9,2,0
27,10,2,NA
28,1,1.4,0.1632993161855452
28,2,1.6222222222222222,0.08580509325897091
28,3,1.5083333333333333,0.045828558447483556
28,4,1.561904761904762,0.034319620711865256
28,5,1.5873015873015872,0.031074927625190856
28,6,1.619047619047619,0.03359110046749987
28,7,1.7,0.042008402520840295
28,8,1.8,0.06030226891555272
28,9,1.9,0.09999999999999999
28,10,2,NA
29,1,1.3,0.15275252316519466
29,2,1.4666666666666666,0.07521014330903548
29,3,1.3833333333333333,0.04456973469931287
29,4,1.4904761904761905,0.03457944857003125
29,5,1.5396825396825398,0.031460168710865336
29,6,1.5714285714285714,0.03423098844989451
29,7,1.6416666666666666,0.04395667801920045
29,8,1.7555555555555555,0.06478835438717001
29,9,1.7,0.15275252316519466
29,10,2,NA
3,1,1.3,0.15275252316519466
3,2,1.3333333333333333,0.07106690545187014
3,3,1.2916666666666667,0.04166666666666667
3,4,1.223809523809524,0.028830375135239755
3,5,1.1825396825396826,0.02438232548727271
3,6,1.1333333333333333,0.023513770327249908
3,7,1.075,0.02414504490112435
3,8,1,0
3,9,1,0
3,10,1,NA
30,1,1.7,0.15275252316519466
30,2,1.8444444444444446,0.05463890236888291
30,3,1.925,0.02414504490112435
