genus_species,genus_species_new,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,submitted_name,data_source_title,score,matched_name2
centropristis striata,Centropristis striata,finfish,NA,US-Florida,13.3,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
haemulon plumieri,Haemulon plumierii,finfish,NA,US-Florida,47.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
haemulon plumieri,Haemulon plumierii,finfish,NA,US-Florida,21.85,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
haemulon plumieri,Haemulon plumierii,finfish,NA,US-Florida,30.4,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
haemulon plumieri,Haemulon plumierii,finfish,NA,US-Florida,25.65,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
istiophorus platypterus,Istiophorus platypterus,finfish,NA,US-Florida,10.45,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
lepidopsetta bilineate,Lepidopsetta bilineata,finfish,Rock sole,NA,8.74,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,NA,NA,NA,NA
melanogrammus aeglefinus,Melanogrammus aeglefinus,finfish,haddock,Canada-Bay of Fundy,4.75,NA,NA,NA,NA,karimi,"Legrand M, Arp P, Ritchie C, Chan HM. 2005. Mercury exposure in two coastal communities of the Bay of Fundy, Canada. Environ Res 98(1):14-21.",5,NA,NA,NA,NA
oncorhyncus keta,Oncorhynchus keta,finfish,NA,US-pacific northwest,2.85,52.6,232.5,5.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA,NA,NA,NA
oncorhyncus nerka,Oncorhynchus nerka,finfish,NA,US-pacific northwest,6.46,41.2,216,9,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA,NA,NA,NA
oncorhyncus nerka,Oncorhynchus nerka,finfish,NA,US-alaska,1.9,38.2,154.7,6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA,NA,NA,NA
paralichthys albiguttata,Paralichthys albiguttata,finfish,flounder-gulf,US,12.35,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,1,NA,NA,NA,NA
paralicthys albugutta,Paralichthys albiguttata,finfish,NA,US-gulf,9.595,46.8,291,6.3,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA,NA,NA,NA,NA
paralithodes camtschaticus,Paralithodes camtschaticus,crustacean,crab-king (red),US,0.95,NA,NA,NA,NA,karimi,"Yamashita Y, Omura Y, Okazaki E. 2005. Total mercury and methylmercury levels in commercially important fishes in Japan. Fisheries Science 71(5):1029-1035. Yamashita Y, Omura Y, Okazaki E. 2006. Distinct regional profiles of trace element content in muscle of Japanese eel Anguilla japonica from Japan, Taiwan, and China. Fisheries Science 72(5):1109-1113. Zauke GP, Savinov VM, Ritterhoff J, Savinova T. 1999. Heavy metals in fish from the Barents Sea in (summer 1994). Sci Total Environ 227(2-3):161-173.",1,NA,NA,NA,NA
paralithodes camtschaticus,Paralithodes camtschaticus,crustacean,Red king crab,NA,9.595,NA,NA,NA,NA,burger,"Burger, Joanna, Michael Gochfeld, Christian Jeitner, Sean Burke, Tim Stamm, Ronald Snigaroff, Dan Snigaroff, Robert Patrick, and Jim Weston. Mercury levels and potential risk from subsistence foods from the Aleutians. Science of the Total Environment 384, no. 1-3 (2007): 93-105.",NA,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US-New Jersey,5.7,NA,NA,NA,NA,karimi,"Burger J, Jeitner C, Donio M, Shukla S, Gochfeld M. 2009. Factors Affecting Mercury and Selenium Levels in New Jersey Flatfish: Low Risk to Human Consumers. J Toxicol Env Health Part A 72(14):853-860.",58,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US-Atlantic,5.415,NA,NA,NA,NA,karimi,"Gerhart EH. 1977. Concentrations of total mercury in several fishes from Delaware Bay, 1975. Pesticides Monitoring Journal 11(3):132-133.",3,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US-NY-Long Island Sound,1.995,NA,NA,NA,NA,karimi,"Hammerschmidt CR, Fitzgerald WF. 2006. Bioaccumulation and trophic transfer of methylmercury in Long Island Sound. Arch Environ Contam Toxicol 51(3):416-424.",41,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US-NY-Long Island Sound,3.5397,NA,NA,NA,NA,karimi,"Rolfhus KR, Sandheinrich MB, Wiener JG, Bailey SW, Thoreson KA, Hammerschmidt CR. 2008. Analysis of fin clips as a nonlethal method for monitoring mercury in fish. Environ Sci Technol 42(3):871-877.",14,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US-Atlantic,2.375,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2008. National Coastal Assessment. Available: http://www.epa.gov/emap/nca/html/data/index.html [accessed 3 October 2008].,32,NA,NA,NA,NA
pseudopleuronectes americanus,Pseudopleuronectes americanus,finfish,flounder-winter,US,13.87,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,20,NA,NA,NA,NA
sepiaÂ elegans,Sepia elegans,mollusc,cuttlefish-elegant,NE Atlantic-Europe,1.422,NA,NA,NA,NA,karimi,"Bustamante P, Lahaye V, Durnez C, Churlaud C, Caurant F. 2006. Total and organic Hg concentrations in cephalopods from the North Eastern Atlantic waters: Influence of geographical origin and feeding ecology. Sci Total Environ 368(2-3):585-596.",14,NA,NA,NA,NA
sepiaÂ officinalis,Sepia officinalis,mollusc,cuttlefish-common,NE Atlantic-Europe,5.07,NA,NA,NA,NA,karimi,"Bustamante P, Lahaye V, Durnez C, Churlaud C, Caurant F. 2006. Total and organic Hg concentrations in cephalopods from the North Eastern Atlantic waters: Influence of geographical origin and feeding ecology. Sci Total Environ 368(2-3):585-596.",23,NA,NA,NA,NA
sepiaÂ orbignyana,Sepia orbignyana,mollusc,cuttlefish-pink,NE Atlantic-Europe,0.708,NA,NA,NA,NA,karimi,"Bustamante P, Lahaye V, Durnez C, Churlaud C, Caurant F. 2006. Total and organic Hg concentrations in cephalopods from the North Eastern Atlantic waters: Influence of geographical origin and feeding ecology. Sci Total Environ 368(2-3):585-596.",15,NA,NA,NA,NA
