number_of_targets,subgroup,number_of_species,sd,se,threshold
1.60279,finfish,3.0,1.1319836702754587,0.6535510767517967,25 percent
1.97247,finfish,4.0,1.1730327613321767,0.5865163806660884,25 percent
2.28808,finfish,5.0,1.1886143367974393,0.5315644912219808,25 percent
2.55618,finfish,6.0,1.1884014181156572,0.4851628473305476,25 percent
2.78646,finfish,7.0,1.1805823165480929,0.44621817311811257,25 percent
2.98869,finfish,8.0,1.168107755584769,0.4129884575652942,25 percent
3.1642,finfish,9.0,1.1508569001904831,0.38361896673016105,25 percent
3.3224,finfish,10.0,1.132833206218255,0.3582333140720906,25 percent
3.46375,finfish,11.0,1.1122941649955262,0.335369309253802,25 percent
3.59062,finfish,12.0,1.0876671576353025,0.31398246312472855,25 percent
3.70532,finfish,13.0,1.0625135231844673,0.2946882299011918,25 percent
3.80823,finfish,14.0,1.0360815613406202,0.27690444480645787,25 percent
3.9024200000000002,finfish,15.0,1.0085178802000223,0.2603981969578062,25 percent
3.9891200000000002,finfish,16.0,0.9823702337269595,0.24559255843173988,25 percent
4.06935,finfish,17.0,0.9531996975432978,0.23118488442810728,25 percent
4.1426,finfish,18.0,0.9228292128761214,0.2175129314339165,25 percent
4.20879,finfish,19.0,0.8940048816126694,0.20509878599903522,25 percent
4.26754,finfish,20.0,0.8668043965616571,0.19382335539075501,25 percent
4.32277,finfish,21.0,0.8376136000957907,0.18278227264587768,25 percent
4.37413,finfish,22.0,0.8104340263914833,0.17278511498562593,25 percent
4.42313,finfish,23.0,0.7825197291258953,0.16316664280678694,25 percent
4.4671,finfish,24.0,0.7550386022137602,0.15412160929399615,25 percent
4.50872,finfish,25.0,0.7269726586966422,0.14539453173932843,25 percent
4.5478,finfish,26.0,0.6993711827066597,0.13715797337945088,25 percent
4.5839,finfish,27.0,0.6717032840868193,0.12926935729436026,25 percent
4.61718,finfish,28.0,0.6451457275144098,0.1219210824570692,25 percent
4.64793,finfish,29.0,0.6195325280447614,0.11504430230695585,25 percent
4.67666,finfish,30.0,0.5932071841672464,0.10830431868084076,25 percent
4.70403,finfish,31.0,0.5672697568615576,0.10188465601177522,25 percent
4.72878,finfish,32.0,0.5422016704386976,0.09584861948446917,25 percent
4.75093,finfish,33.0,0.5195929511342016,0.09044952298454526,25 percent
4.77162,finfish,34.0,0.49737817548671576,0.08529965337673422,25 percent
4.79054,finfish,35.0,0.4763284342633482,0.08051420057316824,25 percent
4.80907,finfish,36.0,0.4547722542966234,0.0757953757161039,25 percent
4.82558,finfish,37.0,0.43312762506609526,0.07120574293484055,25 percent
4.84092,finfish,38.0,0.41286227504166756,0.06697510498853906,25 percent
4.85515,finfish,39.0,0.3932048112628276,0.0629631604947943,25 percent
4.86801,finfish,40.0,0.37455312413652103,0.059222048850159706,25 percent
4.87999,finfish,41.0,0.3564952605417186,0.05567520593425894,25 percent
4.89102,finfish,42.0,0.33947682107195537,0.052382410725884385,25 percent
4.901,finfish,43.0,0.3228312906154266,0.04923131027748217,25 percent
4.91049,finfish,44.0,0.30593936636032787,0.04612209485528574,25 percent
4.91941,finfish,45.0,0.28968274208331896,0.04318335354712268,25 percent
4.92747,finfish,46.0,0.27420822562700425,0.0404297971802089,25 percent
4.9345,finfish,47.0,0.2596351750134041,0.037871682595884554,25 percent
4.94144,finfish,48.0,0.24497209333568007,0.03535867600782525,25 percent
4.94823,finfish,49.0,0.22984863585402046,0.03283551940771721,25 percent
4.95372,finfish,50.0,0.21720643035217413,0.030717627963869173,25 percent
4.95857,finfish,51.0,0.2054117256628024,0.028763394847144744,25 percent
4.96339,finfish,52.0,0.19274355864929432,0.02672872245097813,25 percent
4.96786,finfish,53.0,0.18046425151109766,0.02478867136014243,25 percent
4.97172,finfish,54.0,0.16929420605939838,0.023038023403062116,25 percent
4.97522,finfish,55.0,0.15844936939611534,0.02136530861084968,25 percent
4.97861,finfish,56.0,0.14687642297808132,0.01962718760638828,25 percent
4.98159,finfish,57.0,0.13620300074731884,0.018040528161917813,25 percent
4.98421,finfish,58.0,0.1259398050988848,0.016536706562583263,25 percent
4.98633,finfish,59.0,0.11723168740867515,0.015262265716179781,25 percent
4.98853,finfish,60.0,0.10723131112478691,0.013843502739276193,25 percent
4.99045,finfish,61.0,0.0978718207091954,0.012531202556957173,25 percent
4.99218,finfish,62.0,0.08831152580074635,0.011215574992275386,25 percent
4.99372,finfish,63.0,0.07912410635351316,0.009968700386743882,25 percent
4.99499,finfish,64.0,0.0707456708887512,0.0088432088610939,25 percent
4.99614,finfish,65.0,0.062009183605241214,0.007691292630569591,25 percent
4.99709,finfish,66.0,0.05386613885929785,0.006630463345490745,25 percent
4.99787,finfish,67.0,0.046102975553032895,0.005632374906486352,25 percent
4.99834,finfish,68.0,0.0407094703061797,0.004936748412803665,25 percent
4.99872,finfish,69.0,0.03575436174432203,0.0043043193401273985,25 percent
4.99916,finfish,70.0,0.02897072303253631,0.003462663700159026,25 percent
4.99946,finfish,71.0,0.023231741155969602,0.002757100429181199,25 percent
4.99966,finfish,72.0,0.01843604618344152,0.0021727088790966446,25 percent
4.99986,finfish,73.0,0.011831390443138884,0.0013847595103903107,25 percent
4.99994,finfish,74.0,0.007745773038890288,9.004278260165335e-4,25 percent
4.99998,finfish,75.0,0.004472113594040294,5.163951974731497e-4,25 percent
5.0,finfish,76.0,0.0,0.0,25 percent
5.0,finfish,77.0,0.0,0.0,25 percent
5.0,finfish,78.0,0.0,0.0,25 percent
1.55483,invertebrates,1.0,1.2111516585396727,1.2111516585396727,25 percent
2.65003,invertebrates,2.0,1.2879781007361422,0.9107380490502963,25 percent
3.40748,invertebrates,3.0,1.1736412671418122,0.6776021015163788,25 percent
3.93221,invertebrates,4.0,1.005139104276711,0.5025695521383555,25 percent
4.28606,invertebrates,5.0,0.8331126077344956,0.3725792847612898,25 percent
4.53154,invertebrates,6.0,0.6723761962603173,0.2744964326718694,25 percent
4.69439,invertebrates,7.0,0.5391803363016406,0.2037910116671875,25 percent
4.80179,invertebrates,8.0,0.43065606990556327,0.1522599136946858,25 percent
4.87444,invertebrates,9.0,0.34254322319759545,0.11418107439919849,25 percent
4.92196,invertebrates,10.0,0.27131254026481166,0.08579655850029477,25 percent
4.95369,invertebrates,11.0,0.21053699712466595,0.06347929308642278,25 percent
4.97451,invertebrates,12.0,0.15760871900083148,0.04549771817088107,25 percent
4.98759,invertebrates,13.0,0.11070733697973502,0.03070469077311579,25 percent
4.99484,invertebrates,14.0,0.07164792902978662,0.019148714492954015,25 percent
4.99885,invertebrates,15.0,0.033892314569675945,0.008750957992851862,25 percent
5.0,invertebrates,16.0,0.0,0.0,25 percent
5.0,invertebrates,17.0,0.0,0.0,25 percent
5.0,invertebrates,18.0,0.0,0.0,25 percent
