bibliography,seanuts_id2,genus_species,subgroup,location,ca_mg,fat,fe_mg,protein,zn_mg
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1776,Ostrea edulis,Mollusc,Sutvid,261.6,NA,3.21,NA,101.9
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1777,Ostrea edulis,Mollusc,Bistrina,126.7,NA,2.55,NA,54
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1778,Mytilus galloprovincialis,Mollusc,Savudrijska vala,53.1,NA,3.29,NA,2.07
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1779,Mytilus galloprovincialis,Mollusc,Vabriga,50.5,NA,1.65,NA,3.08
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1780,Mytilus galloprovincialis,Mollusc,Modri€ç,67.3,NA,9.41,NA,1.77
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1781,Mytilus galloprovincialis,Mollusc,Novigrad,44.7,NA,1.61,NA,5.28
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1782,Mytilus galloprovincialis,Mollusc,Sutvid,73.2,NA,9.44,NA,2.59
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1783,Mytilus galloprovincialis,Mollusc,Brijesta,81.1,NA,10.9,NA,2.39
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1784,Mytilus galloprovincialis,Mollusc,Bjejevica,43.8,NA,3.61,NA,3.5
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1785,Mytilus galloprovincialis,Mollusc,Mali Ston,65.5,NA,5.94,NA,2.33
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1786,Mytilus galloprovincialis,Mollusc,Bistrina,42.9,NA,1.64,NA,2.44
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1787,Mytilus galloprovincialis,Mollusc,Sobra,78.5,NA,2.38,NA,3.2
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1753,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,23.6017,2.04,1.7316,9.28,19.2468
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1754,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,23.3905,1.92,4.0374,9.09,86.2042
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1755,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,25.8339,2.4,2.1842,10.3,58.7299
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1756,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,30.2673,5.51,5.2411,9.74,29.0114
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1757,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,44.7876,1.47,1.349,9.32,41.8197
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1758,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,54.8653,2.04,3.9096,8.71,49.6959
"Erkan, Nuray, Ì_zkan Ì_zden, and Å_afak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS.""åÊFood analytical methodsåÊ4.1 (2011): 35-40.",1759,Ostrea edulis,Mollusc,The oysters (O. edulis) of commercial importance were chosen and purchased from the Istanbul local fish market during the catching season (from December 2006 to November 2007).,20.1334,1.69,2.1565,6.85,26.9619
"Exler, J. (1987). Composition of foods: finfish and shellfish products, raw, processed, prepared. Agriculture Handbook Number 8-15. US Department of Agriculture, Human Nutrition Information Service.",1678,penaeid and pandalid shrimps,Crustacean,NA,NA,NA,2.4,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1760,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2004",58.49844639,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1760,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2010",NA,NA,6.912621359,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1760,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2016",NA,NA,NA,NA,87.16655918
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1761,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2005",79.8921264,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1761,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2011",NA,NA,2.058252427,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1761,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2017",NA,NA,NA,NA,47.35744855
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1762,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2006",87.34009498,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1762,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2012",NA,NA,3.902912621,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1762,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2018",NA,NA,NA,NA,58.66447793
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1763,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2007",64.18197807,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1763,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2013",NA,NA,0.951456311,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1763,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2019",NA,NA,NA,NA,23.50612652
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1764,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2008",42.18514393,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1764,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2014",NA,NA,2,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1764,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2020",NA,NA,NA,NA,54.58404174
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1765,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2009",37.23702879,NA,NA,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1765,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2015",NA,NA,1.126213592,NA,NA
"Gokoglu, Nalan, Mehmet Gokoglu, and Pinar Yerlikaya. ""Seasonal variations in proximate and elemental composition of pearl oyster (Pinctada radiata, Leach, 1814).""åÊJournal of the Science of Food and AgricultureåÊ86.13 (2006): 2161-2165.",1765,Pinctada radiata,Mollusc,"Samples of pearl oyster (Pinctada radiata) suspended on the ropes of fish cages were collected by hand during scuba diving at 10‰ÛÒ20 m depths off the Gulf of Antalya (Maden Bay), Turkey, from September 2003 to August 2021",NA,NA,NA,NA,33.74942839
"GÌ_kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498",384,Callinectes sapidus,Crustacean,NA,NA,0.79,NA,NA,NA
"GÌ_kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498",385,Callinectes sapidus,Crustacean,NA,NA,0.64,NA,NA,NA
"GÌ_kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498",962,Portunus pelagicus,Crustacean,NA,NA,0.81,NA,NA,NA
"GÌ_kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498",963,Portunus pelagicus,Crustacean,NA,NA,1.21,NA,NA,NA
"GÌ_koÌ¡lu, Nalan, and PÌ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""åÊFood ChemistryåÊ80.4 (2003): 495-498.",1749,Callinectes sapidus,Crustacean,"The crabs, C. sapidus and P. pelagicus, were caught by dip net from the Gulf of Antalya, the coast of Western Mediterranean of Turkey, in July 2001",149.2,NA,1.04,NA,6.99
"GÌ_koÌ¡lu, Nalan, and PÌ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""åÊFood ChemistryåÊ80.4 (2003): 495-498.",1750,Callinectes sapidus,Crustacean,"The crabs, C. sapidus and P. pelagicus, were caught by dip net from the Gulf of Antalya, the coast of Western Mediterranean of Turkey, in July 2001",64.9,NA,1.13,NA,4.7
"GÌ_koÌ¡lu, Nalan, and PÌ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""åÊFood ChemistryåÊ80.4 (2003): 495-498.",1751,Portunus pelagicus,Crustacean,"The crabs, C. sapidus and P. pelagicus, were caught by dip net from the Gulf of Antalya, the coast of Western Mediterranean of Turkey, in July 2001",150.9,NA,0.45,NA,4.68
"GÌ_koÌ¡lu, Nalan, and PÌ_nar Yerlikaya. ""Determinaton of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya.""åÊFood ChemistryåÊ80.4 (2003): 495-498.",1752,Portunus pelagicus,Crustacean,"The crabs, C. sapidus and P. pelagicus, were caught by dip net from the Gulf of Antalya, the coast of Western Mediterranean of Turkey, in July 2001",87.6,NA,0.68,NA,3.72
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1732,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2012",39.849,NA,NA,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1732,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2015",NA,NA,3.775,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1732,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2018",NA,NA,NA,NA,2.126
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1733,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2013",149.199,NA,NA,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1733,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2016",NA,NA,8.257,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1733,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2019",NA,NA,NA,NA,0.911
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1734,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2014",95.346,NA,NA,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1734,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2017",NA,NA,27.613,NA,NA
"Karnjanapratum, Supatra, et al. ""Chemical compositions and nutritional value of Asian hard clam (Meretrix lusoria) from the coast of Andaman Sea."" Food chemistry 141.4 (2013): 4138-4145.",1734,Meretrix lusoria,Mollusc,"Live Asian hard clams (M. lusoria), 25‰ÛÒ30 clams/kg, were purchased from a local market along the coast of the Andaman Sea in Kantang, Trang Province, Thailand, during October-December, 2020",NA,NA,NA,NA,2.025
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",1694,Scylla paramamosain,Crustacean,"Chongming Island (31å¡36‰Û_ N, 121å¡52‰Û_ E, Shanghai, China) in October 2010 a",NA,NA,NA,NA,7.25
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",1695,Scylla paramamosain,Crustacean,"Chongming Island (31å¡36‰Û_ N, 121å¡52‰Û_ E, Shanghai, China) in October 2010 a",NA,NA,NA,NA,8.13
"Ke-Ji Jiang , Feng-Ying Zhang , Yan Pi , Li-Li Jiang , Zhong-Li Yu , Dan Zhang , Man-Man Sun , Lu-Jiao Gao , Zhen-Guo Qiao & Ling-Bo Ma (2014) Amino Acid, Fatty Acid, and Metal Compositions in Edible Parts of Three Cultured Economic Crabs: Scylla paramamosain, Portunus trituberculatus, and Eriocheir sinensis , Journal of Aquatic Food Product Technology, 23:1, 73-86, DOI: 10.1080/10498850.2012.695761",1696,Scylla paramamosain,Crustacean,"Chongming Island (31å¡36‰Û_ N, 121å¡52‰Û_ E, Shanghai, China) in October 2010 a",NA,NA,NA,NA,6.73
