user_supplied_name,submitted_name,data_source_title,score,matched_name2
Sardinella brasiliensis,Sardinella brasiliensis,FishBase,0.988,Sardinella brasiliensis
Trichiurus lepturus,Trichiurus lepturus,FishBase,0.988,Trichiurus lepturus
Aluterus monoceros,Aluterus monoceros,FishBase,0.988,Aluterus monoceros
Mugil liza,Mugil liza,FishBase,0.988,Mugil liza
Brevoortia aurea,Brevoortia aurea,FishBase,0.988,Brevoortia aurea
Auxis thazard,Auxis thazard,FishBase,0.988,Auxis thazard
Cynoscion jamaicensis,Cynoscion jamaicensis,FishBase,0.988,Cynoscion jamaicensis
Merluccius hubbsi,Merluccius hubbsi,FishBase,0.988,Merluccius hubbsi
Trachurus lathami,Trachurus lathami,FishBase,0.988,Trachurus lathami
Decapterus punctatus,Decapterus punctatus,FishBase,0.988,Decapterus punctatus
Ariomma bondi,Ariomma bondi,FishBase,0.988,Ariomma bondi
Catostomus commersoni,Catostomus commersoni,FishBase,0.988,Catostomus commersoni
Pomoxis nigromaculatus,Pomoxis nigromaculatus,FishBase,0.988,Pomoxis nigromaculatus
Sander vitreus,Sander vitreus,FishBase,0.988,Sander vitreus
Tenualosa ilisha,Tenualosa ilisha,FishBase,0.988,Tenualosa ilisha
Sparus aurata,Sparus aurata,FishBase,0.988,Sparus aurata
Upeneus parvus,Upeneus parvus,FishBase,0.988,Upeneus parvus
Syacium gunteri,Syacium gunteri,FishBase,0.988,Syacium gunteri
Cynoscion arenarius,Cynoscion arenarius,FishBase,0.988,Cynoscion arenarius
Anchoa hepsetus,Anchoa hepsetus,FishBase,0.988,Anchoa hepsetus
Selene vomer,Selene vomer,FishBase,0.988,Selene vomer
Cynoscion nothus,Cynoscion nothus,FishBase,0.988,Cynoscion nothus
Elops saurus,Elops saurus,FishBase,0.988,Elops saurus
Prochilodus reticulatus,Prochilodus reticulatus,FishBase,0.988,Prochilodus reticulatus
Sebastes melanops,Sebastes melanops,FishBase,0.988,Sebastes melanops
Isopsetta isolepis,Isopsetta isolepis,FishBase,0.988,Isopsetta isolepis
Pleuronectes vetulus,Pleuronectes vetulus,FishBase,0.988,Pleuronectes vetulus
Auxis rochei,Auxis rochei,FishBase,0.988,Auxis rochei
Dasyatis sabina,Dasyatis sabina,FishBase,0.988,Dasyatis sabina
Dasyatis americana,Dasyatis americana,FishBase,0.988,Dasyatis americana
Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,FishBase,0.988,Rhizoprionodon terraenovae
Carcharhinus limbatus,Carcharhinus limbatus,FishBase,0.988,Carcharhinus limbatus
Perca Fluviatilis,Perca fluviatilis,FishBase,0.988,Perca fluviatilis
Channa marulius,Channa marulius,FishBase,0.988,Channa marulius
Channa micropeltes,Channa micropeltes,FishBase,0.988,Channa micropeltes
Cyclocheilichthys apogon,Cyclocheilichthys apogon,FishBase,0.988,Cyclocheilichthys apogon
Helostoma temminckii,Helostoma temminckii,FishBase,0.988,Helostoma temminckii
Osteochilus hasselti,Osteochilus hasselti,FishBase,0.988,Osteochilus hasselti
Parachela siamensis,Parachela siamensis,FishBase,0.988,Parachela siamensis
