Food Item ID	Food Item ID	Food Item ID	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	Compiler	Latest revision in version	CA(mg)	FE(mg)	ZN(mg)	F20D5N3(g)	F22D6N3(g)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	Food Item ID_macro
901326	901326	901326	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), skinless fillet, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus				FA converted using XFA	2010	fi13	DR	1				0.0057724	0.06623829					14.2			1.7			901326
901327	901327	901327	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), skinless fillet portions, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										13.5			1.8			901327
901328	901328	901328	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), skinless fillet, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										14.4			2			901328
901329	901329	901329	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), skinless fillet, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										15.7			1.4			901329
901330	901330	901330	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (organically), skinless fillet without belly flaps, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus				FA converted using XFA	2010	fi13	DR	1				0.00554098	0.0700771					17.1			1.9			901330
901331	901331	901331	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (organically), skinless fillet without belly flaps, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										17.4			1.8			901331
901332	901332	901332	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (organically), skinless fillet without belly flaps, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										17			2.3			901332
901333	901333	901333	Finfish	Unknown	F	13	ITP		"Channel catfish, farmed, skinless fillet, raw"	r	Ictalurus punctatus	Channel catfish	Ictalurus punctatus		fillet yields range from 24.3%-30.2% (from dressed fish)			1998	fi14	DR	1										15.1				5.3		901333
901334	901334	901334	Finfish	Unknown	F	13	ITP		"Channel catfish, farmed, skinless fillet, raw"	r	Ictalurus punctatus	Channel catfish	Ictalurus punctatus		fillet yields range from 24.3%-30.2% (from dressed fish)			1998	fi14	DR	1										14.7				5.7		901334
901335	901335	901335	Finfish	Unknown	F	13	ITP		"Channel catfish, farmed, skinless fillet, raw"	r	Ictalurus punctatus	Channel catfish	Ictalurus punctatus		fillet yields range from 24.3%-30.2% (from dressed fish)			1998	fi14	DR	1										14.9				5.6		901335
901338	901338	901338	Finfish	Unknown	F	12	TLN		"Nile tilapia, farmed, fillet, raw"	r	Oreochromis niloticus	Nile tilapia	Oreochromis niloticus		"commercial diet of fish (Aceitera la Junta, S.A.): 9.87% moisture, 35.9% protein, 14.65% lipid, 10.4% ash"		FA converted using XFA	2007	fi15	DR	1				0.018516843	0.033909445					17.4				0.97		901338
901339	901339	901339	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	MDI	Barbado	"Flatwhiskered catfish, wild, skinless, boneless fillets, raw"	r	Pinirampus pinirampu	Flatwhiskered catfish	Pinirampus pinirampu				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.284944427	0.682588052								19.75			901339
901340	901340	901340	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		11	FCP	Carpa	"Common carp, wild, skinless, boneless fillets, raw"	r	Cyprinus carpio	Common carp	Cyprinus carpio				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.014040524								1.19			901340
901341	901341	901341	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13		Cascudo abacaxi	"wild, skinless, boneless fillets, raw"	r	Megaloancistrus aculeatus		Loricariidae				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.022009598								0.7			901341
901342	901342	901342	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	DPG	Cascudo cachorro	"Granulated catfish, wild, skinless, boneless fillets, raw"	r	Pterodoras granulosus	Granulated catfish	Pterodoras granulosus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.327263527								3.18			901342
901343	901343	901343	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		33	LGQ	Corvina	"South American silver croaker, wild, skinless, boneless fillets, raw"	r	Plagioscion squamosissimus	South American silver croaker	Plagioscion squamosissimus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.058739117	0.052228263								0.69			901343
901344	901344	901344	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	PLL	Curimba	"Streaked prochilod, wild, skinless, boneless fillets, raw"	r	Prochilodus lineatus	Streaked prochilod	Prochilodus lineatus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.040009546	0.188807397								3.68			901344
901345	901345	901345	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	SXU	Dourado	"Dorado, wild, skinless, boneless fillets, raw"	r	Salminus maxillosus	Dorado	Salminus maxillosus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.032706129	0.048411624								0.88			901345
901346	901346	901346	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	HBY	Jurupoca	"wild, skinless, boneless fillets, raw"	r	Hemisorubim plathyrhinchos		Hemisorubim platyrhynchos				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.397990409								2.98			901346
901347	901347	901347	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	MDM	Mandi	"wild, skinless, boneless fillets, raw"	r	Pimelodus maculatus						"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.09556534								5.5			901347
901348	901348	901348	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	CSO	Pacu	"Pirapatinga, wild, skinless, boneless fillets, raw"	r	Colossoma mitrei	Pacu	Piaractus mesopotamicus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.235237848									18.31			901348
901349	901349	901349	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13		Piapara	"wild, skinless, boneless fillets, raw"	r	Leporinus elongatus		Anostomidae				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1					0.081477796								9.17			901349
901350	901350	901350	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	LPD	Piau	"wild, skinless, boneless fillets, raw"	r	Leporinus friderici		Leporinus friderici				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.031878146	0.103566489								2.6			901350
901351	901351	901351	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13	UDC	Pintado	"Spotted sorubim, wild, skinless, boneless fillets, raw"	r	Pseudoplatystoma corruscans	Spotted sorubim	Pseudoplatystoma corruscans				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.045230278	0.079957398								1.27			901351
901352	901352	901352	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13		Piranha	"wild, skinless, boneless fillets, raw"	r	Serrasalmus marginatus		Characidae				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.005896797	0.018318792								0.7			901352
901353	901353	901353	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		12	TLN	Tilápia	"Nile tilapia, wild, skinless, boneless fillets, raw"	r	Oreochromis niloticus	Nile tilapia	Oreochromis niloticus				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.050246702	0.023938598								2.86			901353
901354	901354	901354	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		13		Traíra	"wild, skinless, boneless fillets, raw"	r	Hoplias malabaricus		Erythrinidae				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.00661606	0.007100303								0.27			901354
901355	901355	901355	Finfish	"Brazil (samples from fish markets in Maringá, Paraná, Brazil)"		23	TRO	Truta	"wild, skinless, boneless fillets, raw"	r	Salmus sp.	Trouts nei	Salmo spp				"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA"	1995	fi17	DR	1				0.098050685	0.691720662								6.42			901355
901356	901356	901356	Finfish	"Turkey, Anatalya"	F	23	TRR		"Rainbow trout, farmed, skinless, boneless fillet, raw"	r	Oncorhynchus mykiss	Rainbow trout	Oncorhynchus mykiss		"mean length and weight of fish: 22.2cm, 195.67g; "	1		2004	fi18	DR	1										19.8				3.44		901356
901362	901362	901362	Finfish	Unknown	F	21	APG		"Russian sturgeon, farmed, skinless fillet, raw"	r	Acipenser guldenstadti	Danube sturgeon	Acipenser gueldenstaedtii		"weight: 2300-2600g, 18-24 months; commercial diet: 40-42% protein, 10-14% fat, 8-10% moisture"			2005	fi20	DR	1										16.4-17.6				4.0-7.0		901362
901363	901363	901363	Finfish	Unknown	F	21	APB		"Siberian sturgeon, farmed, skinless fillet, raw"	r	Acipenser baeri	Siberian sturgeon	Acipenser baerii		"weight: 2300-2600g, 18-24 months"			2005	fi20	DR	1										17.8-19.6				8-11.6		901363
901364	901364	901364	Finfish	"USA, North Carolina NC"	F	22	ELA		"American eel, farmed (18mon), skinless muscle tissue, raw"	r	Anguilla rostrata	American eel	Anguilla rostrata		"mean body length and weight: 37cm, 136.3g"		PRO- (analyzed accrding to AOAC 1975); FA converted using XFA	1981	fi21	DR	1				0.3121583	0.950047							16		14.7		901364
901365	901365	901365	Finfish	"Brazil, Amazonian region, Alta Floresta"	F	13	UDF	Cachara	"Barred sorubim, farmed, muscle flesh, raw"	r	Pseudoplatystoma fasciatum	Barred sorubim	Pseudoplatystoma fasciatum	Sep (dry season) 2006	"mean length and weight of fish: 65.8cm, 2130g; commercial fish diet: 26% protein, 13.5% fat, 34% carbohydrates, 14% ash) and small fish (Astyanax spp.)"			2010	fi22	DR	1										19.05				0.56		901365
901366	901366	901366	Finfish	"Brazil, Amazonian region, Alta Floresta"	F	13	UDF	Cachara	"Barred sorubim, farmed, muscle flesh, raw"	r	Pseudoplatystoma fasciatum	Barred sorubim	Pseudoplatystoma fasciatum	Jan (wet season) 2007	"mean length and weight of fish: 62.2cm, 2150g; commercial fish diet: 26% protein, 13.5% fat, 34% carbohydrates, 14% ash) and small fish (Astyanax spp.)"			2010	fi22	DR	1										20.5				0.56		901366
901367	901367	901367	Finfish	"Sri Lanka, Ibbagamuwa, Bathalagoda tank"		12	TLM		"Tilapia, wild, boneless flesh, raw"	r	Oreochromis mossambicus	Mozambique tilapia	Oreochromis mossambicus		"mean length and weight of fish: 11.4cm, 59.2g"			1996	fi24	DR	1	47.3	0.2								17.8			2.3			901367
901368	901368	901368	Finfish	"Sri Lanka, Nikaweratiya, Magala tank"		13	FSS	Lulla (Sinhala)/Viral (Tamil)	"Snakehead, wild, boneless flesh, raw"	r	Ophicephalus striatus	Striped snakehead	Channa striata		"mean length and weight of fish: 24.6cm, 112.0g"			1996	fi24	DR	1	108.3	0.5								[16.9]			[1.7]			901368
901369	901369	901369	Finfish	"Sri Lanka, Ibbagamuwa, Bathalagoda tank"		13	GOU	Weligouva (Sinhal)/Uluvai (Tamil)	"Goby, wild, boneless flesh, raw"	r	Glossogobius giurias	Tank goby	Glossogobius giurias		"mean length and weight of fish: 18.0cm, 37.2g"			1996	fi24	DR	1	[336.6]	[1.3]								12.9			0.1			901369
901370	901370	901370	Finfish	Unknown (samples obtained from local fish market in Adana)		33	GPW		"Waker, muscle tissue, raw"	r	Epinephelus aeneus	Waker	Epinephelus aeneus				FA converted using XFA	2007	fi34	DR	1				0.078408126	0.26692128								2.14			901370
901371	901371	901371	Finfish	Unknown (samples obtained from local fish market in Adana)		34	GUU		"Tub gurned, muscle tissue, raw"	r	Trigla lucerna	Tub gurnard	Chelidonichthys lucerna				FA converted using XFA	2007	fi34	DR	1				0.073189662	0.2278799								1.59			901371
901372	901372	901372	Finfish	Unknown (samples obtained from local fish market in Adana)		32	WHG		"Whitting, muscle tissue, raw"	r	Merlangius merlangus	Whiting	Merlangius merlangus				FA converted using XFA	2007	fi34	DR	1				0.06181878	0.2754012								1.2			901372
901373	901373	901373	Finfish	Unknown (samples obtained from local fish market in Adana)		37	MAC		"Mackerel, muscle tissue, raw"	r	Scomber scombrus	Atlantic mackerel	Scomber scombrus				FA converted using XFA	2007	fi34	DR	1				0.044521872	0.33062656								1.16			901373
901374	901374	901374	Finfish	Unknown (samples obtained from local fish market in Adana)		37	BLU		"Blue fish, muscle tissue, raw"	r	Pomatomus saltator	Bluefish	Pomatomus saltatrix				FA converted using XFA; FAPUN6 calculated (sum of individual FA n-6)	2007	fi34	DR	1				0.034770855	0.28855813								1.01			901374
901375	901375	901375	Finfish	Unknown (samples obtained from local fish market in Adana)		33	SBG		"Sea bream, muscle tissue, raw"	r	Sparus auratus	Gilthead seabream	Sparus aurata				FA converted using XFA	2007	fi34	DR	1				0.77355374	1.9881588								12.4			901375
901376	901376	901376	Finfish	Unknown (samples obtained from local fish market in Adana)		33	BSS		"Sea bass, muscle tissue, raw"	r	Dicentrarchus labrax	European seabass	Dicentrarchus labrax				FA converted using XFA	2007	fi34	DR	1				0.187761132	0.39317502								3.02			901376
901377	901377	901377	Finfish	Unknown (samples obtained from local fish market in Adana)		33	SRI		"Marbled spinefoot, muscle tissue, raw"	r	Siganus rivulatus	Marbled spinefoot	Siganus rivulatus				FA converted using XFA	2007	fi34	DR	1				0.042690769	0.11535381								1.21			901377
901378	901378	901378	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus		"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990	1997	fi37	DR	1												18.78			2.5	901378
901379	901379	901379	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (3yr, 5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33695	"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990;	1997	fi37	DR	1												18.66			2.54	901379
901380	901380	901380	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (3yr, 5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33695	"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.15365058]	[0.1670115]							18.66			[2.54]	901380
901381	901381	901381	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (3yr, 5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33786	"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.10132031]	[0.15031035]							18.66			[2.54]	901381
901382	901382	901382	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (3yr, 5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33878	"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.11690805]	[0.17369196]							18.66			[2.54]	901382
901383	901383	901383	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (3yr, 5kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33970	"mean length and weight of fish: 104.5cm, 5525g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.11579464]	[0.18037242]							18.66			[2.54]	901383
901384	901384	901384	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5yr, 10kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33695	"mean length and weight of fish: 119.27cm, 10092g"		PRO-/FAT- analyzed according to AOAC 1990	1997	fi37	DR	1												18.98			3.36	901384
901385	901385	901385	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5yr, 10kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33695	"mean length and weight of fish: 119.27cm, 10092g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.23486258]	[0.26478138]							18.98			[3.36]	901385
901386	901386	901386	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5yr, 10kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33786	"mean length and weight of fish: 119.27cm, 10092g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.17801686]	[0.24982198]							18.98			[3.36]	901386
901387	901387	901387	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5yr, 10kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33878	"mean length and weight of fish: 119.27cm, 10092g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.149594]	[0.27525296]							18.98			[3.36]	901387
901388	901388	901388	Finfish	"Italy, Calvisano"	F	21	APN		"White sturgeon, farmed (5yr, 10kg), boneless, skinless fillet, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus	33970	"mean length and weight of fish: 119.27cm, 10092g"		PRO-/FAT- analyzed according to AOAC 1990; FA calc. based on mean annual lipid value; FA calc. as % of FACID; FACID calculated using CF	1997	fi37	DR	1				[0.18400062]	[0.28273266]							18.98			[3.36]	901388
901389	901389	901389	Finfish	Unknown	F	21	APB		"Siberian sturgeon, farmed, white muscle flesh, raw"	r	Acipenser baeri	Siberian sturgeon	Acipenser baeri		"commercial diet (TROUVIT): 50% protein, 18% fat, 9.5% ash, 1% fiber; mean weight of fish and fork length: 90.2cm, 4292g, age 42-54 months"		FAME converted using ShF and XFA	1997	fi40	DR	1				0.465841275	0.693362646					19.4			7.76			901389
901390	901390	901390	Finfish	Unknown	F	21	AAA		"Adriatic sturgeon, farmed, white muscle flesh, raw"	r	Acipenser naccarii	Adriatic sturgeon	Acipenser naccarii		"commercial diet (TROUVIT): 50% protein, 18% fat, 9.5% ash, 1% fiber; mean weight of fish and fork length: 91.4cm, 4844g, age 42-54 months"		FAME converted using ShF and XFA	1997	fi40	DR	1				0.472553728	0.864637763					18.6			10.64			901390
901391	901391	901391	Finfish	Unknown	F	21	APN		"White sturegeon, farmed, white muscle flesh, raw"	r	Acipenser transmontanus	White sturegeon	Acipenser transmontanus		"commercial diet (TROUVIT): 50% protein, 18% fat, 9.5% ash, 1% fiber; mean weight of fish and fork length: 69.6cm, 4974g, age 42-54 months"		FAME converted using ShF and XFA	1997	fi40	DR	1				0.225419824	0.36928002					19.5			4.49			901391
901392	901392	901392	Finfish	Unknown		11	FCP		"Carp, muscle tissue, raw"	r	Cyprinus carpio	Common carp	Cyprinus carpio	Jun-Jul 1995	"mature, female fish; weight: 3500g"	1		2008	fi41	DR	1										16.21				8.3		901392
901393	901393	901393	Finfish	Unknown		11	BIC		"Bighead carp, muscle tissue, raw"	r	Aristichthys nobilis	Bighead carp	Hypophthalmichthys nobilis	Jun-Jul 1995	"mature, female fish; weight: 7000g"	1		2008	fi41	DR	1										14.56				10.26		901393
901394	901394	901394	Finfish	Unknown		13	FPI		"Pike, muscle tissue, raw"	r	Esox lucius	Northern pike	Esox lucius	Mar-Apr 1995	"mature, female fish; weight: 1500g"	1		2008	fi41	DR	1										14.42				6.34		901394
901395	901395	901395	Finfish	New Zealand	W	38	CAH		"Elephant fish, wild, skinless fillet, frozen"	r		"Elephantfishes, etc. nei"	(Callorhinchidae)	31048	"mean length and weight of fish: 67cm, 2407g"	1		1985	fi42	DR	1										22.5			1			901395
901396	901396	901396	Finfish	New Zealand	F	23	CHI		"Salmon (sea-cage), farmed, female, skinless fillet, frozen"	r	Oncorhynchus tshawytscha	Chinook salmon	Oncorhynchus tshawytscha	30926	"mean length and weight of fish: 43cm, 1130g"	1		1985	fi42	DR	1										19.2			7.2			901396
901397	901397	901397	Finfish	New Zealand	F	23	CHI		"Salmon (freshwater), farmed, skinless fillet, frozen"	r	Oncorhynchus tshawytscha	Chinook salmon	Oncorhynchus tshawytscha	30926	"mean length and weight of fish: 25cm, 230g"	1		1985	fi42	DR	1										18.8			4.3			901397
901398	901398	901398	Finfish	Unknown		11	FCY	Shir-bot	"Barb, fillet, raw"	r	Barbus grypsus		Cyprinidae				PRO-/FAT- (analyzed according to AOAC 2000)	2008	fi44	DR	1												19.5			1.5	901398
901399	901399	901399	Finfish	Unknown		11	FCY	Berzem	"Barb, fillet, raw"	r	Barbus barbilus		Cyprinidae				PRO-/FAT- (analyzed according to AOAC 2000)	2008	fi44	DR	1												18.7			6.1	901399
901400	901400	901400	Finfish	Unknown		11	FCP	Capoor	"Common carp, fillet, raw"	r	Cyprinus carpio	Common carp	Cyprinus carpio				PRO-/FAT- (analyzed according to AOAC 2000)	2008	fi44	DR	1												17.4			8.9	901400
901401	901401	901401	Finfish	Unknown		23	TRS	Ghezel-ala	"Sea trout, fillet, raw"	r	Salmo trutta	Sea trout	Salmo trutta				PRO-/FAT- (analyzed according to AOAC 2000)	2008	fi44	DR	1												19.8			4.6	901401
901402	901402	901402	Finfish	Unknown		35	ANE		"Anchovy, skinless fillet, raw"	r	Engraulis encrasicolus	European anchovy	Engraulis encrasicolus			1	"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885."	2008	fi45	DR	1				0.701	1.365								7.51			901402
