cine_id,subgroup,subgroup2,genus_species,common_name,biblio_id,part,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,part_edited,food_item_id,location,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,comments_on_data_processing_methods,publication_year,bc_id,af_id,type,bibliography,exclude_for_wrong_units,seanuts_id2,sea_id
306,Marine Invertebrates,Mollusc,Gastropoda,Sea Snails and relatives,27,whole,179,2.5,NA,NA,NA,14.4,1.9,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,Marine Invertebrates,Mollusc,Haliotididae,Abalones,27,muscle,34,2.06,1.42,NA,NA,17.9,0.6,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,Marine Invertebrates,Crustacean,Homarus americanus,American lobster,55,muscle,NA,NA,NA,0.24,0.12,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,Marine Invertebrates,Mollusc,Illex illecebrosus,Northern Shortfin Squid,27,muscle,NA,NA,NA,NA,NA,17.3,1.7,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,Marine Invertebrates,Mollusc,Illex illecebrosus,Northern Shortfin Squid,55,muscle,NA,NA,NA,0.27,0.64,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,Marine Invertebrates,Mollusc,Katharina turnicata,Black Katy Chiton,19,muscle,121,16,NA,NA,NA,17.1,1.6,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,Marine Invertebrates,Mollusc,Littorina littorea,Common Periwinkle,27,whole,NA,1.51,NA,NA,NA,18.2,2.4,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,Marine Invertebrates,Mollusc,Littorinidae,Periwinkles,27,whole,NA,NA,NA,NA,NA,12,2.3,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,Marine Invertebrates,Mollusc,Mercenaria mercenariaξ,Northern Quahog,55,muscle,NA,NA,NA,0.09,0.08,NA,0.8,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,Marine Invertebrates,Mollusc,Mya arenaria,Softshell Clam,27,whole,53,40.5,1.7,NA,NA,10.7,1.2,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,Marine Invertebrates,Mollusc,Mytilidae,Mussels,55,muscle,NA,NA,NA,0.13,0.17,NA,1.27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,Marine Invertebrates,Mollusc,Mytilidae,Mussels,27,whole,101,17,3.63,NA,NA,12.2,1.6,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,Marine Invertebrates,Mollusc,Mytilidae,Mussels,27,whole,NA,NA,NA,NA,NA,15,0.4,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,Marine Invertebrates,Mollusc,Mytilus edulis,Blue Mussel,55,muscle,NA,NA,NA,0.13,0.17,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,Marine Invertebrates,Mollusc,Mytilus edulis,Blue Mussel,27,whole,85,10.8,3.95,NA,NA,11.6,1.7,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,Marine Invertebrates,Mollusc,Nassarius spp.,Mudsnails,27,whole,NA,NA,NA,NA,NA,18.5,2.2,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,Marine Invertebrates,Crustacean,Nephropidae,Lobsters,55,muscle,NA,NA,NA,0.24,0.12,NA,1.2,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,Marine Invertebrates,Crustacean,Nephropidae,Lobsters,27,muscle,39,1.57,0.82,NA,NA,17.6,1.4,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,Marine Invertebrates,Crustacean,Nephropidae,Lobsters,27,whole,NA,NA,2.2,NA,NA,NA,NA,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,Marine Invertebrates,Mollusc,Octopoda,Octopus,27,muscle,22,1.27,1.73,NA,NA,14.2,1.2,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,Marine Invertebrates,Mollusc,Octopoda,Octopus,27,eggs,NA,NA,NA,NA,NA,26.5,3.7,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,Marine Invertebrates,Crustacean,Ostrea lurida,Olympia Oyster,27,whole,68,10.3,NA,NA,NA,9.6,2.5,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,Marine Invertebrates,Mollusc,Ostreidae,Oysters,27,muscle,NA,NA,NA,NA,NA,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,Marine Invertebrates,Mollusc,Ostreidae,Oysters,27,whole,111,8185,23.2,NA,NA,8.5,1.8,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,Marine Invertebrates,Mollusc,Parastichopus californicus,Giant California Sea Cucumber,19,muscle,30,0.6,NA,NA,NA,13,0.4,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
655,Marine Invertebrates,Mollusc,Pectinidae,Scallops,55,muscle,NA,NA,NA,0.19,0.18,NA,1,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,Marine Invertebrates,Mollusc,Pectinidae,Scallops,65,muscle,9.2,0.107,1.22,NA,NA,15.1,1,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
657,Marine Invertebrates,Mollusc,Pectinidae,Scallops,27,muscle,46,1.1,NA,NA,NA,14.6,0.7,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
791,Marine Invertebrates,Mollusc,Saxidomus gigantea,Washington Butterclam,27,whole,41,NA,NA,NA,NA,13.2,1.9,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
856,Marine Invertebrates,Mollusc,Spisula solidissima,Atlantic Surf Clam,55,muscle,NA,NA,NA,0.15,0.21,NA,NA,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858,Marine Invertebrates,Mollusc,Spisula solidissima,Atlantic Surf Clam,55,muscle,NA,NA,NA,0.15,0.21,NA,1.4,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
859,Marine Invertebrates,Mollusc,Spisula solidissima,Atlantic Surf Clam,27,muscle,41,NA,NA,NA,NA,13.5,0.5,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
