taxon_common_name,subgroup,genus_species,location_of_study,methylmercury,number_of_samples,biblio_id,bibliography,dataset
catfish-blue (wild),finfish,Ictalurus furcatus,US-Gulf,12.856218461538461,13,karimi,USEPA (U.S. Environmental Protection Agency). 2011c. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Louisianian Province 1991-1994) [accessed 3 February 2011].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Atlantic,20.705681818181812,22,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Georgia,15.2,50,karimi,"Burger J, Gaines KF, Boring CS, Stephens WL, Snodgrass J, Dixon C, et al. 2002. Metal levels in fish from the Savannah River: Potential hazards to fish and other receptors. Environ Res 89(1):85-97.",karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Delaware,11.241666666666667,18,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Louisiana,9.321488372093025,43,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Louisiana,11.249900000000002,30,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Maryland,8.169996738433838,2,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-New Jersey,21.945,3,karimi,State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-North Carolina,18.09318181818182,22,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Virginia,12.150869589922845,57,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US,9.193594859437756,249,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
catfish-channel (wild),finfish,Ictalurus punctatus,US-Atlantic,1.8999999999999997,5,karimi,USEPA (U.S. Environmental Protection Agency). 2011b. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Virginian Province 1991-1993) [accessed 3 February 2011].,karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-Atlantic,10.83,1,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-Louisiana,18.627397540983612,122,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-Louisiana,26.433019230769222,52,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-North Carolina,67.83,10,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-Virginia,8.369414864880746,11,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,karimi
catfish-flathead (wild),finfish,Pylodictis olivaris,US-Louisiana,31.2721,50,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
clams-cockle,mollusc,Cerastoderma edule),US-Oregon,0.57,71,karimi,"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23.",karimi
clams-cockle,mollusc,Cerastoderma edule),US,7.59,10,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,karimi
clams-gaper,mollusc,Tresus capax,US-Oregon,0.26999999999999996,1,karimi,"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23.",karimi
clams-geoduck,mollusc,Panopea generosa,US-Alaska,1.2300000000000002,7,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,karimi
clams-hard,mollusc,Mercenaria mercenaria,US-Atlantic,9,1,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",karimi
clams-hard,mollusc,Mercenaria mercenaria,US-Delaware,0.6,2,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,karimi
