Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,subgroup,genus_species,asfis_scientific_name,scientific_name,common_name,part,food_name_in_english,location,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,cine_id,biblio_id,part_edited,food_item_id,processing,asfis_english_name,season,other,comments_on_data_processing_methods,publication_year,bc_id,af_id,type,bibliography,exclude_for_wrong_units,seanuts_id2,sea_id,subgroup2,submitted_name,score,exclude,realm
Acipenser oxyrinchus,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,c5,Finfish,Acipenser oxyrinchus,NA,NA,Atlantic Sturgeon,muscle,"Atlantic Sturgeon, muscle",NA,NA,NA,NA,1.4,0.57,NA,NA,c5,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser oxyrinchus,0.988,NA,freshbrackmarine
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,elongated,bathydemersal,3500,210,bc150,Finfish,Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,Giant grenadier,NA,"Giant grenadier, wild, fillets, raw","USA, Alaska, Kodiak",NA,NA,NA,0.0186760006297002,0.0336614355988497,NA,0.21,NA,fi30,muscle,0900150,r,Giant grenadier,Apr 2002,NA,FAME converted using ShF and XFA,2005,bc150,NA,NA,NA,NA,NA,NA,NA,Albatrossia pectoralis,0.988,NA,marine
Alosa alosa,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,temperate,fusiform / normal,pelagic-neritic,300,69,bc271,Finfish,Alosa alosa,Alosa alosa,Alosa alosa,Allis shad,NA,"Shad (marine water), raw, wild, edible part, raw","Turkey, Black Sea",NA,NA,NA,0.670366968,1.859680295,22.42,15.91,NA,fi57,muscle_organs,0900290,r,Allis shad,fall 1995-spring 1996,NA,FA converted using XFA,1998,bc271,NA,NA,NA,NA,NA,NA,NA,Alosa alosa,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c10,Finfish,Alosa pseudoharengus,NA,NA,Alewife,muscle,"Alewife, muscle",NA,NA,NA,NA,0.1,0.27,NA,3.49,c10,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c11,Finfish,Alosa pseudoharengus,NA,NA,Alewife,muscle,"Alewife, muscle",NA,NA,NA,NA,0.1,0.27,NA,NA,c11,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c12,Finfish,Alosa pseudoharengus,NA,NA,Alewife,muscle,"Alewife, muscle",NA,NA,NA,NA,NA,NA,17.3,6.8,c12,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c13,Finfish,Alosa pseudoharengus,NA,NA,Alewife,whole,"Alewife, whole",NA,NA,NA,NA,NA,NA,14,11.6,c13,27,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c14,Finfish,Alosa pseudoharengus,NA,NA,Alewife,offal,"Alewife, offal",NA,NA,NA,NA,NA,NA,15.6,10.1,c14,27,viscera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa pseudoharengus,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,c15,Finfish,Alosa pseudoharengus,NA,NA,Alewife,eggs,"Alewife, eggs",NA,NA,NA,NA,NA,NA,16,7.9,c15,27,eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa pseudoharengus,0.988,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,c18,Finfish,Alosa sapidissima,NA,NA,American Shad,muscle,"American Shad, muscle",NA,NA,0.7,NA,NA,NA,18,11.2,c18,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,0.988,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,c20,Finfish,Alosa sapidissima,NA,NA,American Shad,offal,"American Shad, offal",NA,NA,NA,NA,NA,NA,16.7,16.3,c20,27,viscera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,0.988,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,bc822,Finfish,Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,American shad,NA,"American shad, wild, fillet, raw","USA, OR, Northeast Pacific, Seaside",14.4,0.9444,0.3792,NA,NA,NA,NA,NA,fi125,muscle,0900841,r,American shad,NA,NA,NA,1984,bc822,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,0.988,NA,freshbrackmarine
Alosa sapidissima,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,subtropical,fusiform / normal,pelagic-neritic,250,76,af593,Finfish,Alosa sapidissima,Alosa sapidissima,Alosa sapidissima,American shad,muscle,"American shad, skinless fillet, raw","USA, Oregon/Washington/Alaska",NA,NA,NA,NA,NA,18.8,7.9,NA,fi195,muscle_skinless,0901897,r,American shad,NA,NA,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,Alosa sapidissima,0.988,NA,freshbrackmarine
Ameiurus nebulosus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,subtropical,fusiform / normal,demersal,40,55,c25,Finfish,Ameiurus nebulosus,NA,NA,Brown Bullhead,muscle,"Brown Bullhead, muscle",NA,12,0.653,0.403,NA,NA,15.8,1.49,c25,44,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ameiurus nebulosus,0.988,NA,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,c27,Finfish,Amia calva,NA,NA,Bowfin,muscle,"Bowfin, muscle",NA,NA,NA,NA,NA,NA,20.1,1.4,c27,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amia calva,0.988,NA,fresh
Amia calva,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,subtropical,elongated,demersal,NA,109,c28,Finfish,Amia calva,NA,NA,Bowfin,whole,"Bowfin, whole",NA,NA,NA,NA,NA,NA,15.5,1.5,c28,27,whole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amia calva,0.988,NA,fresh
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1217,Finfish,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,NA,"Wolf-fish, wild, fillet, raw","Iceland, North Atlantic",6.8,0.15,0.78,NA,NA,16.2,0.9,NA,im11,muscle,0901256,r,Atlantic wolffish,NA,data entered without mean/max/SD,NA,2011,bc1217,NA,NA,NA,NA,NA,NA,NA,Anarhichas lupus,0.988,NA,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1243,Finfish,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,NA,"Wolf-fish, wild, fillet, raw","Iceland, North Atlantic",NA,NA,NA,0.131686107491998,0.163997286827422,NA,1.5,NA,im11,muscle,0901282,r,Atlantic wolffish,NA,NA,FAME converted using ShF and XFA,2011,bc1243,NA,NA,NA,NA,NA,NA,NA,Anarhichas lupus,0.988,NA,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1244,Finfish,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,NA,"Wolf-fish, wild, fillet, raw","Iceland, North Atlantic",NA,NA,NA,0.181546445514566,0.102133560137639,NA,1.3,NA,im11,muscle,0901283,r,Atlantic wolffish,NA,NA,FAME converted using ShF and XFA,2011,bc1244,NA,NA,NA,NA,NA,NA,NA,Anarhichas lupus,0.988,NA,marine
Anarhichas lupus,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,temperate,elongated,demersal,600,150,bc1245,Finfish,Anarhichas lupus,Anarhichas lupus,Anarhichas lupus,Atlantic wolffish,NA,"Wolf-fish, wild, fillet, raw","Iceland, North Atlantic",NA,NA,NA,0.169891252511819,0.179600693439993,NA,2.175,NA,im11,muscle,0901284,r,Atlantic wolffish,NA,NA,FAME converted using ShF and XFA,2011,bc1245,NA,NA,NA,NA,NA,NA,NA,Anarhichas lupus,0.988,NA,marine
Anguilla anguilla,8.833333333333334,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.67,temperate,eel-like,demersal,700,121.5,bc399,Finfish,Anguilla anguilla,Anguilla anguilla,Anquilla anquilla,European eel,NA,"European eel, wild, edible flesh, raw","Greece, Aegean Sea",NA,NA,NA,NA,NA,NA,NA,NA,fi80,muscle,0900418,r,European eel,NA,NA,NA,1995,bc399,NA,NA,NA,NA,NA,NA,NA,Anguilla anguilla,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c38,Finfish,Anguilla rostrata,NA,NA,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,0.3,0.66,NA,NA,c38,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c42,Finfish,Anguilla rostrata,NA,NA,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,0.3,0.66,NA,14.2,c42,55,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c45,Finfish,Anguilla rostrata,NA,NA,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,NA,NA,NA,NA,c45,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c46,Finfish,Anguilla rostrata,NA,NA,American Eel,muscle,"American Eel, muscle",NA,NA,NA,NA,NA,NA,NA,NA,c46,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,c47,Finfish,Anguilla rostrata,NA,NA,American Eel,muscle,"American Eel, muscle",NA,56,NA,0.615,NA,NA,18.2,13.3,c47,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anguilla rostrata,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.62,subtropical,eel-like,demersal,464,152,bc91,Finfish,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,American eel,muscle,"American eel, wild, skinless muscle tissue, raw","USA, NC, Neuse River",NA,NA,NA,0.0856776,0.1595376,19.1,3.4,NA,fi21,muscle_skinless,0900091,r,American eel,July,"mean body length and weight: 43cm, 166.2g",PROT- (analyzed accrding to AOAC 1975); FA converted using XFA,1981,bc91,NA,NA,NA,NA,NA,NA,NA,Anguilla rostrata,0.988,NA,freshbrackmarine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c51,Finfish,Anoplopoma fimbria,NA,NA,Sablefish,muscle,"Sablefish, muscle",NA,NA,NA,NA,0.35,0.42,NA,5.7,c51,25,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,0.988,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c52,Finfish,Anoplopoma fimbria,NA,NA,Sablefish,muscle,"Sablefish, muscle",NA,35,1.2,NA,NA,NA,12.9,15.2,c52,27,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,0.988,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,c53,Finfish,Anoplopoma fimbria,NA,NA,Sablefish,offal,"Sablefish, offal",NA,NA,NA,NA,NA,NA,12.9,14.7,c53,27,viscera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,0.988,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,bc196,Finfish,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,muscle,"Sablefish, wild, boneless, skinless fillet, raw","USA, off the OR coast, Pacific Ocean",NA,NA,NA,0.35,0.42,NA,5.7,NA,fi36,muscle_skinless,0900196,r,Sablefish,Sep 1987,NA,CHOLE-: colorimetric method using ferric chloride (Sweeney and Weihrauch 1976),1991,bc196,NA,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,0.988,NA,marine
Anoplopoma fimbria,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,af587,Finfish,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,muscle,"Sablefish, skinless fillet, raw","USA, SE Alaska/Washington/Oregon",NA,NA,NA,NA,NA,13.8,15.1,NA,fi195,muscle_skinless,0901891,r,Sablefish,NA,NA,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,0.988,NA,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc112,Finfish,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,muscle,"Black scabbardfish, wild, skinless fillets, raw","Portugal, caught off Sesimbra",11.9,NA,0.27,0.0424763,0.12370675,16.9,2.5,NA,fi25,muscle_skinless,0900112,r,Black scabbardfish,Jan 2007-Jan 2008,NA,FA converted using XFA,2009,bc112,NA,NA,NA,NA,NA,NA,NA,Aphanopus carbo,0.988,NA,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc113,Finfish,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,NA,"Black scabbardfish, wild, skin-on fillets, raw","Portugal, caught off Sesimbra",NA,NA,NA,NA,NA,16.1,6.7,NA,fi25,muscle,0900113,r,Black scabbardfish,Jan 2007-Jan 2008,NA,NA,2009,bc113,NA,NA,NA,NA,NA,NA,NA,Aphanopus carbo,0.988,NA,marine
Aphanopus carbo,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.48,deep-water,eel-like,bathypelagic,2300,151,bc114,Finfish,Aphanopus carbo,Aphanopus carbo,Aphanopus carbo,Black scabbardfish,muscle,"Black scabbardfish, wild, skinless fillets, raw","Portugal, caught off Sesimbra",14,0.1,0.5,0.0479,0.1395,15.7,2.8,NA,fi25,muscle_skinless,0900114,r,Black scabbardfish,Jan 2007-Jan 2008,NA,NA,2009,bc114,NA,NA,NA,NA,NA,NA,NA,Aphanopus carbo,0.988,NA,marine
Arnoglossus laterna,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.490000009536743,subtropical,fusiform / normal,demersal,200,25,bc416,Finfish,Arnoglossus laterna,Arnoglossus laterna,Arnoglossus laterna,Mediterranean scaldfish,NA,"Scald fish, wild, edible flesh, raw","Greece, Aegean Sea",NA,NA,NA,NA,NA,NA,NA,NA,fi80,muscle,0900435,r,Mediterranean scaldfish,NA,NA,NA,1995,bc416,NA,NA,NA,NA,NA,NA,NA,Arnoglossus laterna,0.988,NA,marine
Arripis trutta,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.7,subtropical,fusiform / normal,pelagic-neritic,39,89,bc204,Finfish,Arripis trutta,Arripis trutta,Arripis trutta,Australian salmon,muscle,"Kahawai, wild, skinless fillet, frozen",New Zealand,NA,NA,NA,NA,NA,21.2,8.6,NA,fi42,muscle_skinless,0900204,r,Australian salmon,Feb 1984,"mean length and weight of fish: 48cm, 1775g",NA,1985,bc204,NA,NA,NA,NA,NA,NA,NA,Arripis trutta,0.988,NA,brackmarine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,bc151,Finfish,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Arrow-tooth flounder,NA,"Arrow-tooth flounder, wild, fillets, raw","USA, Alaska, Kodiak",NA,NA,NA,0.393730288363867,0.237639133999212,NA,3.51,NA,fi30,muscle,0900151,r,Arrow-tooth flounder,Apr 2002,NA,FAME converted using ShF and XFA,2005,bc151,NA,NA,NA,NA,NA,NA,NA,Atheresthes stomias,0.988,NA,marine
Atheresthes stomias,5.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,polar,short and / or deep,demersal,950,84,af561,Finfish,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Arrow-tooth flounder,muscle,"Arrowtooth flounder, skinless muscle flesh, raw","USA, SE Alaska/Washington/Oregon",NA,NA,NA,NA,NA,17.7,2.3,NA,fi195,muscle_skinless,0901865,r,Arrow-tooth flounder,NA,NA,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,Atheresthes stomias,0.988,NA,marine
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,bc778,Finfish,Atherina boyeri,Atherina boyeri,Atherina boyeri,Big-scale sand smelt,NA,"Big-scale sand smelt, wild, whole, raw","Tunisia, Bizerta Sea",NA,NA,NA,0.34639424,0.47727936,19.41,6.2,NA,fi121,whole,0900797,r,Big-scale sand smelt,Sep 2007,"mean length and weight of fish: 8.18cm, 4.82g; FA as % of FACID, FACID calculated using CF; AA as mg/g protein",FA converted using XFA,2010,bc778,NA,NA,NA,NA,NA,NA,NA,Atherina boyeri,0.988,NA,freshbrackmarine
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,bc987,Finfish,Auxis rochei,Auxis rochei,Auxis rochei,Bullet tuna,NA,"Bullet tuna, wild, dorsal muscle, raw","Japan, Pacific Ocean (sea off)",NA,NA,NA,0.325155,0.8584092,NA,4.8,NA,fi160,muscle,0901006,r,Bullet tuna,"May 1992, 1994","mean length and weight of fish: 32.1cm, 685.5g",FAT- (no method for lipid extraction given); FA converted using XFA; FA tr: <0.3% of FACID,1996,bc987,NA,NA,NA,NA,NA,NA,NA,Auxis rochei,0.988,NA,brackmarine
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,bc988,Finfish,Auxis rochei,Auxis rochei,Auxis rochei,Bullet tuna,NA,"Bullet tuna, wild, ventral muscle, raw","Japan, Pacific Ocean (sea off)",NA,NA,NA,1.5807742,3.6417836,NA,21.6,NA,fi160,muscle,0901007,r,Bullet tuna,"May 1992, 1994","mean length and weight of fish: 32.1cm, 685.5g",FAT- (no method for lipid extraction given); FA converted using XFA; FA tr: <0.3% of FACID,1996,bc988,NA,NA,NA,NA,NA,NA,NA,Auxis rochei,0.988,NA,brackmarine
