threshold1,number_of_targets,number_of_species,threshold
0.26,5.0,93.0,26
0.26,5.0,94.0,26
0.26,5.0,95.0,26
0.26,5.0,96.0,26
0.26,5.0,97.0,26
0.26,5.0,98.0,26
0.26,5.0,99.0,26
0.26,5.0,100.0,26
0.26,5.0,101.0,26
0.26,5.0,102.0,26
0.26,5.0,103.0,26
0.26,5.0,104.0,26
0.26,5.0,105.0,26
0.26,5.0,106.0,26
0.26,5.0,107.0,26
0.26,5.0,108.0,26
0.27,1.04,1.0,27
0.27,1.73,2.0,27
0.27,2.42,3.0,27
0.27,3.0,4.0,27
0.27,3.31,5.0,27
0.27,3.64,6.0,27
0.27,3.93,7.0,27
0.27,4.07,8.0,27
0.27,4.35,9.0,27
0.27,4.49,10.0,27
0.27,4.6,11.0,27
0.27,4.68,12.0,27
0.27,4.75,13.0,27
0.27,4.83,14.0,27
0.27,4.86,15.0,27
0.27,4.87,16.0,27
0.27,4.88,17.0,27
0.27,4.89,18.0,27
0.27,4.9,19.0,27
0.27,4.92,20.0,27
0.27,4.93,21.0,27
0.27,4.94,22.0,27
0.27,4.96,23.0,27
0.27,4.96,24.0,27
0.27,4.97,25.0,27
0.27,4.98,26.0,27
0.27,4.98,27.0,27
0.27,4.98,28.0,27
0.27,4.98,29.0,27
0.27,4.98,30.0,27
0.27,4.98,31.0,27
0.27,4.98,32.0,27
0.27,4.98,33.0,27
0.27,4.98,34.0,27
0.27,4.98,35.0,27
0.27,4.99,36.0,27
0.27,4.99,37.0,27
0.27,5.0,38.0,27
0.27,5.0,39.0,27
0.27,5.0,40.0,27
0.27,5.0,41.0,27
0.27,5.0,42.0,27
0.27,5.0,43.0,27
0.27,5.0,44.0,27
0.27,5.0,45.0,27
0.27,5.0,46.0,27
0.27,5.0,47.0,27
0.27,5.0,48.0,27
0.27,5.0,49.0,27
0.27,5.0,50.0,27
0.27,5.0,51.0,27
0.27,5.0,52.0,27
0.27,5.0,53.0,27
0.27,5.0,54.0,27
0.27,5.0,55.0,27
0.27,5.0,56.0,27
0.27,5.0,57.0,27
0.27,5.0,58.0,27
0.27,5.0,59.0,27
0.27,5.0,60.0,27
0.27,5.0,61.0,27
0.27,5.0,62.0,27
0.27,5.0,63.0,27
0.27,5.0,64.0,27
0.27,5.0,65.0,27
0.27,5.0,66.0,27
0.27,5.0,67.0,27
0.27,5.0,68.0,27
0.27,5.0,69.0,27
0.27,5.0,70.0,27
0.27,5.0,71.0,27
0.27,5.0,72.0,27
0.27,5.0,73.0,27
0.27,5.0,74.0,27
0.27,5.0,75.0,27
0.27,5.0,76.0,27
0.27,5.0,77.0,27
0.27,5.0,78.0,27
0.27,5.0,79.0,27
0.27,5.0,80.0,27
0.27,5.0,81.0,27
0.27,5.0,82.0,27
0.27,5.0,83.0,27
0.27,5.0,84.0,27
0.27,5.0,85.0,27
0.27,5.0,86.0,27
0.27,5.0,87.0,27
0.27,5.0,88.0,27
0.27,5.0,89.0,27
0.27,5.0,90.0,27
0.27,5.0,91.0,27
0.27,5.0,92.0,27
0.27,5.0,93.0,27
0.27,5.0,94.0,27
0.27,5.0,95.0,27
0.27,5.0,96.0,27
0.27,5.0,97.0,27
0.27,5.0,98.0,27
0.27,5.0,99.0,27
0.27,5.0,100.0,27
0.27,5.0,101.0,27
0.27,5.0,102.0,27
0.27,5.0,103.0,27
0.27,5.0,104.0,27
0.27,5.0,105.0,27
0.27,5.0,106.0,27
0.27,5.0,107.0,27
0.27,5.0,108.0,27
0.28,1.2,1.0,28
0.28,2.05,2.0,28
0.28,2.81,3.0,28
0.28,3.24,4.0,28
0.28,3.61,5.0,28
0.28,3.84,6.0,28
0.28,4.12,7.0,28
0.28,4.31,8.0,28
0.28,4.43,9.0,28
0.28,4.52,10.0,28
0.28,4.63,11.0,28
0.28,4.67,12.0,28
0.28,4.76,13.0,28
0.28,4.81,14.0,28
0.28,4.85,15.0,28
0.28,4.89,16.0,28
0.28,4.93,17.0,28
0.28,4.94,18.0,28
0.28,4.95,19.0,28
0.28,4.97,20.0,28
0.28,4.98,21.0,28
0.28,4.98,22.0,28
0.28,5.0,23.0,28
0.28,5.0,24.0,28
0.28,5.0,25.0,28
0.28,5.0,26.0,28
0.28,5.0,27.0,28
0.28,5.0,28.0,28
0.28,5.0,29.0,28
0.28,5.0,30.0,28
0.28,5.0,31.0,28
0.28,5.0,32.0,28
0.28,5.0,33.0,28
0.28,5.0,34.0,28
0.28,5.0,35.0,28
0.28,5.0,36.0,28
0.28,5.0,37.0,28
0.28,5.0,38.0,28
0.28,5.0,39.0,28
0.28,5.0,40.0,28
0.28,5.0,41.0,28
0.28,5.0,42.0,28
0.28,5.0,43.0,28
0.28,5.0,44.0,28
0.28,5.0,45.0,28
0.28,5.0,46.0,28
0.28,5.0,47.0,28
0.28,5.0,48.0,28
0.28,5.0,49.0,28
0.28,5.0,50.0,28
0.28,5.0,51.0,28
0.28,5.0,52.0,28
0.28,5.0,53.0,28
0.28,5.0,54.0,28
0.28,5.0,55.0,28
0.28,5.0,56.0,28
0.28,5.0,57.0,28
0.28,5.0,58.0,28
0.28,5.0,59.0,28
0.28,5.0,60.0,28
0.28,5.0,61.0,28
0.28,5.0,62.0,28
0.28,5.0,63.0,28
0.28,5.0,64.0,28
0.28,5.0,65.0,28
0.28,5.0,66.0,28
0.28,5.0,67.0,28
0.28,5.0,68.0,28
0.28,5.0,69.0,28
0.28,5.0,70.0,28
0.28,5.0,71.0,28
0.28,5.0,72.0,28
0.28,5.0,73.0,28
0.28,5.0,74.0,28
0.28,5.0,75.0,28
0.28,5.0,76.0,28
0.28,5.0,77.0,28
0.28,5.0,78.0,28
0.28,5.0,79.0,28
0.28,5.0,80.0,28
0.28,5.0,81.0,28
0.28,5.0,82.0,28
0.28,5.0,83.0,28
0.28,5.0,84.0,28
0.28,5.0,85.0,28
0.28,5.0,86.0,28
0.28,5.0,87.0,28
0.28,5.0,88.0,28
0.28,5.0,89.0,28
0.28,5.0,90.0,28
0.28,5.0,91.0,28
0.28,5.0,92.0,28
0.28,5.0,93.0,28
0.28,5.0,94.0,28
0.28,5.0,95.0,28
0.28,5.0,96.0,28
0.28,5.0,97.0,28
0.28,5.0,98.0,28
0.28,5.0,99.0,28
0.28,5.0,100.0,28
0.28,5.0,101.0,28
0.28,5.0,102.0,28
0.28,5.0,103.0,28
0.28,5.0,104.0,28
0.28,5.0,105.0,28
0.28,5.0,106.0,28
0.28,5.0,107.0,28
0.28,5.0,108.0,28
0.29,1.2,1.0,29
0.29,1.94,2.0,29
0.29,2.51,3.0,29
0.29,2.91,4.0,29
0.29,3.38,5.0,29
0.29,3.71,6.0,29
0.29,4.0,7.0,29
0.29,4.19,8.0,29
0.29,4.34,9.0,29
0.29,4.47,10.0,29
0.29,4.56,11.0,29
0.29,4.62,12.0,29
0.29,4.68,13.0,29
0.29,4.75,14.0,29
0.29,4.81,15.0,29
0.29,4.82,16.0,29
0.29,4.84,17.0,29
0.29,4.85,18.0,29
0.29,4.9,19.0,29
0.29,4.92,20.0,29
0.29,4.92,21.0,29
0.29,4.94,22.0,29
0.29,4.95,23.0,29
0.29,4.97,24.0,29
0.29,4.97,25.0,29
0.29,4.97,26.0,29
0.29,4.97,27.0,29
0.29,4.97,28.0,29
0.29,4.98,29.0,29
0.29,4.98,30.0,29
0.29,4.98,31.0,29
0.29,4.99,32.0,29
0.29,4.99,33.0,29
0.29,4.99,34.0,29
0.29,4.99,35.0,29
0.29,4.99,36.0,29
0.29,4.99,37.0,29
0.29,4.99,38.0,29
0.29,4.99,39.0,29
0.29,4.99,40.0,29
0.29,4.99,41.0,29
0.29,4.99,42.0,29
0.29,5.0,43.0,29
0.29,5.0,44.0,29
0.29,5.0,45.0,29
0.29,5.0,46.0,29
0.29,5.0,47.0,29
0.29,5.0,48.0,29
0.29,5.0,49.0,29
0.29,5.0,50.0,29
0.29,5.0,51.0,29
0.29,5.0,52.0,29
0.29,5.0,53.0,29
0.29,5.0,54.0,29
0.29,5.0,55.0,29
0.29,5.0,56.0,29
0.29,5.0,57.0,29
0.29,5.0,58.0,29
0.29,5.0,59.0,29
0.29,5.0,60.0,29
0.29,5.0,61.0,29
0.29,5.0,62.0,29
0.29,5.0,63.0,29
0.29,5.0,64.0,29
0.29,5.0,65.0,29
0.29,5.0,66.0,29
0.29,5.0,67.0,29
0.29,5.0,68.0,29
0.29,5.0,69.0,29
0.29,5.0,70.0,29
0.29,5.0,71.0,29
0.29,5.0,72.0,29
0.29,5.0,73.0,29
0.29,5.0,74.0,29
0.29,5.0,75.0,29
0.29,5.0,76.0,29
0.29,5.0,77.0,29
0.29,5.0,78.0,29
0.29,5.0,79.0,29
0.29,5.0,80.0,29
0.29,5.0,81.0,29
0.29,5.0,82.0,29
0.29,5.0,83.0,29
0.29,5.0,84.0,29
0.29,5.0,85.0,29
0.29,5.0,86.0,29
0.29,5.0,87.0,29
0.29,5.0,88.0,29
0.29,5.0,89.0,29
0.29,5.0,90.0,29
0.29,5.0,91.0,29
0.29,5.0,92.0,29
0.29,5.0,93.0,29
0.29,5.0,94.0,29
0.29,5.0,95.0,29
0.29,5.0,96.0,29
0.29,5.0,97.0,29
0.29,5.0,98.0,29
0.29,5.0,99.0,29
0.29,5.0,100.0,29
0.29,5.0,101.0,29
0.29,5.0,102.0,29
0.29,5.0,103.0,29
0.29,5.0,104.0,29
0.29,5.0,105.0,29
0.29,5.0,106.0,29
0.29,5.0,107.0,29
0.29,5.0,108.0,29
0.3,1.09,1.0,30
0.3,1.8,2.0,30
0.3,2.32,3.0,30
0.3,2.82,4.0,30
0.3,3.12,5.0,30
0.3,3.5,6.0,30
0.3,3.69,7.0,30
0.3,3.88,8.0,30
0.3,4.08,9.0,30
0.3,4.28,10.0,30
0.3,4.51,11.0,30
0.3,4.58,12.0,30
0.3,4.68,13.0,30
0.3,4.71,14.0,30
0.3,4.77,15.0,30
0.3,4.84,16.0,30
0.3,4.85,17.0,30
0.3,4.87,18.0,30
0.3,4.89,19.0,30
0.3,4.91,20.0,30
0.3,4.93,21.0,30
0.3,4.94,22.0,30
0.3,4.94,23.0,30
0.3,4.94,24.0,30
0.3,4.94,25.0,30
0.3,4.96,26.0,30
0.3,4.96,27.0,30
0.3,4.98,28.0,30
0.3,4.99,29.0,30
0.3,5.0,30.0,30
0.3,5.0,31.0,30
0.3,5.0,32.0,30
0.3,5.0,33.0,30
0.3,5.0,34.0,30
0.3,5.0,35.0,30
0.3,5.0,36.0,30
0.3,5.0,37.0,30
0.3,5.0,38.0,30
0.3,5.0,39.0,30
0.3,5.0,40.0,30
0.3,5.0,41.0,30
0.3,5.0,42.0,30
0.3,5.0,43.0,30
0.3,5.0,44.0,30
0.3,5.0,45.0,30
0.3,5.0,46.0,30
0.3,5.0,47.0,30
0.3,5.0,48.0,30
0.3,5.0,49.0,30
0.3,5.0,50.0,30
0.3,5.0,51.0,30
0.3,5.0,52.0,30
0.3,5.0,53.0,30
0.3,5.0,54.0,30
0.3,5.0,55.0,30
0.3,5.0,56.0,30
0.3,5.0,57.0,30
0.3,5.0,58.0,30
0.3,5.0,59.0,30
0.3,5.0,60.0,30
0.3,5.0,61.0,30
0.3,5.0,62.0,30
0.3,5.0,63.0,30
0.3,5.0,64.0,30
0.3,5.0,65.0,30
0.3,5.0,66.0,30
0.3,5.0,67.0,30
0.3,5.0,68.0,30
0.3,5.0,69.0,30
0.3,5.0,70.0,30
0.3,5.0,71.0,30
0.3,5.0,72.0,30
0.3,5.0,73.0,30
0.3,5.0,74.0,30
0.3,5.0,75.0,30
0.3,5.0,76.0,30
0.3,5.0,77.0,30
0.3,5.0,78.0,30
0.3,5.0,79.0,30
0.3,5.0,80.0,30
0.3,5.0,81.0,30
0.3,5.0,82.0,30
0.3,5.0,83.0,30
0.3,5.0,84.0,30
0.3,5.0,85.0,30
0.3,5.0,86.0,30
0.3,5.0,87.0,30
0.3,5.0,88.0,30
0.3,5.0,89.0,30
0.3,5.0,90.0,30
0.3,5.0,91.0,30
0.3,5.0,92.0,30
0.3,5.0,93.0,30
0.3,5.0,94.0,30
0.3,5.0,95.0,30
0.3,5.0,96.0,30
0.3,5.0,97.0,30
0.3,5.0,98.0,30
0.3,5.0,99.0,30
0.3,5.0,100.0,30
0.3,5.0,101.0,30
0.3,5.0,102.0,30
0.3,5.0,103.0,30
0.3,5.0,104.0,30
0.3,5.0,105.0,30
0.3,5.0,106.0,30
0.3,5.0,107.0,30
0.3,5.0,108.0,30
0.31,0.9,1.0,31
0.31,1.59,2.0,31
0.31,2.39,3.0,31
0.31,2.98,4.0,31
0.31,3.23,5.0,31
0.31,3.44,6.0,31
0.31,3.78,7.0,31
0.31,4.02,8.0,31
0.31,4.14,9.0,31
0.31,4.27,10.0,31
0.31,4.37,11.0,31
0.31,4.44,12.0,31
0.31,4.54,13.0,31
0.31,4.62,14.0,31
0.31,4.65,15.0,31
0.31,4.67,16.0,31
0.31,4.73,17.0,31
0.31,4.76,18.0,31
0.31,4.78,19.0,31
0.31,4.83,20.0,31
0.31,4.87,21.0,31
0.31,4.89,22.0,31
0.31,4.93,23.0,31
0.31,4.95,24.0,31
0.31,4.97,25.0,31
0.31,4.98,26.0,31
0.31,4.98,27.0,31
0.31,4.98,28.0,31
0.31,4.99,29.0,31
0.31,4.99,30.0,31
0.31,4.99,31.0,31
0.31,5.0,32.0,31
0.31,5.0,33.0,31
0.31,5.0,34.0,31
0.31,5.0,35.0,31
0.31,5.0,36.0,31
0.31,5.0,37.0,31
0.31,5.0,38.0,31
0.31,5.0,39.0,31
0.31,5.0,40.0,31
0.31,5.0,41.0,31
0.31,5.0,42.0,31
0.31,5.0,43.0,31
0.31,5.0,44.0,31
0.31,5.0,45.0,31
0.31,5.0,46.0,31
0.31,5.0,47.0,31
0.31,5.0,48.0,31
0.31,5.0,49.0,31
0.31,5.0,50.0,31
0.31,5.0,51.0,31
0.31,5.0,52.0,31
0.31,5.0,53.0,31
0.31,5.0,54.0,31
0.31,5.0,55.0,31
0.31,5.0,56.0,31
0.31,5.0,57.0,31
0.31,5.0,58.0,31
0.31,5.0,59.0,31
0.31,5.0,60.0,31
0.31,5.0,61.0,31
0.31,5.0,62.0,31
0.31,5.0,63.0,31
0.31,5.0,64.0,31
0.31,5.0,65.0,31
0.31,5.0,66.0,31
0.31,5.0,67.0,31
0.31,5.0,68.0,31
0.31,5.0,69.0,31
0.31,5.0,70.0,31
0.31,5.0,71.0,31
0.31,5.0,72.0,31
0.31,5.0,73.0,31
0.31,5.0,74.0,31
0.31,5.0,75.0,31
0.31,5.0,76.0,31
0.31,5.0,77.0,31
0.31,5.0,78.0,31
0.31,5.0,79.0,31
0.31,5.0,80.0,31
0.31,5.0,81.0,31
0.31,5.0,82.0,31
0.31,5.0,83.0,31
0.31,5.0,84.0,31
0.31,5.0,85.0,31
0.31,5.0,86.0,31
0.31,5.0,87.0,31
0.31,5.0,88.0,31
0.31,5.0,89.0,31
0.31,5.0,90.0,31
0.31,5.0,91.0,31
0.31,5.0,92.0,31
0.31,5.0,93.0,31
0.31,5.0,94.0,31
0.31,5.0,95.0,31
0.31,5.0,96.0,31
0.31,5.0,97.0,31
0.31,5.0,98.0,31
0.31,5.0,99.0,31
0.31,5.0,100.0,31
0.31,5.0,101.0,31
0.31,5.0,102.0,31
0.31,5.0,103.0,31
0.31,5.0,104.0,31
0.31,5.0,105.0,31
0.31,5.0,106.0,31
0.31,5.0,107.0,31
0.31,5.0,108.0,31
0.32,1.22,1.0,32
0.32,1.95,2.0,32
0.32,2.6,3.0,32
0.32,3.07,4.0,32
0.32,3.35,5.0,32
0.32,3.61,6.0,32
0.32,3.89,7.0,32
0.32,3.98,8.0,32
0.32,4.11,9.0,32
0.32,4.27,10.0,32
0.32,4.34,11.0,32
0.32,4.46,12.0,32
0.32,4.52,13.0,32
0.32,4.59,14.0,32
0.32,4.65,15.0,32
0.32,4.76,16.0,32
0.32,4.79,17.0,32
0.32,4.82,18.0,32
0.32,4.85,19.0,32
0.32,4.86,20.0,32
0.32,4.9,21.0,32
0.32,4.94,22.0,32
0.32,4.94,23.0,32
0.32,4.96,24.0,32
0.32,4.97,25.0,32
0.32,4.97,26.0,32
0.32,4.99,27.0,32
0.32,4.99,28.0,32
0.32,5.0,29.0,32
0.32,5.0,30.0,32
0.32,5.0,31.0,32
0.32,5.0,32.0,32
0.32,5.0,33.0,32
0.32,5.0,34.0,32
0.32,5.0,35.0,32
0.32,5.0,36.0,32
0.32,5.0,37.0,32
0.32,5.0,38.0,32
0.32,5.0,39.0,32
0.32,5.0,40.0,32
0.32,5.0,41.0,32
0.32,5.0,42.0,32
0.32,5.0,43.0,32
0.32,5.0,44.0,32
0.32,5.0,45.0,32
0.32,5.0,46.0,32
0.32,5.0,47.0,32
0.32,5.0,48.0,32
0.32,5.0,49.0,32
0.32,5.0,50.0,32
0.32,5.0,51.0,32
0.32,5.0,52.0,32
0.32,5.0,53.0,32
0.32,5.0,54.0,32
0.32,5.0,55.0,32
0.32,5.0,56.0,32
0.32,5.0,57.0,32
0.32,5.0,58.0,32
0.32,5.0,59.0,32
0.32,5.0,60.0,32
0.32,5.0,61.0,32
0.32,5.0,62.0,32
0.32,5.0,63.0,32
0.32,5.0,64.0,32
0.32,5.0,65.0,32
0.32,5.0,66.0,32
0.32,5.0,67.0,32
0.32,5.0,68.0,32
0.32,5.0,69.0,32
0.32,5.0,70.0,32
0.32,5.0,71.0,32
0.32,5.0,72.0,32
0.32,5.0,73.0,32
0.32,5.0,74.0,32
0.32,5.0,75.0,32
0.32,5.0,76.0,32
0.32,5.0,77.0,32
0.32,5.0,78.0,32
0.32,5.0,79.0,32
0.32,5.0,80.0,32
0.32,5.0,81.0,32
0.32,5.0,82.0,32
0.32,5.0,83.0,32
0.32,5.0,84.0,32
0.32,5.0,85.0,32
0.32,5.0,86.0,32
0.32,5.0,87.0,32
0.32,5.0,88.0,32
0.32,5.0,89.0,32
0.32,5.0,90.0,32
0.32,5.0,91.0,32
0.32,5.0,92.0,32
0.32,5.0,93.0,32
0.32,5.0,94.0,32
0.32,5.0,95.0,32
0.32,5.0,96.0,32
0.32,5.0,97.0,32
0.32,5.0,98.0,32
0.32,5.0,99.0,32
0.32,5.0,100.0,32
0.32,5.0,101.0,32
0.32,5.0,102.0,32
0.32,5.0,103.0,32
0.32,5.0,104.0,32
0.32,5.0,105.0,32
0.32,5.0,106.0,32
0.32,5.0,107.0,32
0.32,5.0,108.0,32
0.33,0.98,1.0,33
0.33,1.76,2.0,33
0.33,2.41,3.0,33
0.33,2.81,4.0,33
0.33,3.21,5.0,33
0.33,3.47,6.0,33
0.33,3.71,7.0,33
0.33,3.93,8.0,33
0.33,4.02,9.0,33
0.33,4.18,10.0,33
0.33,4.29,11.0,33
0.33,4.37,12.0,33
0.33,4.48,13.0,33
0.33,4.54,14.0,33
0.33,4.61,15.0,33
0.33,4.68,16.0,33
0.33,4.71,17.0,33
0.33,4.84,18.0,33
0.33,4.88,19.0,33
0.33,4.93,20.0,33
0.33,4.97,21.0,33
0.33,4.97,22.0,33
0.33,4.98,23.0,33
0.33,4.98,24.0,33
0.33,4.98,25.0,33
0.33,4.98,26.0,33
0.33,4.98,27.0,33
0.33,4.99,28.0,33
0.33,4.99,29.0,33
0.33,4.99,30.0,33
0.33,5.0,31.0,33
0.33,5.0,32.0,33
0.33,5.0,33.0,33
0.33,5.0,34.0,33
0.33,5.0,35.0,33
0.33,5.0,36.0,33
0.33,5.0,37.0,33
0.33,5.0,38.0,33
0.33,5.0,39.0,33
0.33,5.0,40.0,33
0.33,5.0,41.0,33
0.33,5.0,42.0,33
0.33,5.0,43.0,33
0.33,5.0,44.0,33
0.33,5.0,45.0,33
0.33,5.0,46.0,33
0.33,5.0,47.0,33
0.33,5.0,48.0,33
0.33,5.0,49.0,33
0.33,5.0,50.0,33
0.33,5.0,51.0,33
0.33,5.0,52.0,33
0.33,5.0,53.0,33
0.33,5.0,54.0,33
0.33,5.0,55.0,33
0.33,5.0,56.0,33
0.33,5.0,57.0,33
0.33,5.0,58.0,33
0.33,5.0,59.0,33
0.33,5.0,60.0,33
0.33,5.0,61.0,33
0.33,5.0,62.0,33
0.33,5.0,63.0,33
0.33,5.0,64.0,33
0.33,5.0,65.0,33
0.33,5.0,66.0,33
0.33,5.0,67.0,33
0.33,5.0,68.0,33
0.33,5.0,69.0,33
0.33,5.0,70.0,33
0.33,5.0,71.0,33
0.33,5.0,72.0,33
0.33,5.0,73.0,33
0.33,5.0,74.0,33
0.33,5.0,75.0,33
0.33,5.0,76.0,33
0.33,5.0,77.0,33
0.33,5.0,78.0,33
0.33,5.0,79.0,33
0.33,5.0,80.0,33
0.33,5.0,81.0,33
0.33,5.0,82.0,33
0.33,5.0,83.0,33
0.33,5.0,84.0,33
0.33,5.0,85.0,33
0.33,5.0,86.0,33
0.33,5.0,87.0,33
0.33,5.0,88.0,33
0.33,5.0,89.0,33
0.33,5.0,90.0,33
0.33,5.0,91.0,33
0.33,5.0,92.0,33
0.33,5.0,93.0,33
0.33,5.0,94.0,33
0.33,5.0,95.0,33
0.33,5.0,96.0,33
0.33,5.0,97.0,33
0.33,5.0,98.0,33
0.33,5.0,99.0,33
0.33,5.0,100.0,33
0.33,5.0,101.0,33
0.33,5.0,102.0,33
0.33,5.0,103.0,33
0.33,5.0,104.0,33
0.33,5.0,105.0,33
0.33,5.0,106.0,33
0.33,5.0,107.0,33
0.33,5.0,108.0,33
0.34,1.27,1.0,34
0.34,2.07,2.0,34
0.34,2.63,3.0,34
0.34,3.04,4.0,34
0.34,3.33,5.0,34
0.34,3.65,6.0,34
0.34,3.92,7.0,34
0.34,4.08,8.0,34
0.34,4.22,9.0,34
0.34,4.3,10.0,34
0.34,4.42,11.0,34
0.34,4.51,12.0,34
0.34,4.54,13.0,34
0.34,4.58,14.0,34
0.34,4.68,15.0,34
0.34,4.71,16.0,34
0.34,4.77,17.0,34
0.34,4.79,18.0,34
0.34,4.83,19.0,34
0.34,4.87,20.0,34
0.34,4.89,21.0,34
0.34,4.9,22.0,34
0.34,4.91,23.0,34
0.34,4.91,24.0,34
0.34,4.93,25.0,34
0.34,4.93,26.0,34
0.34,4.93,27.0,34
0.34,4.94,28.0,34
0.34,4.95,29.0,34
0.34,4.95,30.0,34
0.34,4.97,31.0,34
0.34,4.97,32.0,34
0.34,4.99,33.0,34
0.34,4.99,34.0,34
0.34,4.99,35.0,34
0.34,4.99,36.0,34
0.34,4.99,37.0,34
0.34,5.0,38.0,34
0.34,5.0,39.0,34
0.34,5.0,40.0,34
0.34,5.0,41.0,34
0.34,5.0,42.0,34
0.34,5.0,43.0,34
0.34,5.0,44.0,34
0.34,5.0,45.0,34
0.34,5.0,46.0,34
0.34,5.0,47.0,34
0.34,5.0,48.0,34
0.34,5.0,49.0,34
0.34,5.0,50.0,34
0.34,5.0,51.0,34
0.34,5.0,52.0,34
0.34,5.0,53.0,34
0.34,5.0,54.0,34
0.34,5.0,55.0,34
0.34,5.0,56.0,34
0.34,5.0,57.0,34
0.34,5.0,58.0,34
0.34,5.0,59.0,34
0.34,5.0,60.0,34
0.34,5.0,61.0,34
0.34,5.0,62.0,34
0.34,5.0,63.0,34
0.34,5.0,64.0,34
0.34,5.0,65.0,34
0.34,5.0,66.0,34
0.34,5.0,67.0,34
0.34,5.0,68.0,34
0.34,5.0,69.0,34
0.34,5.0,70.0,34
0.34,5.0,71.0,34
0.34,5.0,72.0,34
0.34,5.0,73.0,34
0.34,5.0,74.0,34
0.34,5.0,75.0,34
0.34,5.0,76.0,34
0.34,5.0,77.0,34
0.34,5.0,78.0,34
0.34,5.0,79.0,34
0.34,5.0,80.0,34
0.34,5.0,81.0,34
0.34,5.0,82.0,34
0.34,5.0,83.0,34
0.34,5.0,84.0,34
0.34,5.0,85.0,34
0.34,5.0,86.0,34
0.34,5.0,87.0,34
0.34,5.0,88.0,34
0.34,5.0,89.0,34
0.34,5.0,90.0,34
0.34,5.0,91.0,34
0.34,5.0,92.0,34
0.34,5.0,93.0,34
0.34,5.0,94.0,34
0.34,5.0,95.0,34
0.34,5.0,96.0,34
0.34,5.0,97.0,34
0.34,5.0,98.0,34
0.34,5.0,99.0,34
0.34,5.0,100.0,34
0.34,5.0,101.0,34
0.34,5.0,102.0,34
0.34,5.0,103.0,34
0.34,5.0,104.0,34
0.34,5.0,105.0,34
0.34,5.0,106.0,34
0.34,5.0,107.0,34
0.34,5.0,108.0,34
0.35,0.82,1.0,35
0.35,1.57,2.0,35
0.35,2.19,3.0,35
0.35,2.58,4.0,35
0.35,2.95,5.0,35
0.35,3.3,6.0,35
0.35,3.63,7.0,35
0.35,3.9,8.0,35
0.35,4.02,9.0,35
0.35,4.22,10.0,35
0.35,4.34,11.0,35
0.35,4.43,12.0,35
0.35,4.49,13.0,35
0.35,4.58,14.0,35
0.35,4.61,15.0,35
0.35,4.64,16.0,35
0.35,4.66,17.0,35
0.35,4.72,18.0,35
0.35,4.79,19.0,35
0.35,4.83,20.0,35
0.35,4.87,21.0,35
0.35,4.92,22.0,35
0.35,4.92,23.0,35
0.35,4.92,24.0,35
0.35,4.93,25.0,35
0.35,4.94,26.0,35
0.35,4.96,27.0,35
0.35,4.97,28.0,35
0.35,4.99,29.0,35
0.35,4.99,30.0,35
0.35,4.99,31.0,35
0.35,5.0,32.0,35
0.35,5.0,33.0,35
0.35,5.0,34.0,35
0.35,5.0,35.0,35
0.35,5.0,36.0,35
0.35,5.0,37.0,35
0.35,5.0,38.0,35
0.35,5.0,39.0,35
0.35,5.0,40.0,35
0.35,5.0,41.0,35
0.35,5.0,42.0,35
0.35,5.0,43.0,35
0.35,5.0,44.0,35
0.35,5.0,45.0,35
0.35,5.0,46.0,35
0.35,5.0,47.0,35
0.35,5.0,48.0,35
0.35,5.0,49.0,35
0.35,5.0,50.0,35
0.35,5.0,51.0,35
0.35,5.0,52.0,35
0.35,5.0,53.0,35
0.35,5.0,54.0,35
0.35,5.0,55.0,35
0.35,5.0,56.0,35
0.35,5.0,57.0,35
0.35,5.0,58.0,35
0.35,5.0,59.0,35
0.35,5.0,60.0,35
0.35,5.0,61.0,35
0.35,5.0,62.0,35
0.35,5.0,63.0,35
0.35,5.0,64.0,35
0.35,5.0,65.0,35
0.35,5.0,66.0,35
0.35,5.0,67.0,35
0.35,5.0,68.0,35
0.35,5.0,69.0,35
0.35,5.0,70.0,35
0.35,5.0,71.0,35
0.35,5.0,72.0,35
0.35,5.0,73.0,35
0.35,5.0,74.0,35
0.35,5.0,75.0,35
0.35,5.0,76.0,35
0.35,5.0,77.0,35
0.35,5.0,78.0,35
0.35,5.0,79.0,35
0.35,5.0,80.0,35
0.35,5.0,81.0,35
0.35,5.0,82.0,35
0.35,5.0,83.0,35
0.35,5.0,84.0,35
0.35,5.0,85.0,35
0.35,5.0,86.0,35
0.35,5.0,87.0,35
0.35,5.0,88.0,35
0.35,5.0,89.0,35
0.35,5.0,90.0,35
0.35,5.0,91.0,35
0.35,5.0,92.0,35
0.35,5.0,93.0,35
0.35,5.0,94.0,35
0.35,5.0,95.0,35
0.35,5.0,96.0,35
0.35,5.0,97.0,35
0.35,5.0,98.0,35
0.35,5.0,99.0,35
0.35,5.0,100.0,35
0.35,5.0,101.0,35
0.35,5.0,102.0,35
0.35,5.0,103.0,35
0.35,5.0,104.0,35
0.35,5.0,105.0,35
0.35,5.0,106.0,35
0.35,5.0,107.0,35
0.35,5.0,108.0,35
0.36,0.93,1.0,36
0.36,1.67,2.0,36
0.36,2.36,3.0,36
0.36,2.74,4.0,36
0.36,3.09,5.0,36
0.36,3.32,6.0,36
0.36,3.59,7.0,36
0.36,3.79,8.0,36
0.36,3.9,9.0,36
0.36,4.04,10.0,36
