biblio_id,bibliography
(Burger et al. 2002),"Burger J, Gaines KF, Boring CS, Stephens WL, Snodgrass J, Dixon C, et al. 2002. Metal levels in fish from the Savannah River: Potential hazards to fish and other receptors. Environ Res 89(1):85-97."
(Burger et al. 2007a),"Burger J, Gochfeld M, Shukla T, Jeitner C, Burke S, Donio M, et al. 2007a. Heavy metals in Pacific Cod (Gadus macrocephalus) from the Aleutians: Location, age, size, and risk. J Toxicol Env Health Part A 70(22):1897-1911."
(Burger et al. 2007c),"Burger J, Gochfeld M, Jeitner C, Burke S, Stamm T. 2007c. Metal levels in flathead sole (Hippoglossoides elassodon) and great sculpin (Myoxocephalus polyacanthocephalus) from Adak Island, Alaska: Potential risk to predators and fishermen. Environ Res 103(1):62-69. "
(Burger et al. 2009),"Burger J, Jeitner C, Donio M, Shukla S, Gochfeld M. 2009. Factors Affecting Mercury and Selenium Levels in New Jersey Flatfish: Low Risk to Human Consumers. J Toxicol Env Health Part A 72(14):853-860. "
(Bustamante et al. 2006),"Bustamante P, Lahaye V, Durnez C, Churlaud C, Caurant F. 2006. Total and organic Hg concentrations in cephalopods from the North Eastern Atlantic waters: Influence of geographical origin and feeding ecology. Sci Total Environ 368(2-3):585-596. "
(Cai et al. 2007),"Cai Y, Rooker JR, Gill GA, Turner JP. 2007. Bioaccumulation of mercury in pelagic fishes from the northern Gulf of Mexico. Can J Fish Aquat Sci 64(3):458-469. "
(Caldwell and Buhler 1983),"Caldwell RS, Buhler DR. 1983. Heavy metals in estuarine shellfish from Oregon Arch Environ Contam Toxicol 12(1):15-23. "
(Cappon 1984),Cappon CJ. 1984. Content and chemical form of mercury and selenium in Lake Ontario salmon and trout. J Gt Lakes Res 10(4):429-434. 
(Cross et al. 1973),"Cross FA, Hardy LH, Jones NY, Barber RT. 1973. Relation between Total-Body Weight and Concentrations of Manganese, Iron, Copper, Zinc, and Mercury in White Muscle of Bluefish (Pomatomus saltatrix) and a Bathyl-Demersal Fish Antimora rostrata. Journal of the Fisheries Research Board of Canada 30(9):1287-1291. "
(Cutshall et al. 1978),"Cutshall NH, Naidu JR, Pearcy WG. 1978. Mercury concentrations in pacific hake, Merluccius productus (ayres), as a function of length and latitude. Science 200(4349):1489-1491. "
"(Delaware River Basin Commission, 2011)","Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011]. "
(Dellinger et al. 1996),"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011]. "
(Deshpande et al. 2000),"Deshpande AD, Draxler AFJ, Zdanowicz VS, Schrock ME, Paulson AJ. 2000. Contaminant Levels in Muscle of Four Species of Recreational Fish from the New York Bight Apex. NOAA Technical Memorandum NMFS-NE-157. NMFS-NE-157. Available: http://www.nefsc.noaa.gov/publications/tm/tm157/tm157.pdf [accessed 24 February 2009]. "
(Doyon et al. 1998),"Doyon JF, Schetagne R, Verdon R. 1998. Different mercury bioaccumulation rates between sympatric populations of dwarf and normal lake whitefish (Coregonus clupeaformis) in the La Grande complex watershed, James Bay, Quebec. Biogeochemistry 40(2-3):203-216. "
(Elston et al. 2005),"Elston R, Cake EW, Humphrey K, Isphording WC, Rensel JE. 2005. Dioxin and heavy-metal contamination of shellfish and sediments in St. Louis Bay, Mississippi and adjacent marine waters. J Shellfish Res 24(1):227-241. "
(Ethier et al. 2008),"Ethier ALM, Scheuhammer AM, Bond DE. 2008. Correlates of mercury in fish from lakes near Clyde Forks, Ontario, Canada. Environ Pollut 154(1):89-97. "
(Evans and Crumley 2005),"Evans DW, Crumley PH. 2005. Mercury in Florida Bay fish: Spatial distribution of elevated concentrations and possible linkages to Everglades restoration. Bull Mar Sci 77(3):321-345. "
(Fairey et al. 1997),"Fairey R, Taberski K, Lamerdin S, Johnson E, Clark RP, Downing JW, et al. 1997. Organochlorines and other environmental contaminants in muscle tissues of sportfish collected from San Francisco Bay. Mar Pollut Bull 34(12):1058-1071. "
(Ferreira et al. 2004),"Ferreira AG, Faria VV, de Carvalho CEV, Lessa RPT, da Silva FMS. 2004. Total mercury in the night shark, Carcharhinus signatus in the western equatorial Atlantic Ocean. Braz Arch Biol Technol 47(4):629-634. "
(Fisher et al. 2000),"Fisher WS, Oliver LM, Winstead JT, Long ER. 2000. A survey of oysters Crassostrea virginica from Tampa Bay, Florida: associations of internal defense measurements with contaminant burdens. Aquat Toxicol 51(1):115-138. "
(Freeman and Horne 1973),"Freeman HC, Horne DA. 1973. Sampling edible muscle of swordfish (Xiphias gladius) for total mercury analysis. Journal of the Fisheries Research Board of Canada 30(8):1251-1252. "
(Freeman et al. 1978),"Freeman HC, Shum G, Uthe JF. 1978. Selenium content in swordfish (Xiphias gladius) in relation to total mercury content. J Environ Sci Health Part A-Environ Sci Eng Toxic Hazard Subst Control 13(3):235-240. "
(Garcia and Carignan 2000),"Garcia E, Carignan R. 2000. Mercury concentrations in northern pike (Esox lucius) from boreal lakes with logged, burned, or undisturbed catchments. Can J Fish Aquat Sci 57:129-135. "
(Gerhart 1977),"Gerhart EH. 1977. Concentrations of total mercury in several fishes from Delaware Bay, 1975. Pesticides Monitoring Journal 11(3):132-133. "
(Greenfield and Jahn 2010),"Greenfield BK, Jahn A. 2010. Mercury in San Francisco Bay forage fish. Environ Pollut 158(8):27162724. "
(Hall et al. 1976),"Hall AS, Teeny FM, Lewis LG, Hardman WH, Gauglitz EJ. 1976. Mercury in fish and shellfish of northeast pacific. 1. Pacific Halibut, Hippoglossus stenolepis. Fishery Bulletin 74(4):783-789. "
(Hammerschmidt and Fitzgerald 2006),"Hammerschmidt CR, Fitzgerald WF. 2006. Bioaccumulation and trophic transfer of methylmercury in Long Island Sound. Arch Environ Contam Toxicol 51(3):416-424. "
(Harding et al. 2005),"Harding G, Dalziel J, Vass P. 2005. Prevalence and bioaccumulation of methylmercury in the food web of the Bay of Fundy, Gulf of Maine. In: The Changing Bay of Fundy -Beyond 400 Years Proceedings of the 6th Bay of Fundy Workshop (Percy JA, Evans AJ, Wells PG, Rolston SJ, eds). Cornwalis, Nova Scotia. September 29 -October 2, 2004. Environment Canada, Atlantic Region, 76-77. "
(Hellou et al. 1992b),"Hellou J, Warren WG, Payne JF, Belkhode S, Lobel P. 1992b. Heavy metals and other elements in 3 tissues of cod, Gadus morhua from the northwest. Atlantic Mar Pollut Bull 24(9):452-458. "
(Horwitz et al. 2005),"Horwitz R, Ashley J, Overbeck P, Velinsky D. 2005. Final Report: Routine Monitoring Program for Toxics in Fish. Trenton, NJ. Available: http://www.state.nj.us/dep/dsr/final-reportroutinemonitoing5-05.pdf [accessed 24 October 2007]. "
(Hueter et al. 1995),"Hueter RE, Fong WG, Henderson G, French MF, Manire CA. 1995. Methylmercury concentration in shark muscle by species, size and distribution of sharks in Florida coastal waters. Water Air Soil Pollut 80(1-4):893-899. "
(International Pacific Halibut Commission 2003),International Pacific Halibut Commission. 2003. Methylmercury and Heavy Metal Contaminant Levels in Alaskan Halibut. Available: http://www.iphc.washington.edu/halcom/pubs/rara/2003rara/2k308RARA.pdf [accessed 19 July 2004]. 
(Jackson 1991),"Jackson TA. 1991. Biological and environmental control of mercury accumulation by fish in lakes and reservoirs of Northern Manitoba, Canada. Can J Fish Aquat Sci 48(12):2449-2470. "
(Jackson et al. 2008),"Jackson TA, Whittle DM, Evans MS, Muir DCG. 2008. Evidence for mass-independent and mass-dependent fractionation of the stable isotopes of mercury by natural processes in aquatic ecosystems. Appl Geochem 23(3):547-571. "
(Jaeger et al. 2009),"Jaeger I, Hop H, Gabrielsen GW. 2009. Biomagnification of mercury in selected species from an Arctic marine food web in Svalbard. Sci Total Environ 407(16):4744-4751. "
(Jardine et al. 2009),"Jardine LB, Burt MDB, Arp PA, Diamond AW. 2009. Mercury comparisons between farmed and wild Atlantic salmon (Salmo salar L.) and Atlantic cod (Gadus morhua L.). Aquac Res 40(10):11481159. "
(Kaneko and Ralston 2007),"Kaneko JJ, Ralston NVC. 2007. Selenium and mercury in pelagic fish in the central north pacific near Hawaii. Biol Trace Elem Res 119:242-254. "
(Kannan et al. 1998),"Kannan K, Smith RG, Lee RF, Windom HL, Heitmuller PT, Macauley JM, et al. 1998. Distribution of total mercury and methyl mercury in water, sediment, and fish from south Florida estuaries. Arch Environ Contam Toxicol 34(2):109-118. "
(Karouna-Renier et al. 2007),"Karouna-Renier NK, Snyder RA, Allison JG, Wagner MG, Rao KR. 2007. Accumulation of organic and inorganic contaminants in shellfish collected in estuarine waters near Pensacola, Florida: Contamination profiles and risks to human consumers. Environ Pollut 145(2):474-488. "
(Kawaguchi et al. 1999),"Kawaguchi T, Porter D, Bushek D, Jones B. 1999. Mercury in the American oyster Crassostrea virginica in South Carolina, USA, and public health concerns. Mar Pollut Bull 38(4):324-327. "
(Kelso and Frank 1974),"Kelso JRM, Frank R. 1974. Organochlorine residues, mercury, copper and cadmium in yellow perch, white bass and smallmouth bass, Long Point Bay, Lake Erie. Trans Am Fish Soc 103(3):577-581. "
(Kidd et al. 1995),"Kidd KA, Hesslein RH, Fudge RJP, Hallard KA. 1995. The influence of trophic level as measured by delta N-15 on mercury concentrations in freshwater organisms. Water Air Soil Pollut 80(14):1011-1015. "
(Knight and Olson 1974),"Knight HT, Olson LJ. 1974. Mercury distribution in american smelt from Lake Michigan. Am Midl Nat 91(2):451-452. "
(Koli et al. 1977),"Koli AK, Williams WR, McClary EB, Wright EL, Burrell TM. 1977. Mercury Levels in Freshwater Fish of State of South-Carolina. Bull Environ Contam Toxicol 17(1):82-89. "
(Kraepiel et al. 2003),"Kraepiel AML, Keller K, Chin HB, Malcolm EG, Morel FMM. 2003. Sources and variations of mercury in tuna. Environ Sci Technol 37(24):5551-5558. "
(Legrand et al. 2005),"Legrand M, Arp P, Ritchie C, Chan HM. 2005. Mercury exposure in two coastal communities of the Bay of Fundy, Canada. Environ Res 98(1):14-21. "
(Lewis et al. 2004),"Lewis MA, Quarles RL, Dantin DD, Moore JC. 2004. Evaluation of a Florida coastal golf complex as a local and watershed source of bioavailable contaminants. Mar Pollut Bull 48(3-4):254-262. "
(Locascio and Rudershausen 2000),"Locascio JV, Rudershausen PJ. 2000. An Evaluation of Mercury Levels in Spotted Seatrout in Torpon Bay, J.N. &quot;Ding&quot; Darling Wildlife Rufuge, Sanibel, Florida, With Reference to Previous Studies. Biological Sciences 63(4):256-260. "
(Lockhart et al. 2005),"Lockhart WL, Stern GA, Low G, Hendzel M, Boila G, Roach P, et al. 2005. A history of total mercury in edible muscle of fish from lakes in northern Canada. Sci Total Environ 351:427-463. "
(Lower Duwamish Waterway Group 2005),Lower Duwamish Waterway Group. 2005. Lower Duwamish Waterway Cleanup: Fish and Crab Tissue Data Report. Available: http://www.ldwg.org/assets/fish_crab_tissue/appendix_adata_tables_final.pdf [accessed 2 December 2010]. 
(Mason et al. 2006),"Mason RP, Heyes D, Sveinsdottir A. 2006. Methylmercury concentrations in fish from tidal waters of the Chesapeake Bay. Arch Environ Contam Toxicol 51(3):425-437. "
(Meador et al. 2005),"Meador JP, Ernest DW, Kagley AN. 2005. A comparison of the non-essential elements cadmium, mercury, and lead found in fish and sediment from Alaska and California. Sci Total Environ 339(1-3):189-205. "
(Miller and Jude 1984),"Miller TJ, Jude DJ. 1984. Organochlorine pesticides, PBBs, and mercury in round whitefish fillets from Saginaw Bay, Lake Huron, 1977-1978. J Gt Lakes Res 10(2):215-220. "
(Miller et al. 1972),"Miller GE, Rowland FS, Steinkru.Fj, Grant PM, Guinn VP, Kishore R. 1972. Mercury concentration in museum specimens of tuna and swordfish. Science 175(4026):1121-1122. "
(Mueller et al. 1989),"Mueller CS, Ramelow GJ, Beck JN. 1989. Mercury in the Calcasieu River Lake Complex, Louisiana. Bull Environ Contam Toxicol 42(1):71-80. "
(National Marine Fisheries Service 1975),"National Marine Fisheries Service. 1975. Southwest Fisheries Center Administrative Report No. 2H, 1975, Mercury in the Pacific Blue Marlin. "
(Nfon et al. 2009),"Nfon E, Cousins IT, Jarvinen O, Mukherjee AB, Verta M, Broman D. 2009. Trophodynamics of mercury and other trace elements in a pelagic food chain from the Baltic Sea. Sci Total Environ 407(24):6267-6274. "
(NOAA 2008),NOAA (National Oceanic and Atmospheric Administration). 2008. National Status and Trends Mussel Watch Program. Available: http://nsandt.noaa.gov/ [accessed 9 September 2008]. 
(Piraino and Taylor 2009),"Piraino MN, Taylor DL. 2009. Bioaccumulation and trophic transfer of mercury in striped bass (Morone saxatilis) and tautog (Tautoga onitis) from the Narragansett Bay (Rhode Island, USA). Mar Environ Res 67(3):117-128. "
(Ray et al. 1984),"Ray S, Jessop BM, Coffin J, Swetnam DA. 1984. Mercury and Polychlorinated-Biphenyls in Striped Bass (Morone saxatilis) from 2 Nova-Scotia Rivers. Water Air Soil Pollut 21(1-4):15-23. "
(Raymond and Rossmann 2009),"Raymond B, Rossmann R. 2009. Total and methyl mercury accumulation in 1994-1995 Lake Michigan lake trout and forage fish. J Gt Lakes Res 35(3):438-446. "
(Rider and Adams 2000),"Rider S, Adams D. 2000. Mercury Concentrations in Spotted Seatrout from Northwest Florida. Gulf of Mexico Science 2:97-103. "
(Rivers et al. 1972),"Rivers JB, Pearson JE, Shultz CD. 1972. Total and organic mercury in marine fish. Bull Environ Contam Toxicol 8(5):257-265. "
(Rolfhus et al. 2008),"Rolfhus KR, Sandheinrich MB, Wiener JG, Bailey SW, Thoreson KA, Hammerschmidt CR. 2008. Analysis of fin clips as a nonlethal method for monitoring mercury in fish. Environ Sci Technol 42(3):871-877. "
(Romeo et al. 1999),"Romeo M, Siau Y, Sidoumou Z, Gnassia-Barelli M. 1999. Heavy metal distribution in different fish species from the Mauritania coast. Sci Total Environ 232(3):169-175. "
(Sajwan et al. 2008),"Sajwan KS, Kumar KS, Paramasivam S, Compton SS, Richardson JP. 2008. Elemental status in sediment and American oyster collected from Savannah marsh/estuarine ecosystem: A preliminary assessment. Arch Environ Contam Toxicol 54(2):245-258. "
(San Francisco Estuary Institute 2007),San Francisco Estuary Institute. 2007. California Bay  Delta Authority Fish Mercury Project: Year 2 Annual Report (Sport Fish Sampling and Analysis). Contribution no. 535. Available: http://legacy.sfei.org/rmp/data/rmpfishtissue.htm [accessed 10 April 2008]. 
(San Francisco Public Utilities Commission 2006),"San Francisco Public Utilities Commission. 2006. Southwest Ocean Outfall Regional Monitoring Program, Eight Year Summary Report, 1997-2004 San Francisco. Available: http://sfwater.org/main.cfm/MC_ID/4/MSC_ID/83 [accessed 27 January 2011]. "
(Santerre et al. 2001),"San Francisco Public Utilities Commission. 2006. Southwest Ocean Outfall Regional Monitoring Program, Eight Year Summary Report, 1997-2004 San Francisco. Available: http://sfwater.org/main.cfm/MC_ID/4/MSC_ID/83 [accessed 27 January 2011]. "
(Schetagne et al. 2000),"Schetagne R, Doyon JF, Fournier JJ. 2000. Export of mercury downstream from reservoirs. Sci Total Environ 260(1-3):135-145. "
(Scheuhammer and Graham 1999),"Schetagne R, Doyon JF, Fournier JJ. 2000. Export of mercury downstream from reservoirs. Sci Total Environ 260(1-3):135-145. "
(Schuler et al. 2000),"Schetagne R, Doyon JF, Fournier JJ. 2000. Export of mercury downstream from reservoirs. Sci Total Environ 260(1-3):135-145. "
(Senn et al. 2010),"Senn DB, Chesney EJ, Blum JD, Bank MS, Maage A, Shine JP. 2010. Stable Isotope (N, C, Hg) Study of Methylmercury Sources and Trophic Transfer in the Northern Gulf of Mexico. Environ Sci Technol 44(5):1630-1637. "
(Shomura and Craig 1974),"Shomura R, Craig W. 1974. Mercury in Several Species of Billfishes Taken Off Hawaii and Southern California Kailua-Kona, Hawaii:Proceedings of the International Billfish Symposium. "
(Shultz and Crear 1976),"Shultz CD, Crear D. 1976. Distribution of total and organic mercury in 7 tissues of Pacific blue marlin, Makaira nigricans. Pacific Science 30(2):101-107. "
(Shultz and Ito 1979),"Shultz CD, Ito BM. 1979. Mercury and selenium in blue marlin, Makaira nigricans, from the Hawaiian Islands. Fishery Bulletin 76(4):872-879. "
(Soto-Jimenez et al. 2010),"Soto-Jimenez MF, Amezcua F, Gonzalez-Ledesma R. 2010. Nonessential Metals in Striped Marlin and Indo-Pacific Sailfish in the Southeast Gulf of California, Mexico: Concentration and Assessment of Human Health Risk. Arch Environ Contam Toxicol 58(3):810-818. "
(State of Alaska Department of Environmental Conservation 2009),State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011]. 
(State of Delaware 2010),State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010]. 
"(State of Hawaii Department of Health, unpublished data)",
(State of Louisiana 2011),State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011]. 
(State of Maryland 2007),State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007]. 
(State of Michigan 2011),State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007]. 
"(State of New Jersey 2004, 2008)",State of New Jersey. 2004. Routine Monitoring For Toxics in Fish Program Available: http://www.state.nj.us/dep/dsr/task1.pdf (Task I-Appendix I. Draft Summary of Chemical Contaminant Concentrations) and http://www.state.nj.us/dep/dsr/task2.pdf (Task 2) [accessed 29 November 2011]. 
(State of New Jersey 2004),State of New Jersey. 2004. Routine Monitoring For Toxics in Fish Program Available: http://www.state.nj.us/dep/dsr/task1.pdf (Task I-Appendix I. Draft Summary of Chemical Contaminant Concentrations) and http://www.state.nj.us/dep/dsr/task2.pdf (Task 2) [accessed 29 November 2011]. 
(State of New Jersey 2008),State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011]. 
(State of North Carolina 2011),"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011]. "
(State of Virginia 2009),State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009]. 
(Strom and Graves 2001),"Strom DG, Graves GA. 2001. A comparison of mercury in estuarine fish between Florida Bay and the Indian River Lagoon, Florida, USA. Estuaries 24(4):597-609. "
(Suk et al. 2009),"Suk SH, Smith SE, Ramon DA. 2009. Bioaccumulation of mercury in pelagic sharks from the northeast Pacific Ocean. CalCOFI Rep., Vol. 50, 2009. La Jolla, CA. Available: http://calcofi.org/publications/calcofireports/v50/172-177_Suk.pdf [accessed 3 May 2011]. "
(Teeny et al. 1974),"Teeny FM, Hall AS, Gauglitz EJ. 1974. Reduction of mercury in sablefish (Anoplopoma fimbria) and use of treated flesh in smoked products. Marine Fisheries Review 36(5):15-17. "
(Thieleke 1973),"Thieleke J. 1973. Mercury Levels in five Species of Commercially Important Pelagic fish Taken From the Pacific Ocean Near Hawaii [PhD Dissertation]. Madison, WI: University of Wisconsin, Madison. "
(USEPA 2004),USEPA (U.S. Environmental Protection Agency). 2004. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (EPA West) [accessed 26 April 2004]. 
(USEPA 2006a),USEPA (U.S. Environmental Protection Agency). 2004. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (EPA West) [accessed 26 April 2004]. 
(USEPA 2006b),"USEPA (U.S. Environmental Protection Agency). 2006b. Regional Environmental Monitoring and Assessment Program (REMAP). Available: http://www.epa.gov/emap/remap/html/data.html (Texas, 1993-1994) [accessed 21 June 2006]. "
(USEPA 2007),USEPA (U.S. Environmental Protection Agency). 2007. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Carolinian Province 1994-1997) [accessed 24 October 2007]. 
(USEPA 2008),USEPA (U.S. Environmental Protection Agency). 2008. National Coastal Assessment. Available: http://www.epa.gov/emap/nca/html/data/index.html [accessed 3 October 2008]. 
(USEPA 2011a),USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011]. 
(USEPA 2011b),USEPA (U.S. Environmental Protection Agency). 2011b. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Virginian Province 1991-1993) [accessed 3 February 2011]. 
(USEPA 2011c),USEPA (U.S. Environmental Protection Agency). 2011c. Environmental Monitoring and Assessment Program (EMAP). Available: http://www.epa.gov/emap/ (Louisianian Province 1991-1994) [accessed 3 February 2011]. 
(USEPA Region 9 and NOAA 2007),USEPA (U.S. Environmental Protection Agency) Region 9 and NOAA (National Oceanic and Atmospheric Administration. 2007. 2002-2004 Southern California Coastal Marine Fish Contaminants Survey. Available: http://earth1.epa.gov/region09/features/pvshelf/montrose_report.pdf [accessed 14 August 2007]. 
(Wren et al. 1991),"Wren CD, Scheider WA, Wales DL, Muncaster BW, Gray IM. 1991. Relation between Mercury Concentrations in Walleye (Stizostedion vitreum vitreum) and Northern Pike (Esox lucius) in Ontario Lakes and Influence of Environmental-Factors. Can J Fish Aquat Sci 48(1):132-139. "
(Yamashita et al. 2005),"Yamashita Y, Omura Y, Okazaki E. 2005. Total mercury and methylmercury levels in commercially important fishes in Japan. Fisheries Science 71(5):1029-1035. Yamashita Y, Omura Y, Okazaki E. 2006. Distinct regional profiles of trace element content in muscle of Japanese eel Anguilla japonica from Japan, Taiwan, and China. Fisheries Science 72(5):1109-1113. Zauke GP, Savinov VM, Ritterhoff J, Savinova T. 1999. Heavy metals in fish from the Barents Sea in (summer 1994). Sci Total Environ 227(2-3):161-173. "
(Zhang et al. 2001),"Zhang XM, Naidu AS, Kelley JJ, Jewett SC, Dasher D, Duffy LK. 2001. Baseline concentrations of total mercury and methylmercury in salmon returning via the Bering Sea (1999-2000). Mar Pollut Bull 42(10):993-997. "
