culture,latin_name,calcium,zinc,iron,epa,dha
Interior Salish,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Interior Salish,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Interior Salish,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
Inuit-Inupiaq,Catostomus commersonii,50.4,0.6,0.2,0.1365,0.289
Inuit-Inupiaq,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Inuit-Inupiaq,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Inuit-Inupiaq,Esox lucius,76.27711111111111,0.6042,0.34175,0.0385,0.14775
Inuit-Inupiaq,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Inuit-Inupiaq,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Inuit-Inupiaq,Lota lota,44.90909090909091,1.26,1.2,0.568,0.3913333333333333
Inuit-Inupiaq,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Inuit-Inupiaq,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Inuit-Inupiaq,Ophiodon elongatus,26.8,0.45,1,0,0
Inuit-Inupiaq,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Inuit-Inupiaq,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Inuit-Inupiaq,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Inuit-Inupiaq,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Inuit-Inupiaq,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
Nass-Gitksan,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Nass-Gitksan,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Nass-Gitksan,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Nass-Gitksan,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Nass-Gitksan,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Nass-Gitksan,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Nass-Gitksan,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Nass-Gitksan,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Nass-Gitksan,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
Quileute,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Quileute,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Quileute,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Quileute,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Quileute,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Quileute,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Siuslaw,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Siuslaw,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Siuslaw,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Siuslaw,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Tillamook,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Tillamook,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Tillamook,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Tillamook,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Tillamook,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Tsimshian,Callinectes sapidus,78.1,1344.18,0.74,0.17,0.2
Tsimshian,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Tsimshian,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Tsimshian,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Tsimshian,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Tsimshian,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Tsimshian,Ophiodon elongatus,26.8,0.45,1,0,0
Tsimshian,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Tsimshian,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Tsimshian,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Yupik,Callinectes sapidus,78.1,1344.18,0.74,0.17,0.2
Yupik,Clupea harengus,44.4,0.99,1,0.709,1.1466666666666667
Yupik,Coregonus clupeaformis,23.78333333333333,1.5666666666666667,1.2666666666666666,0.18633333333333335,0.6
Yupik,Esox lucius,76.27711111111111,0.6042,0.34175,0.0385,0.14775
Yupik,Gadus morhua,15.555555555555555,0.45,2.19,6,0.761375
Yupik,Hippoglossinae,17.333333333333332,0.61,0.635,0.217,0.22
Yupik,Oncorhynchus and Salmo spp.,22.6,1.25,1.375,0.65,6.2
Yupik,Oncorhynchus kisutch,46.5,0.41,672.78,6.2,5.0607500000000005
Yupik,Ophiodon elongatus,26.8,0.45,1,0,0
Yupik,Salmo salar,15.575,0.6,0.7,0.269,1.1840000000000002
Yupik,Salvelinus namaycush,15.275,0.4,2.2666666666666666,0.086,1.1
Yupik,"Salvelinus spp., Oncorhynchus spp., Salmo salar",41.333333333333336,0.4,0.4,0.2,0.528
Yupik,Stenodus leucichthys,55.333333333333336,0.3,0.4,0.2,0.32
Yupik,"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.86,0.4,0.2,0.7916666666666666
