food_item_id,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,compiler,latest_revision_in_version,fat_g,fatce_g,fat_g_2,fapu_g,faun_g,xfa_internal_use,facid_g,fapun3_g,fapun6_g,f20d5n3_g,f22d6n3_g,asfis_scientific_name_fishbase_swap
0902107,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,52,ABX,NA,"Ear shell, raw",r,Sulculus diversicolor aquatieis,Abalones nei,Haliotis spp,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haliotis rufescens
0902108,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,56,CLX,NA,"Shirogai shell, raw",r,Peronidia venulosa,"Clams, etc. nei",Bivalvia,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bivalvia
0902109,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,56,ACB,NA,"Ark shell, raw",r,Anadara (Scapharca) broughtonii,Inflated ark,Scapharca broughtonii,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scapharca broughtonii
0902110,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,53,OYG,NA,"Oyster, raw",r,Crassostrea gigas,Pacific cupped oyster,Crassostrea gigas,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crassostrea gigas
0902111,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,51,CMJ,NA,"Corb shell, raw",r,Corbicula japonica Prime,Japanese corbicula,Corbicula japonica,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corbicula japonica
0902112,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,56,CLJ,NA,"Short-necked clam, raw",r,Tapes (Amygdala) philippinarum,Japanese carpet shell,Ruditapes philippinarum,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ruditapes philippinarum
0902113,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,54,MUK,NA,"Mussel, raw",r,Mytilus coruscus Gould,Korean mussel,Mytilus coruscus,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mytilus coruscus
0902114,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,56,HCJ,NA,"Hard clam, raw",r,Meretrix lusoria,Japanese hard clam,Meretrix lusoria,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meretrix lusoria
0902115,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,52,GAS,NA,"Abalone, raw",r,Nordotis discus,Gastropods nei,Gastropoda,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gastropoda
0902116,Molluscs,"Unknown (samples from markets of Kochi-city/Kanazawa-city, Japan)",NA,55,JSC,NA,"Scallop, raw",r,Patinopectan (Mizuhopecten) yessoensis,Yesso scallop,Patinopecten yessoensis,NA,NA,NA,VITB12: Lactobacillus leichmannii,2001,fi230,SE,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patinopecten yessoensis
