genus_species,culture,ca_mg,zn_mg,fe_mg,epa,dha,ca_na,fe_na,zn_na,epa_na,dha_na,nutrient_na
Merluccius productus,Montagnais-Naskapi,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Nootkan,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Tlingit,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Tsimshian,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Wampanoag,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Merluccius productus,Yupik,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272,0,0,0,0,0,0
Micropogonias undulatus,Bella Coola,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Central Salish,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Haida,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Inuit-Inupiaq,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Kwakiutl,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Micmac,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Nootkan,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Tlingit,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Tsimshian,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Wampanoag,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Micropogonias undulatus,Yupik,49.333333333333336,0.39549999999999996,0.774,0.123,0.097,0,0,0,0,0,0
Microstomus pacificus,Abenaki,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Bella Coola,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Central Salish,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Haida,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Inuit-Inupiaq,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Kwakiutl,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Micmac,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Nootkan,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Tlingit,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Tsimshian,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Wampanoag,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Microstomus pacificus,Yupik,23.4,0.3887666666666667,0.2113,0.08,0.09,0,0,0,0,0,0
Morone saxatilis,Bella Coola,15,0.335,0.84,0.129233796125,0.18620952362499998,0,0,0,0,0,0
Morone saxatilis,Central Salish,15,0.335,0.84,0.129233796125,0.18620952362499998,0,0,0,0,0,0
Morone saxatilis,Haida,15,0.335,0.84,0.129233796125,0.18620952362499998,0,0,0,0,0,0
