run,species_no,mean,std.error
30,4,1.838095238095238,0.04119850586231023
30,5,1.869047619047619,0.03786301588279984
30,6,1.8333333333333333,0.039697726265446404
30,7,1.8,0.049648625302195014
30,8,1.8666666666666667,0.08761716542303612
30,9,1.4,0.1632993161855452
30,10,1,NA
31,1,1.4,0.1632993161855452
31,2,1.4444444444444444,0.07491109582924912
31,3,1.4666666666666666,0.04573295603800236
31,4,1.5095238095238095,0.03457944857003125
31,5,1.5634920634920635,0.03130423630519475
31,6,1.6285714285714286,0.03342272296374867
31,7,1.7,0.042008402520840295
31,8,1.8,0.06030226891555272
31,9,1.9,0.09999999999999999
31,10,2,NA
32,1,1.6,0.1632993161855452
32,2,1.7555555555555555,0.06478835438717001
32,3,1.8333333333333333,0.03416333590378282
32,4,1.8904761904761904,0.02160191652307418
32,5,1.9404761904761905,0.01493421505727113
32,6,1.9761904761904763,0.010545556307056503
32,7,1.9916666666666667,0.008333333333333333
32,8,2,0
32,9,2,0
32,10,2,NA
33,1,1.8,0.13333333333333333
33,2,1.9777777777777779,0.022222222222222223
33,3,2,0
33,4,2,0
33,5,2,0
33,6,2,0
33,7,2,0
33,8,2,0
33,9,2,0
33,10,2,NA
34,1,1.7,0.21343747458109494
34,2,1.9333333333333333,0.03760507165451774
34,3,1.975,0.01431195069769
34,4,1.9952380952380953,0.004761904761904762
34,5,2,0
34,6,2,0
34,7,2,0
34,8,2,0
34,9,2,0
34,10,2,NA
35,1,1.6,0.1632993161855452
35,2,1.711111111111111,0.0683294324254051
35,3,1.8166666666666667,0.035470691206128516
35,4,1.8761904761904762,0.022782592786689752
35,5,1.9007936507936507,0.01886885431818437
35,6,1.9476190476190476,0.015410986606158606
35,7,1.9833333333333334,0.011735491270876315
35,8,2,0
35,9,2,0
35,10,2,NA
36,1,1.5,0.16666666666666666
36,2,1.8,0.08761716542303612
36,3,1.9333333333333333,0.05388718027458706
36,4,2.080952380952381,0.04259304465831479
36,5,2.2261904761904763,0.038160101770318755
36,6,1.8333333333333333,0.026647863044631685
36,7,1.8166666666666667,0.035470691206128516
36,8,1.8666666666666667,0.05124707431905382
36,9,1.9,0.09999999999999999
36,10,2,NA
37,1,1.5,0.16666666666666666
37,2,1.711111111111111,0.08774516719387473
37,3,1.875,0.05621400186432416
37,4,2.066666666666667,0.04350414133922132
37,5,2.2777777777777777,0.03825287795424035
37,6,2.466666666666667,0.03885659781871954
37,7,2.6333333333333333,0.04573295603800236
37,8,2.7777777777777777,0.06267511942419625
37,9,2.6,0.1632993161855452
37,10,2,NA
38,1,2,0
38,2,1.8444444444444446,0.05463890236888291
38,3,1.8916666666666666,0.028491075150158012
38,4,1.9476190476190476,0.015410986606158606
38,5,1.9801587301587302,0.008802298199620532
38,6,1.9952380952380953,0.004761904761904762
38,7,2,0
38,8,2,0
38,9,2,0
38,10,2,NA
39,1,1.6,0.1632993161855452
39,2,1.8,0.06030226891555272
39,3,1.875,0.030316953129541618
39,4,1.9190476190476191,0.018867340071935294
