culture,latin_name,subgroup,calcium,zinc,iron,epa,dha
Chipewyan,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Chipewyan,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Chipewyan,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Chipewyan,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Chipewyan,Esox lucius,Fish,70.45488888888889,1.646777777777778,0.4177,0.05525,0.14266666666666666
Chipewyan,Lota lota,Fish,44.4,1.238888888888889,0.9,0.426,0.5585454545454546
Chipewyan,Oncorhynchus mykiss,Fish,50.375,3.1500000000000004,679.634,0.2788,0.896
Chipewyan,Salvelinus alpinus,Fish,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Chipewyan,Salvelinus fontinalis,Fish,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chipewyan,Salvelinus namaycush,Fish,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chipewyan,Stenodus leucichthys,Fish,13,0.3,0.30000000000000004,0.2,0.2
Chipewyan,Thymallus arcticus,Fish,273.8375,0.7,1,0.1,0.1
Coosan,Clupea harengus,Fish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Coosan,Clupea pallasii,Fish,51,0.5,1.8800000000000001,1,0.7
Coosan,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Coosan,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Coosan,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Coosan,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Coosan,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Coosan,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Cree,Boreogadus saida,Fish,20.2,0.5,0.6,0.165,0.329
Cree,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Cree,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Cree,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
Cree,Coregonus autumnalis,Fish,30,0.4,1,0.3,0.3
Cree,Coregonus clupeaformis,Fish,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Cree,Crassostrea virginica,Marine Invertebrates,58,96.25,6.85,0.15,0.14500000000000002
Cree,Esox lucius,Fish,70.45488888888889,1.646777777777778,0.4177,0.05525,0.14266666666666666
Cree,Gadiformes,Fish,29,0.71,0.364,0.09,0.21500000000000002
