"","species_name","type","energy","protein","fat","moisture","ash","iron","zinc","calcium","iodine","selenium","phosphorus","magnesium","sodium","potassium","manganese","sulphur","copper","vitamin_b12","vitamin_d3","vitamin_d2","vitamin_e_α_tocopherol","folate","β_carotene","x13_cis_retinol","x13_cis_dehydroretinol","all_trans_retinol","all_trans_dehydroretinol","total_vitamin_a"
"27","Taki","SIS",306,18.3,0.6,80.7,2.1,1.8,1.5,766,18,15,NA,35,47,260,NA,NA,NA,1.6,0,0,0.14,0,22,9,13,84,104,139
"28","Tara Baim","SIS",387,17.2,2.6,79.4,2.3,2.5,1.2,457,13,15,NA,34,46,290,NA,NA,NA,5.2,0,0,0.17,0,135,2,15,16,120,83
"29","Tengra","SIS",428,15.1,4.6,76.6,3.7,4,3.1,1093,28,24,NA,36,57,203,NA,NA,NA,3.5,0.19,NA,0.23,10,NA,0,0,0,29,12
"30","Tit Punti","SIS",385,15.4,3.4,77.5,3.8,3.4,3.8,1480,19,10,NA,47,61,187,NA,NA,NA,6.74,0.995,0,0.16,0,25,4,5,11,8,21
"31","Gojar","large",286,17.1,0.3,82.6,1,0.43,0.6,9.3,14,37,150,23,30,300,0.018,230,0.015,0.55,0.42,NA,0.28,2,NA,0,0,0,0,0
"32","Ilish","large",1020,16.4,18.3,60.2,1.4,1.9,1.2,220,37,40,300,27,44,280,0.25,210,0.12,2.3,18,NA,1.7,1.5,NA,0,0,0,49,20
"33","Jatka Ilish","large",618,19,7.7,71.8,2.5,2.5,1.8,500,34,41,430,32,58,280,0.4,250,0.12,2,9,NA,1.9,3.2,NA,0,0,0,36,14
"34","Shol","large",310,18.7,0.3,81,1.2,0.41,0.73,96,0,42,210,27,42,350,0.1,260,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Harina Chingri","large",333,17.6,1,79.5,2.2,2.7,1.3,550,26,42,290,45,85,210,0.57,190,0.49,1.4,0.055,NA,1.6,14,NA,0,0,0,0,0
"36","Najari Icha","large",364,15.7,2.2,77.9,3.3,13,3.3,1200,120,34,320,52,75,200,2.8,190,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Catla","aquaculture",267,14.9,0.7,84.1,1,0.83,1.1,210,18,27,260,28,74,310,0.07,170,0.029,1.3,0.28,NA,0.23,4.4,NA,0,0,22,0,22
"38","Mrigal","aquaculture",363,18.9,1.1,78.9,1.1,2.5,1.5,960,15,19,NA,39,71,266,NA,NA,NA,5.57,0.616,0.39,0,0,0,2,2,9,9,15
"39","Rui","aquaculture",422,18.2,3,77.7,1,0.98,1,51,20,29,210,28,61,330,0.051,200,0.038,5.05,1.17,0,0.12,0,6,2,1,9,4,13
"40","Common Carp","aquaculture",381,16.4,2.9,80,1,1.1,2.2,37,13,22,180,26,67,300,0.02,190,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Grass Carp","aquaculture",341,15.2,1.1,80.2,1.1,0.46,0.91,54,0,31,190,27,73,300,0.018,170,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Silver Carp","aquaculture",435,17.2,4.1,77.8,1.5,4.4,1.4,903,0,12,NA,34,96,225,NA,NA,NA,0.55,0.24,NA,0.49,7.7,NA,0,0,0,0,0
"43","Thai Pangas","aquaculture",925,16,17.7,65.5,0.9,0.69,0.65,8.6,0,19,150,21,47,250,0.01,220,0.023,1.5,0.13,NA,0.32,9,NA,0,0,0,78,31
"44","Majhari Thai Pangas","aquaculture",360,18.6,1.4,79.2,1.4,2.7,1.1,59,17,11,160,21,81,260,0.092,170,0.086,14,0.12,NA,0.1,15,NA,0,0,0,31,12
"45","Thai Sharpunti","aquaculture",466,18.4,4.4,76.2,1.6,1.6,1.8,270,38,22,280,29,72,240,0.073,250,0.036,2.2,23,NA,0.32,2.2,NA,0,0,12,0,12
"46","Tilapia","aquaculture",390,19.5,2,77.6,1.8,1.1,1.2,95,11,26,190,26,81,280,0.052,240,0.031,0.7,6.3,NA,0.4,7.6,NA,0,0,10,0,10
"47","Majhari Tilapia","aquaculture",412,19,2.6,77.5,1.3,1.6,1.4,120,0,52,220,26,52,320,0.13,270,0.041,2.5,34,NA,1.5,8,NA,0,0,10,27,21
"48","Foli Chanda","marine",320,17.2,0.9,82.1,0.7,0.34,0.66,31,9.4,78,110,21,55,160,0.024,190,0,1.5,0.097,NA,0.19,4.8,NA,0,0,0,0,0
"49","Kata Phasa","marine",357,17.6,2.1,77.4,4.1,1.6,3.1,1500,10,56,840,55,92,130,0.38,220,0.023,1.3,3.8,NA,0.37,8.6,NA,0,0,0,0,0
"50","Lal Poa","marine",381,18.1,2.4,75.2,5.3,1.7,2.1,1900,41,110,1000,54,110,150,0.6,230,0.042,2,1.3,NA,0.38,7.7,NA,0,0,0,0,0
"51","Maita","marine",405,20.5,1.1,76.5,1,0.49,0.7,34,14,57,200,31,49,290,0.051,250,0.04,1.6,1.7,NA,0.5,2.5,NA,0,0,0,0,0
"52","Murbaila","marine",310,18.8,0.3,80.6,1.6,1.7,0.79,150,19,51,230,29,90,330,0.012,250,0.033,0.5,0.2,NA,0.09,2.2,NA,0,0,0,0,0
"53","Parse","marine",813,16.1,14.3,67.8,1.2,1.3,0.84,66,6.9,20,160,23,53,270,0.036,220,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Tailla","marine",425,20.6,2.2,76.5,1.1,0.6,0.9,37,26,46,200,30,74,330,0.01,300,0.051,0.85,13,NA,0.44,3.1,NA,0,0,0,0,0
"55","Tular Dandi","marine",345,19.3,0.6,78.8,1.6,2.1,0.89,230,20,52,250,30,100,240,0.14,260,0.036,1.7,0.28,NA,0.26,8.7,NA,0,0,20,0,20
