seanuts_id2,Species,subgroup,food_name_clean,food_name_checked_in_paper,species_name,part,reference
625,Huso huso,finfish,Sturgeon_wild_caudal_meat_raw,muscle,Huso huso,muscle,"Å_engÃ¶r G.F.Ãœ., Alakavuk D.Ãœ., Tosun Å_.Y., Ulusoy Å_. (2010). The chemical and sensory quality of smoked sturgeon (Huso huso): a case study. Journal of Aquatic Food Product Technology 19: 310-317"
1244,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1246,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1247,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1248,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1249,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1250,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1252,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1253,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1257,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1258,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1259,Trachurus trachurus,finfish,Horse_mackerel_wild_edible_flesh_raw,muscle,Trachurus trachurus,muscle,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539"
1980,Channa striata,finfish,Shol,muscle,Channa striatus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1986,Cyprinus carpio,finfish,Common Carp,muscle,Cyprinus carpio,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1972,Heteropneustes fossilis,finfish,Shing,muscle,Heteropneustes fossilis,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1992,Oreochromis niloticus,finfish,Tilapia,muscle,Oreochromis niloticus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1993,Oreochromis niloticus,finfish,Majhari Tilapia,muscle,Oreochromis niloticus (juvenile),muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1964,Anabas testudineus,finfish,Koi,muscle,Anabas testudineus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1977,Channa marulius,finfish,Gojar,muscle,Channa marulius,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1966,Clarias batrachus,finfish,Magur,muscle,Clarias batrachus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
2000,Eleutheronema tetradactylum,finfish,Tailla,muscle,Eleutheronema tetradactylum,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1999,Liza parsia,finfish,Parse,muscle,Liza parsia,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1947,Mastacembelus armatus,finfish,Baim,muscle,Mastacembelus armatus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1975,Mystus vittatus,finfish,Tengra,muscle + bones,Mystus vittatus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1967,Nandus nandus,finfish,Meni,muscle + bones,Nandus nandus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1956,Notopterus notopterus,finfish,Foli,muscle,Notopterus notopterus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1994,Pampus argenteus,finfish,Foli Chanda,muscle,Pampus argenteus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1990,Pangasianodon hypophthalmus,finfish,Majhari Thai Pangas,muscle,Pangasianodon hypophthalmus (juvenile),muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1996,Pennahia argentata,finfish,Lal poa,muscle + bones,Johnius argentatus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1976,Puntius ticto,finfish,Tit Punti,muscle + bones,Puntius ticto,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1997,Scomberomorus guttatus,finfish,Maita,muscle,Scomberomorus guttatus,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1978,Tenualosa ilisha,finfish,Ilish,muscle,Tenualosa ilisha,muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1979,Tenualosa ilisha,finfish,Jatka Ilish,muscle,Tenualosa ilisha (juvenile),muscle,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
1262,Trichiurus lepturus,finfish,Largehead_hairtail_wild_edible_portion_raw,muscle,Trichiurus lepturus,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
320,Anchoa hepsetus,finfish,Broad-striped_anchovy_wild_edible_portion_raw,muscle,Anchoa hepsetus,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
367,Balistes capriscus,finfish,Grey_triggerfish_wild_edible_portion_raw,muscle,Balistes capriscus,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
378,Caulolatilus intermedius,finfish,Gulf_bareye_tilefish_wild_edible_portion_raw,muscle,Caulolatilus intermedius,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
545,Elops saurus,finfish,Ladyfish_wild_edible_portion_raw,muscle,Elops saurus,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
1098,Selene vomer,finfish,Lookdown_wild_edible_portion_raw,muscle,Selene vomer,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
1159,Syacium gunteri,finfish,Shoal_flounder_wild_edible_portion_raw,muscle,Syacium gunteri,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
1160,Synodus foetens,finfish,Inshore_lizardfish_wild_edible_portion_raw,muscle,Synodus foetens,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
1219,Trachurus lathami,finfish,Rough_scad_wild_edible_portion_raw,muscle,Trachurus lathami,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
1268,Upeneus parvus,finfish,Dwarf_goatfish_wild_edible_portion_raw,muscle,Upeneus parvus,muscle,"Castro-GonzÃ¡lez M.I., Silencio Barrita J.L., JuÃ¡rez Silva M.E., MontaÃ±o Benavides S., PÃ©rez-Gil Romo F. (1998). ComposiciÃ_n quÃ_mica de la fauna de acompaÃ±amiento del camarÃ_n de Veracruz (Golfo de MÃ©xico). Revista de BiologÃ_a Tropical 46(2): 249-256"
962,Portunus pelagicus,crustacean,Swim_crab_wild_claw_meat_raw,muscle,Portunus pelagicus,muscle,"GÃ¶kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498"
963,Portunus pelagicus,crustacean,Swim_crab_wild_body_meat_raw,muscle,Portunus pelagicus,muscle,"GÃ¶kodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498"
295,Alosa alosa,finfish,Shad_marine_water_raw_wild_edible_part_raw,muscle,Alosa alosa,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
370,Belone belone,finfish,Garfish_wild_edible_part_raw,muscle,Belone belone,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
546,Engraulis encrasicolus,finfish,Anchovy_wild_edible_part_raw,muscle,Engraulis encrasicolus,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
720,Merlangius merlangus euxinus,finfish,Whiting_wild_edible_part_raw,muscle,Merlangius merlangus euxinus,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
1014,Sarda sarda,finfish,Bonito_wild_edible_part_raw,muscle,Sarda sarda,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
1149,Sprattus sprattus sprattus,finfish,Sprat_wild_edible_part_raw,muscle,Sprattus sprattus sprattus,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
1236,Trachurus mediterraneus,finfish,Scad_wild_edible_part_raw,muscle,Trachurus mediterraneus,muscle,"GÃ_ner S., Dincer B., Alemdag N., Colak A., TÃ_fekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342"
1174,Thunnus alalunga,finfish,White_tuna_wild_white_meat_raw,muscle,Thunnus alalunga,muscle,"GarcÃ_a-Arias M.T., Navarro M.P., GarcÃ_a-Linares M.C. (2004). Effects of different thermal treatments and storage on the proximate composition and protein quality in canned tuna. Archivos Latinoamericanos de NutricÃ_on 54(1): 112-117"
1173,Thunnus alalunga,finfish,Albacore_tuna_wild_white_meat_raw,muscle,Thunnus alalunga,muscle,"Gordon D.T., Roberts G.L., Heintz D.M. (1979). thiamin, riboflavin and niacin content and stability in pacific coast seafoods. J. Agric. Food Chem. 27(3): 483-490"
620,Heteropneustes fossilis,finfish,Stinging_catfish_wild_edible_portion_raw,muscle,Heteropneustes fossilis,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
311,Anabas testudineus,finfish,Climbing_perch_wild_edible_portion_raw,muscle,Anabas testudineus,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
410,Channa punctata,finfish,Spotted_snakehead_wild_edible_portion_raw,muscle,Channa punctata,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
432,Clarias batrachus,finfish,Philippine_catfish_wild_edible_portion_raw,muscle,Clarias batrachus,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
790,Mystus vittatus,finfish,Striped_dwarf_catfish_wild_edible_portion_raw,muscle,Mystus vittatus,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
796,Nandus nandus,finfish,Gangetic_leaffish_wild_edible_portion_raw,muscle,Nandus nandus,muscle,"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561"
521,Dicentrarchus labrax,finfish,Seabass/Bass_wild_edible_flesh_raw,muscle,Dicentrarchus labrax,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
550,Engraulis encrasicolus,finfish,Anchovy_wild_edible_flesh_raw,muscle,Engraulis encrasicolus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
547,Engraulis encrasicolus,finfish,Anchovy_wild_edible_flesh_raw,muscle,Engraulis encrasicolus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
548,Engraulis encrasicolus,finfish,Anchovy_wild_edible_flesh_raw,muscle,Engraulis encrasicolus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
549,Engraulis encrasicolus,finfish,Anchovy_wild_edible_flesh_raw,muscle,Engraulis encrasicolus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
666,Lithognathus mormyrus,finfish,Striped_bream_wild_edible_flesh_raw,muscle,Lithognathus mormyrus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
721,Merlangius merlangus,finfish,Whiting_wild_edible_flesh_raw,muscle,Merlangius merlangus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
729,Merluccius merluccius,finfish,European_hake_wild_edible_flesh_raw,muscle,Merluccius merluccius,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
730,Merluccius merluccius,finfish,European_hake_wild_edible_flesh_raw,muscle,Merluccius merluccius,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
731,Merluccius merluccius,finfish,European_hake_wild_edible_flesh_raw,muscle,Merluccius merluccius,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
774,Mugil cephalus,finfish,Grey_mullet_wild_edible_flesh_raw,muscle,Mugil cephalus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
769,Mugil cephalus,finfish,Grey_mullet_wild_edible_flesh_raw,muscle,Mugil cephalus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
770,Mugil cephalus,finfish,Grey_mullet_wild_edible_flesh_raw,muscle,Mugil cephalus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
771,Mugil cephalus,finfish,Grey_mullet_wild_edible_flesh_raw,muscle,Mugil cephalus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
813,Oblada melanura,finfish,Saddled_bream_wild_edible_flesh_raw,muscle,Oblada melanura,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1066,Scomber japonicus,finfish,Chub_mackerel_wild_edible_flesh_raw,muscle,Scomber japonicus/colias,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1065,Scomber scombrus,finfish,Atlantic_mackerel_wild_edible_flesh_raw,muscle,Scomber scombrus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
1061,Scomber scombrus,finfish,Atlantic_mackerel_wild_edible_flesh_raw,muscle,Scomber scombrus,muscle,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
