food_item_id,subgroup,country_region,type_farmed_wild,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,ca_mg,fe_mg,zn_mg,hg_mcg,mg_mg,mn_mg
901354,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Traíra,"wild, skinless, boneless fillets, raw",r,Hoplias malabaricus,NA,Erythrinidae,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901355,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,23,TRO,Truta,"wild, skinless, boneless fillets, raw",r,Salmus sp.,Trouts nei,Salmo spp,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,NA,NA,NA,NA,NA,NA
901367,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",NA,12,TLM,NA,"Tilapia, wild, boneless flesh, raw",r,Oreochromis mossambicus,Mozambique tilapia,Oreochromis mossambicus,NA,"mean length and weight of fish: 11.4cm, 59.2g",NA,NA,1996,fi24,47.3,0.2,NA,NA,NA,NA
901368,Finfish,"Sri Lanka, Nikaweratiya, Magala tank",NA,13,FSS,Lulla (Sinhala)/Viral (Tamil),"Snakehead, wild, boneless flesh, raw",r,Ophicephalus striatus,Striped snakehead,Channa striata,NA,"mean length and weight of fish: 24.6cm, 112.0g",NA,NA,1996,fi24,108.3,0.5,NA,NA,NA,NA
901369,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",NA,13,GOU,Weligouva (Sinhal)/Uluvai (Tamil),"Goby, wild, boneless flesh, raw",r,Glossogobius giurias,Tank goby,Glossogobius giurias,NA,"mean length and weight of fish: 18.0cm, 37.2g",NA,NA,1996,fi24,336.6,1.3,NA,NA,NA,NA
901370,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,GPW,NA,"Waker, muscle tissue, raw",r,Epinephelus aeneus,Waker,Epinephelus aeneus,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901371,Finfish,Unknown (samples obtained from local fish market in Adana),NA,34,GUU,NA,"Tub gurned, muscle tissue, raw",r,Trigla lucerna,Tub gurnard,Chelidonichthys lucerna,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901372,Finfish,Unknown (samples obtained from local fish market in Adana),NA,32,WHG,NA,"Whitting, muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901373,Finfish,Unknown (samples obtained from local fish market in Adana),NA,37,MAC,NA,"Mackerel, muscle tissue, raw",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901374,Finfish,Unknown (samples obtained from local fish market in Adana),NA,37,BLU,NA,"Blue fish, muscle tissue, raw",r,Pomatomus saltator,Bluefish,Pomatomus saltatrix,NA,NA,NA,FA converted using XFA; FAPUN6 calculated (sum of individual FA n-6),2007,fi34,NA,NA,NA,NA,NA,NA
901375,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,SBG,NA,"Sea bream, muscle tissue, raw",r,Sparus auratus,Gilthead seabream,Sparus aurata,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901376,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,BSS,NA,"Sea bass, muscle tissue, raw",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901377,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,SRI,NA,"Marbled spinefoot, muscle tissue, raw",r,Siganus rivulatus,Marbled spinefoot,Siganus rivulatus,NA,NA,NA,FA converted using XFA,2007,fi34,NA,NA,NA,NA,NA,NA
901392,Finfish,Unknown,NA,11,FCP,NA,"Carp, muscle tissue, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Jun-Jul 1995,"mature, female fish; weight: 3500g",1,NA,2008,fi41,NA,NA,NA,NA,NA,NA
901393,Finfish,Unknown,NA,11,BIC,NA,"Bighead carp, muscle tissue, raw",r,Aristichthys nobilis,Bighead carp,Hypophthalmichthys nobilis,Jun-Jul 1995,"mature, female fish; weight: 7000g",1,NA,2008,fi41,NA,NA,NA,NA,NA,NA
901394,Finfish,Unknown,NA,13,FPI,NA,"Pike, muscle tissue, raw",r,Esox lucius,Northern pike,Esox lucius,Mar-Apr 1995,"mature, female fish; weight: 1500g",1,NA,2008,fi41,NA,NA,NA,NA,NA,NA
901395,Finfish,New Zealand,W,38,CAH,NA,"Elephant fish, wild, skinless fillet, frozen",r,NA,"Elephantfishes, etc. nei",(Callorhinchidae),1/1/1985,"mean length and weight of fish: 67cm, 2407g",1,NA,1985,fi42,NA,NA,NA,NA,NA,NA
901398,Finfish,Unknown,NA,11,FCY,Shir-bot,"Barb, fillet, raw",r,Barbus grypsus,NA,Cyprinidae,NA,NA,NA,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,NA,NA,NA,NA,NA,NA
901399,Finfish,Unknown,NA,11,FCY,Berzem,"Barb, fillet, raw",r,Barbus barbilus,NA,Cyprinidae,NA,NA,NA,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,NA,NA,NA,NA,NA,NA
901400,Finfish,Unknown,NA,11,FCP,Capoor,"Common carp, fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,NA,NA,NA,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,NA,NA,NA,NA,NA,NA
901401,Finfish,Unknown,NA,23,TRS,Ghezel-ala,"Sea trout, fillet, raw",r,Salmo trutta,Sea trout,Salmo trutta,NA,NA,NA,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,NA,NA,NA,NA,NA,NA
901402,Finfish,Unknown,NA,35,ANE,NA,"Anchovy, skinless fillet, raw",r,Engraulis encrasicolus,European anchovy,Engraulis encrasicolus,NA,NA,1,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901403,Finfish,Unknown,NA,32,COD,NA,"Cod, skinless fillet, raw/frozen",r,Gadus morhua,Atlantic cod,Gadus morhua,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901404,Finfish,Unknown,NA,22,ELE,NA,"Eel, skinless fillet, raw",r,Anguilla anguilla,European eel,Anguilla anguilla,NA,NA,1,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901405,Finfish,Unknown,NA,34,ORY,NA,"Emperor, skinless fillet, raw/frozen",r,Hoplostethus atlanticus,Orange roughy,Hoplostethus atlanticus,NA,NA,3,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901406,Finfish,Unknown,NA,23,RNG,NA,"Grenadier, skinless fillet, raw/frozen",r,Coryphaenoides rupestris,Roundnose grenadier,Coryphaenoides rupestris,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901407,Finfish,Unknown,NA,32,HAD,NA,"Haddock, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,NA,NA,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901408,Finfish,Unknown,NA,32,HKE,NA,"Hake, skinless fillet, raw/frozen",r,Merluccius merluccius,European hake,Merluccius merluccius,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901409,Finfish,Unknown,NA,34,JOD,NA,"John dory, skinless fillet, raw/frozen",r,Zeus faber,John dory,Zeus faber,NA,NA,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901410,Finfish,Unknown,NA,37,MAC,NA,"Mackerel, skinless fillet, raw/frozen",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901411,Finfish,Unknown,NA,32,POL,NA,"Pollack, skinless fillet, raw",r,Pollachius pollachius,Pollack,Pollachius pollachius,NA,NA,3,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901412,Finfish,Unknown,NA,32,POK,NA,"Saithe, skinless fillet, raw/frozen",r,Pollachius virens,Saithe,Pollachius virens,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901413,Finfish,Unknown,NA,23,SAL,NA,"Salmon, skinless fillet, raw/frozen",r,Salmo salar,Atlantic salmon,Salmo salar,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901414,Finfish,Unknown,NA,35,PIL,NA,"Sardine, skin-on fillet, raw",r,Sardina pilchardus,European pilchard,Sardina pilchardus,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901415,Finfish,Unknown,NA,33,BSS,NA,"Seabass, skinless fillet, raw/frozen",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901416,Finfish,Unknown,NA,31,SOL,NA,"Sole, skinless fillet, raw",r,Solea solea,Common sole,Solea solea,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901417,Finfish,Unknown,NA,36,SWO,NA,"Swordfish, skinless fillet, raw/frozen",r,Xiphias gladius,Swordfish,Xiphias gladius,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901418,Finfish,Unknown,NA,36,BFT,NA,"Tuna, skinless fillet, raw/frozen",r,Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus,NA,NA,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,NA,NA,NA,NA,NA,NA
901419,Finfish,Unknown,NA,34,ANF,NA,"Angler fish, skinless fillet, raw/frozen",r,Lophius piscatorius/Lophius budegassa,Anglerfishes nei,Lophiidae,NA,NA,4,"MON/ANK; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901420,Finfish,Unknown,NA,38,SCL,NA,"Catshark, skinless fillet, raw",r,Scyliorhinus canicula/Scyliorhinus stellaris,"Catsharks, nursehounds nei",Scyliorhinus spp,NA,NA,4,"SYC/SYT; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901421,Finfish,Unknown,NA,31,PLZ,NA,"Dab, raw, skinless fillet, raw/frozen",r,Limanda limanda/Microstomus kitt,Righteye flounders nei,Pleuronectidae,NA,NA,4,"DAB/LEM; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901422,Finfish,Unknown,NA,33,MUX,NA,"Goatfish, skinless fillet, raw/frozen",r,Mullus barbattus/Mullus surmuletus,Surmullets(=Red mullets) nei,Mullus spp,NA,NA,2,"MUT/MUR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901423,Finfish,Unknown,NA,34,GUX,NA,"Gurnard, skinless fillet, raw/frozen",r,Trigla lucerna/Eurtigla gurnardus/Aspitrigla cuculus,"Gurnards, searobins nei",Triglidae,NA,NA,3,"GUG/GUR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901424,Finfish,Unknown,NA,31,PLZ,NA,"Halibut, skinless fillet, raw/frozen",r,Hippoglossus hippoglossus/Reinhardtius hippoglossoides,Righteye flounders nei,Pleuronectidae,NA,NA,1,"HAL/GHL; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901425,Finfish,Unknown,NA,32,LNZ,NA,"Ling, skinless fillet, raw/frozen",r,Molva molva/Molva dypterygia dypterygia,Lings nei,Molva spp,NA,NA,4,"LIN/BLI; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901426,Finfish,Unknown,NA,31,PLZ,NA,"Plaice, skinless fillet, raw/frozen",r,Pleuronectes platessa/Glyptocephalus cynoglossus,Righteye flounders nei,Pleuronectidae,NA,NA,4,"PLE/WIT; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901427,Finfish,Unknown,NA,32,GAD,NA,"Pout, skinless fillet, raw",r,Trisopterus luscus/Trisopterus minutus capelanus,Gadiformes,Gadiformes nei/Gadidae,NA,NA,1,"BIB/POD; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901428,Finfish,Unknown,NA,38,SKA,NA,"Ray, skinless fillet, raw/frozen",r,Raja clavata/Raja naevus/Raja circularis,Raja rays nei,Raja spp,NA,NA,4,"RJC/RJN/RJI; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901429,Finfish,Unknown,NA,34,SCO,NA,"Scorpionfish, skinless fillet, raw/frozen",r,Scorpaena porcus/Scorpaena scrofa/Helicolenus dactylopterus,Scorpionfishes nei,Scorpaenidae,NA,NA,1,"BBS/RSE/BRF; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901430,Finfish,Unknown,NA,33,SBX,NA,"Sea bream, skinless fillet, raw",r,Spondyliosoma cantharus/Sparus aurata/Pagellus bogaraveo,"Porgies, seabreams nei",Sparidae,NA,NA,4,"BRB/SBG/SBR; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
901431,Finfish,Unknown,NA,32,GAD,NA,"Whiting, skinless fillet, raw/frozen",r,Merlangius merlangus/Micromesistius poutassou,Gadiformes,Gadiformes nei/Gadidae,NA,NA,4,"WHG/WHB; FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3/n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,NA,NA,NA,NA,NA,NA
