page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,muscle,raw,23,NA,NA,NA,NA,15.3,NA,2,NA,NA,0.7,0.7,Anoplopoma fimbria,Anoplopoma fimbria,50,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,muscle,raw,25,NA,NA,NA,NA,5.7,0.9,1.1,NA,NA,0.35,0.42,Anoplopoma fimbria,Anoplopoma fimbria,51,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,muscle,raw,27,35,NA,1.2,12.9,15.2,NA,NA,0.011,55,NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,52,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,offal,raw,27,NA,NA,NA,12.9,14.7,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,53,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,muscle,raw,79,35,0.3,1.2,13.2,14.2,1.3,2,NA,NA,NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,54,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6437,Fish,Saltwater Fish,Sablefish,Anoplopoma fimbria,muscle,raw,72,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,Anoplopoma fimbria,Anoplopoma fimbria,55,5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.12,deep-water,fusiform / normal,bathydemersal,2740,120,marine,cine
6414,Fish,Freshwater Fish,Freshwater Drum,Aplodinotus grunniens,muscle,raw,23,NA,NA,NA,NA,3.7,NA,0.9,NA,NA,0.2,0.2,Aplodinotus grunniens,Aplodinotus grunniens,56,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,fresh,cine
6414,Fish,Freshwater Fish,Freshwater Drum,Aplodinotus grunniens,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplodinotus grunniens,Aplodinotus grunniens,57,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,fresh,cine
6414,Fish,Freshwater Fish,Freshwater Drum,Aplodinotus grunniens,muscle,raw,27,52,0.7,1.05,18.5,2.5,NA,NA,NA,NA,NA,NA,Aplodinotus grunniens,Aplodinotus grunniens,58,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,fresh,cine
6414,Fish,Freshwater Fish,Freshwater Drum,Aplodinotus grunniens,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aplodinotus grunniens,Aplodinotus grunniens,59,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,subtropical,fusiform / normal,demersal,NA,95,fresh,cine
