Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,species,form_clean,search,nutrient,concentration
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Atherina boyeri,1,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.22,subtropical,elongated,demersal,NA,20,freshbrackmarine,Atherina_boyeri,whole,FAO,ca_mg,NA
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,brackmarine,Auxis_rochei,muscle,FAO,ca_mg,NA
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,brackmarine,Auxis_rochei,muscle,FAO,ca_mg,NA
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,brackmarine,Auxis_rochei,muscle,FAO,ca_mg,NA
Auxis rochei,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,fusiform / normal,pelagic-neritic,NA,50,brackmarine,Auxis_rochei,muscle,FAO,ca_mg,NA
Carcharhinus limbatus,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.46,subtropical,fusiform / normal,reef-associated,100,275,brackmarine,Carcharhinus_limbatus,muscle,FAO,ca_mg,NA
Champsocephalus gunnari,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.49,polar,elongated,benthopelagic,700,66,marine,Champsocephalus_gunnari,muscle,FAO,ca_mg,NA
Chelon labrosus,2.5,plants/detritus+animals (troph. 2.2-2.79),browsing on substrate,2.59,subtropical,elongated,demersal,NA,75,freshbrackmarine,Chelon_labrosus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
Clupea harengus,2.5555555555555554,mainly animals (troph. 2.8 and up),selective plankton feeding,3.294999980926515,temperate,fusiform / normal,benthopelagic,364,45,brackmarine,Clupea_harengus,muscle,FAO,ca_mg,NA
