species_name,subgroup,calcium,zinc,iron,epa,dha,protein,fat
Coregonus artedi,finfish,18.58,2.29,0.37,0.1075,0.3835,15.9375,4.967777777777778
Coregonus autumnalis,finfish,29.4125,0.421875,0.983125,0.3,0.3,18,3.941269841269841
Coregonus clupeaformis,finfish,23.196825396825396,1.3813829787234042,0.6815079365079365,0.20838709677419356,0.445,17.725373134328358,6.148073022312373
Coregonus lavaretus,finfish,33.519999999999996,0.6088333333333333,0.36333333333333334,0.18614769,0.17853284833333333,19.213333333333335,2.6666666666666665
Crassostrea rhizophorae,mollusc,13.14,11.871063,2.39,0.1128395,0.0619544,8.444,1.532
Crassostrea virginica,mollusc,58.1578947368421,95.18923076923078,6.8921052631578945,0.15,0.14500000000000002,7.132,1.788
Ctenopharyngodon idella,finfish,54,0.91,0.46,0.012189485,0.05540675,17.15,1.475
Cyclopterus lumpus,finfish,8.65,0.8865000000000001,0.405,1.6074609933333333,1.6662046273333333,10.692307692307692,7.082758620689655
Cyprinus carpio,finfish,51.79318181818182,2.471480470588235,1.1945454545454546,0.1582371947,0.09659300080000001,17.654,3.839166666666667
Dentex sp.,finfish,249.29,0.61166,0.71,0.13979822,0.4284139,20.33,2.57
Eleutheronema tetradactylum,finfish,37,0.9,0.6,0.115452356,0.192550388,20.37,1.8475000000000001
Engraulidae,finfish,816.6666666666666,0.89,1.5150000000000001,0.5,0.9,18.76666666666667,4.4
Esox lucius,finfish,70.74673684210526,1.6055347142857144,0.4561952380952381,0.05504251721686747,0.144446019616,17.282156862745097,1.428421052631579
Gadiformes,finfish,29,0.71,0.364,0.09,0.21500000000000002,19.85,1.0433333333333332
Gadus macrocephalus,finfish,10.31764705882353,0.31481176470588235,0.19647058823529412,0.09697865986666668,0.10293741766666667,17.986206896551725,1.0729885057471265
Gadus morhua,finfish,15.439823008849558,1.130507042253521,1.3454117647058823,1.0449232114382023,0.9267301962696629,16.278169014084508,6.971009615384615
Gasterochisma melampus,finfish,11,0.5,0.9,0.087873,0.32737,23.9,2
Hexaplex trunculus,mollusc,736.2666666666667,169,11.333333333333334,0.644600279,0.734312688,17.925,5.3
Hippoglossus hippoglossus,finfish,15.5,0.4,0.5,0.21465714285714288,0.30694285714285713,19.520289855072463,3.0555172413793104
Hippoglossus stenolepis,finfish,28,0.19,0.095,0.1,0.3,18.73846153846154,3.5277906976744187
Homarus americanus,crustacean,31.3,2.9454545454545453,1.4433333333333334,0.24,0.12,17.05,5.36
Homarus gammarus,crustacean,35.25,3.3,1.02,0.028,0.178,15.425,6.146000000000001
Ictalurus punctatus,finfish,46,0.815,1,0.1,0.2,17.330000000000002,4.138888888888889
Isurus oxyrinchus,finfish,12,0.4,1.2,0.0253916,0.205086,21,1.2
Labeo rohita,finfish,31.95,1.15,0.84,0.0366832,0.1238058,15.85,2.1666666666666665
Lamna nasus,finfish,10,0.4,1.8,0.0310271,0.288873,19,1.3
Lampris guttatus,finfish,6,0.3,1,0.03002,0.1659,23.4,1
Lates calcarifer,finfish,8.8,1.1,0.7,0.014318667,0.090058148,19.22,1.8125
Lepisosteidae,finfish,29,0.5,0.4,0.14,0.72,20.2,1.55
Leuciscus cephalus,finfish,61.5,0.5,0.6,0.074893,0.064194,19.5,1.4666666666666666
Leuciscus idus,finfish,60,0.55,0.55,0.128231,0.06749,19,1.5666666666666667
Litopenaeus vannamei,crustacean,24.7,1.47,1.22,9.46,9.99,NaN,NaN
Liza aurata,finfish,6.9,0.193032,0.16,0.2674728785,0.065987167,21.3,4.04
Liza parsia,finfish,66,0.84,1.3,0.4,0.12,16.1,14.3
Loligo vulgaris,mollusc,13.05,1.26,5.44945,0.16027233533333332,0.38646646133333334,16.720000000000002,1.59625
Lota lota,finfish,43.84654135338346,1.2256044166666666,0.8873287671232877,0.426,0.5553611111111111,17.574162679425836,6.11190114068441
Lucioperca lucioperca,finfish,52.5,0.8,0.7,0.0358448,0.0529336,20.5,0.8400000000000001
Melanogrammus aeglefinus,finfish,23.623255813953488,0.5563255813953488,0.6794418604651163,0.07580792441666667,0.15955052658333335,18.41627906976744,0.724392523364486
Mercenaria mercenaria ,mollusc,49,2.3,2.8,0.09,0.08,9.2,0.8
Meretrix lusoria,mollusc,94.798,1.6873333333333334,13.215,0.221,0.3755,NaN,NaN
Merlangius merlangus,finfish,59.131699999999995,1.35225,5.2246749999999995,0.04605189,0.1720236,15.991999999999999,1.091
Merluccius productus,finfish,41.475,0.35105,0.25,0.19129782793333333,0.19458735146666667,15.59551724137931,2.0851724137931034
Micropogonias undulatus,finfish,56,0.3855,0.976,0.1,0.1,18.32,2.4
Microstomus pacificus,finfish,37.475675675675674,0.22831500000000002,0.202,0.08,0.09,13.740142857142857,2.0926136363636365
Morone saxatillis,finfish,15,0.32333333333333336,0.8200000000000001,0.2,0.6,17.1,3.25
Mugil cephalus,finfish,90.91081081081082,0.56704,1.424,0.34990191553333333,0.34161755293333335,19.31346153846154,4.031818181818181
Mullus surmuletus,finfish,56.936875,1.7376,7.456275000000001,0.348,0.669,17.536,8.303333333333333
Mya arenaria,mollusc,53,1.7,40.5,0.2,0.2,10.7,1.4666666666666666
Mya spp,mollusc,172,3.9,2.5,0.2,0.1,NaN,NaN
Mytilidae,mollusc,101,3.63,17,0.13,0.17,13.6,1.09
Mytilus edulis,mollusc,45.365591397849464,2.512686567164179,8.966417910447761,0.15416666666666667,0.17622727272727273,10.016666666666667,1.7097142857142857
Mytilus galloprovincialis,mollusc,59.21176470588235,2.6741176470588237,4.280588235294117,0.259369262,0.171158012,9.510909090909092,1.7508333333333332
Nephropidae,crustacean,34,2.54,0.935,0.18733333333333332,0.108,18.6,1.2
Nephrops norvegicus,crustacean,85.9,1.51,2.9629375,0.037217193428571424,0.044664452714285714,18.93,0.4625
Octopoda,mollusc,30.714285714285715,1.68,3.07,0.1,0.1,15.944444444444445,2.07
Octopus vulgaris,mollusc,32.75,1.77,3.9282,0.05122852083333333,0.08971778983333334,13.397499999999999,0.623
Ompok pabda,finfish,91,0.9,0.46,0.068,0.1,16.2,9.5
Oncorhynchus gorbuscha,finfish,13.129032258064516,0.5344354838709677,0.8935436893203884,0.4051798332738095,0.5909465058333333,19.99514563106796,4.419063444108762
Oncorhynchus keta,finfish,11.465587044534413,0.8260000000000001,0.5198484848484849,0.3165,0.497,17.28723404255319,4.274172185430464
Oncorhynchus kisutch,finfish,49.792,0.40896,267.2971014492754,3.5873757575757574,8.84675,20.73384879725086,8.667199124726478
Oncorhynchus mykiss,finfish,50.42605263157895,3.1350000000000002,671.5123353293413,0.27727186746987953,0.891995156626506,20.547835616438356,4.749768518518518
Oncorhynchus nerka,finfish,41.733067729083665,0.5822857142857143,0.722390438247012,0.7797499999999999,1.3863053892215569,19.8987987987988,9.158694779116466
Oncorhynchus tshawytscha,finfish,24.633333333333333,0.6119354838709677,1.4636032388663969,0.6740967741935484,0.5721532258064516,17.38724557522124,9.360855199222547
Oncorhyncus spp,finfish,6,0.5,0.9,0.2,0.3,NaN,5
Oreochromis niloticus,finfish,339.6666666666667,4.1,1.9533333333333334,0.045388721666666666,0.12584703077777779,19.298,2.0116666666666667
Osmerus mordax,finfish,69.33333333333333,1.75,0.8,0.12,0.18,17.5,3.861428571428571
Ostreidae,mollusc,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183,8.925,1.96
Pagellus bogaraveo,finfish,57.333333333333336,0.2916666666666667,0.16,0.018,0.21733333333333335,NaN,0.5633333333333334
Pampus argenteus,finfish,26.3,1.08,0.42000000000000004,0.021090646,0.48611367,18.682499999999997,2.58
Pangasianodon hypophthalmus,finfish,8.6,0.65,0.69,0.013,0.037,16,17.7
Pangasianodon hypophthalmus (juvenile),finfish,59,1.1,2.7,0.038,0.06,18.6,1.4
Parastromateus niger,finfish,23.8,1.1,0.8,0.127431626,0.230262552,18.983333333333334,3.182
Patagonotothen ramsayi,finfish,8.635,0.6825,0.3265,0.09713833225,0.26354178325,16.972,0.9725
Pectinidae,mollusc,26.4,1.085,0.499,0.14500000000000002,0.14,15.325,0.8166666666666667
Penaeus monodon,crustacean,25.9,1.73,3.07,8.58,14.9,NaN,1.02
Perca flavescens,finfish,70.62181818181818,0.92908675,0.43343750000000003,0.0833975,0.17608388716666667,17.91375,2.3419444444444446
Perca fluviatilis,finfish,32.47,0.52003575,0.14250000000000002,0.11807202038461538,0.3217574818461538,18.14,1.0913793103448275
Percidae,finfish,110,642.76,0.6,0.054,0.245,16.5,1
Pleuronectes platessa,finfish,28,0.48,0.19,0.174054112,0.158101627,15.9,1.2166666666666668
Pleuronectinae,finfish,23.5,0.78,0.55,0.192,0.1165,17.5,1.35
Pollachius virens,finfish,10,0.38,0.25,0.07144178949999999,0.21358160199999998,18.5,1.0414285714285714
Pomacea canaliculata,mollusc,444,6.9,48,6.68e-4,7.1e-4,11.6,0.1
Pomatomus saltatrix,finfish,47.36,0.791,2.233,0.3987693467857143,0.885311295,19.080000000000002,4.482567567567568
Portunus pelagicus,crustacean,116.375,3.325,0.47000000000000003,0.08911596,0.073990619999999993,19.846666666666668,0.8471428571428572
Psetta maxima,finfish,30.5,0.12,3.485,0.0941512,0.2685449,17.325,1.3366666666666667
Pseudopleuronectes americanus,finfish,13.1,0.397,0.1015,0.07,0.12,18.95,1.328
Puntius sophore,finfish,887.4,4.105,7.25,0.04,0.086,15.95,5.375
Rastrelliger kanagurta,finfish,30.3,2.3,1.3,0.193181104,0.5934589,18.305,4.101111111111111
Reinhardtius hippoglossoides,finfish,12.404347826086957,0.39555555555555555,0.6261538461538462,0.725,0.635,13.289855072463768,12.167741935483871
Salmo salar,finfish,16.085714285714285,0.675,0.8071428571428572,0.3809514243574879,1.099985339178744,19.467708333333334,8.090961538461539
Salvelinus alpinus,finfish,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665,22.4,7.3
Salvelinus fontinalis,finfish,29.004191616766466,0.687562874251497,0.6602874251497006,0.1377821782178218,0.24411881188118814,18.8752508361204,2.9280821917808217
Salvelinus namaycush,finfish,18.218536585365854,1.8466789667896677,1.1432988929889298,0.22172549019607843,0.5730980392156864,18.245604395604396,5.3166336633663365
Salvelinus naresi,finfish,9,0.5,0.7,0.4,0.2,NaN,2.8666666666666667
Sander lucioperca,finfish,57.53333333333333,0.6716205,0.19,0.0205856074,0.047166375499999996,18.478571428571428,0.9155555555555556
Sarda sarda,finfish,47.81583333333333,0.9820833333333333,6.184166666666666,0.32097927333333337,0.15211859533333333,21.187333333333335,7.047058823529412
Sardinella fimbriata,finfish,51.4,1.6,1.1,0.11797113,0.46917254,17.1,2.13
Sardinella sp.,finfish,398.52,1.56702,1.83,0.004056171,0.032681149,20.69,0.17
Scomber scombrus,finfish,10,0.44633333333333336,1.1320000000000001,1.0600581595555556,2.076712586666667,18.205263157894738,13.112769230769231
Scomber spp.,finfish,23,0.519,705,1.45,2.16,19.25,15.600000000000001
Sebastes caurinus,finfish,13,0.31,0.2,0.1911751816,0.313808162,17.4,2.962
Sebastes norvegicus,finfish,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001,18.00851063829787,3.126923076923077
Sebastes pinniger,finfish,9,0.4,0.4,0.21428247720000002,0.3234559245,18.619,2.25
Sebastes spp.,finfish,12,0.3385,0.53,0.2565,0.35950000000000004,18.9,2.6375
Sepia officinalis,mollusc,24.7,1.77,3.71025,0.1165378896,0.2144767114,16.634285714285713,1.22
Silurus glanis,finfish,25.5,0.7033333333333334,0.6,0.129915196,0.21424307999999997,17.723333333333333,2.432
Solea solea,finfish,63.999925,1.892725,8.595225,0.028048299,0.08718377,18.439999999999998,1.2383333333333333
Sparidae,finfish,48.333333333333336,0.9466666666666667,0.785,0.14950000000000002,0.1865,17.82,3.5
Squalus acanthias,finfish,11,0.613,1.25,0.7,1.2,20.275000000000002,13.35909090909091
Stenodus leucichthys,finfish,12.950819672131148,0.3,0.3016393442622951,0.2,0.2,18.02,6.620329670329671
Tenualosa ilisha,finfish,67.90357142857142,1.75,1.5499999999999998,1.2,0.31,16.37857142857143,12.162142857142857
Tenualosa ilisha (juvenile),finfish,500,1.8,2.5,0.43,0.23,19,7.7
Thaleichthys pacificus,finfish,194.82857142857142,1.3,1.1333333333333333,0.12,0.18,13.396899224806202,30.643992248062016
Theragra chalcogramma,finfish,12.366666666666667,0.3887,0.19333333333333333,0.049189983666666666,0.10641627733333334,14.19375,1.3655555555555556
Thunnus alalunga,finfish,18,0.5,0.6,0.30472571428571427,0.9745257142857143,21.367272727272727,5.594761904761905
Thunnus spp.,finfish,8.666666666666666,0.33999999999999997,1.4,0.4,1.2,24.875,5.333333333333333
Thymallus arcticus,finfish,265.46379310344827,0.7,1,0.082775,0.15582926829268293,21.577464788732392,1.725
Tilapia pra,finfish,621.6,1.3209,0.83,0.039166696,0.133166766,17.53,4.35
Tinca tinca,finfish,63,1.1,0.8500000000000001,0.037115923,0.07158984,19,1.17
Trachurus trachurus,finfish,272.0366666666667,2.253058333333333,7.299166666666666,0.27600635242105265,0.565014684,18.56421052631579,5.4936842105263155
Xiphias gladius,finfish,39,1.3,1.2,0.754083,1.53818,17.7,12.2
