species_name,part,nutrient,concentration,reference,reksten_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
Stolephorus indicus,whole,protein,20,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten12,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,protein,22,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten13,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,protein,20,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten14,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,protein,21,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten16,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,protein,19,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten17,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,protein,22,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten18,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,protein,21,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten19,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,fat,2.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten20,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,fat,2.2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten21,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,fat,2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten22,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,fat,2.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten23,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,fat,2.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten24,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,fat,2.5,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten25,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,fat,2.2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,fat,1.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten27,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,fat,2.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten28,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,fat,3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten29,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,fat,0.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten30,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,fat,1.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten31,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,fat,1.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten32,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,fat,0.5,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten33,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,fat,1.1,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,fat,0.9,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten35,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,fat,1.2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten36,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,fat,1,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten37,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,fat,0.51,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten38,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,epa,0.129,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten39,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,epa,1.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten40,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,epa,0.0563,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten41,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,epa,0.246,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten42,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,epa,0.12,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten43,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,epa,0.112,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten44,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,epa,0.167,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,epa,0.128,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten46,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,epa,0.141,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten47,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,epa,0.25,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten48,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,epa,0.05,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten49,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,epa,0.0733,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten50,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,epa,0.041,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten51,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,epa,0.0233,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten52,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,epa,0.0127,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,epa,0.019,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten54,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,epa,0.0513,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten55,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,epa,0.083,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten56,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
