food_item_id,subgroup,country_region,type_farmed_wild,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name
901348,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,CSO,Pacu,"Pirapatinga, wild, skinless, boneless fillets, raw",r,Colossoma mitrei,Pacu,Piaractus mesopotamicus
901349,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Piapara,"wild, skinless, boneless fillets, raw",r,Leporinus elongatus,NA,Anostomidae
901350,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,LPD,Piau,"wild, skinless, boneless fillets, raw",r,Leporinus friderici,NA,Leporinus friderici
901351,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,UDC,Pintado,"Spotted sorubim, wild, skinless, boneless fillets, raw",r,Pseudoplatystoma corruscans,Spotted sorubim,Pseudoplatystoma corruscans
901352,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Piranha,"wild, skinless, boneless fillets, raw",r,Serrasalmus marginatus,NA,Characidae
901353,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,12,TLN,Tilápia,"Nile tilapia, wild, skinless, boneless fillets, raw",r,Oreochromis niloticus,Nile tilapia,Oreochromis niloticus
901354,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,13,NA,Traíra,"wild, skinless, boneless fillets, raw",r,Hoplias malabaricus,NA,Erythrinidae
901355,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",NA,23,TRO,Truta,"wild, skinless, boneless fillets, raw",r,Salmus sp.,Trouts nei,Salmo spp
901367,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",NA,12,TLM,NA,"Tilapia, wild, boneless flesh, raw",r,Oreochromis mossambicus,Mozambique tilapia,Oreochromis mossambicus
901368,Finfish,"Sri Lanka, Nikaweratiya, Magala tank",NA,13,FSS,Lulla (Sinhala)/Viral (Tamil),"Snakehead, wild, boneless flesh, raw",r,Ophicephalus striatus,Striped snakehead,Channa striata
901369,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",NA,13,GOU,Weligouva (Sinhal)/Uluvai (Tamil),"Goby, wild, boneless flesh, raw",r,Glossogobius giurias,Tank goby,Glossogobius giurias
901370,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,GPW,NA,"Waker, muscle tissue, raw",r,Epinephelus aeneus,Waker,Epinephelus aeneus
901371,Finfish,Unknown (samples obtained from local fish market in Adana),NA,34,GUU,NA,"Tub gurned, muscle tissue, raw",r,Trigla lucerna,Tub gurnard,Chelidonichthys lucerna
901372,Finfish,Unknown (samples obtained from local fish market in Adana),NA,32,WHG,NA,"Whitting, muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus
901373,Finfish,Unknown (samples obtained from local fish market in Adana),NA,37,MAC,NA,"Mackerel, muscle tissue, raw",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus
901374,Finfish,Unknown (samples obtained from local fish market in Adana),NA,37,BLU,NA,"Blue fish, muscle tissue, raw",r,Pomatomus saltator,Bluefish,Pomatomus saltatrix
901375,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,SBG,NA,"Sea bream, muscle tissue, raw",r,Sparus auratus,Gilthead seabream,Sparus aurata
901376,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,BSS,NA,"Sea bass, muscle tissue, raw",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax
901377,Finfish,Unknown (samples obtained from local fish market in Adana),NA,33,SRI,NA,"Marbled spinefoot, muscle tissue, raw",r,Siganus rivulatus,Marbled spinefoot,Siganus rivulatus
901392,Finfish,Unknown,NA,11,FCP,NA,"Carp, muscle tissue, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio
901393,Finfish,Unknown,NA,11,BIC,NA,"Bighead carp, muscle tissue, raw",r,Aristichthys nobilis,Bighead carp,Hypophthalmichthys nobilis
901394,Finfish,Unknown,NA,13,FPI,NA,"Pike, muscle tissue, raw",r,Esox lucius,Northern pike,Esox lucius
901395,Finfish,New Zealand,W,38,CAH,NA,"Elephant fish, wild, skinless fillet, frozen",r,NA,"Elephantfishes, etc. nei",(Callorhinchidae)
901398,Finfish,Unknown,NA,11,FCY,Shir-bot,"Barb, fillet, raw",r,Barbus grypsus,NA,Cyprinidae
901399,Finfish,Unknown,NA,11,FCY,Berzem,"Barb, fillet, raw",r,Barbus barbilus,NA,Cyprinidae
901400,Finfish,Unknown,NA,11,FCP,Capoor,"Common carp, fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio
901401,Finfish,Unknown,NA,23,TRS,Ghezel-ala,"Sea trout, fillet, raw",r,Salmo trutta,Sea trout,Salmo trutta
901402,Finfish,Unknown,NA,35,ANE,NA,"Anchovy, skinless fillet, raw",r,Engraulis encrasicolus,European anchovy,Engraulis encrasicolus
901403,Finfish,Unknown,NA,32,COD,NA,"Cod, skinless fillet, raw/frozen",r,Gadus morhua,Atlantic cod,Gadus morhua
901404,Finfish,Unknown,NA,22,ELE,NA,"Eel, skinless fillet, raw",r,Anguilla anguilla,European eel,Anguilla anguilla
901405,Finfish,Unknown,NA,34,ORY,NA,"Emperor, skinless fillet, raw/frozen",r,Hoplostethus atlanticus,Orange roughy,Hoplostethus atlanticus
901406,Finfish,Unknown,NA,23,RNG,NA,"Grenadier, skinless fillet, raw/frozen",r,Coryphaenoides rupestris,Roundnose grenadier,Coryphaenoides rupestris
901407,Finfish,Unknown,NA,32,HAD,NA,"Haddock, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus
901408,Finfish,Unknown,NA,32,HKE,NA,"Hake, skinless fillet, raw/frozen",r,Merluccius merluccius,European hake,Merluccius merluccius
901409,Finfish,Unknown,NA,34,JOD,NA,"John dory, skinless fillet, raw/frozen",r,Zeus faber,John dory,Zeus faber
901410,Finfish,Unknown,NA,37,MAC,NA,"Mackerel, skinless fillet, raw/frozen",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus
901411,Finfish,Unknown,NA,32,POL,NA,"Pollack, skinless fillet, raw",r,Pollachius pollachius,Pollack,Pollachius pollachius
901412,Finfish,Unknown,NA,32,POK,NA,"Saithe, skinless fillet, raw/frozen",r,Pollachius virens,Saithe,Pollachius virens
901413,Finfish,Unknown,NA,23,SAL,NA,"Salmon, skinless fillet, raw/frozen",r,Salmo salar,Atlantic salmon,Salmo salar
901414,Finfish,Unknown,NA,35,PIL,NA,"Sardine, skin-on fillet, raw",r,Sardina pilchardus,European pilchard,Sardina pilchardus
901415,Finfish,Unknown,NA,33,BSS,NA,"Seabass, skinless fillet, raw/frozen",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax
901416,Finfish,Unknown,NA,31,SOL,NA,"Sole, skinless fillet, raw",r,Solea solea,Common sole,Solea solea
901417,Finfish,Unknown,NA,36,SWO,NA,"Swordfish, skinless fillet, raw/frozen",r,Xiphias gladius,Swordfish,Xiphias gladius
901418,Finfish,Unknown,NA,36,BFT,NA,"Tuna, skinless fillet, raw/frozen",r,Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus
901419,Finfish,Unknown,NA,34,ANF,NA,"Angler fish, skinless fillet, raw/frozen",r,Lophius piscatorius/Lophius budegassa,Anglerfishes nei,Lophiidae
901420,Finfish,Unknown,NA,38,SCL,NA,"Catshark, skinless fillet, raw",r,Scyliorhinus canicula/Scyliorhinus stellaris,"Catsharks, nursehounds nei",Scyliorhinus spp
901421,Finfish,Unknown,NA,31,PLZ,NA,"Dab, raw, skinless fillet, raw/frozen",r,Limanda limanda/Microstomus kitt,Righteye flounders nei,Pleuronectidae
901422,Finfish,Unknown,NA,33,MUX,NA,"Goatfish, skinless fillet, raw/frozen",r,Mullus barbattus/Mullus surmuletus,Surmullets(=Red mullets) nei,Mullus spp
901423,Finfish,Unknown,NA,34,GUX,NA,"Gurnard, skinless fillet, raw/frozen",r,Trigla lucerna/Eurtigla gurnardus/Aspitrigla cuculus,"Gurnards, searobins nei",Triglidae
901424,Finfish,Unknown,NA,31,PLZ,NA,"Halibut, skinless fillet, raw/frozen",r,Hippoglossus hippoglossus/Reinhardtius hippoglossoides,Righteye flounders nei,Pleuronectidae
901425,Finfish,Unknown,NA,32,LNZ,NA,"Ling, skinless fillet, raw/frozen",r,Molva molva/Molva dypterygia dypterygia,Lings nei,Molva spp
901426,Finfish,Unknown,NA,31,PLZ,NA,"Plaice, skinless fillet, raw/frozen",r,Pleuronectes platessa/Glyptocephalus cynoglossus,Righteye flounders nei,Pleuronectidae
901427,Finfish,Unknown,NA,32,GAD,NA,"Pout, skinless fillet, raw",r,Trisopterus luscus/Trisopterus minutus capelanus,Gadiformes,Gadiformes nei/Gadidae
901428,Finfish,Unknown,NA,38,SKA,NA,"Ray, skinless fillet, raw/frozen",r,Raja clavata/Raja naevus/Raja circularis,Raja rays nei,Raja spp
901429,Finfish,Unknown,NA,34,SCO,NA,"Scorpionfish, skinless fillet, raw/frozen",r,Scorpaena porcus/Scorpaena scrofa/Helicolenus dactylopterus,Scorpionfishes nei,Scorpaenidae
901430,Finfish,Unknown,NA,33,SBX,NA,"Sea bream, skinless fillet, raw",r,Spondyliosoma cantharus/Sparus aurata/Pagellus bogaraveo,"Porgies, seabreams nei",Sparidae
901431,Finfish,Unknown,NA,32,GAD,NA,"Whiting, skinless fillet, raw/frozen",r,Merlangius merlangus/Micromesistius poutassou,Gadiformes,Gadiformes nei/Gadidae
901432,Molluscs,Unknown,NA,57,CTC,NA,"Cuttle fish, edible flesh, raw/frozen",r,Sepia officinalis,Common cuttlefish,Sepia officinalis
901433,Molluscs,Unknown,NA,55,SCE,NA,"Great scallop, edible flesh, raw/frozen",r,Pecten maximus,Great Atlantic scallop,Pecten maximus
901434,Crustacean,Unknown,NA,43,LBE,NA,"Lobster, edible flesh raw/frozen",r,Homarus gammarus,European lobster,Homarus gammarus
901436,Molluscs,Unknown,NA,57,OCC,NA,"Octopus, edible flesh raw/frozen",r,Octopus vulgaris,Common octopus,Octopus vulgaris
901438,Crustacean,Unknown,NA,45,DCP,NA,"Shrimp, edible flesh, raw/frozen",r,Palaemon serratus/Crangon crangon,Natantian decapods nei,"Natantia/Palaemonidae, Crangonidae"
901439,Molluscs,Unknown,NA,57,SQR,NA,"Squid, edible flesh raw/frozen",r,Loligo vulgaris,European squid,Loligo vulgaris
901452,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,36,COM,Tenggiri papan,"Spanish mackerel, fillet, raw",r,Scomberomorus commersonii,Narrow-barred Spanish mackerel,Scomberomorus commerson
901453,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,38,RBY,Pari,"Whiptail stingray, fillet, raw",r,Gymnura spp.,Butterfly rays,Gymnura spp.
901454,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,33,FOT,Senangin,"Fourfinger threadfin, fillet, raw",r,Eleutheronema tradactylum,Fourfinger threadfin,Eleutheronema tradactylum
901455,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,33,CAE,Sembilang,"Striped sea catfish, fillet, raw",r,Plotosus spp.,Eeltail catfishes,Plotosus spp.
901456,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,37,POB,Bawal Hitam,"Black pomfret, fillet, raw",r,Parastromateus niger,Black pomfret,Parastromateus niger
901457,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,37,SIP,Bawal Putih,"Silver pomfret, fillet, raw",r,Pampus argenteus,Silver pomfret,Pampus argenteus
901458,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,35,FRS,Tamban,"Fringescale sardine, fillet, raw",r,Clupea fimbriata,Fringescale sardinella,Sardinella fimbriata
901459,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,37,HAS,Cencaru,"Hardtail pomfret, fillet, raw",r,Magalapsis cordyla,Torpedo scad,Megalapsis cordyla
901460,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,37,RAG,Kembung,"Indian mackerel, fillet, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901461,Finfish,"Unknown (samples from local fish markets, Malaysia)",NA,37,TRY,Selar Kuning,"Yellow striped scad, fillet, raw",r,Selarides leptolejus,Yellowstripe scad,Selaroides leptolepis
901470,Finfish,"Unknown (samples from local fish market in Riyadh, Saudi Arabia)",NA,36,SSM,Kanad,"Spanish mackerel, muscle tissue (dorsal fillet), raw",r,Scomberomorus maculatus,Atlantic Spanish mackerel,NA
901471,Finfish,"Unknown (samples from local fish market in Riyadh, Saudi Arabia)",NA,33,ENI,Hammour,"Grouper, muscle tissue (dorsal fillet), raw",r,Epinephelus coioides,Orange-spotted grouper,Epinephelus coioides
901472,Finfish,"Unknown (samples from local fish market in Riyadh, Saudi Arabia)",NA,37,NGU,Hammam,"Yellow-spotted trevally, muscle tissue (dorsal fillet), raw",r,Carangoides fulvoguttatus,Yellowspotted trevally,NA
901481,Finfish,"Unknown (samples from local fish market, India)",NA,11,LRH,NA,"Rohu, meat, raw",r,Labeo rohita,Roho labeo,Labeo rohita
901482,Finfish,"Unknown (samples from local fish market, India)",NA,11,CTT,NA,"Catla, meat, raw",r,Catla catla,Catla,Catla catla
901483,Finfish,"Unknown (samples from local fish market, India)",NA,11,CMG,NA,"Mrigal, meat, raw",r,Cirrhinus mrigala,Mrigal carp,Cirrhinus mrigala
901484,Finfish,"Unknown (samples from local fish market, India)",NA,12,TLM,NA,"Tilapia, meat, raw",r,Oreochromis mossambicus,Mozambique tilapia,Oreochromis mossambicus
901485,Finfish,"Unknown (samples from local fish market, India)",NA,11,FCP,NA,"Common carp, meat, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio
901506,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,31,SOL,NA,"Common sole, wild, edible muscle tissue, raw",r,Solea solea,Common sole,Solea solea
901507,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,31,SOL,NA,"Common sole, wild, edible muscle tissue, raw",r,Solea solea,Common sole,Solea solea
901508,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,31,SOL,NA,"Common sole, wild, edible muscle tissue, raw",r,Solea solea,Common sole,Solea solea
901509,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,31,SOL,NA,"Common sole, wild, edible muscle tissue, raw",r,Solea solea,Common sole,Solea solea
901510,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,33,MUR,NA,"Striped red mullet, wild, edible muscle tissue, raw",r,Mullus surmuletus,Surmullet,Mullus surmuletus
901511,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,33,MUR,NA,"Striped red mullet, wild, edible muscle tissue, raw",r,Mullus surmuletus,Surmullet,Mullus surmuletus
901512,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,33,MUR,NA,"Striped red mullet, wild, edible muscle tissue, raw",r,Mullus surmuletus,Surmullet,Mullus surmuletus
901513,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,33,MUR,NA,"Striped red mullet, wild, edible muscle tissue, raw",r,Mullus surmuletus,Surmullet,Mullus surmuletus
901514,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,32,WHG,NA,"Whiting, wild, edible muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus
901515,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,32,WHG,NA,"Whiting, wild, edible muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus
901516,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,32,WHG,NA,"Whiting, wild, edible muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus
901517,Finfish,"Unknown (samples from local fish market, Istanbul)",NA,32,WHG,NA,"Whiting, wild, edible muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus
901523,Finfish,"Unknown (samples from Turkey, Hatay, local fish market)",NA,13,CLZ,NA,"African catfish, fillet, raw",r,Clarias gariepinus,North African catfish,Clarias gariepinus
901528,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,36,GUT,NA,"Seer, wild, skinless, muscle flesh, raw",r,Scomberomorus guttatus,Indo-Pacific king mackerel,Scomberomorus guttatus
901529,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,24,HIL,NA,"Hilsa (marine), wild, skinless, muscle flesh, raw",r,Hilsa hilsa,Hilsa shad,Tenualosa ilisha
901530,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,35,EYP,NA,"Anchovy, wild, skinless, muscle flesh, raw",r,Thryssa purava,Oblique-jaw thryssa,Thryssa purava
901531,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,37,POB,NA,"Pomfret (Black), wild, skinless, muscle flesh, raw",r,Parastromteur niger,Black pomfret,Parastromateus niger
901532,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,OTI,NA,"Jew fish, wild, skinless, muscle flesh, raw",r,Pseudosciaena diacanthus,Blackspotted croaker,Protonibea diacanthus
901533,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,MUF,NA,"Mullet, wild, skinless, muscle flesh, raw",r,Mugil cephalus,Flathead grey mullet,Mugil cephalus
901534,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,37,RAG,NA,"Mackerel, wild, skinless, muscle flesh, raw",r,Rastrelliger kanagurta,Indian mackerel,Rastrelliger kanagurta
901535,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,34,PCX,NA,"Conger eel, wild, skinless, muscle flesh, raw",r,Muraenesox talabon,Pike-congers nei,Muraenesox spp
901536,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,37,SIP,NA,"Pomfret (White), wild, skinless, muscle flesh, raw",r,Pampus argenteus,Silver pomfret,Pampus argenteus
901537,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,37,TRE,NA,"Trevally, wild, skinless, muscle flesh, raw",r,Caranx sansun,"Jacks, crevalles nei",Caranx spp
901538,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,NNJ,NA,"Pinkperch, wild, skinless, muscle flesh, raw",r,Nemipterus japonicus,Japanese threadfin bream,Nemipterus japonicus
901539,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,35,FRS,NA,"Lesser sardine, wild, skinless, muscle flesh, raw",r,Sardinella fimbriata,Fringescale sardinella,Sardinella fimbriata
901540,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,OYD,NA,"Thread fins, wild, skinless, muscle flesh, raw",r,Polynemus indicus,Indian threadfin,Leptomelanosoma indicum
901541,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,BUC,NA,"Bombay duck, wild, skinless, muscle flesh, raw",r,Harpodon nehereus,Bombay-duck,Harpadon nehereus
901542,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,25,GIP,NA,"Giant perch (marine), wild, skinless, muscle flesh, raw",r,Lates calcarifer,Barramundi,Lates calcarifer
901543,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,38,RSK,NA,"Shark, wild, skinless, muscle flesh, raw",r,Scoliodon sorrakowah,Requiem sharks nei,Carcharhinidae
901544,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,33,CAX,NA,"Cat fish, wild, skinless, muscle flesh, raw",r,Tachysurus zona,NA,Ariidae
901545,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,13,KNA,NA,"Murrel, wild, skinless, muscle flesh, raw",r,Ophiocephalus marules,Great snakehead,Channa marulius
901546,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,11,LRH,NA,"Rohu, wild, skinless, muscle flesh, raw",r,Labeo rohita,Roho labeo,Labeo rohita
901547,Finfish,"Unknown (samples from local fish market, Hyderabad, India)",NA,11,CTT,NA,"Catla, wild, skinless, muscle flesh, raw",r,Catla catla,Catla,Catla catla
901548,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,13,FSI,Armadillo,"muscle flesh, skinless, raw",r,Hypostomus watwata,Freshwater siluroids nei,Siluroidei
901549,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,13,PLR,Bocachico,"Netted prochilod, muscle flesh, skinless, raw",r,Prochilodus reticulatus,Netted prochilod,Prochilodus reticulatus
901550,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,13,CSM,Cachama,"Cachama, muscle flesh, skinless, raw",r,Colossoma macropomum,Cachama,Colossoma macropomum
901551,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,MOJ,Carpeta,"muscle flesh, skinless, raw",r,Eugerres plumieri,Mojarras(=Silver-biddies) nei,Gerres spp
901552,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,YNA,Corvina,"Acoupa weakfish, muscle flesh, skinless, raw",r,Cynoscion maracaiboensis,Acoupa weakfish,Cynoscion acoupa
901553,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,MGU,Lisa,"White mullet, muscle flesh, skinless, raw",r,Mugil curema,White mullet,Mugil curema
901554,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,32,HOF,Merluza,"Offshore silver hake, muscle flesh, skinless, raw",r,Merluccius albidus,Offshore silver hake,Merluccius albidus
901555,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,GPN,Mero,"Nassau grouper, muscle flesh, skinless, raw",r,Epinephelus striatus,Nassau grouper,Epinephelus striatus
901556,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,LJU,Pargo,"Blackfin snapper, muscle flesh, skinless, raw",r,Lutjanus buccanella,Blackfin snapper,Lutjanus buccanella
901557,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,33,SNO,Robalo,"Common snook, muscle flesh, skinless, raw",r,Centropomus undecimalis,Common snook,Centropomus undecimalis
901558,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,12,TLP,Tilapia,"Tilapia, muscle flesh, skinless, raw",r,Oreochromis sp.,Tilapias nei,Oreochromis (=Tilapia) spp
901559,Finfish,"Unknown (sampled in Venezuela, Maracaibo, local fish market)",NA,23,TRR,Trucha,"Rainbow trout, muscle flesh, skinless, raw",r,Oncorhynchus mykiss,Rainbow trout,Oncorhynchus mykiss
901585,Finfish,Unknown,NA,13,BNC,Matrinxã,"Matrinxã, dorsolateral fillet, skin-on, raw",r,Brycon cephalus,NA,Brycon cephalus
901657,Finfish,"Unknown (samples from fish market, Hangzhou, China)",NA,11,FCG,NA,"Grass carp, skinless, boneless fillet, raw",r,Ctenopharyngodon idellus,Grass carp(=White amur),Ctenopharyngodon idellus
901694,Finfish,"India, Tamilnadu, Tuticorin fish-landing center",NA,36,SKJ,NA,"Skipjack tuna, wild, steak, raw",r,Katsuwonus pelamis,Skipjack tuna,Katsuwonus pelamis
901707,Finfish,Unknown,NA,23,COH,Salmón coho,"Salmon, skinless fillet, frozen",r,Oncorhynchus kisutch,Coho(=Silver)salmon,Oncorhynchus kisutch
901711,Finfish,Unknown (samples from fish market in Mexico City),NA,36,ALB,Albacora,"Albacore, fillet, raw",r,Thunnus alalunga,Albacore,Thunnus alalunga
901712,Finfish,Unknown (samples from fish market in Mexico City),NA,38,RGM,Aleta mantarraya,"California butterfly ray, fillet, raw",r,Gymnura marmorata,California butterfly ray,Gymnura marmorata
901713,Finfish,Unknown (samples from fish market in Mexico City),NA,36,BFT,Atún,"Atlantic bluefin tuna, fillet, raw",r,Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus
901714,Finfish,Unknown (samples from fish market in Mexico City),NA,33,BEM,Bagre,"Gafftopsail sea catfish, fillet, raw",r,Bagre marinus,Gafftopsail sea catfish,Bagre marinus
901715,Finfish,Unknown (samples from fish market in Mexico City),NA,33,RPU,Besuga,"Vermilion snapper, fillet, raw",r,Rhomboplites aurorubens,Vermilion snapper,Rhomboplites aurorubens
901716,Finfish,Unknown (samples from fish market in Mexico City),NA,38,CCR,Cazón,"Smalltail shark, fillet, raw",r,Carcharhinus porosus,Smalltail shark,Carcharhinus porosus
901717,Finfish,Unknown (samples from fish market in Mexico City),NA,33,LHT,Cintilla,"Largehead hairtail, fillet, raw",r,Trichiurus lepturus,Largehead hairtail,Trichiurus lepturus
901718,Finfish,Unknown (samples from fish market in Mexico City),NA,37,RUB,Cojinuda,"Blue runner, fillet, raw",r,Caranx crysus,Blue runner,Caranx crysos
901719,Finfish,Unknown (samples from fish market in Mexico City),NA,33,SNR,Huachinango golfo,"Northern red snapper, fillet, raw",r,Lutjanus campechanus,Northern red snapper,Lutjanus campechanus
901720,Finfish,Unknown (samples from fish market in Mexico City),NA,33,LWP,Huachinango pacifico,"Pacific red snapper, fillet, raw",r,Lutjanus peru,Pacific red snapper,Lutjanus peru
901721,Finfish,Unknown (samples from fish market in Mexico City),NA,37,CVJ,Jurel,"Crevalle jack, fillet, raw",r,Caranx hippos,Crevalle jack,Caranx hippos
901722,Finfish,Unknown (samples from fish market in Mexico City),NA,33,GPR,Mero,"Red grouper, fillet, raw",r,Epinephelus morio,Red grouper,Epinephelus morio
901723,Finfish,Unknown (samples from fish market in Mexico City),NA,33,DUX,Mojarra,"Caitipa mojarra, fillet, raw",r,Diapterus rhombeus,NA,Diapterus spp
