fdis,targets,replicate
2.6363702353300686,3,176
2.7306125992413524,4,177
2.6757373031193405,3,178
2.682044135803552,5,179
2.682191414061337,5,180
2.7265341913588466,5,181
2.6857214212213054,4,182
2.662628832845234,4,183
2.6941610795050734,5,184
2.6098376267791323,4,185
2.4613865953459295,5,186
2.561636751097289,4,187
2.557771594289053,5,188
2.6666381861446338,4,189
2.5456360279721357,3,190
2.626472221435846,4,191
2.679421029374471,3,192
2.760170742414931,2,193
2.7658903474493717,5,194
2.708130625138026,3,195
2.579432602626402,3,196
2.7513018675824545,3,197
2.6403225342011316,5,198
2.728430944179455,2,199
2.610994839452955,5,200
2.53677798588662,5,201
2.6640998325294727,5,202
2.6856773740969966,4,203
2.7131403914097953,4,204
2.744173446250401,4,205
2.582822054317265,5,206
2.649930167103314,5,207
2.652097400169509,3,208
2.5879321040150933,2,209
2.6794344609758345,5,210
2.6189917696826392,3,211
2.7111881985108193,2,212
2.6527435786651568,5,213
2.687015631933031,4,214
2.734325642126904,4,215
2.6690576175804415,5,216
2.614771308829342,5,217
2.5714549439742767,5,218
2.584917185388506,5,219
2.734467817241625,3,220
2.6969392351101096,5,221
2.604964032544749,4,222
2.706739942157114,3,223
2.74541972931659,4,224
2.710119414133056,3,225
2.666988235829816,4,226
2.5760217729051424,3,227
2.6568904044792223,4,228
2.6909620636868956,3,229
2.69343788424415,5,230
2.74666515845243,4,231
2.64446904909546,5,232
2.568971805982101,5,233
2.5804492048327345,5,234
2.6993752833900326,2,235
2.7124378652364234,4,236
2.6952302733046882,4,237
2.7449418967002357,5,238
2.744755167843281,4,239
2.6134597910963033,3,240
2.7250632346810395,5,241
2.6369163509881566,3,242
2.671748818203951,4,243
2.696431142002884,4,244
2.7660914353317763,2,245
2.6532284125029104,5,246
2.744618313867396,4,247
2.6779274377245668,4,248
2.64441624256816,5,249
2.64429467386578,5,250
2.6484143090223373,2,251
2.568714077571202,5,252
2.714008977168957,2,253
2.678415422921973,5,254
2.5713466934672824,2,255
2.671369428032989,5,256
2.59795663646699,4,257
2.7183653390864237,5,258
2.6079446311873506,5,259
2.6086556671736507,5,260
2.661033835463921,4,261
2.704973444767316,5,262
2.6473351698967797,4,263
2.7465805450318364,5,264
2.6643936466057085,4,265
2.7029414159110816,4,266
2.634711795632679,4,267
2.769773958756794,4,268
2.7813913808270496,2,269
2.689243883322337,2,270
2.744304466752454,3,271
2.6666553435959073,5,272
2.659423885354905,5,273
2.7153534831229784,5,274
2.551584368852683,5,275
