food_item_id,database,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_sci_name,length,length_type,length_source,tl,tl_se,n,nutrient_ref,biblioid,edible,protcnt_g,protcnp_g,prot_g,prot_g_sd,fat_g,fat_sd,fatce_g,fat_g_2,choavldf_g,chocdf_g,cho_g,ca_mg,ca_sd,ca_units,cu_mg,cu_sd,cu_units,fe_mg,fe_sd,fe_units,id_mcg,k_mg,k_sd,k_units,mn_mg,mn_sd,mn_units,se_mcg,se_sd,se_units,zn_mg,zn_sd,zn_units,vita_rae,vita_rae_sd,vita_rae_units,vit_e,vit_e_sd,vit_e_units,vitk,vitk_sd,vitk_units,retol_mcg,retolsum_mcg,chocal_mcg,vit_d,vit_d_sd,vit_d_units,tocpha_mg,thia_mg,thia_mg_2,ribf_mg,nia_mg,nia_mg_2,vitb6a_mg,vitb6_sd,vitb6_units,fol_mcg,fol_units,fol_mcg_2,vitb12_mcg,vitc_mg,vitc_sd,vitc_units,saturated_fatty_acids_total,safa_units,x22_6_n_3_dha_g,dha_units,x22_6_n_3_sd,total_n_6,n_6_units,total_n_6_sd,x20_5_n_3_epa,epa_units,x20_5_n_3_sd,total_pufa,total_pufa_units,pufa_sd,total_n_3,total_n_3_units,total_n_3_sd
NA,CINE,NA,come back,come back,NA,NA,LAKE TROUT - CREE,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,5,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,2.0,1.60,NA,NA,NA,NA,NA,5.00,1.6,mg/100g,0.03,0.01,mg/100g,0.20,0.06,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,0.4,0.12,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.4,g/100g,0.07,NA,g/100g,NA,1.0,g/100g,0.19,0.6,g/100g,0.13
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,5,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.7,0.39,NA,NA,NA,NA,NA,7.00,2.94,mg/100g,0.03,0.11,mg/100g,0.23,0.4,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,0.4,0.06,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.3,g/100g,0.1,NA,g/100g,NA,0.7,g/100g,NA,0.4,g/100g,0.09
NA,CINE,NA,come back,come back,NA,NA,PIKE - CREE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,5,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.4,0.11,NA,NA,NA,NA,NA,7.00,0.74,mg/100g,0.02,0.0,mg/100g,0.10,0.06,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,1.1,0.27,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.3,g/100g,0.09,NA,g/100g,NA,0.7,g/100g,0.21,0.4,g/100g,0.12
NA,CINE,NA,come back,come back,NA,NA,WHITEFISH - CREE,NA,r,Coregonus clupeaformis,NA,Coregonus clupeaformis,100.0,max,FishBase,3.10,0.40,1,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,1.7,come back,NA,NA,NA,NA,NA,7.60,NA,mg/100g,0.03,NA,mg/100g,0.28,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,0.55,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.39,g/100g,NA,NA,g/100g,NA,0.92,g/100g,NA,0.53,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,PIKE - CREE,NA,r,Esox lucius,NA,Esox lucius,137.0,max,FishBase,4.40,0.70,5,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.4,0.09,NA,NA,NA,NA,NA,8.00,2.1,mg/100g,0.03,0.01,mg/100g,0.10,0.07,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,1.0,0.21,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.3,g/100g,0.12,NA,g/100g,NA,0.7,g/100g,0.32,0.4,g/100g,0.2
NA,CINE,NA,come back,come back,NA,NA,CISCO,NA,r,Coregonus autumnalis,NA,Coregonus autumnalis,65.0,max,FishBase,3.60,0.60,1,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,3.4,come back,NA,NA,NA,NA,NA,11.20,NA,mg/100g,0.07,NA,mg/100g,0.46,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,1.1,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.67,g/100g,NA,NA,g/100g,NA,1.3,g/100g,NA,0.65,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,"TROUT, BROOK - CREE",NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,1,"Belinsky et al, 1996","Belinsky et al, 1996",NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,12.70,NA,mg/100g,0.40,NA,mg/100g,0.33,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,0.8,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,come back,mg/100g,NA,g/100g,NA,g/100g,NA,0.56,g/100g,NA,NA,g/100g,NA,1.6,g/100g,NA,1.0,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,BROAD WHITEFISH,NA,r,Coregonus nasus,NA,Coregonus nasus,61.0,max,FishBase,3.30,0.44,3,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,2.83,1.11,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,.,.,.,NA,NA,2,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,3.69,3.10,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SCULPIN,NA,r,Myoxocephalus spp,NA,Myoxocephalus spp,22.0,max,FishBase,3.40,0.52,1,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,1.05,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,2,"Fediuk et al, 2002","Fediuk et al, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,1.23,0.03,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,1,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,7.00,NA,mg/100g,0.10,NA,mg/100g,0.70,NA,mg/100g,NA,NA,NA,mg/100g,0.01,NA,mg/100g,NA,NA,mg/100g,0.6,NA,mg/100g,0.0,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,MUSSEL,NA,r,Mytilus edulis,NA,Mytilus edulis,2.5-7.5,range,WoRMS,NA,NA,1,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.00,NA,mg/100g,0.10,NA,mg/100g,15.00,NA,mg/100g,NA,NA,NA,mg/100g,0.16,NA,mg/100g,NA,NA,mg/100g,1.0,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,.,.,.,NA,NA,1,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.00,NA,mg/100g,0.40,NA,mg/100g,2.50,NA,mg/100g,NA,NA,NA,mg/100g,0.25,NA,mg/100g,NA,NA,mg/100g,3.9,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,SCULPIN,NA,r,Myoxocephalus spp,NA,Myoxocephalus spp,22.0,max,FishBase,3.40,0.52,1,"Kuhnlein &Soueida, 1992","Kuhnlein &Soueida, 1992",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,429.00,NA,mg/100g,NA,NA,mg/100g,0.50,NA,mg/100g,NA,NA,NA,mg/100g,0.05,NA,mg/100g,NA,NA,mg/100g,0.9,NA,mg/100g,0.0,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,CLAMS,NA,r,Mya spp,NA,Mya spp,.,.,.,NA,NA,1,"Kuhnlein et al, 1991","Kuhnlein et al, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.1,g/100g,NA,NA,g/100g,NA,0.20,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,MUSSEL,NA,r,Mytilus edulis,NA,Mytilus edulis,2.5-7.5,range,WoRMS,NA,NA,1,"Kuhnlein et al, 1991","Kuhnlein et al, 1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.1,g/100g,NA,NA,g/100g,NA,0.10,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,ARCTIC CHAR,NA,r,Salvelinus naresi,NA,Salvelinus spp,107.0,max,FishBase,4.30,0.80,1,"Kuhnlein et al, 1991","Kuhnlein et al, 1991",NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,NA,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,0.2,g/100g,NA,NA,g/100g,NA,0.40,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,TROUT,NA,r,Salvelinus namaycush,NA,Salvelinus namaycush,150.0,max,FishBase,4.30,0.70,2,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,3.9,0.04,NA,NA,NA,NA,NA,7.00,1.7,mg/100g,0.05,0.0,mg/100g,0.50,0.06,mg/100g,NA,NA,NA,mg/100g,0.01,0.0,mg/100g,NA,NA,mg/100g,0.4,0.02,mg/100g,NA,NA,NA,NA,NA,mg/100g,440.0,20.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,"WHITEFISH,CROOKEDBACK",NA,r,Coregonus spp,NA,Coregonus spp,.,.,.,.,.,1,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,9.40,NA,mg/100g,0.03,NA,mg/100g,0.50,NA,mg/100g,NA,NA,NA,mg/100g,0.01,NA,mg/100g,NA,NA,mg/100g,0.8,NA,mg/100g,NA,NA,NA,NA,NA,mg/100g,369.0,NA,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
NA,CINE,NA,come back,come back,NA,NA,INCONNU,NA,r,Stenodus leucichthys,NA,Stenodus leucichthys,150.0,max,FishBase,4.20,0.75,2,"Kuhnlein et al, 1994","Kuhnlein et al, 1994",NA,NA,NA,NA,NA,7.0,2.20,NA,NA,NA,NA,NA,10.00,3.7,mg/100g,0.03,0.0,mg/100g,0.40,0.0,mg/100g,NA,NA,NA,mg/100g,0.02,0.01,mg/100g,NA,NA,mg/100g,0.3,0.01,mg/100g,NA,NA,NA,NA,NA,mg/100g,500.0,76.0,come back,NA,NA,NA,NA,NA,mcg/100g,NA,NA,NA,NA,NA,NA,NA,come back,come back,NA,mcg/100g,NA,NA,NA,NA,mg/100g,NA,g/100g,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA,NA,g/100g,NA
