Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,page_id,latin_name,part,epa,dha
Oncorhynchus keta,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.54,temperate,fusiform / normal,benthopelagic,250,100,6446,Oncorhynchus keta,muscle,0.3165,0.497
Oncorhynchus kisutch,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.18,temperate,fusiform / normal,demersal,250,107.95,6446,Oncorhynchus kisutch,muscle,3.60675,8.84675
Oncorhynchus mykiss,2.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.53,subtropical,fusiform / normal,benthopelagic,200,122,6151,Oncorhynchus mykiss,eggs,0.459,1.44
Oncorhynchus mykiss,2.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.53,subtropical,fusiform / normal,benthopelagic,200,122,6151,Oncorhynchus mykiss,muscle,0.23375,0.76
Oncorhynchus tshawytscha,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.83,temperate,fusiform / normal,benthopelagic,375,150,6446,Oncorhynchus tshawytscha,muscle,0.676,0.5723333333333334
Osmerus mordax,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.44,temperate,elongated,pelagic-oceanic,425,35.6,6451,Osmerus mordax,muscle,0.12,0.18
Pomatomus saltatrix,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.08,subtropical,fusiform / normal,pelagic-oceanic,200,130,6437,Pomatomus saltatrix,muscle,0.4,0.8
Reinhardtius hippoglossoides,9,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.09,boreal,fusiform / normal,benthopelagic,2200,110,6152,Reinhardtius hippoglossoides,muscle,0.725,0.635
Reinhardtius hippoglossoides,9,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.09,polar,fusiform / normal,benthopelagic,2200,110,6152,Reinhardtius hippoglossoides,muscle,0.725,0.635
Salmo salar,2.15,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.76,temperate,fusiform / normal,benthopelagic,210,150,6446,Salmo salar,muscle,0.377,1.0844
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,6449,Salvelinus alpinus,muscle,0.5900000000000001,0.44499999999999995
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,6449,Salvelinus alpinus,skin,0.7,0.6
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,6151,Salvelinus fontinalis,muscle,0.13733333333333334,0.24066666666666667
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,6151,Salvelinus namaycush,muscle,0.224,0.5773333333333334
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,6442,Scomber scombrus,muscle,1.2166666666666668,2.31
Sebastes norvegicus,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic-oceanic,1000,100,6436,Sebastes norvegicus,muscle,0.093,0.07150000000000001
Sebastes norvegicus,10,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,polar,fusiform / normal,pelagic-oceanic,1000,100,6436,Sebastes norvegicus,muscle,0.093,0.07150000000000001
Sebastes pinniger,4.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.8,subtropical,fusiform / normal,demersal,838,76,6436,Sebastes pinniger,muscle,0.2,0.3
Squalus acanthias,8.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,temperate,elongated,benthopelagic,1460,95,6440,Squalus acanthias,muscle,0.7,1.2
Squalus acanthias,8.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,elongated,benthopelagic,1460,95,6440,Squalus acanthias,muscle,0.7,1.2
Stenodus leucichthys,7.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.15,boreal,fusiform / normal,demersal,NA,150,6388,Stenodus leucichthys,muscle,0.2,0.2
Thaleichthys pacificus,3,mainly animals (troph. 2.8 and up),filtering plankton,3.25,temperate,elongated,pelagic-neritic,300,34,6448,Thaleichthys pacificus,muscle,0.12,0.18
Thunnus alalunga,4.666666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.3,subtropical,fusiform / normal,pelagic-oceanic,600,140,6442,Thunnus alalunga,muscle,0.3,1
Thunnus alalunga,4.666666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.3,temperate,fusiform / normal,pelagic-oceanic,600,140,6442,Thunnus alalunga,muscle,0.3,1
Thunnus thynnus,5.333333333333333,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.21,subtropical,fusiform / normal,pelagic-oceanic,985,458,6442,Thunnus spp.,muscle,0.4,1.2
Thymallus arcticus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.32,temperate,fusiform / normal,benthopelagic,NA,76,6406,Thymallus arcticus,muscle,0.1,0.1
