"species_name","seanuts_id2","subgroup","nutrient","concentration","dri_per"
"Evasterias troscheli",1545,"mollusc","protein",11.8,23.6
"Evasterias troscheli",1546,"mollusc","protein",10,20
"Evasterias troscheli",1547,"mollusc","protein",5.7,11.4
"Gadus macrocephalus",1493,"finfish","protein",17.9,35.8
"Glyptocephalus zachirus",1541,"finfish","protein",16.7,33.4
"Haliotis rufescens",1491,"mollusc","protein",17.1,34.2
"Hippoglossoides elassodon",1539,"finfish","protein",19.2,38.4
"Hippoglossus stenolepis",1507,"finfish","protein",20.7,41.4
"Hydrolagus colliei",1513,"finfish","protein",15.1,30.2
"Lepidopsetta bilineata",1542,"finfish","protein",19.2,38.4
"Limanda aspera",1544,"finfish","protein",17,34
"Lobatus galeatus",1664,"mollusc","protein",23.7,47.4
"Lobatus galeatus",1665,"mollusc","protein",23.4,46.8
"Lobatus galeatus",1666,"mollusc","protein",23.8,47.6
"Loligo plei",678,"mollusc","protein",14.1,28.2
"Loligo vulgaris",681,"mollusc","protein",18.6,37.2
"Loligo vulgaris",682,"mollusc","protein",18.19,36.38
"Loligo vulgaris",683,"mollusc","protein",17.44,34.88
"Mactra violacea",699,"mollusc","protein",10.2,20.4
"Mactra violacea",700,"mollusc","protein",13.6,27.2
"Mactra violacea",701,"mollusc","protein",11.7,23.4
"Mactra violacea",702,"mollusc","protein",11.9,23.8
"Mactra violacea",703,"mollusc","protein",11.4,22.8
"Mactra violacea",704,"mollusc","protein",11.3,22.6
"Mactra violacea",705,"mollusc","protein",12.4,24.8
"Mactra violacea",706,"mollusc","protein",12.5,25
"Mactra violacea",707,"mollusc","protein",11.8,23.6
"Mactra violacea",708,"mollusc","protein",11.8,23.6
"Metacarcinus magister",1495,"crustacean","protein",19.3,38.6
"Metacarcinus magister",1496,"crustacean","protein",18.4,36.8
"Microstomus pacificus",1537,"finfish","protein",16.8,33.6
"Mystus vittatus",790,"finfish","protein",15.62,31.24
"Nephrops norvegicus",805,"crustacean","protein",20.4,40.8
"Nephrops norvegicus",806,"crustacean","protein",21.2,42.4
"Octopodidae",1634,"mollusc","protein",13.2,26.4
"Octopus vulgaris",818,"mollusc","protein",14.83,29.66
"Octopus vulgaris",819,"mollusc","protein",14.78,29.56
"Octopus vulgaris",820,"mollusc","protein",15.28,30.56
"Octopus vulgaris",1576,"mollusc","protein",10.2,20.4
"Oncorhynchus clarkii",1548,"finfish","protein",19.9,39.8
"Oncorhynchus gorbuscha",1531,"finfish","protein",19,38
"Oncorhynchus keta",1529,"finfish","protein",21.3,42.6
"Oncorhynchus kisutch",1532,"finfish","protein",21.7,43.4
"Oncorhynchus mykiss",1550,"finfish","protein",21.1,42.2
"Oncorhynchus nerka",1533,"finfish","protein",21.3,42.6
"Oncorhynchus tshawytscha",1530,"finfish","protein",19.5,39
"Ophiodon elongatus",1494,"finfish","protein",17.6,35.2
"Ostrea lurida",1511,"mollusc","protein",10.6,21.2
"Pandalus borealis",1535,"crustacean","protein",18.1,36.2
"Panopea generosa",1505,"mollusc","protein",15.9,31.8
"Panopea generosa",1506,"mollusc","protein",15,30
"Paralithodes camtschaticus",1497,"crustacean","protein",11.6,23.2
"Paralithodes camtschaticus",1498,"crustacean","protein",13.5,27
"Paralithodes camtschaticus",1499,"crustacean","protein",18.2,36.4
"Parapenaeus longirostris",891,"crustacean","protein",20.8,41.6
"Parapenaeus longirostris",892,"crustacean","protein",21.3,42.6
"Parophrys vetulus",1538,"finfish","protein",16.8,33.6
"Patagonotothen ramsayi",264,"finfish","protein",16.97,33.94
"Patagonotothen ramsayi",896,"finfish","protein",13.96,27.92
"Patagonotothen ramsayi",897,"finfish","protein",17.95,35.9
"Patagonotothen ramsayi",898,"finfish","protein",17.92,35.84
"Patagonotothen ramsayi",899,"finfish","protein",18.06,36.12
"Piaractus mesopotamicus",937,"finfish","protein",19,38
"Platichthys stellatus",1504,"finfish","protein",17.3,34.6
"Portunus pelagicus",60,"crustacean","protein",19.8,39.6
"Portunus pelagicus",61,"crustacean","protein",19.8,39.6
"Protothaca staminea",1636,"mollusc","protein",13.5,27
"Psettichthys melanostictus",1543,"finfish","protein",16.1,32.2
"Pseudoplatystoma corruscans",976,"finfish","protein",20,40
"Raja clavata",1536,"finfish","protein",16.3,32.6
"Salmo trutta",1305,"finfish","protein",19.8,39.6
"Salvelinus malma",1549,"finfish","protein",19.8,39.6
"Sander lucioperca",68,"finfish","protein",18.3,36.6
"Sander lucioperca",73,"finfish","protein",17.73,35.46
"Saxidomus nuttalli",1637,"mollusc","protein",13,26
"Sebastes aleutianus",1516,"finfish","protein",19.3,38.6
"Sebastes alutus",1523,"finfish","protein",19,38
"Sebastes crameri",1515,"finfish","protein",19.8,39.6
"Sebastes elongatus",1520,"finfish","protein",20.3,40.6
"Sebastes entomelas",1527,"finfish","protein",19.6,39.2
"Sebastes flavidus",1526,"finfish","protein",18.9,37.8
"Sebastes goodei",1518,"finfish","protein",20.8,41.6
"Sebastes melanops",1514,"finfish","protein",18.7,37.4
"Sebastes norvegicus",1519,"finfish","protein",18.2,36.4
"Sebastes norvegicus",1521,"finfish","protein",17.3,34.6
"Sebastes paucispinis",1517,"finfish","protein",18.6,37.2
"Sebastes pinniger",1522,"finfish","protein",18.7,37.4
"Sebastes rosaceus",1525,"finfish","protein",19.3,38.6
"Sebastes ruberrimus",1524,"finfish","protein",17.2,34.4
"Sepia officinalis",1102,"mollusc","protein",18.77,37.54
"Sepia officinalis",1103,"mollusc","protein",16.91,33.82
"Sepia officinalis",1106,"mollusc","protein",16.91,33.82
"Squalus acanthias",1500,"finfish","protein",17.4,34.8
"Squalus acanthias",1501,"finfish","protein",16.3,32.6
"Strombus gracilior",1155,"mollusc","protein",18.36,36.72
"Strombus gracilior",1156,"mollusc","protein",26.01,52.02
"Strombus gracilior",1157,"mollusc","protein",19.82,39.64
"Strombus gracilior",1158,"mollusc","protein",27.76,55.52
"Thaleichthys pacificus",1502,"finfish","protein",14.6,29.2
"Theragra chalcogramma",1512,"finfish","protein",18.9,37.8
"Thunnus alalunga",1551,"finfish","protein",25,50
"Thunnus alalunga",1552,"finfish","protein",22.8,45.6
"Ageneiosus brevifilis",290,"finfish","protein",17.77,35.54
"Alosa alosa",295,"finfish","protein",22.42,44.84
"Anabas testudineus",1964,"finfish","protein",15.5,31
"Aphanopus carbo",218,"finfish","protein",15.7,31.4
"Aphanopus carbo",234,"finfish","protein",16.9,33.8
"Ariomma bondi",327,"finfish","protein",20.8,41.6
"Ariomma bondi",328,"finfish","protein",22.3,44.6
"Aristaeomorpha foliacea",329,"crustacean","protein",20.31,40.62
"Aristaeomorpha foliacea",330,"crustacean","protein",21.86,43.72
"Aristaeomorpha foliacea",331,"crustacean","protein",22.02,44.04
"Aristaeomorpha foliacea",332,"crustacean","protein",22.23,44.46
"Aristaeomorpha foliacea",333,"crustacean","protein",22.37,44.74
"Aristaeomorpha foliacea",334,"crustacean","protein",22.66,45.32
"Aristaeomorpha foliacea",335,"crustacean","protein",22.86,45.72
"Aristaeomorpha foliacea",336,"crustacean","protein",23.92,47.84
"Aristaeomorpha foliacea",337,"crustacean","protein",24.03,48.06
"Aristaeomorpha foliacea",338,"crustacean","protein",24.63,49.26
"Atherina boyeri",354,"finfish","protein",19.41,38.82
"Atherina boyeri",1557,"finfish","protein",17.21,34.42
"Atherina lagunae",356,"finfish","protein",19.11,38.22
"Atherina lagunae",357,"finfish","protein",19.11,38.22
"Atherina sp.",355,"finfish","protein",17.86,35.72
"Bagre marinus",1366,"finfish","protein",17,34
"Belone belone",370,"finfish","protein",20.05,40.1
"Boops boops",1559,"finfish","protein",18.22,36.44
"Botia dario",1971,"finfish","protein",14.9,29.8
"Brevoortia spp.",380,"finfish","protein",19.4,38.8
"Caranx crysos",1370,"finfish","protein",14.27,28.54
"Caranx hippos",1373,"finfish","protein",21.3,42.6
"Carcharhinus limbatus",389,"finfish","protein",24.3,48.6
"Carcharhinus porosus",1368,"finfish","protein",21.15,42.3
"Centrophorus squamosus",392,"finfish","protein",20,40
"Centropomus undecimalis",76,"finfish","protein",21.61,43.22
"Centropomus undecimalis",1377,"finfish","protein",20,40
"Centroscyllium fabricii",393,"finfish","protein",17.1,34.2
"Centroscymnus coelolepis",394,"finfish","protein",20.8,41.6
"Chamelea gallina",40,"mollusc","protein",10.1,20.2
"Chamelea gallina",41,"mollusc","protein",9.04,18.08
"Chamelea gallina",49,"mollusc","protein",10.4,20.8
"Chamelea gallina",56,"mollusc","protein",8.55,17.1
"Chamelea gallina",90,"mollusc","protein",10.8,21.6
"Channa striata",80,"finfish","protein",18.6,37.2
"Chelidonichthys lucerna",421,"finfish","protein",18.96,37.92
"Chelidonichthys lucerna",422,"finfish","protein",19.5,39
"Chelidonichthys lucerna",423,"finfish","protein",19.94,39.88
"Cipangopaludina chinensis",6,"mollusc","protein",13,26
"Clarias batrachus",44,"finfish","protein",19,38
"Clupea harengus membras",449,"finfish","protein",18.1,36.2
"Colossoma macropomum",211,"finfish","protein",21.43,42.86
"Coregonus clupeaformis",270,"finfish","protein",15,30
"Coregonus clupeaformis",280,"finfish","protein",14,28
"Coregonus clupeaformis",281,"finfish","protein",15,30
"Coregonus lavaretus",161,"finfish","protein",18.95,37.9
"Coregonus lavaretus",164,"finfish","protein",19.68,39.36
"Coregonus lavaretus",175,"finfish","protein",19.01,38.02
"Crangon crangon",481,"crustacean","protein",18.47,36.94
"Crassostrea rhizophorae",483,"mollusc","protein",9.3,18.6
"Crassostrea rhizophorae",484,"mollusc","protein",9.6,19.2
"Crassostrea rhizophorae",485,"mollusc","protein",9.9,19.8
"Crassostrea rhizophorae",486,"mollusc","protein",10.2,20.4
"Ctenopharyngodon idella",1361,"finfish","protein",19.1,38.2
"Cynoscion acoupa",69,"finfish","protein",20.73,41.46
"Cynoscion nebulosus",1378,"finfish","protein",17.9,35.8
"Dasyatis sabina",512,"finfish","protein",22,44
"Dasyatis sabina",513,"finfish","protein",24,48
"Decapterus punctatus",515,"finfish","protein",21.5,43
"Decapterus punctatus",516,"finfish","protein",22.6,45.2
"Dentex dentex",517,"finfish","protein",21.95,43.9
"Dentex sp.",48,"finfish","protein",20.33,40.66
"Diapterus rhombeus",1375,"finfish","protein",15.8,31.6
"Dicentrarchus labrax",520,"finfish","protein",19.2,38.4
"Diplodus puntazzo",527,"finfish","protein",19.24,38.48
"Engraulis encrasicolus",546,"finfish","protein",14.1,28.2
"Engraulis encrasicolus",1558,"finfish","protein",20.47,40.94
"Epinephelus coioides",1352,"finfish","protein",19.14,38.28
"Epinephelus morio",1374,"finfish","protein",15.1,30.2
"Epinephelus striatus",87,"finfish","protein",19.73,39.46
"Eriocheir sinensis",562,"crustacean","protein",18.48,36.96
"Eriocheir sinensis",563,"crustacean","protein",20.71,41.42
"Esox lucius",265,"finfish","protein",16,32
"Esox lucius",271,"finfish","protein",17,34
"Etrumeus teres",576,"finfish","protein",19.94,39.88
"Etrumeus teres",577,"finfish","protein",20.41,40.82
"Etrumeus teres",578,"finfish","protein",20.8,41.6
"Etrumeus teres",579,"finfish","protein",22.25,44.5
"Etrumeus teres",580,"finfish","protein",23.5,47
"Eualus barbatus",777,"finfish","protein",16.3,32.6
"Eualus barbatus",778,"finfish","protein",17.9,35.8
"Eualus barbatus",780,"finfish","protein",18.97,37.94
"Eualus barbatus",783,"finfish","protein",20.43,40.86
"Eugerres plumieri",247,"finfish","protein",20.48,40.96
"Gadus morhua",601,"finfish","protein",17.4,34.8
"Gymnura marmorata",1364,"finfish","protein",22.82,45.64
"Hemisorubim platyrhynchos",618,"finfish","protein",18.1,36.2
"Hexaplex trunculus",26,"mollusc","protein",15.75,31.5
"Homarus americanus",1596,"crustacean","protein",17.1,34.2
"Homarus americanus",1597,"crustacean","protein",15.6,31.2
"Homarus americanus",1600,"crustacean","protein",12.3,24.6
"Homarus americanus",1601,"crustacean","protein",12.4,24.8
"Homarus americanus",1602,"crustacean","protein",22.1,44.2
"Homarus gammarus",1594,"crustacean","protein",18.3,36.6
"Homarus gammarus",1595,"crustacean","protein",17.6,35.2
"Homarus gammarus",1598,"crustacean","protein",12.6,25.2
"Homarus gammarus",1599,"crustacean","protein",13.2,26.4
"Hypostomus watwata",198,"finfish","protein",25.53,51.06
"Limanda aspera",663,"finfish","protein",13.4,26.8
"Liza parsia",1999,"finfish","protein",16.1,32.2
"Loligo vulgaris",680,"mollusc","protein",19.71,39.42
"Lutjanus buccanella",206,"finfish","protein",20.99,41.98
"Lutjanus campechanus",1371,"finfish","protein",20,40
"Lutjanus peru",1372,"finfish","protein",15.4,30.8
"Lutjanus synagris",1379,"finfish","protein",18.5,37
"Macrodon ancylodon",694,"finfish","protein",19.2,38.4
"Macrourus berglax",698,"finfish","protein",16.7,33.4
"Maja brachydactyla",72,"crustacean","protein",15.7,31.4
"Maja brachydactyla",183,"crustacean","protein",24.1,48.2
"Menticirrhus americanus",510,"finfish","protein",23.9,47.8
"Menticirrhus americanus",511,"finfish","protein",25.5,51
"Menticirrhus americanus",719,"finfish","protein",19.7,39.4
"Merlangius merlangus",721,"finfish","protein",18,36
"Merlangius merlangus euxinus",720,"finfish","protein",16.65,33.3
"Merluccius albidus",185,"finfish","protein",18.7,37.4
"Merluccius merluccius",732,"finfish","protein",18.59,37.18
"Micropogonias furnieri",745,"finfish","protein",20.7,41.4
"Monopterus albus",30,"finfish","protein",19.7,39.4
"Mora moro",759,"finfish","protein",17.6,35.2
"Morone saxatilis",760,"finfish","protein",16.4,32.8
"Morone saxatilis",761,"finfish","protein",18.1,36.2
"Morone saxatilis",762,"finfish","protein",19,38
"Morone saxatilis",763,"finfish","protein",19.2,38.4
"Morone saxatilis",764,"finfish","protein",19.6,39.2
"Morone saxatilis",765,"finfish","protein",20.4,40.8
"Morone saxatilis",766,"finfish","protein",21.9,43.8
"Mugil curema",74,"finfish","protein",21.17,42.34
"Mullus barbatus",2002,"finfish","protein",18.6,37.2
"Mullus barbatus",2003,"finfish","protein",18.5,37
"Mullus barbatus",2004,"finfish","protein",18.1,36.2
"Mullus barbatus",2005,"finfish","protein",18.8,37.6
"Mullus barbatus barbatus",1560,"finfish","protein",14.79,29.58
"Mytilus galloprovincialis",792,"mollusc","protein",8.89,17.78
"Ompok pabda",1968,"finfish","protein",16.2,32.4
"Oncorhynchus mykiss",78,"finfish","protein",20.86,41.72
"Oreochromis niloticus",156,"finfish","protein",23.34,46.68
"Pagrus pagrus",867,"finfish","protein",21.5,43
"Pampus punctatissimus",877,"finfish","protein",18.6,37.2
"Pandalus borealis",881,"crustacean","protein",13.4,26.8
"Pangasianodon hypophthalmus",1989,"finfish","protein",16,32
"Pangasianodon hypophthalmus (juvenile)",1990,"finfish","protein",18.6,37.2
"Parona signata",895,"finfish","protein",20.7,41.4
"Paulicea luetkeni",1272,"finfish","protein",16.92,33.84
"Penaeus kerathurus",901,"crustacean","protein",15.6,31.2
"Perca fluviatilis",66,"finfish","protein",17.89,35.78
"Perca fluviatilis",102,"finfish","protein",18.1,36.2
"Perca fluviatilis",147,"finfish","protein",18.43,36.86
"Pimelodus argenteus",938,"finfish","protein",16.73,33.46
"Pimelodus maculatus",939,"finfish","protein",17.7,35.4
"Pimelodus maculatus",1351,"finfish","protein",20.2,40.4
"Pimelodus maculatus",1353,"finfish","protein",19.97,39.94
"Pinirampus pirinampu",941,"finfish","protein",16.39,32.78
"Pogonias cromis",950,"finfish","protein",19.4,38.8
"Pomacea canaliculata",32,"mollusc","protein",11.6,23.2
"Portunus pelagicus",960,"crustacean","protein",16.9,33.8
"Portunus pelagicus",961,"crustacean","protein",18.4,36.8
"Potamon sp.",870,"crustacean","protein",16.3,32.6
"Prochilodus reticulatus",255,"finfish","protein",22.82,45.64
"Psetta maxima",973,"finfish","protein",19.3,38.6
"Puntius sophore",1960,"finfish","protein",15.7,31.4
"Rhizoprionodon terraenovae",994,"finfish","protein",23.7,47.4
"Rhomboplites aurorubens",1367,"finfish","protein",18.24,36.48
"Salmo salar",999,"finfish","protein",18.4,36.8
"Salvelinus fontinalis",228,"finfish","protein",17.3,34.6
"Salvelinus fontinalis",283,"finfish","protein",16.4,32.8
"Salvelinus namaycush",284,"finfish","protein",15,30
"Sander lucioperca",1002,"finfish","protein",18.01,36.02
"Sander lucioperca",1004,"finfish","protein",18.1,36.2
"Sander lucioperca",1005,"finfish","protein",18.8,37.6
"Sarda sarda",1014,"finfish","protein",19,38
"Sardinella aurita",1031,"finfish","protein",19.62,39.24
"Sardinella sp.",36,"finfish","protein",20.69,41.38
"Sciaena umbra",1052,"finfish","protein",20.76,41.52
"Scomber japonicus",1053,"finfish","protein",20.56,41.12
"Scomber japonicus",1054,"finfish","protein",20.7,41.4
"Scomber japonicus",1055,"finfish","protein",21.62,43.24
"Scomber japonicus",1056,"finfish","protein",21.73,43.46
"Scomber japonicus",1057,"finfish","protein",22.2,44.4
"Scomber japonicus",1058,"finfish","protein",22.63,45.26
"Scomber japonicus",1059,"finfish","protein",23.5,47
"Scomber japonicus/colias",1066,"finfish","protein",25,50
"Scomberomorus cavalla",1376,"finfish","protein",17.8,35.6
"Selene vomer",1380,"finfish","protein",19.9,39.8
"Smaris alcedo",1142,"finfish","protein",18.11,36.22
"Sorubim lima",1135,"finfish","protein",16.07,32.14
"Spicara smaris",1561,"finfish","protein",19.03,38.06
"Sprattus sprattus sprattus",1149,"finfish","protein",22.63,45.26
"Tenualosa ilisha",1978,"finfish","protein",16.4,32.8
"Tenualosa ilisha (juvenile)",1979,"finfish","protein",19,38
"Theragra chalcogramma",1170,"finfish","protein",12.2,24.4
"Thunnus alalunga",1363,"finfish","protein",18.68,37.36
"Thunnus orientalis",1175,"finfish","protein",26.1,52.2
"Thunnus thynnus",1365,"finfish","protein",22.9,45.8
"Tilapia pra",29,"finfish","protein",17.53,35.06
"Trachurus lathami",1220,"finfish","protein",19.2,38.4
"Trachurus lathami",1221,"finfish","protein",20.5,41
"Trachurus lathami",1222,"finfish","protein",20.9,41.8
"Trachurus lathami",1223,"finfish","protein",21.1,42.2
"Trachurus mediterraneus",1236,"finfish","protein",25.11,50.22
"Trachurus trachurus",1239,"finfish","protein",18.66,37.32
"Trachurus trachurus",1241,"finfish","protein",20.06,40.12
"Trachurus trachurus",1242,"finfish","protein",20.13,40.26
"Trachurus trachurus",1562,"finfish","protein",16.04,32.08
"Trachypenaeus curvirostris",1260,"crustacean","protein",14.9,29.8
"Trichiurus lepturus",1369,"finfish","protein",16.56,33.12
"Ailia coila",1962,"finfish","protein",17.1,34.2
"Amblypharyngodon mola",1969,"finfish","protein",17.3,34.6
"Amblypharyngodon mola",1970,"finfish","protein",14.7,29.4
"Barbonymus gonionotus",1991,"finfish","protein",18.4,36.8
"Calappa granulata",2016,"crustacean","protein",10.78,21.56
"Catla catla",1983,"finfish","protein",14.9,29.8
"Channa marulius",1977,"finfish","protein",17.1,34.2
"Channa punctatus",1973,"finfish","protein",18.3,36.6
"Channa striatus",1980,"finfish","protein",18.7,37.4
"Chela cachius",1952,"finfish","protein",15.2,30.4
"Chlamys glabra",2026,"mollusc","protein",11.79,23.58
"Cirrhinus mrigala",1984,"finfish","protein",18.9,37.8
"Clarias batrachus",1966,"finfish","protein",16.5,33
"Colisa fasciata",1949,"finfish","protein",15.2,30.4
"Corica soborna",1961,"finfish","protein",11.9,23.8
"Ctenopharyngodon idella",1987,"finfish","protein",15.2,30.4
"Cyprinus carpio",1986,"finfish","protein",16.4,32.8
"Eleotris fusca",1965,"finfish","protein",16.9,33.8
"Eleutheronema tetradactylum",2000,"finfish","protein",20.6,41.2
"Eriphia verrucosa",2015,"crustacean","protein",18.73,37.46
"Esomus danricus",1953,"finfish","protein",15.5,31
"Esox lucius",2014,"finfish","protein",18.14,36.28
"Glossogobius giuris",1948,"finfish","protein",16.6,33.2
"Gudusia chapra",1951,"finfish","protein",15.5,31
"Heteropneustes fossilis",1972,"finfish","protein",19.1,38.2
"Hypophthalmichthys molitrix",1988,"finfish","protein",17.2,34.4
"Hyporhamphus limbatus",1955,"finfish","protein",17.9,35.8
"Illex coindetii",2021,"mollusc","protein",15.59,31.18
"Johnius argentatus",1996,"finfish","protein",18.1,36.2
"Labeo rohita",1985,"finfish","protein",18.2,36.4
"Lepidocephalichthys guntea",1959,"finfish","protein",17.2,34.4
"Loligo vulgaris",2022,"mollusc","protein",11.38,22.76
"Lophius piscatorius",2009,"finfish","protein",15.06,30.12
"Macrobrachium malcolmsonii",1982,"crustacean","protein",15.7,31.4
"Macrognathus aculeatus",1974,"finfish","protein",17.2,34.4
"Maja brachydactyla",1688,"crustacean","protein",15.7,31.4
"Maja brachydactyla",1689,"crustacean","protein",13.7,27.4
"Maja brachydactyla",1690,"crustacean","protein",24.1,48.2
"Mastacembelus armatus",1947,"finfish","protein",17.9,35.8
"Mastacembelus pancalus",1958,"finfish","protein",17.9,35.8
"Merluccius merluccius",2008,"finfish","protein",17.97,35.94
"Metapenaeus monoceros",1981,"crustacean","protein",17.6,35.2
"Mystus cavasius",1957,"finfish","protein",16.8,33.6
"Mystus vittatus",1975,"finfish","protein",15.1,30.2
"Mytilus galloprovincialis",1709,"mollusc","protein",10,20
"Mytilus galloprovincialis",1710,"mollusc","protein",6.5,13
"Mytilus galloprovincialis",1711,"mollusc","protein",10,20
"Mytilus galloprovincialis",1766,"mollusc","protein",10,20
"Mytilus galloprovincialis",1767,"mollusc","protein",6.5,13
"Mytilus galloprovincialis",1768,"mollusc","protein",10,20
"Mytilus galloprovincialis",1769,"mollusc","protein",10.73,21.46
"Nandus nandus",1967,"finfish","protein",16.7,33.4
"Nephrops norvegicus",2019,"crustacean","protein",20.31,40.62
"Notopterus notopterus",1956,"finfish","protein",20.5,41
"Octopus vulgaris",2023,"mollusc","protein",13.09,26.18
"Oreochromis niloticus",1992,"finfish","protein",19.5,39
"Oreochromis niloticus (juvenile)",1993,"finfish","protein",19,38
"Osteobrama cotio cotio",1954,"finfish","protein",14.7,29.4
"Ostrea edulis",1753,"mollusc","protein",9.28,18.56
"Ostrea edulis",1754,"mollusc","protein",9.09,18.18
"Ostrea edulis",1755,"mollusc","protein",10.3,20.6
"Ostrea edulis",1756,"mollusc","protein",9.74,19.48
"Ostrea edulis",1757,"mollusc","protein",9.32,18.64
"Ostrea edulis",1758,"mollusc","protein",8.71,17.42
"Ostrea edulis",1759,"mollusc","protein",6.85,13.7
"Palinurus vulgaris",2018,"crustacean","protein",19.95,39.9
"Pampus argenteus",1994,"finfish","protein",17.2,34.4
"Parapenaeus longirostris",2020,"crustacean","protein",19.73,39.46
"Platycephalus indicus",1998,"finfish","protein",18.8,37.6
"Psetta maxima",2010,"finfish","protein",15.35,30.7
"Pseudambassis ranga",1950,"finfish","protein",15.5,31
"Puntius sophore",1887,"finfish","protein",16.2,32.4
"Puntius ticto",1976,"finfish","protein",15.4,30.8
"Rapana venosa",2025,"mollusc","protein",21.08,42.16
"Scomberomorus guttatus",1997,"finfish","protein",20.5,41
"Scorpaena porcus",2007,"finfish","protein",20.46,40.92
"Scorpena scrofa",2006,"finfish","protein",18.16,36.32
"Scyllarides latus",2017,"crustacean","protein",18.41,36.82
"Sepia officinalis",2024,"mollusc","protein",14.59,29.18
"Sillaginopsis panijus",2001,"finfish","protein",19.3,38.6
"Stolephorus tri",1995,"finfish","protein",17.6,35.2
"Trachinus draco",2012,"finfish","protein",19.3,38.6
"Trigla lucerna",2013,"finfish","protein",20.18,40.36
"Xenontedon cancila",1963,"finfish","protein",17.1,34.2
"Zeus faber",2011,"finfish","protein",18.55,37.1
"Gasterochisma melampus",244,"finfish","protein",23.9,47.8
"Isurus oxyrinchus",232,"finfish","protein",21,42
"Lamna nasus",253,"finfish","protein",19,38
"Lampris guttatus",277,"finfish","protein",23.4,46.8
"Sardina pilchardus",1022,"finfish","protein",20.36,40.72
"Sardina pilchardus",1023,"finfish","protein",20.43,40.86
"Sardina pilchardus",1024,"finfish","protein",23.98,47.96
"Sardina pilchardus",1025,"finfish","protein",24.77,49.54
"Thunnus alalunga",205,"finfish","protein",23.3,46.6
"Xiphias gladius",159,"finfish","protein",17.7,35.4
"Abramis brama",131,"finfish","protein",19,38
"Abramis brama",134,"finfish","protein",20,40
"Acanthurus lineatus",1147,"finfish","protein",19,38
"Alepocephalus agassizii",294,"finfish","protein",10.3,20.6
"Alepocephalus bairdii",293,"finfish","protein",10.1,20.2
"Anadara grandis",316,"mollusc","protein",15.99,31.98
"Anarhichas lupus",275,"finfish","protein",16.2,32.4
"Anchoa hepsetus",320,"finfish","protein",15.74,31.48
"Aphanopus carbo",326,"finfish","protein",16.1,32.2
"Arctica islandica",98,"mollusc","protein",7.3,14.6
"Aristeus antennatus",339,"crustacean","protein",16,32
"Aristeus antennatus",340,"crustacean","protein",19,38
"Aristeus antennatus",341,"crustacean","protein",19,38
"Arripis trutta",351,"finfish","protein",21.2,42.4
"Aspius aspius",83,"finfish","protein",21,42
"Aspius aspius",84,"finfish","protein",23,46
"Balistes capriscus",367,"finfish","protein",17.1,34.2
"Bivalvia",1630,"mollusc","protein",11.285,22.57
"Boops boops",372,"finfish","protein",17,34
"Boops boops",373,"finfish","protein",18,36
"Boops boops",374,"finfish","protein",20,40
"Boops salpa",1047,"finfish","protein",18,36
"Boops salpa",1048,"finfish","protein",18,36
"Callinectes sapidus",384,"crustacean","protein",14.71,29.42
