Food Item ID	Code	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	CA(mg)	FE(mg)	F20D5N3(g)	F22D6N3(g)	ZN(mg)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)
900073	900073	Finfish	"Brazil, Miranda River"	W	13	GNR	Palmito	"Manduba, wild, skinless fillet, raw"	r	Ageneiosus brevifilis	Manduba	Ageneiosus brevifilis		"mean length and weight of fish: 39cm, 580g"	1	FA converted using XFA	2008	fi8	17.77			0.36					0.001647504	0.021005676					
900074	900074	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	32	RHG		"Roughhead grenadier, wild, dorsal muscle, raw"	r	Macrourus berglax	Roughhead grenadier	Macrourus berglax				FA converted using XFA	2005	fi11	16.7			0.61					0.071462001	0.125921415					
900075	900075	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	32	RIB		"Mora/deep-sea cod, wild, dorsal muscle, raw"	r	Mora moro	Common mora	Mora moro				FA converted using XFA	2005	fi11	17.6			0.41					0.040644489	0.102507995					
900076	900076	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	CYO		"Portuguese dogfish, wild, dorsal muscle, raw"	r	Centroscymnus coelolepis	Portuguese dogfish	Centroscymnus coelolepis				FA converted using XFA	2005	fi11	20.8			0.95					0.0223005	0.246420525					
900077	900077	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	CFB		"Black dogfish, wild, dorsal muscle, raw"	r	Centroscyllium fabricii	Black dogfish	Centroscyllium fabricii				FA converted using XFA	2005	fi11	17.1			0.7					0.02412773	0.19725567					
900078	900078	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	GUQ		"Leafscale gulper shark, wild, dorsal muscle, raw"	r	Centrophorus squamosus	Leafscale gulper shark	Centrophorus squamosus				FA converted using XFA	2005	fi11	20			0.99					0.019594817	0.309691789					
900079	900079	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	ETR		"Greater lantern shark, wild, dorsal muscle, raw"	r	Etmopterus princeps	Greater lantern shark	Etmopterus princeps				fat extraction according to Losnegard et al. (1979; ethyl acetat extraction)	2005	fi11	19.7					0.8									
900080	900080	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	CYA		"Smalleyed rabbitfish/ghostshark, wild, dorsal muscle, raw"	r	Hydrolagus affinis	Smalleyed rabbitfish	Hydrolagus affinis				fat extraction according to Losnegard et al. (1979; ethyl acetat extraction)	2005	fi11	18.3					0.95									
900081	900081	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	38	DCA		"Birdbeak dogfish, wild, dorsal muscle, raw"	r	Deania calceus	Birdbeak dogfish	Deania calceus				fat extraction according to Losnegard et al. (1979; ethyl acetat extraction)	2005	fi11	22.6					0.9									
900082	900082	Finfish	"Unknown, Hatton Bank, North Atlantic"	W	34	ALC		"Smooth head, wild, dorsal muscle, raw"	r	Alepocephalus bairdii	Baird's slickhead	Alepocephalus bairdii				fat extraction according to Losnegard et al. (1979; ethyl acetat extraction)	2005	fi11	10.1					3									
