taxize_name,scientific_name,asfis_scientific_name,genus_species,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,nutrient,concentration,dri_per
Donax trunculus,Donax trunculus,Donax trunculus,Donax trunculus,af743,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",fi192,"Turkey, Kumbag, Marmara Sea","Winter (Dec, Jan, Feb) 2005, 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902047,calcium,381.0254,31.752116666666662
Donax trunculus,Donax trunculus,Donax trunculus,Donax trunculus,af744,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",fi192,"Turkey, Kumbag, Marmara Sea","Spring (Mar, Apr, May) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902048,calcium,254.2106,21.184216666666668
Donax trunculus,Donax trunculus,Donax trunculus,Donax trunculus,af745,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",fi192,"Turkey, Kumbag, Marmara Sea","Summer (Jun, Jul, Aug) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902049,calcium,270.1418,22.511816666666665
Donax trunculus,Donax trunculus,Donax trunculus,Donax trunculus,af746,Donax trunculus,Mollusc,Truncate donax,NA,"Wedge clam, flesh meat, raw",fi192,"Turkey, Kumbag, Marmara Sea","Autumn (Sep, Oct, Nov) 2006",PRO- (according to AOAC 1998); CHO- (according to Merrill and Watt 1973),2009,0902050,calcium,448.9326,37.411049999999996
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af790,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",fi226,"Italy, Adriatic Sea, Lagoon of Venice",Jun 2001,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902094,calcium,168,14.000000000000002
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af791,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",fi226,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2001,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902095,calcium,161,13.416666666666666
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af792,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",fi226,"Italy, Adriatic Sea, Lagoon of Venice",Feb 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902096,calcium,195,16.25
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af793,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",fi226,"Italy, Adriatic Sea, Lagoon of Venice",Jul 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902097,calcium,148,12.333333333333334
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af794,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Oyster, farmed, edible flesh, raw",fi226,"Italy, Adriatic Sea, Lagoon of Venice",Sep 2002,PRO- (analyzed according to AOAC 1990); FA converted using XFA,2004,0902098,calcium,240,20
Strombus galeatus,Strombus galeatus,Strombus galeatus,Strombus galeatus,af825,Strombus galeatus,Mollusc,Giant Eastern Pacific conch,NA,"Cambute, meat, raw",fi235,"Costa Rica, Lagarto Pacific",NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,0902129,calcium,315.7,26.308333333333334
Strombus galeatus,Strombus galeatus,Strombus galeatus,Strombus galeatus,af826,Strombus galeatus,Mollusc,Giant Eastern Pacific conch,NA,"Cambute, meat, raw",fi235,"Costa Rica, Bahia Ballena, Pacific",NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,0902130,calcium,233.5,19.458333333333332
Strombus galeatus,Strombus galeatus,Strombus galeatus,Strombus galeatus,af827,Strombus galeatus,Mollusc,Giant Eastern Pacific conch,NA,"Cambute, meat, raw",fi235,"Costa Rica, Golfito, Pacific",NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,0902131,calcium,264.3,22.025
Octopus vulgaris,Octopus vulgaris,Octopus vulgaris,Octopus vulgaris,af830,Octopus vulgaris,Mollusc,Common octopus,NA,"Octoupus, edible flesh (mantle, arms), raw",fi241,"Unknown, North-eastern Atlantic",May-Sep,NA,2009,0902134,calcium,21.3,1.7750000000000001
Loligo vulgaris,Loligo vulgaris,Loligo vulgaris,Loligo vulgaris,af831,Loligo vulgaris,Mollusc,European squid,NA,"Squid, edible flesh (mantle, arms), raw",fi241,"Unknown, North-eastern Atlantic",May-Sep,NA,2009,0902135,calcium,13.6,1.1333333333333333
Sepia officinalis,Sepia officinalis,Sepia officinalis,Sepia officinalis,af832,Sepia officinalis,Mollusc,Common cuttlefish,NA,"Cuttlefish, edible flesh (mantle, arms), raw",fi241,"Unknown, North-eastern Atlantic",May-Sep,NA,2009,0902136,calcium,13.4,1.1166666666666667
Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,af852,Mytilus coruscus,Mollusc,Korean mussel,NA,"Thick shell mussel, farmed, flesh, raw",fi198,"China, Shengsi Islands",Spring (Apr),all values expressed per DM - conversion to FW; FA converted using XFA,2010,0902156,calcium,37.56544,3.1304533333333335
Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,af853,Mytilus coruscus,Mollusc,Korean mussel,NA,"Thick shell mussel, farmed, flesh, raw",fi198,"China, Shengsi Islands",Summer (Jul),all values expressed per DM - conversion to FW; FA converted using XFA,2010,0902157,calcium,29.74348,2.4786233333333336
Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,af854,Mytilus coruscus,Mollusc,Korean mussel,NA,"Thick shell mussel, farmed, flesh, raw",fi198,"China, Shengsi Islands",Autumn (Oct),all values expressed per DM - conversion to FW; FA converted using XFA,2010,0902158,calcium,37.4803,3.123358333333333
Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,Mytilus coruscus,af855,Mytilus coruscus,Mollusc,Korean mussel,NA,"Thick shell mussel, farmed, flesh, raw",fi198,"China, Shengsi Islands",Winter (Jan),all values expressed per DM - conversion to FW; FA converted using XFA,2010,0902159,calcium,62.79228,5.23269
Cyclopteridae,NA,(Cyclopteridae),Cyclopteridae,af858,Cyclopteridae,Finfish,(Lumpfishes nei),eggs,"Caviar, lumpsucker, wild, raw",im11,"Iceland, North Atlantic",NA,NA,2011,0902162,calcium,9.4,0.7833333333333333
Loligo vulgaris,Loligo vulgaris,Loligo vulgaris,Loligo vulgaris,af904,Loligo vulgaris,Mollusc,European squid,NA,"European squid, mantle flesh, raw",fi244,Unknown,NA,NA,2007,0902208,calcium,17.5,1.4583333333333333
Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,Crassostrea gigas,af922,Crassostrea gigas,Mollusc,Pacific cupped oyster,NA,"Pacific cupped oyster, flesh, raw",fi244,"France, samples taken from main production site",NA,NA,2007,0902226,calcium,77.9,6.491666666666668
Pecten maximus,Pecten maximus,Pecten maximus,Pecten maximus,af942,Pecten maximus,Mollusc,Great Atlantic scallop,NA,"Great Atlantic scallop, flesh with corail (roe), raw",fi244,Unknown,NA,NA,2007,0902246,calcium,176,14.666666666666666
Pecten maximus,Pecten maximus,Pecten maximus,Pecten maximus,af943,Pecten maximus,Mollusc,Great Atlantic scallop,NA,"Great Atlantic scallop, flesh, raw",fi244,Unknown,NA,NA,2007,0902247,calcium,11.9,0.9916666666666667
Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,bc1021,Penaeus semisulcatus,Crustacean,Green tiger prawn,NA,"Green tiger shrimp, wild, edible muscle tissue, raw",fi172,"Turkey, off Karataş, east Mediterranean Sea",Jan 2001,NA,2006,0901040,calcium,59.5,4.958333333333333
Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,bc1022,Penaeus semisulcatus,Crustacean,Green tiger prawn,NA,"Green tiger shrimp, wild, edible muscle tissue, raw",fi172,"Turkey, off Karataş, east Mediterranean Sea",Apr 2001,NA,2006,0901041,calcium,60.3,5.0249999999999995
Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,Penaeus semisulcatus,bc1024,Penaeus semisulcatus,Crustacean,Green tiger prawn,NA,"Green tiger shrimp, wild, edible muscle tissue, raw",fi172,"Turkey, off Karataş, east Mediterranean Sea",Oct 2001,NA,2006,0901043,calcium,61.1,5.091666666666667
Metapenaeus monoceros,Metapenaeus monoceros,Metapenaeus monoceros,Metapenaeus monoceros,bc1025,Metapenaeus monoceros,Crustacean,Speckled shrimp,NA,"Speckled shrimp, wild, edible muscle tissue, raw",fi172,"Turkey, off Karataş, east Mediterranean Sea",Jan 2001,NA,2006,0901044,calcium,62.4,5.2
