culture,latin_name,subgroup,common_name,calcium,zinc,iron,epa,dha
Bella Coola,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Bella Coola,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Bella Coola,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Bella Coola,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Bella Coola,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Bella Coola,Pleuronectinae,Fish,Flounders and Soles,23.5,0.78,0.55,0.192,0.1165
Bella Coola,Pomatomus saltatrix,Fish,Bluefish,65.6,0.763,2.826,0.4,0.8
Bella Coola,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Bella Coola,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Bella Coola,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Bella Coola,Sebastes norvegicus,Fish,Golden Redfish,82,0.683,0.7015,0.046,0.073
Bella Coola,Sparidae,Fish,Porgies,48.333333333333336,1.17,0.785,0.14950000000000002,0.1865
Beothuk,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Beothuk,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Beothuk,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Beothuk,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Beothuk,Mytilus edulis,Marine Invertebrates,Blue Mussel,56.5,2.4875,9.3625,0.16125,0.17925
Beothuk,Nephropidae,Marine Invertebrates,Lobsters,34,2.54,0.935,0.161,0.10200000000000001
Beothuk,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Beothuk,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Beothuk,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Beothuk,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Beothuk,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Beothuk,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Beothuk,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Carrier,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Carrier,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Carrier,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Carrier,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Carrier,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Carrier,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Carrier,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Carrier,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Carrier,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Carrier,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Carrier,Salvelinus alpinus,Fish,Arctic Char,52.285714285714285,2.3633333333333333,1.29625,0.6266666666666667,0.49666666666666665
Carrier,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Carrier,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Carrier,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Central Salish,Boreogadus saida,Fish,Arctic Cod,20.2,0.5,0.6,0.165,0.329
Central Salish,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Central Salish,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Central Salish,Centropristes striata,Fish,Black Sea Bass,60.8,0.2415,1.1680000000000001,0.1,0.3
Central Salish,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Central Salish,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Central Salish,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Central Salish,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Central Salish,Cyprinus carpio,Fish,Common Carp,68,4.7,1.475,0.2,0.1
Central Salish,Gadiformes,Fish,Cod and Relatives,29,0.71,0.364,0.1,0.2
Central Salish,Gadus morhua,Fish,Atlantic Cod,12.75,1.27725,1.8625,1.3094,1.1242
Central Salish,Hippoglossus hippoglossus,Fish,Atlantic Halibut,15,0.5,0.5,0.281,0.41
Central Salish,Hippoglossus stenolepis,Fish,Pacific Halibut,22,0.08,0.09,0.1,0.3
Central Salish,Melanogrammus aeglefinus,Fish,Haddock,22.5,0.544,0.6395,0.086,0.1865
Central Salish,Micropogonias undulatus,Fish,Atlantic Croaker,66.5,0.371,0.976,0.1,0.1
Central Salish,Mugil cephalus,Fish,Flathead Gray Mullet,123,0.398,1.7,0.4,0.4
Central Salish,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Central Salish,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Central Salish,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Central Salish,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Central Salish,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Central Salish,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Central Salish,Pleuronectinae,Fish,Flounders and Soles,23.5,0.78,0.55,0.192,0.1165
Central Salish,Pomatomus saltatrix,Fish,Bluefish,65.6,0.763,2.826,0.4,0.8
Central Salish,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Central Salish,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Central Salish,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Central Salish,Sebastes norvegicus,Fish,Golden Redfish,82,0.683,0.7015,0.046,0.073
Central Salish,Sparidae,Fish,Porgies,48.333333333333336,1.17,0.785,0.14950000000000002,0.1865
Central Salish,Squalus acanthias,Fish,Spiny Dogfish,11,0.6695,1.25,0.7,1.2
Central Salish,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Central Salish,Thymallus arcticus,Fish,Arctic Grayling,281.5,0.7,1,0.1,0.1
Chilcotin,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Chilcotin,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Chilcotin,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Chilcotin,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Chilcotin,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Chilcotin,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Chilcotin,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Chilcotin,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Chilcotin,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Chilcotin,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Chilcotin,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Chilcotin,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Chilcotin,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Chilcotin,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Chilcotin,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Chinook,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Chinook,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Chinook,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Chinook,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Chinook,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Chinook,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Chinook,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Chinook,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Chinook,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Chinook,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Chipewyan,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Chipewyan,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Chipewyan,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Chipewyan,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Chipewyan,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Chipewyan,Esox lucius,Fish,Northern Pike,61.38675,1.7401250000000001,0.4196666666666667,0.05525,0.14266666666666666
Chipewyan,Lota lota,Fish,Burbot,46.25,1.29875,0.9666666666666667,0.46555555555555556,0.6044
Chipewyan,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Chipewyan,Salvelinus alpinus,Fish,Arctic Char,52.285714285714285,2.3633333333333333,1.29625,0.6266666666666667,0.49666666666666665
Chipewyan,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Chipewyan,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Chipewyan,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Chipewyan,Thymallus arcticus,Fish,Arctic Grayling,281.5,0.7,1,0.1,0.1
Coosan,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Coosan,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Coosan,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Coosan,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Coosan,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Coosan,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Coosan,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Cree,Boreogadus saida,Fish,Arctic Cod,20.2,0.5,0.6,0.165,0.329
Cree,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Cree,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Cree,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Cree,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Cree,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Cree,Esox lucius,Fish,Northern Pike,61.38675,1.7401250000000001,0.4196666666666667,0.05525,0.14266666666666666
Cree,Gadiformes,Fish,Cod and Relatives,29,0.71,0.364,0.1,0.2
Cree,Gadus morhua,Fish,Atlantic Cod,12.75,1.27725,1.8625,1.3094,1.1242
Cree,Lota lota,Fish,Burbot,46.25,1.29875,0.9666666666666667,0.46555555555555556,0.6044
Cree,Melanogrammus aeglefinus,Fish,Haddock,22.5,0.544,0.6395,0.086,0.1865
Cree,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Cree,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Cree,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Cree,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Cree,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Cree,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Cree,Ostreidae,Marine Invertebrates,Oysters,84.66666666666667,53.6,2731.4666666666667,0.22349999999999998,0.183
Cree,Perca flavescens,Fish,Yellow Perch,59.77,0.873,0.3845,0.1,0.2
Cree,Percidae,Fish,Perch and Darters,110,642.76,0.6,0.054,0.245
Cree,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Cree,Salvelinus alpinus,Fish,Arctic Char,52.285714285714285,2.3633333333333333,1.29625,0.6266666666666667,0.49666666666666665
Cree,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Cree,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Cree,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Dogrib,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Dogrib,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Dogrib,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Dogrib,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Dogrib,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Dogrib,Esox lucius,Fish,Northern Pike,61.38675,1.7401250000000001,0.4196666666666667,0.05525,0.14266666666666666
Dogrib,Lota lota,Fish,Burbot,46.25,1.29875,0.9666666666666667,0.46555555555555556,0.6044
Dogrib,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Dogrib,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Dogrib,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Dogrib,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Dogrib,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Dogrib,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Dogrib,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Dogrib,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Dogrib,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Dogrib,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Eyak,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Eyak,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Eyak,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Eyak,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Eyak,Mya arenaria,Marine Invertebrates,Softshell Clam,53,1.7,40.5,0.2,0.2
Eyak,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Eyak,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Eyak,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Eyak,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Eyak,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Eyak,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Eyak,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Eyak,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Eyak,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Eyak,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Gwich'in,Catostomus catostomus,Fish,Longnose Sucker,63.1,0.5,0.3,0.075,0.212
Gwich'in,Catostomus commersonii,Fish,White Sucker,44.8,0.525,0.75,0.1365,0.23399999999999999
Gwich'in,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Gwich'in,Coregonus artedi,Fish,Lake Herring,17.3,2.29,0.34,0.095,0.257
Gwich'in,Coregonus autumnalis,Fish,Arctic Cisco,30,0.4,1,0.3,0.3
Gwich'in,Coregonus clupeaformis,Fish,Lake Whitefish,26.166666666666668,1.5,0.82,0.21180000000000002,0.4502
Gwich'in,Esox lucius,Fish,Northern Pike,61.38675,1.7401250000000001,0.4196666666666667,0.05525,0.14266666666666666
Gwich'in,Lota lota,Fish,Burbot,46.25,1.29875,0.9666666666666667,0.46555555555555556,0.6044
Gwich'in,Oncorhynchus gorbuscha,Fish,Pink Salmon,13,0.55,0.9333333333333333,0.4095,0.593
Gwich'in,Oncorhynchus keta,Fish,Chum Salmon,11.25,0.92,0.5125,0.3165,0.497
Gwich'in,Oncorhynchus kisutch,Fish,Coho Salmon,57,0.41,449.1666666666667,0.3135,0.4935
Gwich'in,Oncorhynchus mykiss,Fish,Rainbow Trout,57.8,3.6625,849.1675,0.2788,0.896
Gwich'in,Oncorhynchus nerka,Fish,Sockeye Salmon,78,0.72,0.8166666666666667,0.7797499999999999,1.39825
Gwich'in,Oncorhynchus tshawytscha,Fish,Chinook Salmon,21.818181818181817,0.62,1.4033333333333333,0.676,0.5723333333333334
Gwich'in,Salmo salar,Fish,Atlantic Salmon,14.65,0.7033333333333334,0.7875,0.377,1.0844
Gwich'in,Salvelinus alpinus,Fish,Arctic Char,52.285714285714285,2.3633333333333333,1.29625,0.6266666666666667,0.49666666666666665
Gwich'in,Salvelinus fontinalis,Fish,Brook Trout,16.575,0.55775,0.4815,0.13733333333333334,0.24066666666666667
Gwich'in,Salvelinus namaycush,Fish,Lake Trout,13.4,2.05,1.2325714285714287,0.224,0.5773333333333334
Gwich'in,Stenodus leucichthys,Fish,Inconnu,10,0.3,0.4,0.2,0.2
Gwich'in,Thymallus arcticus,Fish,Arctic Grayling,281.5,0.7,1,0.1,0.1
Haida,Boreogadus saida,Fish,Arctic Cod,20.2,0.5,0.6,0.165,0.329
Haida,Centropristes striata,Fish,Black Sea Bass,60.8,0.2415,1.1680000000000001,0.1,0.3
Haida,Clupea harengus,Fish,Atlantic Herring,35,0.7755,1.15,0.635,1.075
Haida,Gadiformes,Fish,Cod and Relatives,29,0.71,0.364,0.1,0.2
Haida,Gadus morhua,Fish,Atlantic Cod,12.75,1.27725,1.8625,1.3094,1.1242
Haida,Hippoglossus hippoglossus,Fish,Atlantic Halibut,15,0.5,0.5,0.281,0.41
Haida,Hippoglossus stenolepis,Fish,Pacific Halibut,22,0.08,0.09,0.1,0.3
Haida,Melanogrammus aeglefinus,Fish,Haddock,22.5,0.544,0.6395,0.086,0.1865
Haida,Micropogonias undulatus,Fish,Atlantic Croaker,66.5,0.371,0.976,0.1,0.1
