species,contaminant,dataset,concentration
decapterus pinnulatus,cadmium,hall,13.142857142857142
decapterus pinnulatus,lead,hall,23.08
decapterus pinnulatus,mercury,hall,42.74999999999999
diapterus auratus,mercury,adams,112.5
diapterus plumieri,mercury,adams,66.66666666666667
diplectrum formosum,arsenic,hall,141.66666666666669
diplectrum formosum,cadmium,hall,5.714285714285714
diplectrum formosum,lead,hall,4
diplectrum formosum,mercury,hall,368.125
diplodus holbrooki,arsenic,hall,353.3333333333333
diplodus holbrooki,cadmium,hall,12.428571428571427
diplodus holbrooki,lead,hall,25.759999999999998
diplodus holbrooki,mercury,hall,121.71874999999999
doryteuthis (amerigo) pealeii,mercury,karimi,59.375
elops saurus,arsenic,hall,577.7333333333333
elops saurus,cadmium,hall,22.857142857142858
elops saurus,lead,hall,13.200000000000001
elops saurus,mercury,adams,231.25
elops saurus,mercury,hall,700.625
engraulis mordax,mercury,karimi,28.125
eopsetta jordani,arsenic,hall,321.46666666666664
eopsetta jordani,cadmium,hall,11.5
eopsetta jordani,lead,hall,22.040000000000003
eopsetta jordani,mercury,hall,154.96874999999997
epinephelus drummondhayi,arsenic,hall,186.53333333333336
epinephelus drummondhayi,cadmium,hall,9.857142857142858
epinephelus drummondhayi,lead,hall,18.120000000000005
epinephelus drummondhayi,mercury,adams,125
epinephelus drummondhayi,mercury,hall,106.28125
epinephelus flavolimbatus,mercury,adams,187.5
epinephelus itajara,arsenic,hall,266.1333333333333
epinephelus itajara,cadmium,hall,4
epinephelus itajara,lead,hall,17.56
epinephelus itajara,mercury,adams,339.5833333333333
epinephelus itajara,mercury,hall,137.453125
epinephelus morio,arsenic,hall,157.13333333333333
epinephelus morio,cadmium,hall,8.380952380952381
epinephelus morio,lead,hall,13.413333333333332
epinephelus morio,mercury,adams,204.6875
epinephelus morio,mercury,hall,254.32291666666663
epinephelus morio,mercury,karimi,222.08333333333331
epinephelus niveatus,mercury,adams,304.1666666666667
esox lucius,mercury,karimi,384.30267857142854
etelis marchi,arsenic,hall,714.6666666666666
etelis marchi,cadmium,hall,10.857142857142858
etelis marchi,lead,hall,19.96
etelis marchi,mercury,hall,312.90625000000006
euthynnus alletteratus,arsenic,hall,163.39999999999998
euthynnus alletteratus,cadmium,hall,10.428571428571429
euthynnus alletteratus,lead,hall,17.36
euthynnus alletteratus,mercury,adams,620.3125
euthynnus alletteratus,mercury,hall,478.56250000000006
euthynnus alletteratus,mercury,karimi,698.9285714285713
euthynnus pelamis,arsenic,hall,240.6222222222222
euthynnus pelamis,cadmium,hall,14.476190476190476
euthynnus pelamis,lead,hall,22.560000000000002
euthynnus pelamis,mercury,hall,80.74999999999999
farfantepenaeus aztecus,mercury,karimi,20.105522569444446
fusitriton oregonensis,mercury,burger,15
gadus chalcogrammus,mercury,karimi,26.875
gadus macrocephalus,arsenic,hall,563.0333333333333
gadus macrocephalus,cadmium,hall,8.714285714285714
gadus macrocephalus,lead,hall,13.3
gadus macrocephalus,mercury,burger,108.12499999999999
gadus macrocephalus,mercury,hall,70.359375
gadus morhua,arsenic,hall,358.26666666666665
gadus morhua,cadmium,hall,8.714285714285714
gadus morhua,lead,hall,16.36
gadus morhua,mercury,hall,131.8125
gadus morhua,mercury,karimi,68.91782407407408
galeocerdo cuvier,mercury,karimi,602.0833333333333
genyonemus lineatus,mercury,karimi,81.70273664529914
gerres cinerus,arsenic,hall,179.53333333333333
gerres cinerus,cadmium,hall,10.142857142857142
gerres cinerus,lead,hall,24.6
gerres cinerus,mercury,hall,42.74999999999999
geryon quinquedens,arsenic,hall,790.4666666666666
geryon quinquedens,cadmium,hall,16.28571428571429
geryon quinquedens,lead,hall,19.16
geryon quinquedens,mercury,hall,89.65625
glyptocephalus cygnoglossus,arsenic,hall,2568.666666666667
glyptocephalus cygnoglossus,cadmium,hall,8
glyptocephalus cygnoglossus,lead,hall,14.079999999999998
glyptocephalus cygnoglossus,mercury,hall,92.625
glyptocephalus zachirus,arsenic,hall,783.6666666666667
glyptocephalus zachirus,cadmium,hall,12.785714285714283
glyptocephalus zachirus,lead,hall,15.040000000000001
