number_of_targets,subgroup,number_of_species,sd,se
4.962,all,26,0.19129190414806527,0.037515428924742515
4.97,all,27,0.17067257872642908,0.032845953090330476
4.976,all,28,0.15312559370479986,0.02893801716442986
4.978,all,29,0.1467567291047928,0.02725204044087249
4.985,all,30,0.12161327966052798,0.022203445520751795
4.989,all,31,0.10435463521037237,0.01874264577485285
4.991,all,32,0.09448771310560929,0.016703225668946334
4.997,all,33,0.05471740119919799,0.009525076940743876
4.998,all,34,0.04469897088298564,0.007665810263758236
4.999,all,35,0.03162277660168379,0.005345224838248487
4.999,all,36,0.03162277660168379,0.005270462766947298
5,all,37,0,0
5,all,38,0,0
5,all,39,0,0
5,all,40,0,0
1.969,all,1,1.2781520538154576,1.2781520538154576
2.984,all,2,1.219520902334696,0.8623314998396008
3.577,all,3,1.1005827012461544,0.6354217188299127
3.962,all,4,0.9897148758786722,0.4948574379393361
4.236,all,5,0.8758259365142546,0.3916812661006577
4.413,all,6,0.7752625568360902,0.3164996134889773
4.538,all,7,0.6804550088132345,0.25718781881258324
4.648,all,8,0.598710660047451,0.21167618384411316
4.722,all,9,0.5357266121847999,0.1785755373949333
4.785,all,10,0.46796794120323454,0.14798445661419782
4.824,all,11,0.41133100198403866,0.12402096347472626
4.859,all,12,0.37048111457435484,0.10694868561458819
4.891,all,13,0.32438283589645156,0.08996761136192899
4.916,all,14,0.2881441080900788,0.0770097521779023
4.944,all,15,0.23434785878885028,0.060508356953905634
4.96,all,16,0.19605723255834873,0.04901430813958718
4.974,all,17,0.15921478998305827,0.03861525860356952
4.985,all,18,0.12161327966052798,0.02866452491009846
4.987,all,19,0.11333068359382575,0.025999841946729968
4.99,all,20,0.0995485304256668,0.022259728109199704
4.995,all,21,0.07056897321046962,0.015399412450108948
4.997,all,22,0.054717401199198,0.01166578913278635
4.998,all,23,0.04469897088298564,0.009320379722619997
4.998,all,24,0.04469897088298564,0.00912413922423644
4.998,all,25,0.04469897088298564,0.008939794176597128
4.998,all,26,0.04469897088298564,0.008766189414225366
4.999,all,27,0.03162277660168379,0.006085806194501845
5,all,28,0,0
5,all,29,0,0
5,all,30,0,0
5,all,31,0,0
5,all,32,0,0
5,all,33,0,0
5,all,34,0,0
5,all,35,0,0
5,all,36,0,0
5,all,37,0,0
5,all,38,0,0
5,all,39,0,0
5,all,40,0,0
1.896,all,1,1.2225705209429347,1.2225705209429347
2.975,all,2,1.1822744067147748,0.8359942502113195
3.568,all,3,1.1227807607171743,0.6482377744409934
3.984,all,4,1.00137243158914,0.50068621579457
4.267,all,5,0.86165738751168,0.38534489835819896
4.453,all,6,0.760505995616977,0.31047527259814894
4.605,all,7,0.667398247241046,0.2522528268057439
4.718,all,8,0.5556840692198983,0.19646398677136248
4.799,all,9,0.4569549297335655,0.1523183099111885
4.851,all,10,0.39364191081991506,0.12448050206918108
4.893,all,11,0.3400980250849256,0.1025434128315979
4.911,all,12,0.311730935545666,0.08998896977601208
4.941,all,13,0.25609487418647137,0.07102793848175552
4.956,all,14,0.21934473349527248,0.05862234588089627
4.965,all,15,0.18387171834952978,0.047475473533751304
4.977,all,16,0.1499783100768024,0.0374945775192006
4.986,all,17,0.11754921445002436,0.028509872199166602
4.988,all,18,0.10893974420691407,0.025677343956478953
4.991,all,19,0.09448771310560929,0.02167696804387445
4.993,all,20,0.08341437500789632,0.018652021281831573
4.996,all,21,0.06315051850925682,0.01378057291639901
4.999,all,22,0.03162277660168379,0.00674199862463242
5,all,23,0,0
5,all,24,0,0
5,all,25,0,0
5,all,26,0,0
5,all,27,0,0
5,all,28,0,0
5,all,29,0,0
5,all,30,0,0
5,all,31,0,0
5,all,32,0,0
5,all,33,0,0
5,all,34,0,0
5,all,35,0,0
5,all,36,0,0
5,all,37,0,0
5,all,38,0,0
5,all,39,0,0
5,all,40,0,0
2.357,all,1,1.2661572391113807,1.2661572391113807
3.324,all,2,1.178309132788341,0.833190378128676
3.877,all,3,1.0192693019560188,0.5884754058610294
4.184,all,4,0.8490376109836743,0.4245188054918371
4.37,all,5,0.7373219402972108,0.32974039596132093
4.496,all,6,0.6483859995437937,0.2647024758744569
4.582,all,7,0.5827654893828353,0.22026465108254775
4.66,all,8,0.5125062562180706,0.18119832458616392
4.715,all,9,0.47328532514646915,0.15776177504882305
4.768,all,10,0.42703437608506223,0.13504012676177343
4.812,all,11,0.39599597575330586,0.11939727909676273
4.839,all,12,0.3704270727366133,0.1069330850798044
4.865,all,13,0.3448099387980194,0.0956330703558353
4.891,all,14,0.3149892350830711,0.08418441415734618
4.913,all,15,0.28550396234117753,0.07371680609490734
4.927,all,16,0.2640847226568412,0.0660211806642103
4.942,all,17,0.2338604085575211,0.05671948036075057
4.957,all,18,0.2029585972364615,0.047837800135337075
4.976,all,19,0.15312559370479986,0.03512942045415213
4.982,all,20,0.13301764429463367,0.029743649484968795
4.987,all,21,0.11333068359382575,0.02473078267284745
4.991,all,22,0.09448771310560929,0.0201448481209193
4.993,all,23,0.08341437500789632,0.017393099528708603
4.995,all,24,0.07056897321046962,0.014404831336482186
4.998,all,25,0.04469897088298564,0.008939794176597128
4.998,all,26,0.04469897088298564,0.008766189414225366
4.999,all,27,0.03162277660168379,0.006085806194501845
5,all,28,0,0
5,all,29,0,0
5,all,30,0,0
5,all,31,0,0
5,all,32,0,0
5,all,33,0,0
5,all,34,0,0
5,all,35,0,0
5,all,36,0,0
5,all,37,0,0
5,all,38,0,0
5,all,39,0,0
5,all,40,0,0
2.007,all,1,1.4439653860242065,1.4439653860242065
3,all,2,1.3798202433302331,0.9756802508772798
3.614,all,3,1.2564165641150162,0.7253924415061094
3.999,all,4,1.0909579227400061,0.5454789613700031
4.29,all,5,0.9245294774936896,0.4134621517756504
4.484,all,6,0.7876321250205355,0.32154946855405325
4.613,all,7,0.6690879453993165,0.25289147267967926
4.716,all,8,0.568917979736682,0.20114288070537933
4.782,all,9,0.5007261993612145,0.16690873312040486
4.845,all,10,0.4063743842076419,0.12850686368445077
4.89,all,11,0.34353750598445293,0.10358045534226393
4.921,all,12,0.28782258744205924,0.08308722416926376
4.944,all,13,0.24274044352543092,0.06732408582767785
4.961,all,14,0.20376584728683195,0.054458713405216116
4.977,all,15,0.1499783100768024,0.03872423314798585
4.984,all,16,0.12553788177183714,0.031384470442959285
4.987,all,17,0.11333068359382575,0.027486728181223417
4.987,all,18,0.11333068359382575,0.026712298295233736
4.991,all,19,0.09448771310560929,0.02167696804387445
4.992,all,20,0.08912880535463237,0.01992980675263052
4.994,all,21,0.07726558075864033,0.01686073202100918
4.995,all,22,0.07056897321046962,0.015045355640952005
4.998,all,23,0.04469897088298564,0.009320379722619997
4.998,all,24,0.04469897088298564,0.00912413922423644
5,all,25,0,0
5,all,26,0,0
5,all,27,0,0
5,all,28,0,0
5,all,29,0,0
5,all,30,0,0
5,all,31,0,0
5,all,32,0,0
5,all,33,0,0
5,all,34,0,0
5,all,35,0,0
5,all,36,0,0
5,all,37,0,0
5,all,38,0,0
5,all,39,0,0
5,all,40,0,0
1.885,all,1,1.1743739413637184,1.1743739413637184
2.868,all,2,1.2264094259585907,0.8672024216064205
3.46,all,3,1.1169814893934669,0.6448895635811472
3.857,all,4,0.9887004240560072,0.4943502120280036
4.149,all,5,0.8818030259511341,0.3943543017583494
4.336,all,6,0.7795586647018373,0.3182534921808169
4.478,all,7,0.6752569673627752,0.25522314381508027
4.585,all,8,0.6042682683544951,0.21364109510465795
4.661,all,9,0.5571260085379154,0.18570866951263845
4.724,all,10,0.5040615816327189,0.15939826789462866
4.784,all,11,0.4444564562941364,0.13400866374351308
4.829,all,12,0.39738761545488166,0.11471592337774972
4.859,all,13,0.3622847640327292,0.10047971484918286
4.893,all,14,0.3188301313437183,0.08521093686202354
4.914,all,15,0.2875529284961061,0.0742458468812394
4.935,all,16,0.2546366820390178,0.06365917050975445
4.944,all,17,0.23858105733884433,0.0578644058635058
4.954,all,18,0.20958990416508122,0.04940081416778919
