ref_info,seanuts_id2,species_name,nutrient,concentration,subgroup,abs_lat,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,max_length,length_from_study,commonlength,commonlengthf,commonlengthref,lengthfemale,maxlengthref,length_source_1,mean_length,tl,food_item_id_2,feedingtyperef,feeding_habit,demerspelag,brackishwater,brack,marine,fresh,trophic_level,diettroph,dietsetroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,weight,weightfemale,maxweightref,weight_from_study
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1503,Atheresthes stomias,prot_g,17.7,finfish,NA,82.125,69.0,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,50.0,NA,56527,NA,2850,NA,84.0,NA,NA,6880,NA,demersal,NA,0,NA,0,4.010000229,4.17,0.272,0.68,NA,NA,NA,NA,8600.0,NA,56527,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1302,Barbus grypus,prot_g,19.5,finfish,NA,150.0,NaN,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,93003,NA,150.0,NA,NA,NA,NA,benthopelagic,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,3e4,NA,93003,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1303,Barbus grypus,prot_g,18.7,finfish,NA,150.0,NaN,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,93003,NA,150.0,NA,NA,NA,NA,benthopelagic,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,3e4,NA,93003,NA
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",1360,Brycon cephalus,prot_g,20.07,finfish,NA,45.0,NaN,2.0,other,mainly plants/detritus (troph. 2-2.19),NA,NaN,NA,NA,NA,NA,NA,38504,NA,45.0,NA,NA,9107,NA,benthopelagic,NA,0,NA,-1,2.0,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",1360,Brycon cephalus,prot_g,20.07,finfish,NA,45.0,NaN,2.0,other,mainly plants/detritus (troph. 2-2.19),NA,NaN,NA,NA,NA,NA,NA,38504,NA,45.0,NA,NA,9107,NA,benthopelagic,0,0,1,-1,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",418,Brycon microlepis,prot_g,19.83,finfish,15.601411,56.0,56.0,NaN,NA,NA,NA,56.0,NA,NA,NA,NA,NA,NA,NA,56.0,2.0,900686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",418,Brycon microlepis,prot_g,19.83,finfish,15.601411,56.0,56.0,NaN,NA,NA,NA,56.0,NA,NA,NA,NA,NA,NA,NA,56.0,2.0,900686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",383,Brycon orbignyanus,prot_g,18.94,finfish,18.327778,79.5,79.5,NaN,NA,NA,NA,79.5,NA,NA,NA,NA,NA,38863,NA,79.5,2.5,900687,NA,NA,benthopelagic,NA,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,6e3,NA,72380,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",383,Brycon orbignyanus,prot_g,18.94,finfish,18.327778,79.5,79.5,NaN,NA,NA,NA,79.5,NA,NA,NA,NA,NA,38863,NA,79.5,2.5,900687,NA,NA,benthopelagic,NA,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,6e3,NA,72380,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1667,Chamelea gallina,prot_g,8.99,mollusc,NA,5.0,5.0,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1668,Chamelea gallina,prot_g,7.45,mollusc,NA,5.0,5.0,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1669,Chamelea gallina,prot_g,6.86,mollusc,NA,5.0,5.0,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1670,Chamelea gallina,prot_g,7.36,mollusc,NA,5.0,5.0,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",410,Channa punctata,prot_g,19.13,finfish,22.816667,31.0,31.0,3.84,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,31.0,NA,15.0,NA,6028,NA,4833,NA,31.0,3.8,900183,NA,NA,benthopelagic,NA,-1,NA,-1,3.84,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",432,Clarias batrachus,prot_g,14.87,finfish,22.816667,47.0,47.0,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,47.0,NA,26.25,NA,12193,NA,40637,NA,47.0,3.4,900178,12975,NA,demersal,NA,-1,NA,-1,3.42,NA,NA,0.5,NA,NA,NA,NA,1190.0,NA,40637,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1492,Clinocardium nuttallii,prot_g,11.8,mollusc,NA,NaN,14.0,NaN,NA,NA,NA,14.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1509,Clupea harengus,prot_g,16.4,finfish,NA,44.0,40.0,3.289999962,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,30.0,NA,37032,NA,37032,NA,45.0,NA,NA,4809,NA,benthopelagic,NA,-1,NA,0,3.289999962,3.38,0.128,0.51,NA,NA,NA,NA,1050.0,NA,6114,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1509,Clupea harengus,prot_g,16.4,finfish,NA,44.0,40.0,3.289999962,feeding on the prey of a host (commensal),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,30.0,NA,37032,NA,37032,NA,45.0,NA,NA,NA,NA,benthopelagic,0,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1050.0,NA,6114,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1508,Clupea pallasii pallasii,prot_g,16.0,finfish,NA,46.0,NaN,3.460000038,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),non-migratory,NaN,NA,25.0,NA,188,NA,27436,NA,46.0,NA,NA,188,NA,pelagic-neritic,NA,-1,NA,-1,3.460000038,3.16,0.186,0.53,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1510,Crassostrea gigas,prot_g,10.4,mollusc,NA,12.0,12.0,NaN,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1304,Cyprinus carpio,prot_g,17.4,finfish,NA,118.75,110.0,3.05,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NaN,NA,31.0,NA,3561,NA,27549,NA,120.0,NA,NA,6258,NA,benthopelagic,NA,-1,NA,-1,3.05,3.06,NA,0.39,NA,NA,NA,NA,40090.0,NA,72380,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",522,Dicentrarchus labrax,prot_g,19.75,finfish,36.5817,102.475,100.0,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100.0,NA,50.0,NA,6916,NA,40637,NA,102.25,3.8,900234,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,12e3,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",523,Dicentrarchus labrax,prot_g,21.79,finfish,36.5817,102.475,100.0,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100.0,NA,50.0,NA,6916,NA,40637,NA,102.25,3.8,900236,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,12e3,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",524,Dicentrarchus labrax,prot_g,18.74,finfish,36.5817,102.475,100.0,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100.0,NA,50.0,NA,6916,NA,40637,NA,102.25,3.8,900233,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,12e3,NA,1468,NA
"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",525,Dicentrarchus labrax,prot_g,21.38,finfish,36.5817,102.475,100.0,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,100.0,NA,50.0,NA,6916,NA,40637,NA,102.25,3.8,900235,231,NA,demersal,NA,-1,NA,-1,3.47,NA,NA,0.5,NA,NA,NA,NA,12e3,NA,1468,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",31,Donax trunculus,prot_g,8.12,mollusc,NA,2.0,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",37,Donax trunculus,prot_g,8.4,mollusc,NA,2.0,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",46,Donax trunculus,prot_g,8.21,mollusc,NA,2.0,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",47,Donax trunculus,prot_g,10.61,mollusc,NA,2.0,4.4,NaN,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1573,Doryteuthis opalescens,prot_g,15.3,mollusc,NA,147.0,19.0,3.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,19.0,NA,NA,NA,NA,NA,NA,NA,147.0,NA,NA,NA,hunting macrofauna (predator),NA,NA,NA,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",541,Eledone moschata,prot_g,14.5,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",542,Eledone moschata,prot_g,12.21,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozogul Y., Duysak O., Ozogul F., Özkütük A.S., Türeli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",543,Eledone moschata,prot_g,14.32,mollusc,34.553128,19.4,19.4,NaN,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,NA,19.4,NA,901218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1540,Eopsetta jordani,prot_g,17.6,finfish,NA,53.0,NaN,4.05,NA,mainly animals (troph. 2.8 and up),NA,NaN,NA,42.5,NA,56527,70.0,56527,NA,53.0,NA,NA,NA,NA,demersal,NA,0,NA,0,4.05,NA,NA,0.65,NA,NA,NA,NA,3700.0,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1540,Eopsetta jordani,prot_g,17.6,finfish,NA,53.0,NaN,4.05,NA,mainly animals (troph. 2.8 and up),NA,NaN,NA,42.5,NA,56527,70.0,56527,NA,53.0,NA,NA,NA,NA,demersal,0,0,1,0,4.05,NA,NA,NA,NA,NA,NA,NA,3700.0,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1545,Evasterias troscheli,prot_g,11.8,mollusc,NA,NaN,28.0,NaN,NA,NA,NA,28.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1546,Evasterias troscheli,prot_g,10.0,mollusc,NA,NaN,28.0,NaN,NA,NA,NA,28.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1547,Evasterias troscheli,prot_g,5.7,mollusc,NA,NaN,28.0,NaN,NA,NA,NA,28.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1493,Gadus macrocephalus,prot_g,17.9,finfish,NA,115.0416667,100.0,4.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,NA,NA,NA,NA,40637,NA,119.0,NA,NA,6880,NA,demersal,NA,0,NA,0,4.37,4.16,0.149,1.05,NA,NA,NA,NA,22700.0,NA,27436,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1541,Glyptocephalus zachirus,prot_g,16.7,finfish,NA,60.0,NaN,3.41,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,36.0,NA,56527,NA,56527,NA,60.0,NA,NA,NA,NA,demersal,NA,0,NA,0,3.41,3.25,0.124,0.51,NA,NA,NA,NA,2e3,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1541,Glyptocephalus zachirus,prot_g,16.7,finfish,NA,60.0,NaN,3.41,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NaN,NA,36.0,NA,56527,NA,56527,NA,60.0,NA,NA,NA,NA,demersal,0,0,1,0,3.41,NA,NA,NA,NA,NA,NA,NA,2e3,NA,56527,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1491,Haliotis rufescens,prot_g,17.1,mollusc,NA,NaN,26.0,2.0,browsing on substrate,mainly plants/detritus (troph. 2-2.19),NA,26.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,browsing on substrate,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
