Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm
Placopecten magellanicus,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,temperate,benthic,300,20,Placopectens magellanicus,Placopectens magellanicus,0.75,NA,marine
Portunus pelagicus,NA,plants/detritus+animals (troph. 2.2-2.79),hunting macrofauna (predator),3.54,tropical,reef-associated,65,20,Portunus pelagicus,Portunus pelagicus,0.988,NA,brackmarine
Procambarus acutus,NA,NA,NA,NA,tropical,demersal,NA,NA,Procambarus acutus,Procambarus acutus,0.988,NA,marine
Rapana venosa,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1,tropical,benthic,60,16.1,Rapana venosa,Rapana venosa,0.988,NA,brackmarine
Ruditapes decussatus,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,1,6,Ruditapes decussatus,Ruditapes decussatus,0.988,NA,brackmarine
Saxidomus gigantea,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,NA,temperate,benthic,50,13,Saxidomus gigantea,Saxidomus gigantea,0.988,NA,marine
Saxidomus nuttalli,NA,NA,NA,NA,tropical,benthic,NA,NA,Saxidomus nuttalli,Saxidomus nuttalli,0.988,NA,marine
Scyllarides latus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.86,subtropical,benthic,100,45,Scyllarides latus,Scyllarides latus,0.988,NA,marine
Sepia aculeata,NA,NA,NA,3.39,tropical,benthic,60,23,Sepia aculeata,Sepia aculeata,0.988,NA,marine
Sepia officinalis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.71,tropical,benthic,242,49,Sepia officinalis,Sepia officinalis,0.988,NA,marine
Sinonovacula constricta,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,2,tropical,benthic,10,NA,Sinonovacula constricta,Sinonovacula constricta,0.988,NA,marine
Spisula solidissima,NA,mainly plants/detritus (troph. 2-2.19),filtering plankton,NA,temperate,benthic,70,20,Spisula solidissima,Spisula solidissima,0.988,NA,marine
Strombus gracilior,NA,NA,NA,NA,tropical,benthic,NA,NA,Strombus gracilior,Strombus gracilior,0.988,NA,marine
Todarodes sagittatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.4,tropical,benthopelagic,2500,75,Todarodes sagittatus,Todarodes sagittatus,0.988,NA,marine
Turbo cornutus,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,temperate,benthic,30,7,Turbo cornutus,Turbo cornutus,0.988,NA,marine
Ucides cordatus,NA,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,tropical,benthic,1,10,Ucides cordatus,Ucides cordatus,0.988,NA,brackmarine
