user_supplied_name	submitted_name	matched_name2	score
Pseudoplatystoma fasciatum	Pseudoplatystoma fasciatum	Pseudoplatystoma fasciatum	0.988
Lates niloticus	Lates niloticus	Lates niloticus	0.988
Protopterus aethiopicus	Protopterus aethiopicus	Protopterus aethiopicus	0.988
Synodontis spp	Synodontis spp	Synodontis	0.75
Clarias gariepinus	Clarias gariepinus	Clarias gariepinus	0.988
Bagrus docmak	Bagrus docmak	Bagrus docmak	0.988
Tilapia zilli	Tilapia zilli	Tilapia zilli	0.988
Aphanopus carbo	Aphanopus carbo	Aphanopus carbo	0.988
Rutilus rutilus	Rutilus rutilus	Rutilus rutilus	0.988
Abramis brama	Abramis brama	Abramis brama	0.988
Coregonus albula	Coregonus albula	Coregonus albula	0.988
Rutilus frisii	Rutilus frisii	Rutilus frisii	0.988
Liza aurata	Liza aurata	Liza aurata	0.988
Clupeonella cultriventris	Clupeonella cultriventris	Clupeonella cultriventris	0.988
Rastrineobola argentea	Rastrineobola argentea	Rastrineobola argentea	0.988
Albatrossia pectoralis	Albatrossia pectoralis	Albatrossia pectoralis	0.988
Atheresthes stomias	Atheresthes stomias	Atheresthes stomias	0.988
Gadus macrocephalus	Gadus macrocephalus	Gadus macrocephalus	0.988
Theragra chalcogramma	Theragra chalcogramma	Theragra chalcogramma	0.988
Aspius aspius	Aspius aspius	Aspius aspius	0.988
Carassius carassius	Carassius carassius	Carassius carassius	0.988
Leuciscus cephalus	Leuciscus cephalus	Leuciscus cephalus	0.988
Leuciscus idus	Leuciscus idus	Leuciscus idus	0.988
Chondrostoma nasus	Chondrostoma nasus	Chondrostoma nasus	0.988
Scardinius erythrophthalmus	Scardinius erythrophthalmus	Scardinius erythrophthalmus	0.988
tinca tinca	Tinca tinca	Tinca tinca	0.988
Clarias batrachus	Clarias batrachus	Clarias batrachus	0.988
Heteropneustes fossilis	Heteropneustes fossilis	Heteropneustes fossilis	0.988
Anabas testudineus	Anabas testudineus	Anabas testudineus	0.988
Notopterus notopterus	Notopterus notopterus	Notopterus notopterus	0.988
Nandus nandus	Nandus nandus	Nandus nandus	0.988
Channa punctata	Channa punctata	Channa punctata	0.988
Mystus vittatus	Mystus vittatus	Mystus vittatus	0.988
Coregonus spp	Coregonus spp	Coregonus	0.75
Coregonus macrophthalmus	Coregonus macrophthalmus	Coregonus macrophthalmus	0.988
Mormyrus rume	Mormyrus rume	Mormyrus rume	0.988
Hyperoglyphe antarctica	Hyperoglyphe antarctica	Hyperoglyphe antarctica	0.988
Odax pullus	Odax pullus	Odax pullus	0.988
Hyporhamphus ihi	Hyporhamphus ihi	Hyporhamphus ihi	0.988
Polyprion oxygeneios	Polyprion oxygeneios	Polyprion oxygeneios	0.988
Arripis trutta	Arripis trutta	Arripis trutta	0.988
Mustelus lenticulatus	Mustelus lenticulatus	Mustelus lenticulatus	0.988
Triakidae	Triakidae	Triakidae	0.75
Squalus acanthias	Squalus acanthias	Squalus acanthias	0.988
Sardina pilchardus	Sardina pilchardus	Sardina pilchardus	0.988
Cyprinidae	Cyprinidae	Cyprinidae	0.75
Puntius spp	Puntius spp	Puntius	0.75
Macrobrachium nipponense	Macrobrachium nipponense	Macrobrachium nipponense	0.988
Dicentrarchus labrax	Dicentrarchus labrax	Dicentrarchus labrax	0.988
Trachurus mediterraneus	Trachurus mediterraneus	Trachurus mediterraneus	0.988
Etrumeus teres	Etrumeus teres	Etrumeus teres	0.988
Chelidonichthyus lucernus	Chelidonichthyus lucernus	Chelidonichthys lucernus	0.75
Chelidonichthyus lucernus	Chelidonichthyus lucernus	Chlidonichthys lucernus	0.75
Chelidonichthyus lucernus	Chelidonichthyus lucernus	Chelidonichthys lucerna	0.75
Pampus spp	Pampus spp	Pampus	0.75
Euthynnus alletteratus	Euthynnus alletteratus	Euthynnus alletteratus	0.988
Thunnus orientalis	Thunnus orientalis	Thunnus orientalis	0.988
Engraulis encrasicolus	Engraulis encrasicolus	Engraulis encrasicolus	0.988
Sprattus sprattus	Sprattus sprattus	Sprattus sprattus	0.988
Merlangius merlangus	Merlangius merlangus	Merlangius merlangus	0.988
Mullus barbatus	Mullus barbatus	Mullus barbatus	0.988
Belone belone	Belone belone	Belone belone	0.988
Alosa alosa	Alosa alosa	Alosa alosa	0.988
Spicara smaris	Spicara smaris	Spicara smaris	0.988
Sarda sarda	Sarda sarda	Sarda sarda	0.988
Sardinella maderensis	Sardinella maderensis	Sardinella maderensis	0.988
Sardinella aurita	Sardinella aurita	Sardinella aurita	0.988
Cephalopholis taeniops	Cephalopholis taeniops	Cephalopholis taeniops	0.988
Merluccius productus	Merluccius productus	Merluccius productus	0.988
Hypomesus pretious	Hypomesus pretious	Hypomesus pretiosus	0.75
Sebastes pinniger	Sebastes pinniger	Sebastes pinniger	0.988
Oncorhynchus gorbusha	Oncorhynchus gorbusha	Oncorhynchus gorbuscha	0.75
Sardinops sagax	Sardinops sagax	Sardinops sagax	0.988
Clupea pallasi	Clupea pallasi	Clupea pallasi	0.988
Dentex dentex	Dentex dentex	Dentex dentex	0.988
Sciaena umbra	Sciaena umbra	Sciaena umbra	0.988
Diplodus puntazzo	Diplodus puntazzo	Diplodus puntazzo	0.988
Scomber japonicus	Scomber japonicus	Scomber japonicus	0.988
Merluccius merluccius	Merluccius merluccius	Merluccius merluccius	0.988
Palinurus elephas	Palinurus elephas	Palinurus elephas	0.988
Sepia officinalis	Sepia officinalis	Sepia officinalis	0.988
Scorppaena scrofa	Scorppaena scrofa	Scorpaena scrofa	0.75
Scorpaena porcus	Scorpaena porcus	Scorpaena porcus	0.988
Boops boops	Boops boops	Boops boops	0.988
Mugil cephalus	Mugil cephalus	Mugil cephalus	0.988
Pagelius erythrinus	Pagelius erythrinus	Pagellus erythrinus	0.75
Scorpaena scrofa	Scorpaena scrofa	Scorpaena scrofa	0.988
Scophthalmidae	Scophthalmidae	Scophthalmidae	0.75
Solea solea	Solea solea	Solea solea	0.988
Alectis alexandrinus	Alectis alexandrinus	Alectis alexandrinus	0.988
Aspitrigla cuculus	Aspitrigla cuculus	Aspitrigla cuculus	0.988
Balistidae	Balistidae	Balistidae	0.75
Sarpa salpa	Sarpa salpa	Sarpa salpa	0.988
Bothus podus	Bothus podus	Bothus podas	0.75
Caranx crysos	Caranx crysos	Caranx crysos	0.988
Chelon labrosus	Chelon labrosus	Chelon labrosus	0.988
Diplodus annularis	Diplodus annularis	Diplodus annularis	0.988
Diplodus vulgaris	Diplodus vulgaris	Diplodus vulgaris	0.988
Echelus myrus	Echelus myrus	Echelus myrus	0.988
Epinephelus coioides	Epinephelus coioides	Epinephelus coioides	0.988
Helicolenus dacthlopterus	Helicolenus dacthlopterus	Helicolenus dactylopterus	0.75
Lagocepahlus lagocephalus	Lagocepahlus lagocephalus	Lagocephalus lagocephalus	0.75
Lithognathus mormyrus	Lithognathus mormyrus	Lithognathus mormyrus	0.988
Liza spp	Liza spp	Liza	0.75
Liza ramada	Liza ramada	Liza ramada	0.988
Liza saliens	Liza saliens	Liza saliens	0.988
Lophius budegassa	Lophius budegassa	Lophius budegassa	0.988
Mycteroperca rubra	Mycteroperca rubra	Mycteroperca rubra	0.988
Pagrus caeruleosticuts	Pagrus caeruleosticuts	Pagrus caeruleostictus	0.75
Pagrus caeruleosticuts	Pagrus caeruleosticuts	Pagrus coeruleostictus	0.75
Solea lascaris	Solea lascaris	Solea lascaris	0.988
Phycis phycis	Phycis phycis	Phycis phycis	0.988
Saurida undosquamis	Saurida undosquamis	Saurida undosquamis	0.988
Sillago sihama	Sillago sihama	Sillago sihama	0.988
Sphyraena chrysotaenia	Sphyraena chrysotaenia	Sphyraena chrysotaenia	0.988
Sphyraena sphyraena	Sphyraena sphyraena	Sphyraena sphyraena	0.988
Spicara maena	Spicara maena	Spicara maena	0.988
Trachinotus ovatus	Trachinotus ovatus	Trachinotus ovatus	0.988
Umbrina cirrosa	Umbrina cirrosa	Umbrina cirrosa	0.988
Upeneus moluccensis	Upeneus moluccensis	Upeneus moluccensis	0.988
Trachurus trachurus	Trachurus trachurus	Trachurus trachurus	0.988
Limanda aspera	Limanda aspera	Limanda aspera	0.988
Pagellus bogaraveo	Pagellus bogaraveo	Pagellus bogaraveo	0.988
Psetta maxima	Psetta maxima	Psetta maxima	0.988
Sarda orientalis	Sarda orientalis	Sarda orientalis	0.988
