culture,number_of_targets,subgroup,number_of_species,sd,se
Bella Coola,4.407,all,14,0.5564716171204608,0.14872329548062946
Bella Coola,4.448,all,15,0.5362682011676467,0.13846385414819365
Bella Coola,4.483,all,16,0.527246611168805,0.13181165279220125
Bella Coola,4.519,all,17,0.5195275824332226,0.12600394692905664
Bella Coola,4.548,all,18,0.5098587607916097,0.12017486240103903
Bella Coola,4.576,all,19,0.5004742495618276,0.11481666724654535
Bella Coola,4.607,all,20,0.4927411021964717,0.11018025998194816
Bella Coola,4.623,all,21,0.4848774134831464,0.10580892619337713
Bella Coola,4.642,all,22,0.4796520260210167,0.10226215554910065
Bella Coola,4.664,all,23,0.47257520811753057,0.09853874261852706
Bella Coola,4.686,all,24,0.4643485970901814,0.09478476047067984
Bella Coola,4.706,all,25,0.45581988961844544,0.09116397792368909
Bella Coola,4.72,all,26,0.44922355437109684,0.0880999872962974
Bella Coola,4.74,all,27,0.43885372573625553,0.08445743889623245
Bella Coola,4.76,all,28,0.42729683193604723,0.08075151095061021
Bella Coola,4.778,all,29,0.4157990967870047,0.07721195389157556
Bella Coola,4.79,all,30,0.40751204407485436,0.07440117966494574
Bella Coola,4.806,all,31,0.39562674393994207,0.07105666083520283
Bella Coola,4.827,all,32,0.37843653921656956,0.06689876078220129
Bella Coola,4.843,all,33,0.3639828065767441,0.06336127377705578
Bella Coola,4.857,all,34,0.3502480173729377,0.06006703942842767
Bella Coola,4.87,all,35,0.33647171235218754,0.05687409985804817
Bella Coola,4.886,all,36,0.31797028965786267,0.05299504827631044
Bella Coola,4.897,all,37,0.304110972316823,0.04999553587733325
Bella Coola,4.906,all,38,0.29197474077263813,0.04736455738242336
Bella Coola,4.916,all,39,0.2775266131761439,0.044439824199674495
Bella Coola,4.922,all,40,0.26830577330349786,0.04242286765059264
Bella Coola,4.931,all,41,0.2535809600567505,0.03960269247538708
Bella Coola,4.946,all,42,0.2261307920985887,0.03489273875039358
Bella Coola,4.956,all,43,0.20519772441746548,0.03129235960916729
Bella Coola,4.962,all,44,0.19129190414806527,0.028838339613261918
Bella Coola,4.969,all,45,0.17340435135563662,0.025849594481697418
Bella Coola,4.974,all,46,0.15921478998305827,0.023474940083893232
Bella Coola,4.98,all,47,0.14007005254378832,0.020431317023409327
Bella Coola,4.985,all,48,0.12161327966052798,0.017553364937259768
Bella Coola,4.987,all,49,0.11333068359382575,0.01619009765626082
Bella Coola,4.99,all,50,0.0995485304256668,0.014078288184228868
Bella Coola,4.992,all,51,0.08912880535463237,0.012480529105130074
Bella Coola,4.995,all,52,0.07056897321046962,0.00978615582181511
Bella Coola,4.997,all,53,0.05471740119919799,0.007516013086528509
Bella Coola,5,all,54,0,0
Bella Coola,5,all,55,0,0
Bella Coola,5,all,56,0,0
Central Salish,1.825,all,1,0.8538759301585355,0.8538759301585355
Central Salish,2.312,all,2,0.7288258963478089,0.5153577336118994
Central Salish,2.58,all,3,0.7747258871369925,0.4472881994867143
Central Salish,2.762,all,4,0.8161017228397585,0.40805086141987923
Central Salish,2.921,all,5,0.8494000709209297,0.3798632597344682
Central Salish,3.062,all,6,0.8745975765578824,0.35705296547359305
Central Salish,3.201,all,7,0.8805534477670134,0.33281791984171727
Central Salish,3.324,all,8,0.8785190924480787,0.3106034038359439
Central Salish,3.443,all,9,0.8622612681168593,0.2874204227056198
Central Salish,3.557,all,10,0.8540962946181657,0.2700889632103616
Central Salish,3.646,all,11,0.8386819345779348,0.2528721177676731
Central Salish,3.747,all,12,0.8352776117487459,0.24112387699560311
Central Salish,3.835,all,13,0.8126717882610639,0.22539460020756
Central Salish,3.921,all,14,0.789545680997865,0.21101495925008026
Central Salish,4.004,all,15,0.7579964106501814,0.19571383166221004
Central Salish,4.067,all,16,0.7382791179872664,0.1845697794968166
Central Salish,4.118,all,17,0.7145534175879271,0.17330465975653575
Central Salish,4.194,all,18,0.6919847128678803,0.1631023609821014
Central Salish,4.25,all,19,0.6707830871078593,0.1538881941968105
Central Salish,4.298,all,20,0.6585056033395841,0.14724632926318224
Central Salish,4.346,all,21,0.645523586478992,0.1408647951390168
Central Salish,4.399,all,22,0.632612993226664,0.1348735433317917
