seanuts_id2,food_item_id_2,database,biblioid,biblioid.x,biblioid.y,biblioid_y,nutrient_ref,species_name,subgroup,food_name_clean,prot_g,protcnt_g,protein_g,fat_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,fapun3,fapun_all_g
11,901085,NA,NA,NA,NA,fi184,NA,Euryglossa panoides,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1032.53,1.676976,1.23,3.5,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/Euryglossa-panoides.html,0.01,3.04,NA,"Flounders, halibuts, soles",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
12,901082,NA,NA,NA,NA,fi184,NA,Dermogenys pusilla,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,976.77,2.5828,0.85,3.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/11299,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
13,902225,NA,NA,NA,NA,fi184,NA,Dangila sp.,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,926.25,2.00925,2.17,3.0,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=24381&genusname=Danio&speciesname=dangila&AT=Danio+dangila&lang=English,0.00708,3.07,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
14,NA,NA,NA,fi179,fi179,NA,NA,Parambassis ranga,Finfish,NA,NA,NA,NA,NA,NA,NA,900.0,2.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parambassis ranga,NA,NA,NA,NA
15,900199,NA,NA,NA,NA,fi38,NA,Oreochromis niloticus,Finfish,Nile_tilapia_wild_skin-on_fillet_incl._bones_raw,NA,16.15,NA,2.64,NA,NA,883.0,7.0,3.0,2.0,NA,NA,11.066667,11.066667,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2,0.01995,2.96,NA,Tilapias and other cichlids,NA,Jan-May _dry season,NA,NA,NA,NA,NA
16,901077,NA,NA,NA,NA,fi184,NA,Barbonymus altus,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,870.26,1.639803,1.35,2.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/Barbonymus-altus.html,0.01288,2.98,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
17,901092,NA,NA,NA,NA,fi184,NA,Puntioplites proctozystron,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,851.73,1.66837,1.1,2.7,NA,NA,12.265754,12.265754,NA,http://www.fishbase.us/summary/16203,0.00977,3.01,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
18,900197,NA,NA,NA,NA,fi38,NA,Clarias lazera,Finfish,North_African_catfish_wild_skin-on_fillet_incl._bones_raw,NA,18.8,NA,3.7,NA,NA,832.0,8.0,3.0,3.2,NA,NA,11.066667,11.066667,NA,http://www.fishbase.org/summary/Clarias-gariepinus.html,0.00692,3.0,NA,Miscellaneous freshwater fishes,NA,Jan-May _dry season,NA,NA,NA,NA,NA
19,901089,NA,NA,NA,NA,fi184,NA,Rasbora tornieri,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,812.59,3.055239,0.73,3.2,NA,NA,12.265754,12.265754,NA,http://www.fishbase.se/summary/22832,0.00457,3.08,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
20,902189,NA,NA,NA,NA,fi103,NA,Pila sp.,Molluscs,NA,NA,11.8,NA,0.4,NA,NA,812.0,12.0,102.0,NA,NA,NA,14.903036,14.903036,NA,http://www.sealifebase.ca/summary/Rapana-rapiformis.html,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,NA,NA
21,NA,NA,NA,fi179,fi179,NA,NA,Esomus danricus,Finfish,NA,NA,NA,NA,NA,NA,NA,800.0,4.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esomus danricus,NA,NA,NA,NA
22,NA,NA,NA,fi179,fi179,NA,NA,Amblypharyngodon mola,Finfish,NA,NA,NA,NA,NA,NA,NA,800.0,3.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amblypharyngodon mola,NA,NA,NA,NA
23,NA,NA,NA,fi179,fi179,NA,NA,Puntius sophore,Finfish,NA,NA,NA,NA,NA,NA,NA,800.0,3.1,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puntius sophore,NA,NA,NA,NA
24,901088,NA,NA,NA,NA,fi184,NA,Parachela siamensis,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,777.84,2.925714,1.6,3.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/27043,0.00389,3.12,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
25,901084,NA,NA,NA,NA,fi184,NA,Esomus longimanus,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,728.35,4.22443,9.39,3.0,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/1450,0.02089,2.91,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
26,901177,NA,NA,NA,NA,fi211,NA,Hexaplex trunculus,Molluscs,Marine_snail_muscle_raw,NA,15.75,NA,9.0,0.644600279,0.734312688,674.4,NA,8.1,NA,NA,NA,34.733333,34.733333,NA,http://eol.org/pages/4831626/data,NA,NA,NA,"Abalones, winkles, conchs",NA,NA,NA,NA,NA,2.832586275,4.848623487
27,900565,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,17.69,NA,8.04,NA,NA,637.14,3.5827,8.77,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Feb,NA,NA,NA,NA,NA
28,901078,NA,NA,NA,NA,fi184,NA,Barbodes gonionotus,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,636.89,1.379924,1.05,2.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/Barbonymus-gonionotus.html,0.01514,2.9,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
29,902207,NA,NA,NA,NA,fi139,NA,Tilapia pra,Finfish,Tilapia_wild_skin-on_fillet_raw,NA,17.53,NA,4.35,0.039166696,0.133166766,621.6,1.3209,0.83,2.0,NA,NA,4.565474,4.565474,NA,http://www.fishbase.org/summary/Oreochromis-niloticus.html,0.01995,2.96,NA,Tilapias and other cichlids,NA,NA,NA,NA,NA,NA,0.575750431
30,900600,NA,NA,NA,NA,fi103,NA,Monopterus albus,Finfish,Swamp_eel_wild_gutted_and_beheaded_raw,NA,19.7,NA,0.8,NA,0.0259462,525.0,1.4,1.1,2.9,NA,NA,14.903036,14.903036,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=4663,7.1e-4,3.06,NA,Miscellaneous freshwater fishes,NA,dry season,NA,NA,NA,0.045255,0.1484364
31,NA,NA,NA,fi192,fi192,NA,NA,Donax trunculus,Molluscs,NA,8.12,NA,NA,0.87,NA,NA,448.9326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Autumn (Sep, Oct, Nov) 2006","Autumn (Sep, Oct, Nov) 2006",NA,NA
32,900604,NA,NA,NA,NA,fi103,NA,Pomacea canaliculata,Molluscs,Golden_apple_snail_wild_shelled_raw,NA,11.6,NA,0.1,6.68496e-4,7.10277e-4,444.0,6.9,48.0,NA,NA,NA,14.903036,14.903036,NA,http://www.sealifebase.ca/summary/Rapana-rapiformis.html,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,0.004888377,0.013996635
33,900571,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,18.99,NA,9.44,NA,NA,412.82,3.2392,11.98,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Aug,NA,NA,NA,NA,NA
34,900573,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,17.32,NA,9.66,NA,NA,400.87,3.345,11.58,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Oct,NA,NA,NA,NA,NA
35,NA,NA,NA,fi179,fi179,NA,NA,Corica soborna,Finfish,NA,NA,NA,NA,NA,NA,NA,400.0,3.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corica soborna,NA,NA,NA,NA
36,902199,NA,NA,NA,NA,fi139,NA,Sardinella sp.,Finfish,Flat_sardine_wild_skin-on_fillet_raw,NA,20.69,NA,0.17,0.004056171,0.032681149,398.52,1.56702,1.83,3.4,NA,NA,4.565474,4.565474,NA,http://www.fishbase.org/summary/1043,0.00708,3.03,NA,"Herrings, sardines, anchovies",NA,NA,NA,NA,NA,NA,0.043343084
37,NA,NA,NA,fi192,fi192,NA,NA,Donax trunculus,Molluscs,NA,8.4,NA,NA,0.69,NA,NA,381.0254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Winter (Dec, Jan, Feb) 2005, 2006","Winter (Dec, Jan, Feb) 2005, 2006",NA,NA
38,900198,NA,NA,NA,NA,fi38,NA,Mormyrus rume,Finfish,Mormyrid_wild_skin-on_fillet_incl._bones_raw,NA,19.2,NA,1.46,NA,NA,359.0,6.0,1.0,2.5,NA,NA,11.066667,11.066667,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=2397,0.01175,2.79,NA,Miscellaneous freshwater fishes,NA,Jan-May _dry season,NA,NA,NA,NA,NA
39,NA,NA,NA,fi24,fi24,NA,NA,Glossogobius giuris,Finfish,NA,NA,12.9,NA,0.1,NA,NA,336.6,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glossogobius giuris,NA,NA,NA,NA
40,901003,NA,NA,NA,NA,fi158,NA,Chamelea gallina,Molluscs,Venus_clam_wild_edible_meat_incl._intervalvar_fluid_raw,NA,10.1,NA,1.16,0.162592,0.14308096,327.0,1.38,6.44,NA,NA,NA,44.067829,44.067829,NA,http://www.sealifebase.ca/summary/Chamelea-gallina.html,NA,NA,NA,"Clams, cockles, arkshells",NA,Dez 2002,NA,NA,NA,0.34063024,0.39103376
41,901005,NA,NA,NA,NA,fi158,NA,Chamelea gallina,Molluscs,Venus_clam_wild_edible_meat_incl._intervalvar_fluid_raw,NA,9.04,NA,0.84,0.05983072,0.10292912,304.0,1.28,8.2,NA,NA,NA,44.067829,44.067829,NA,http://www.sealifebase.ca/summary/Chamelea-gallina.html,NA,NA,NA,"Clams, cockles, arkshells",NA,03-Jul,NA,NA,NA,0.20484416,0.23526656
42,900567,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,20.04,NA,3.92,NA,NA,302.67,2.9114,5.24,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Apr,NA,NA,NA,NA,NA
43,NA,NA,NA,fi179,fi179,NA,NA,Channa punctata,Finfish,NA,NA,NA,NA,NA,NA,NA,300.0,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Channa punctata,NA,NA,NA,NA
44,900601,NA,NA,NA,NA,fi103,NA,Clarias batrachus,Finfish,Walking_catfish_wild_skin-on_fillet_raw,NA,19.0,NA,3.0,0.05312,0.03984,299.0,0.9,0.6,3.4,NA,NA,14.903036,14.903036,NA,http://www.fishbase.org/summary/3054,0.00794,2.95,NA,Miscellaneous freshwater fishes,NA,dry season,NA,NA,NA,0.241696,0.589632
45,900569,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,20.98,NA,2.67,NA,NA,297.8,1.9569,3.81,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Jun,NA,NA,NA,NA,NA
46,NA,NA,NA,fi192,fi192,NA,NA,Donax trunculus,Molluscs,NA,8.21,NA,NA,0.7,NA,NA,270.1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Summer (Jun, Jul, Aug) 2006","Summer (Jun, Jul, Aug) 2006",NA,NA
47,NA,NA,NA,fi192,fi192,NA,NA,Donax trunculus,Molluscs,NA,10.61,NA,NA,1.33,NA,NA,254.2106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donax trunculus,"Spring (Mar, Apr, May) 2006","Spring (Mar, Apr, May) 2006",NA,NA
48,902203,NA,NA,NA,NA,fi139,NA,Dentex sp.,Finfish,Sea_bream_wild_skin-on_fillet_raw,NA,20.33,NA,2.57,0.13979822,0.4284139,249.29,0.61166,0.71,3.6,NA,NA,4.565474,4.565474,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=4539&AT=Sea+bream,NA,NA,NA,Miscellaneous coastal fishes,NA,NA,NA,NA,NA,NA,0.71928439
49,901001,NA,NA,NA,NA,fi158,NA,Chamelea gallina,Molluscs,Venus_clam_wild_edible_meat_incl._intervalvar_fluid_raw,NA,10.4,NA,1.55,0.2241162,0.166012,245.0,1.23,6.31,NA,NA,NA,44.067829,44.067829,NA,http://www.sealifebase.ca/summary/Chamelea-gallina.html,NA,NA,NA,"Clams, cockles, arkshells",NA,02-Jun,NA,NA,NA,0.4541614,0.503965
50,900568,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,18.28,NA,7.58,NA,NA,243.81,2.924,2.58,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-May,NA,NA,NA,NA,NA
51,900574,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,15.73,NA,12.26,NA,NA,235.96,1.3222,2.1,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Nov,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,Metacarcinus magister,Crustacean,NA,NA,NA,NA,0.6,NA,NA,219.0,0.6,46.0,NA,NA,NA,52.372895,52.372895,NA,http://www.sealifebase.ca/summary/Metacarcinus-magister.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,fi179,fi179,NA,NA,Macrognathus aculeatus,Finfish,NA,NA,NA,NA,NA,NA,NA,200.0,1.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrognathus aculeatus,NA,NA,NA,NA
54,900570,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,21.24,NA,2.93,NA,NA,198.83,1.3961,2.56,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Jul,NA,NA,NA,NA,NA
55,900566,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,17.29,NA,8.66,NA,NA,156.5,1.5969,9.16,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Mar,NA,NA,NA,NA,NA
56,901002,NA,NA,NA,NA,fi158,NA,Chamelea gallina,Molluscs,Venus_clam_wild_edible_meat_incl._intervalvar_fluid_raw,NA,8.55,NA,0.73,0.032793408,0.07957224,150.0,0.91,6.73,NA,NA,NA,44.067829,44.067829,NA,http://www.sealifebase.ca/summary/Chamelea-gallina.html,NA,NA,NA,"Clams, cockles, arkshells",NA,02-Sep,NA,NA,NA,0.13543356,0.16718208
57,900564,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,17.56,NA,11.85,NA,NA,145.2,2.3044,12.43,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Jan,NA,NA,NA,NA,NA
58,900572,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,19.69,NA,12.24,NA,NA,127.23,1.6665,14.48,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,07-Sep,NA,NA,NA,NA,NA
59,901298,NA,NA,NA,NA,jd1,NA,Velesunio ambiguus,Molluscs,Freshwater_mussel_wild_raw,NA,6.6,NA,1.4,NA,NA,124.0,3.9,16.6,NA,NA,NA,25.274398,-25.274398,NA,http://www.environment.nsw.gov.au/animals/musselid.htm,NA,NA,NA,Freshwater molluscs,NA,NA,NA,NA,NA,NA,NA
60,901054,NA,NA,NA,NA,fi175,NA,Portunus pelagicus,Crustacean,Crab_wild_male_meat_raw,19.8,NA,NA,0.6,NA,NA,115.0,2.3,0.35,3.0,NA,NA,26.0667,26.0667,NA,NA,NA,NA,NA,"Crabs, sea-spiders",NA,NA,NA,NA,NA,NA,NA
61,901052,NA,NA,NA,NA,fi175,NA,Portunus pelagicus,Crustacean,Crab_wild_female_meat_raw,19.8,NA,NA,0.8,NA,NA,112.0,2.6,0.4,3.0,NA,NA,26.0667,26.0667,NA,NA,NA,NA,NA,"Crabs, sea-spiders",NA,NA,NA,NA,NA,NA,NA
62,901010,NA,NA,NA,NA,fi162,NA,Nephrops norvegicus,Crustacean,Norway_lobster_wild_male_edible_muscle_raw,NA,NA,NA,NA,NA,NA,110.0,1.81,1.99,2.88,NA,NA,37.017954,37.017954,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,fi24,fi24,NA,NA,Channa striata,Finfish,NA,NA,16.9,NA,1.7,NA,NA,108.3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Channa striata,NA,NA,NA,NA
64,900563,NA,NA,NA,NA,fi89,NA,Trachurus trachurus,Finfish,Horse_mackerel_wild_muscle_tissue_raw,NA,16.47,NA,10.79,NA,NA,105.61,0.7914,2.9,3.64,NA,NA,41.00527,41.00527,NA,NA,0.0127,3.0,NA,Miscellaneous pelagic fishes,NA,06-Dec,NA,NA,NA,NA,NA
65,901011,NA,NA,NA,NA,fi162,NA,Nephrops norvegicus,Crustacean,Norway_lobster_wild_female_edible_muscle_raw,NA,NA,NA,NA,NA,NA,90.0,1.67,2.0,2.88,NA,NA,37.017954,37.017954,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA
66,900063,NA,NA,NA,NA,fi6,NA,Perca fluviatilis,Finfish,European_perch_wild_skinless_fillet_raw,NA,17.89,NA,0.9,0.04723626,0.13118861,85.4,0.584,0.16,4.4,21.53,NA,42.606001,42.606001,NA,http://www.fishbase.org/summary/358,0.01,3.08,NA,Miscellaneous freshwater fishes,NA,"Dec 2001, Feb, Jun, Sep 2002",NA,NA,NA,0.20935835,0.29184763
67,900560,NA,NA,NA,NA,fi89,NA,Sarda sarda,Finfish,Atlantic_bonito_wild_muscle_tissue_raw,NA,20.85,NA,4.03,NA,NA,83.49,2.3925,16.79,4.2,NA,NA,41.00527,41.00527,NA,NA,0.0051,3.180000067,NA,"Tunas, bonitos, billfishes",NA,07-Sep,NA,NA,NA,NA,NA
68,900154,NA,NA,NA,NA,fi31,NA,Sander lucioperca,Finfish,Zander_wild_fillet_frozen,18.3,NA,NA,0.8,NA,NA,80.56,0.71,0.31,4.3,NA,NA,37.866667,37.866667,NA,http://www.fishbase.org/summary/360,0.00692,3.1,NA,Miscellaneous freshwater fishes,NA,05-Dec,NA,NA,NA,NA,NA
69,NA,NA,NA,fi99,fi99,NA,NA,Cynoscion acoupa,Finfish,NA,NA,20.73,NA,2.11,0.22455249,0.49839699,79.33,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cynoscion acoupa,NA,NA,0.77771838,0.87995366
70,900559,NA,NA,NA,NA,fi89,NA,Sarda sarda,Finfish,Atlantic_bonito_wild_muscle_tissue_raw,NA,22.44,NA,4.33,NA,NA,79.2,0.2116,0.48,4.2,NA,NA,41.00527,41.00527,NA,NA,0.0051,3.180000067,NA,"Tunas, bonitos, billfishes",NA,07-Aug,NA,NA,NA,NA,NA
71,NA,NA,NA,fi92,fi92,NA,NA,Solea solea,Finfish,NA,NA,20.2,NA,1.88,NA,NA,78.7263,1.4496,5.8136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solea solea,"Summer (Jun, Jul, Aug 2007)","Summer (Jun, Jul, Aug 2007)",NA,NA
72,NA,NA,NA,fi188,fi188,NA,NA,Maja brachydactyla,Crustacean,NA,NA,15.7,NA,0.32,0.032505034,NA,78.7,6.28,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maja brachydactyla,NA,NA,0.061833105,0.076747179
73,900155,NA,NA,NA,NA,fi31,NA,Sander lucioperca,Finfish,Zander_wild_fillet_frozen,17.73,NA,NA,1.17,NA,NA,77.88,0.582,0.17,4.3,NA,NA,37.0,37.0,NA,http://www.fishbase.org/summary/360,0.00692,3.1,NA,Miscellaneous freshwater fishes,NA,05-Dec,NA,NA,NA,NA,NA
74,NA,NA,NA,fi99,fi99,NA,NA,Mugil curema,Finfish,NA,NA,21.17,NA,6.03,0.23576857,0.14255774,75.0,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mugil curema,NA,NA,0.72923767,0.80051654
75,NA,NA,NA,fi92,fi92,NA,NA,Merlangius merlangus,Finfish,NA,NA,13.43,NA,1.34,NA,NA,73.5713,1.2857,7.6567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merlangius merlangus,"Winter (Dec 2006, Jan, Feb 2007)","Winter (Dec 2006, Jan, Feb 2007)",NA,NA
76,NA,NA,NA,fi99,fi99,NA,NA,Centropomus undecimalis,Finfish,NA,NA,21.61,NA,1.66,NA,NA,73.0,NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Centropomus undecimalis,NA,NA,0.27272132,0.33316986
77,901257,NA,NA,NA,NA,im11,NA,Nephrops norvegicus,Crustacean,Lobster_wild_raw,NA,17.6,NA,0.4,NA,NA,72.0,1.05,2.66,2.88,NA,NA,63.968654,63.968654,NA,NA,0.02302,0.8935,NA,"Lobsters, spiny-rock lobsters",NA,NA,NA,NA,NA,NA,NA
