species,concentration,dataset,contaminant
kajikia audax,497.96875,karimi,mercury
katsuwonus pelamis,217.31770833333334,karimi,mercury
lamna ditropis,812.5,karimi,mercury
leukoma staminea,11.71875,karimi,mercury
litopenaeus setiferus,16.733860294117648,karimi,mercury
lutjanus analis,203.43750000000003,karimi,mercury
lutjanus campechanus,88.04554292929294,karimi,mercury
lutjanus cyanopterus,275,karimi,mercury
lutjanus griseus,129.9931232638889,karimi,mercury
lutjanus synagris,79.34502083333334,karimi,mercury
macruronus novaezelandiae,146.875,karimi,mercury
makaira nigricans,1609.7493421052632,karimi,mercury
melanogrammus aeglefinus,31.25,karimi,mercury
mercenaria mercenaria,54.94318030435931,karimi,mercury
merluccius bilinearis,28.749999999999996,karimi,mercury
merluccius productus,125.8125,karimi,mercury
metacarcinus magister,66.44053571428572,karimi,mercury
micropogonias undulatus,44.2089850888439,karimi,mercury
microstomus pacificus,67.9875,karimi,mercury
morone americana,86.2661858770088,karimi,mercury
morone chrysops,97.72916666666667,karimi,mercury
morone saxatilis,189.77438430677256,karimi,mercury
mugil cephalus,35.58348967369643,karimi,mercury
mustelus californicus,326.25,karimi,mercury
mustelus canis,257.9832292131489,karimi,mercury
mustelus henlei,570.2548363095239,karimi,mercury
mya arenaria,10.315993451379454,karimi,mercury
mycteroperca bonaci,370.3125,karimi,mercury
mycteroperca microlepis,213.45982142857144,karimi,mercury
mycteroperca phenax,228.83124999999995,karimi,mercury
mytilus californianus,23.296370967741932,karimi,mercury
mytilus edulis,18.780691512155194,karimi,mercury
nototodarus gouldi,6.25,karimi,mercury
ocyurus chrysurus,89.06250000000001,karimi,mercury
oncorhynchus gorbuscha,25,karimi,mercury
oncorhynchus keta,39.583333333333336,karimi,mercury
oncorhynchus kisutch,27.507485029940128,karimi,mercury
oncorhynchus nerka,25.624999999999996,karimi,mercury
oncorhynchus tshawytscha,43.70977011494253,karimi,mercury
ophiodon elongatus,191.9958333333333,karimi,mercury
osmerus mordax,18.010357142857146,karimi,mercury
pandalus borealis,18.75,karimi,mercury
panopea generosa,25.625000000000004,karimi,mercury
paralichthys albiguttata,81.25,karimi,mercury
paralichthys californicus,151.04593323863637,karimi,mercury
paralichthys dentatus,46.764329318105545,karimi,mercury
paralichthys lethostigma,47.84747023809523,karimi,mercury
paralithodes camtschaticus,6.25,karimi,mercury
parophrys vetulus,20.123863527080495,karimi,mercury
patinopecten caurinus,22.43125,karimi,mercury
perca flavescens,86.8670696292471,karimi,mercury
platichthys stellatus,28.063671875,karimi,mercury
pleuronichthys ritteri,22.656250000000004,karimi,mercury
pollachius virens,18.75,karimi,mercury
pomatomus saltatrix,136.396966486151,karimi,mercury
poronotus triacanthus,50,karimi,mercury
procambarus clarkii,53.34583333333334,karimi,mercury
prosopium cylindraceum,42.1875,karimi,mercury
pseudopleuronectes americanus,36.06875,karimi,mercury
pylodictis olivaris,179.12492504016842,karimi,mercury
raja eglanteria,133.75,karimi,mercury
rhizoprionodon terraenovae,600,karimi,mercury
rhomboplites aurorubens,267.5,karimi,mercury
salmo salar,37.375,karimi,mercury
salvelinus namaycush,169.744733851875,karimi,mercury
sardinella aurita,11.249999999999998,karimi,mercury
sardinops sagax,11.8125,karimi,mercury
scomber japonicus,50.9910625,karimi,mercury
scomber scombrus,25.29296875,karimi,mercury
scomberomorus cavalla,693.176598575036,karimi,mercury
scomberomorus maculatus,225.84051724137933,karimi,mercury
scomberomorus regalis,165,karimi,mercury
scophthalmus aquosus,92.15277777777777,karimi,mercury
sebastes alutus,35,karimi,mercury
semicossyphus pulcher,105,karimi,mercury
sepia elegans,29.625,karimi,mercury
sepia officinalis,105.62500000000001,karimi,mercury
sepia orbignyana,14.75,karimi,mercury
sphyrna tiburo,312.5,karimi,mercury
squalus acanthias,500,karimi,mercury
squatina californica,270.06944444444446,karimi,mercury
stenotomus chrysops,63.75000000000001,karimi,mercury
thunnus alalunga,125,karimi,mercury
thunnus albacares,154.74238888888888,karimi,mercury
thunnus atlanticus,484.68333333333334,karimi,mercury
thunnus obesus,328.59375,karimi,mercury
thunnus thynnus,691.6666666666666,karimi,mercury
todaropsis eblanae,35.125,karimi,mercury
tresus capax,5.624999999999999,karimi,mercury
triakis semifasciata,559.5868055555557,karimi,mercury
urophycis chuss,56.25,karimi,mercury
urophycis regius,50,karimi,mercury
xiphias gladius,505.6410714285715,karimi,mercury
xystreurys liolepis,15,karimi,mercury
odontaspis taurus,187.5,adams,mercury
carcharodon carcharius,3375,adams,mercury
carcharodon carcharius,3387.5,adams,mercury
carcharodon carcharius,2687.5,adams,mercury
isurus oxyrinchus,2000,adams,mercury
carcharhinus acronotus,218.75,adams,mercury
carcharhinus acronotus,362.49999999999994,adams,mercury
carcharhinus brevipinna,381.25,adams,mercury
carcharhinus isodon,125,adams,mercury
carcharhinus leucas,606.25,adams,mercury
carcharhinus leucas,487.5,adams,mercury
carcharhinus leucas,412.5,adams,mercury
carcharhinus limbatus,493.75,adams,mercury
carcharhinus limbatus,475,adams,mercury
carcharhinus limbatus,1150,adams,mercury
carcharhinus limbatus,337.5,adams,mercury
mustelus norrisi,750,adams,mercury
negaprion brevirostris,437.5,adams,mercury
negaprion brevirostris,406.25,adams,mercury
negaprion brevirostris,112.5,adams,mercury
rhizoprionodon terraenovae,662.5,adams,mercury
rhizoprionodon terraenovae,356.24999999999994,adams,mercury
sphyrna lewini,275,adams,mercury
sphyrna lewini,781.25,adams,mercury
sphyrna tiburo,212.5,adams,mercury
sphyrna tiburo,362.49999999999994,adams,mercury
sphyrna tiburo,243.75,adams,mercury
sphyrna tiburo,712.4999999999999,adams,mercury
sphyrna tiburo,368.75,adams,mercury
pristis pectinata,437.5,adams,mercury
pristis pectinata,118.75,adams,mercury
dasyatis americana,106.25,adams,mercury
dasyatis sabina,156.25,adams,mercury
dasyatis sabina,156.25,adams,mercury
dasyatis sabina,100,adams,mercury
dasyatis sabina,62.5,adams,mercury
dasyatis sabina,206.25,adams,mercury
dasyatis say,12.5,adams,mercury
dasyatis say,43.75000000000001,adams,mercury
dasyatis say,68.75,adams,mercury
dasyatis say,125,adams,mercury
gymnura micrura,93.75,adams,mercury
gymnura micrura,68.75,adams,mercury
gymnura micrura,43.75000000000001,adams,mercury
myliobatis freminvillei,75,adams,mercury
rhinoptera bonasus,37.5,adams,mercury
rhinoptera bonasus,212.5,adams,mercury
acipenser brevirostrum,75,adams,mercury
lepisosteus platyrhincus,56.25,adams,mercury
elops saurus,56.25,adams,mercury
elops saurus,212.5,adams,mercury
elops saurus,112.5,adams,mercury
elops saurus,331.25,adams,mercury
elops saurus,450,adams,mercury
elops saurus,225,adams,mercury
megalops atlanticus,112.5,adams,mercury
megalops atlanticus,250,adams,mercury
albula vulpes,331.25,adams,mercury
albula vulpes,112.5,adams,mercury
albula vulpes,62.5,adams,mercury
brevoortia smithi,43.75000000000001,adams,mercury
brevoortia smithi,100,adams,mercury
opisthonema oglinum,118.75,adams,mercury
opisthonema oglinum,68.75,adams,mercury
harengula jaguana,206.25,adams,mercury
synodus foetens,225,adams,mercury
synodus foetens,56.25,adams,mercury
arius felis,137.5,adams,mercury
arius felis,143.75,adams,mercury
arius felis,93.75,adams,mercury
arius felis,112.5,adams,mercury
bagre marinus,418.75,adams,mercury
bagre marinus,600,adams,mercury
bagre marinus,206.25,adams,mercury
bagre marinus,375,adams,mercury
opsanus beta,106.25,adams,mercury
centropomus undecimalis,231.25,adams,mercury
centropomus undecimalis,118.75,adams,mercury
centropomus undecimalis,393.75,adams,mercury
centropomus undecimalis,137.5,adams,mercury
centropomus undecimalis,375,adams,mercury
centropomus undecimalis,243.75,adams,mercury
centropomus undecimalis,137.5,adams,mercury
centropristis striata,106.25,adams,mercury
centropristis striata,81.25,adams,mercury
centropristis striata,87.50000000000001,adams,mercury
centropristis philadelphica,43.75000000000001,adams,mercury
epinephelus itajara,718.7499999999999,adams,mercury
epinephelus itajara,81.25,adams,mercury
epinephelus itajara,218.75,adams,mercury
epinephelus drummondhayi,125,adams,mercury
epinephelus flavolimbatus,231.25,adams,mercury
epinephelus flavolimbatus,143.75,adams,mercury
epinephelus morio,212.5,adams,mercury
epinephelus morio,168.75,adams,mercury
epinephelus morio,206.25,adams,mercury
epinephelus morio,231.25,adams,mercury
epinephelus niveatus,593.75,adams,mercury
epinephelus niveatus,162.5,adams,mercury
epinephelus niveatus,156.25,adams,mercury
mycteroperca microlepis,100,adams,mercury
mycteroperca microlepis,293.75,adams,mercury
mycteroperca microlepis,237.5,adams,mercury
mycteroperca microlepis,287.5,adams,mercury
mycteroperca microlepis,187.5,adams,mercury
mycteroperca microlepis,425,adams,mercury
mycteroperca bonaci,724.9999999999999,adams,mercury
mycteroperca bonaci,356.24999999999994,adams,mercury
mycteroperca phenax,281.25,adams,mercury
mycteroperca phenax,175.00000000000003,adams,mercury
lepomis macrochirus,87.50000000000001,adams,mercury
pomatomus saltatrix,543.75,adams,mercury
pomatomus saltatrix,275,adams,mercury
pomatomus saltatrix,100,adams,mercury
pomatomus saltatrix,543.75,adams,mercury
pomatomus saltatrix,543.75,adams,mercury
pomatomus saltatrix,412.5,adams,mercury
pomatomus saltatrix,381.25,adams,mercury
rachycentron canadum,375,adams,mercury
rachycentron canadum,356.24999999999994,adams,mercury
rachycentron canadum,887.5,adams,mercury
rachycentron canadum,893.75,adams,mercury
rachycentron canadum,293.75,adams,mercury
rachycentron canadum,256.25,adams,mercury
rachycentron canadum,475,adams,mercury
caranx bartholomaei,256.25,adams,mercury
caranx hippos,318.75,adams,mercury
caranx hippos,175.00000000000003,adams,mercury
caranx hippos,331.25,adams,mercury
caranx hippos,606.25,adams,mercury
caranx hippos,381.25,adams,mercury
caranx crysos,112.5,adams,mercury
oligoplites saurus,131.25,adams,mercury
oligoplites saurus,906.25,adams,mercury
selene vomer,125,adams,mercury
seriola dumerili,568.75,adams,mercury
seriola dumerili,306.25,adams,mercury
seriola dumerili,368.75,adams,mercury
seriola dumerili,318.75,adams,mercury
seriola dumerili,412.5,adams,mercury
seriola dumerili,287.5,adams,mercury
seriola rivoliana,350.00000000000006,adams,mercury
seriola zonata,368.75,adams,mercury
trachinotus carolinus,112.5,adams,mercury
trachinotus carolinus,62.5,adams,mercury
trachinotus carolinus,93.75,adams,mercury
trachinotus carolinus,143.75,adams,mercury
trachinotus falcatus,125,adams,mercury
trachinotus falcatus,137.5,adams,mercury
trachinotus falcatus,381.25,adams,mercury
trachinotus falcatus,93.75,adams,mercury
coryphaena hippurus,106.25,adams,mercury
coryphaena hippurus,37.5,adams,mercury
coryphaena hippurus,68.75,adams,mercury
coryphaena hippurus,137.5,adams,mercury
coryphaena hippurus,56.25,adams,mercury
coryphaena hippurus,81.25,adams,mercury
coryphaena hippurus,75,adams,mercury
lutjanus griseus,81.25,adams,mercury
lutjanus griseus,118.75,adams,mercury
lutjanus griseus,131.25,adams,mercury
lutjanus griseus,143.75,adams,mercury
lutjanus griseus,81.25,adams,mercury
lutjanus griseus,106.25,adams,mercury
lutjanus analis,68.75,adams,mercury
lutjanus analis,225,adams,mercury
lutjanus analis,193.75,adams,mercury
lutjanus analis,175.00000000000003,adams,mercury
lutjanus campechanus,1750,adams,mercury
lutjanus campechanus,168.75,adams,mercury
lutjanus synagris,131.25,adams,mercury
lutjanus synagris,212.5,adams,mercury
lutjanus synagris,168.75,adams,mercury
lutjanus synagris,106.25,adams,mercury
lutjanus synagris,156.25,adams,mercury
ocyurus chrysurus,93.75,adams,mercury
ocyurus chrysurus,75,adams,mercury
rhomboplites aurorubens,156.25,adams,mercury
rhomboplites aurorubens,62.5,adams,mercury
lobotes surinamensis,81.25,adams,mercury
lobotes surinamensis,168.75,adams,mercury
lobotes surinamensis,43.75000000000001,adams,mercury
diapterus plumieri,50,adams,mercury
diapterus plumieri,75,adams,mercury
diapterus plumieri,75,adams,mercury
diapterus auratus,112.5,adams,mercury
haemulon plumieri,312.5,adams,mercury
haemulon plumieri,143.75,adams,mercury
haemulon plumieri,200,adams,mercury
haemulon plumieri,168.75,adams,mercury
haemulon sciurus,175.00000000000003,adams,mercury
orthopristis chrysoptera,125,adams,mercury
orthopristis chrysoptera,162.5,adams,mercury
orthopristis chrysoptera,87.50000000000001,adams,mercury
orthopristis chrysoptera,75,adams,mercury
orthopristis chrysoptera,118.75,adams,mercury
orthopristis chrysoptera,43.75000000000001,adams,mercury
archosargus probatocephalus,106.25,adams,mercury
archosargus probatocephalus,131.25,adams,mercury
archosargus probatocephalus,150,adams,mercury
archosargus probatocephalus,100,adams,mercury
archosargus probatocephalus,100,adams,mercury
archosargus probatocephalus,118.75,adams,mercury
archosargus probatocephalus,93.75,adams,mercury
archosargus rhomboidalis,112.5,adams,mercury
lagodon rhomboides,93.75,adams,mercury
lagodon rhomboides,212.5,adams,mercury
lagodon rhomboides,37.5,adams,mercury
bairdiella chrysoura,181.24999999999997,adams,mercury
bairdiella chrysoura,218.75,adams,mercury
bairdiella chrysoura,287.5,adams,mercury
bairdiella chrysoura,150,adams,mercury
bairdiella chrysoura,218.75,adams,mercury
cynoscion arenarius,506.25,adams,mercury
cynoscion arenarius,212.5,adams,mercury
cynoscion arenarius,287.5,adams,mercury
cynoscion nebulosus,206.25,adams,mercury
cynoscion nebulosus,262.5,adams,mercury
cynoscion nebulosus,281.25,adams,mercury
cynoscion nebulosus,268.75,adams,mercury
cynoscion nebulosus,250,adams,mercury
cynoscion nebulosus,293.75,adams,mercury
cynoscion nebulosus,100,adams,mercury
cynoscion nebulosus,400,adams,mercury
cynoscion nebulosus,250,adams,mercury
cynoscion nothus,150,adams,mercury
cynoscion nothus,293.75,adams,mercury
cynoscion regalis/arenarius,181.24999999999997,adams,mercury
cynoscion regalis/arenarius,81.25,adams,mercury
cynoscion regalis/arenarius,68.75,adams,mercury
leiostomus xanthurus,87.50000000000001,adams,mercury
leiostomus xanthurus,100,adams,mercury
leiostomus xanthurus,75,adams,mercury
leiostomus xanthurus,25,adams,mercury
leiostomus xanthurus,50,adams,mercury
leiostomus xanthurus,68.75,adams,mercury
menticirrhus americanus,206.25,adams,mercury
menticirrhus americanus,231.25,adams,mercury
menticirrhus americanus,81.25,adams,mercury
menticirrhus americanus,50,adams,mercury
menticirrhus americanus,81.25,adams,mercury
menticirrhus americanus,118.75,adams,mercury
menticirrhus saxatilis,131.25,adams,mercury
menticirrhus saxatilis,181.24999999999997,adams,mercury
micropogonias undulatus,31.25,adams,mercury
micropogonias undulatus,37.5,adams,mercury
micropogonias undulatus,37.5,adams,mercury
micropogonias undulatus,50,adams,mercury
pogonias cromis,50,adams,mercury
pogonias cromis,112.5,adams,mercury
pogonias cromis,81.25,adams,mercury
pogonias cromis,87.50000000000001,adams,mercury
pogonias cromis,62.5,adams,mercury
pogonias cromis,150,adams,mercury
sciaenops ocellatus,125,adams,mercury
sciaenops ocellatus,193.75,adams,mercury
sciaenops ocellatus,112.5,adams,mercury
sciaenops ocellatus,162.5,adams,mercury
sciaenops ocellatus,106.25,adams,mercury
sciaenops ocellatus,231.25,adams,mercury
sciaenops ocellatus,300,adams,mercury
sciaenops ocellatus,687.5000000000001,adams,mercury
umbrina coroides,37.5,adams,mercury
chaetodipterus faber,206.25,adams,mercury
chaetodipterus faber,162.5,adams,mercury
chaetodipterus faber,212.5,adams,mercury
chaetodipterus faber,12.5,adams,mercury
mugil cephalus,37.5,adams,mercury
mugil cephalus,12.5,adams,mercury
mugil cephalus,75,adams,mercury
mugil cephalus,37.5,adams,mercury
mugil cephalus,12.5,adams,mercury
mugil cephalus,50,adams,mercury
mugil curema,18.75,adams,mercury
mugil curema,12.5,adams,mercury
mugil curema,68.75,adams,mercury
mugil curema,31.25,adams,mercury
mugil curema,18.75,adams,mercury
mugil gyrans,18.75,adams,mercury
mugil gyrans,25,adams,mercury
sphyraena barracuda,225,adams,mercury
sphyraena barracuda,100,adams,mercury
sphyraena barracuda,543.75,adams,mercury
sphyraena barracuda,337.5,adams,mercury
lachnolaimus maximus,100,adams,mercury
acanthocybium solanderi,162.5,adams,mercury
acanthocybium solanderi,425,adams,mercury
acanthocybium solanderi,168.75,adams,mercury
acanthocybium solanderi,225,adams,mercury
acanthocybium solanderi,100,adams,mercury
acanthocybium solanderi,243.75,adams,mercury
euthynnus alletteratus,1343.75,adams,mercury
euthynnus alletteratus,250,adams,mercury
euthynnus alletteratus,393.75,adams,mercury
euthynnus alletteratus,493.75,adams,mercury
scomberomorus cavalla,343.75000000000006,adams,mercury
scomberomorus cavalla,462.5,adams,mercury
scomberomorus cavalla,1062.5,adams,mercury
scomberomorus cavalla,1300,adams,mercury
scomberomorus cavalla,975,adams,mercury
scomberomorus cavalla,181.24999999999997,adams,mercury
scomberomorus maculatus,218.75,adams,mercury
scomberomorus maculatus,443.75,adams,mercury
scomberomorus maculatus,200,adams,mercury
scomberomorus maculatus,243.75,adams,mercury
scomberomorus maculatus,200,adams,mercury
scomberomorus maculatus,50,adams,mercury
scomberomorus maculatus,431.25,adams,mercury
scomberomorus maculatus,112.5,adams,mercury
scomberomorus maculatus,331.25,adams,mercury
scomberomorus maculatus,243.75,adams,mercury
scomberomorus maculatus,143.75,adams,mercury
scomberomorus regalis,93.75,adams,mercury
thunnus albacares,187.5,adams,mercury
thunnus atlanticus,724.9999999999999,adams,mercury
istiophorus platypterus,68.75,adams,mercury
makaira nigricans,1925,adams,mercury
tetrapturus albidus,168.75,adams,mercury
tetrapturus albidus,193.75,adams,mercury
paralichthys dentatus,25,adams,mercury
paralichthys albigutta,81.25,adams,mercury
paralichthys albigutta,193.75,adams,mercury
paralichthys albigutta,62.5,adams,mercury
paralichthys albigutta,125,adams,mercury
paralichthys albigutta,237.5,adams,mercury
paralichthys albigutta,12.5,adams,mercury
paralichthys albigutta,50,adams,mercury
paralichthys albigutta,125,adams,mercury
paralichthys albigutta,243.75,adams,mercury
paralichthys albigutta,87.50000000000001,adams,mercury
paralichthys albigutta,100,adams,mercury
paralichthys albigutta,106.25,adams,mercury
paralichthys albigutta,112.5,adams,mercury
paralichthys albigutta,50,adams,mercury
paralichthys albigutta,68.75,adams,mercury
balistes capriscus,81.25,adams,mercury
mola mola,12.5,adams,mercury
strongylocentrotus polyacanthus,3.125,burger,mercury
tectura scutum,5.624999999999999,burger,mercury
cryptochiton stelleri,6.25,burger,mercury
mytilus trossulus,10,burger,mercury
pododesmus macroschisma,11.249999999999998,burger,mercury
fusitriton oregonensis,15,burger,mercury
octopus dofleini,23.75,burger,mercury
lithodes aequispina,26.875,burger,mercury
paralithodes camtschaticus,63.12500000000001,burger,mercury
oncorhynchus nerka,26.25,burger,mercury
pleurogrammus monopterygius,28.749999999999996,burger,mercury
sebastes alutus,30,burger,mercury
lepidopsetta polyxystra,42.50000000000001,burger,mercury
theragra chalcogramma,46.25,burger,mercury
lepidopsetta bilineate,57.49999999999999,burger,mercury
hexagrammos lagocephalus,61.875,burger,mercury
salvelinus malma,71.25,burger,mercury
hemilepidotus hemilepidotus,81.25,burger,mercury
hippoglossus stenolepis,98.75,burger,mercury
sebastes melanops,104.375,burger,mercury
gadus macrocephalus,108.12499999999999,burger,mercury
hippoglossoides elassodon,173.12500000000003,burger,mercury
hemilepidotus jordani,175.625,burger,mercury
myoxocephalus polyacanthocephalus,228.75,burger,mercury
