page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,2,6.1,0.4,0.3,20.9,1.4,NA,NA,NA,20.8,0.072,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,offal,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,liver,raw,43,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,eggs,raw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,56,NA,NA,NA,18.6,7.2,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,79,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,whole,raw,73,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,11,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,33,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,82,127,NA,NA,NA,NA,NA,NA,NA,25,NA,1.16
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,8,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,13,67,1.09,NA,20.5,3.36,NA,NA,NA,31,NA,0.43
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,63,67,1.08,0.7,20.5,3.46,NA,NA,0.158,31,NA,0.42
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,whole,raw,27,NA,NA,3392,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,eggs,raw,27,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,eggs,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,79,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,56,NA,NA,NA,18.8,3.1,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Steelhead Trout,Oncorhynchus mykiss irideus,muscle,raw,58,NA,NA,NA,21,11,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,23,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.2
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,65,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,skin,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,56,NA,NA,NA,21.5,3.4,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,79,80,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,2,9.3,0.5,NA,23.5,1.8,NA,NA,NA,21,0.112,NA
6151,Fish,Freshwater Fish,Brook Trout,Salvelinus fontinalis,muscle,raw,27,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,7,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Dolly Varden Trout,Salvelinus malma,muscle,raw,27,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,82,20,NA,NA,20,NA,NA,NA,NA,30,NA,NA
6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,27,20,NA,1,NA,NA,NA,NA,NA,25,NA,NA
6151,Fish,Freshwater Fish,Brown Trout,Salmo trutta,muscle,raw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,7,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,13,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,11,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,33,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,13,NA,0.99,NA,19.1,5.86,NA,NA,NA,NA,NA,0.941
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,40,NA,0.6,NA,25,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,53,26,NA,0.4,20,4,NA,NA,0.01,32,0.2,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,61,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,41,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,82,60,NA,NA,NA,3,NA,NA,NA,30,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,88,26,0.99,NA,19.1,5.86,NA,NA,NA,33,NA,0.941
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",liver,raw,21,54,NA,NA,10,3,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",liver,raw,11,55,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",liver,raw,33,55,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",liver,raw,61,55,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",liver,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",eggs,raw,11,54,NA,NA,8,5,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",eggs,raw,33,54,NA,NA,8,5,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",oil,raw,11,14,NA,NA,0,100,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",muscle,raw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,24,10,0.3,0.4,19,7,NA,NA,0.02,33,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,20,NA,NA,NA,NA,6.9,NA,NA,NA,NA,0.2,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,79,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Inconnu,Stenodus leucichthys,not specified,raw,88,140,NA,NA,NA,NA,NA,NA,NA,25,NA,0.32
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,23,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,62,26,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,24,NA,NA,NA,18,NA,NA,NA,NA,21,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,24,40,0.4,0.5,18,4,NA,NA,0.03,25,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,73,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,43,6,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,20,NA,NA,NA,NA,1.9,NA,NA,NA,NA,0.1,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,eggs,raw,24,40,4,3,22,11,NA,NA,0.2,34,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,eggs,raw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,eggs,raw,20,NA,NA,NA,NA,11.4,NA,NA,NA,NA,0.4,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,eggs,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,esophagus,raw,24,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,2,25.7,0.3,0.3,23.3,1.3,NA,NA,NA,17.2,0.059,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,tail,raw,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,offal,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,79,5,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Whitefish,Coregonus clupeaformis,muscle,raw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Cisco,Coregonus autumnalis and Coregonus sardinella,muscle,raw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
6388,Fish,Freshwater Fish,Cisco,Coregonus autumnalis and Coregonus sardinella,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Cisco,Coregonus autumnalis and Coregonus sardinella,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Cisco,Coregonus autumnalis and Coregonus sardinella,eggs,raw,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Cisco,Coregonus autumnalis and Coregonus sardinella,eggs,raw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,13,NA,NA,NA,19,1.91,NA,NA,NA,NA,NA,0.257
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,63,12,NA,NA,19,1.91,NA,NA,NA,17,NA,0.257
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,27,12,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,offal,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,eggs,raw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,79,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,muscle,raw,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Lake Herring,Coregonus artedi,not specified,raw,86,11,NA,NA,19,2,NA,NA,NA,NA,NA,0.51
6388,Fish,Freshwater Fish,Arctic Cisco,Coregonus autumnalis,muscle,raw,20,NA,NA,NA,NA,3.9,NA,NA,NA,NA,0.3,NA
6388,Fish,Freshwater Fish,Arctic Cisco,Coregonus autumnalis,muscle,raw,24,30,0.4,1,18,4,NA,NA,0.02,23,NA,NA
6388,Fish,Freshwater Fish,Arctic Cisco,Coregonus autumnalis,muscle,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Arctic Cisco,Coregonus autumnalis,eggs,raw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,muscle,raw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,muscle,raw,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,"head, eyes, cheeks + soft bones",raw,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,"head, eyes, cheeks + soft bones",raw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,"head, eyes, cheeks + soft bones",raw,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,liver,raw,7,53,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,liver,raw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,eggs,raw,7,54,NA,NA,8,5,NA,NA,NA,NA,NA,NA
6388,Fish,Freshwater Fish,Broad Whitefish,Coregonus nasus,eggs,raw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Suckers,Catostominae,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Suckers,Catostominae,offal,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Suckers,Catostominae,muscle,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Suckers,Catostominae,muscle,raw,41,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Suckers,Catostominae,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,Longnose Sucker,Catostomus catostomus,muscle,raw,2,63.1,0.5,0.3,17.7,1.2,NA,NA,NA,21.8,0.075,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,13,70,0.75,NA,16.7,2.32,NA,NA,NA,30,NA,0.289
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,63,70,0.75,NA,16.8,2.32,NA,NA,NA,30,0.19,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,2,19.6,0.3,0.2,18.4,1.5,NA,NA,NA,17.4,0.083,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,whole,raw,27,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,56,NA,NA,NA,16.9,1.9,NA,NA,NA,NA,NA,NA
6403,Fish,Freshwater Fish,White Sucker,Catostomus commersonii,muscle,raw,79,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,53,19,0.4,0.2,20,0.8,NA,NA,0.02,28,NA,0.2
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,41,NA,NA,NA,19,0.8,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,11,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,33,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,11,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,33,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,11,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,33,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,liver,raw,7,28,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
6404,Fish,Freshwater Fish,Pike,Esox spp.,muscle,raw,27,40,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
6404,Fish,Freshwater Fish,Northern Pike,Esox lucius,muscle,raw,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
