latin_name,feeding_mode,feeding_level,BodyShapeI,part,DemersPelag,EnvTemp,nutrient,reference,AgeMatMin,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep
Anarhichadidae,NA,NA,NA,muscle,NA,NA,dha,81,NA,NA,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,epa,23,NA,-1.2039728043259361,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,epa,55,NA,-2.2072749131897207,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,epa,72,NA,NA,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,epa,81,NA,NA,NA,NA,NA
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,15,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,21,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,23,3.3333333333333335,-2.3025850929940455,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,27,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,45,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,55,3.3333333333333335,-0.4155154439616658,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,64,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,72,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,79,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,81,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,dha,82,3.3333333333333335,0.7419373447293773,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,15,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,21,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,23,3.3333333333333335,-2.3025850929940455,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,27,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,45,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,55,3.3333333333333335,-1.2039728043259361,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,64,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,72,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,79,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,81,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,muscle,demersal,subtropical,epa,82,3.3333333333333335,0.26236426446749106,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,not specified,demersal,subtropical,dha,87,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,not specified,demersal,subtropical,epa,87,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,skin,demersal,subtropical,dha,64,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anguilla rostrata,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),eel-like,skin,demersal,subtropical,epa,64,3.3333333333333335,NA,5.0238805208462765,3.62,464
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,dha,23,5,-0.35667494393873245,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,dha,25,5,-0.8675005677047231,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,dha,27,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,dha,72,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,dha,79,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,epa,23,5,-0.35667494393873245,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,epa,25,5,-1.0498221244986778,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,epa,27,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,epa,72,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,bathydemersal,deep-water,epa,79,5,NA,4.787491742782046,4.12,2740
Anoplopoma fimbria,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,offal,bathydemersal,deep-water,dha,27,5,NA,4.787491742782046,4.12,2740
