genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Ictaluridae,Catfish,muscle,27,351,225,1.58,NA,NA,NA,6410,NA,NA
Ictalurus punctatus,Channel Catfish,muscle,27,356,46,NA,0.83,NA,NA,6410,NA,NA
Illex illecebrosus,Northern Shortfin Squid,muscle,27,357,NA,NA,NA,NA,NA,6528,NA,NA
Illex illecebrosus,Northern Shortfin Squid,muscle,55,359,NA,NA,NA,0.27,0.64,6528,NA,NA
Katharina turnicata,Black Katy Chiton,muscle,19,361,121,16,NA,NA,NA,6548,NA,NA
Lepidopsetta bilineata,Rock Sole,muscle,27,362,NA,NA,NA,NA,NA,6152,NA,NA
Lepisosteidae,Gar,muscle,27,364,33,NA,NA,NA,NA,6417,NA,NA
Lepomis spp.,Sunfish,muscle,27,369,NA,0.34,NA,NA,NA,6415,NA,NA
Littorina littorea,Common Periwinkle,whole,27,371,NA,1.51,NA,NA,NA,6512,NA,NA
Littorinidae,Periwinkles,whole,27,374,NA,NA,NA,NA,NA,6512,NA,NA
Lota lota,Burbot,muscle,40,375,NA,NA,NA,NA,NA,6405,NA,NA
Lota lota,Burbot,muscle,34,378,NA,0.6,NA,NA,NA,6405,NA,NA
Lota lota,Burbot,muscle,59,383,NA,NA,NA,0.063,0.135,6405,NA,NA
Lota lota,Burbot,liver,59,394,NA,NA,NA,0.484,0.773,6405,NA,NA
Lota lota,Burbot,eggs,59,399,NA,NA,NA,0.673,1.14,6405,NA,NA
Lota lota,Burbot,muscle,27,403,NA,NA,NA,NA,NA,6405,NA,NA
Lota lota,Burbot,whole,27,404,NA,NA,NA,NA,NA,6405,NA,NA
Mallotus villosus,Capelin,muscle,55,408,NA,NA,NA,0.65,0.2,6439,NA,NA
Melanogrammus aeglefinus,Haddock,muscle,27,411,27,0.679,0.788,NA,NA,6432,NA,NA
Melanogrammus aeglefinus,Haddock,whole,27,414,NA,NA,NA,NA,NA,6432,NA,NA
Melanogrammus aeglefinus,Haddock,muscle,55,417,NA,NA,NA,0.07,0.14,6432,NA,NA
Melanogrammus aeglefinus,Haddock,muscle,55,419,NA,NA,NA,0.07,0.14,6432,NA,NA
Mercenaria mercenaria ,Northern Quahog,muscle,55,428,NA,NA,NA,0.09,0.08,6504,NA,NA
Merluccius productus,Pacific Hake,muscle,27,433,46,NA,NA,NA,NA,6432,NA,NA
Merluccius productus,Pacific Hake,whole,27,434,NA,NA,NA,NA,NA,6432,NA,NA
Merluccius spp.,Hakes,muscle,55,436,NA,NA,NA,0.05,0.22,6432,NA,NA
Merluccius spp.,Hakes,muscle,27,438,93,1.85,NA,NA,NA,6432,NA,NA
Merluccius spp.,Hakes,whole,27,439,NA,NA,NA,NA,NA,6432,NA,NA
Merluccius spp.,Hakes,eggs,27,440,NA,NA,NA,NA,NA,6432,NA,NA
Microgadus tomcod,Atlantic Tomcod,muscle,11,441,372,NA,NA,NA,NA,6432,NA,NA
Microgadus tomcod,Atlantic Tomcod,muscle,27,446,NA,NA,NA,NA,NA,6432,NA,NA
Micropogonias undulatus,Atlantic Croaker,muscle,65,451,15,0.372,0.371,NA,NA,6437,NA,NA
