culture,page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
Aleut,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,79,34,0.3,0.1,20,2.2,0.5,0.8,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,72,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,62,3,0.4,0.66,14.4,13.8,NA,1.37,0.012,26,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,23,NA,NA,NA,NA,13.8,NA,1.4,NA,NA,0.5,0.4
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,47,10,NA,NA,13.1,11.3,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,63,3,0.4,0.66,14.4,13.8,NA,1367,0.012,26,0.526,0.393
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,82,25,NA,0.25,12.4,15.6,NA,2.55,NA,22,0.95,0.87
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,48,NA,NA,NA,NA,13.1,1.88,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,79,12,NA,1,13.2,10,0.6,1,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Greenland Halibut,Reinhardtius hippoglossoides,muscle,raw,72,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,"muscle, dark muscle",raw,27,NA,NA,NA,18.4,6.2,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,"muscle, dark muscle",raw,27,NA,NA,NA,19.6,0.8,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.33,NA,NA,0.16,0.22
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,82,15,0.5,0.5,20.6,3.9,NA,1.2,0.01,23,0.281,0.41
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,79,16,0.3,NA,19.3,3.6,1.3,1.4,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut,Hippoglossus hippoglossus,muscle,raw,72,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,23,NA,NA,NA,NA,1.1,NA,0.3,NA,NA,0.1,0.1
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,21,12,NA,0.8,17,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,82,35,0.78,0.3,18,1.6,NA,0.509,0.04,27,0.284,0.133
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,muscle,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,eggs,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Flounders and Soles,Pleuronectinae,whole,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,65,13.2,0.394,0.103,21.2,1.19,NA,NA,0.015,47,NA,NA
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.23,NA,NA,0.07,0.12
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,55,NA,NA,NA,NA,0.45,0.22,NA,NA,NA,0.07,0.12
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,27,NA,NA,NA,18,0.6,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,offal,raw,27,NA,NA,NA,17,3.5,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Winter Flounder,Pseudopleuronectes americanus,muscle,raw,79,13,0.4,0.1,19.6,0.9,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,27,NA,NA,NA,17.1,1.8,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Starry Flounder,Platichthys stellatus,muscle,raw,79,4,0.5,0.5,17.1,1.5,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,25,NA,NA,NA,NA,1,0.2,0.23,NA,NA,0.08,0.09
Aleut,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,27,50,NA,NA,15.1,0.9,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,whole,raw,27,NA,NA,NA,12.7,3.5,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,offal,raw,27,NA,NA,NA,11.7,4.4,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,29,0.2,0.2,15.1,0.9,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,48,NA,NA,NA,NA,1.7,0.49,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,27,NA,NA,NA,16.8,1.7,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,offal,raw,27,NA,NA,NA,13.9,7,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,English Sole,Parophrys vetulus,muscle,raw,79,9,0.3,0.3,16.8,1.7,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Rock Sole,Lepidopsetta bilineata,muscle,raw,27,NA,NA,NA,18.6,1.2,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Rock Sole,Lepidopsetta bilineata,muscle,raw,79,NA,0.3,NA,18.6,1,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,23,NA,NA,NA,NA,13.9,NA,2.4,NA,NA,1,0.7
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,63,83,0.53,1.12,16.4,13.9,NA,2423,0.045,32,0.969,0.689
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,eggs,raw,19,19,NA,2.7,9.6,1,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,eggs,raw,27,NA,NA,NA,17.1,1.6,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,eggs,raw,77,19,NA,2.7,9.6,1,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,eggs,raw,34,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,27,83,NA,1.7,18.3,8.5,NA,NA,0.02,32,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,whole,raw,27,NA,NA,NA,15.7,13.6,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,whole,raw,66,NA,NA,NA,12.1,1.43,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,79,83,0.5,1.4,17.3,9.8,1.2,1.5,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Pacific Herring,Clupea pallasii,muscle,raw,72,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Shad,Aloseinae,muscle,raw,27,NA,NA,0.57,19.4,8.3,NA,NA,0.019,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Shad,Aloseinae,eggs,raw,27,NA,NA,NA,23.4,3.8,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,62,47,0.37,0.97,16.9,13.8,NA,3.18,0.042,30,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,63,47,0.37,0.97,16.9,13.8,NA,3.27,0.042,30,1.09,1.32
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,27,NA,NA,0.7,18,11.2,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,offal,raw,27,NA,NA,NA,16.7,16.3,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,skin,raw,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,American Shad,Alosa sapidissima,muscle,raw,79,47,0.3,0.8,17.4,12.5,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,62,57,0.99,1.1,18,NA,NA,2.13,0.035,32,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,23,NA,NA,NA,NA,9,NA,2.1,NA,NA,0.7,0.9
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,63,57,0.99,1.1,18,9.04,NA,2.13,0.035,32,0.709,0.862
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,82,50,0.85,1.3,18.2,13.1,NA,2.54,0.01,26,0.57,1.25
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,27,20,0.701,1,18,9.8,NA,NA,0.12,36,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,48,NA,NA,NA,NA,11.9,1.97,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,whole,raw,27,NA,NA,NA,17.2,16.4,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,whole,raw,72,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,79,38,0.8,1,18,8,1.2,2.1,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,55,NA,NA,NA,NA,NA,NA,2.55,NA,NA,1.05,1.29
Aleut,6431,Fish,Saltwater Fish,Atlantic Herring,Clupea harengus,muscle,raw,72,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,whole,raw,27,NA,NA,NA,15.9,4.2,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,whole,raw,27,NA,NA,NA,15.5,11.8,NA,NA,NA,NA,NA,NA
Aleut,6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,muscle,raw,27,60,NA,NA,NA,NA,NA,NA,NA,110,NA,NA
Aleut,6431,Fish,Saltwater Fish,Menhaden,Brevoortia spp.,oil,raw,23,NA,NA,NA,NA,100.1,NA,29.5,NA,NA,12.7,7.9
Aleut,6431,Fish,Saltwater Fish,Sardine,Sardinops spp.,whole,raw,27,554,NA,5.25,21.1,18.2,NA,NA,NA,30,NA,NA
Aleut,6431,Fish,Saltwater Fish,Sardine,Sardinops spp.,muscle,raw,27,73,1.03,2313,18.9,6.8,NA,NA,0.119,4,NA,NA
Aleut,6431,Fish,Saltwater Fish,Sardine,Sardinops spp.,muscle,raw,79,73,1,2.3,18.9,6.8,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,7,NA,NA,NA,17.9,0.8,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,63,14,0.45,0.32,17.7,1.06,NA,0.3,0.02,26,0,0
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,liver,raw,7,NA,NA,1,5.6,42,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,liver,raw,34,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,67,NA,NA,NA,18.1,0.7,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,68,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,27,35,0.03,0.49,18,0.9,NA,NA,0.033,18,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Lingcod,Ophiodon elongatus,muscle,raw,79,25,0.4,0.4,18.2,0.9,NA,NA,NA,NA,NA,NA
Aleut,6433,Fish,Saltwater Fish,Greenlings,Hexagrammos spp.,muscle,raw,27,12,NA,1,16.8,7.3,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,23,NA,NA,NA,NA,6.6,NA,1.5,NA,NA,0.4,0.6
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,7,11,0.47,0.55,20.1,3.77,NA,0.898,0.015,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,13,11,0.47,0.55,20.1,3.77,NA,0.898,0.015,NA,0.233,0.394
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,63,11,0.47,0.55,20.1,3.77,NA,0.898,NA,22,0.233,0.394
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,34,11,NA,NA,12,1.5,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,58,11,NA,NA,12,2,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,27,12,1.37,0.475,20.4,4.6,NA,NA,0.028,22,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,whole,raw,27,NA,NA,NA,14.8,0.8,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,eggs,raw,27,NA,NA,NA,18.4,12.4,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,79,12,1,0.5,20.4,4.2,0.6,1,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,72,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,muscle,raw,55,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,23,NA,NA,NA,NA,6,NA,1.7,NA,NA,0.3,0.5
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,8,NA,NA,NA,21.3,3.3,NA,1.74,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,7,NA,0.41,0.7,21.6,5.95,NA,NA,0.015,0,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,13,NA,0.41,0.7,21.6,5.95,NA,1.74,0.015,NA,0.327,0.487
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,63,36,0.41,0.56,21.6,5.93,NA,1.99,0.014,31,0.429,0.656
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,58,78,NA,1.8,20,6,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,27,36,NA,1345,21.1,5.7,NA,NA,0.02,29,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,55,NA,NA,NA,NA,5.4,NA,NA,NA,NA,7.6,18.6
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,55,NA,NA,NA,NA,32.2,NA,NA,NA,NA,6.2,15.8
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,eggs,raw,27,NA,NA,NA,18.4,11.2,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,79,36,0.4,1.3,21.1,6.6,1.5,2,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,muscle,raw,72,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,23,NA,NA,NA,NA,3.4,NA,1.4,NA,NA,0.4,0.6
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,7,NA,0.55,0.77,19.9,3.45,NA,1.35,0.015,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,13,NA,0.55,0.77,19.9,3.45,NA,1.35,0.015,NA,0.419,0.586
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,63,13,0.55,0.77,19.9,3.45,NA,NA,0.015,26,0.419,0.586
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,58,13,NA,1.1,20,4,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,27,13,NA,0.93,20.1,4.8,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,eggs,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,79,13,0.5,0.9,20.1,5,1.5,2,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,72,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Pink Salmon,Oncorhynchus gorbuscha,muscle,raw,55,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,23,NA,NA,NA,NA,8.6,NA,1.9,NA,NA,0.5,0.7
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,62,6,0.54,0.47,21.3,8.6,NA,1.88,0.014,24,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,7,6,0.5,0.5,21.3,9,NA,1.9,0.01,24,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,13,6,0.54,0.47,21.3,8.56,NA,1.88,0.014,24,0.519,0.653
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,63,6,0.54,0.47,21.3,8.56,NA,1.88,0.014,24,0.519,0.653
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,58,52,0.9,0.8,20,5,NA,NA,0.017,25,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,light muscle,raw,28,NA,NA,NA,NA,2.52,0.87,0.94,NA,NA,0.22,0.57
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,dark muscle,raw,28,NA,NA,NA,NA,22.9,6.31,7.03,NA,NA,1.88,3.67
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,27,176,NA,1.18,20.3,6.9,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,whole,raw,27,NA,NA,NA,18.4,7.8,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,offal,raw,27,NA,NA,NA,16.1,13.7,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,eggs,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,muscle,raw,79,6,0.4,0.9,20.3,7.9,2.7,4.2,NA,NA,NA,NA
