species_no,dataset,mean,median,grams_required_10_std.error,pool_size
7,Bella Coola,303.77972716780596,297.77026791665423,0.737923750338392,NA
7,Central Salish,338.0451148712362,326.3015916214828,0.9935876656456438,NA
7,Cree,328.93302958898346,313.50204802980454,0.7112164162747849,NA
7,Haida,336.7894574688312,330.5817649057203,0.8981372298785006,NA
7,Inuit-Inupiaq,313.573936827733,308.2164056720783,0.9898549039684901,NA
7,Kwakiutl,308.23512392492125,296.5628428243425,0.8199462438019914,NA
7,Micmac,348.1978599474156,329.42099244314227,0.9337463944305708,NA
7,Montagnais-Naskapi,376.71954103413424,367.2675569639855,0.6302179924548729,NA
7,Nootkan,305.44861345636997,305.06997311377893,1.023441597032769,NA
7,Tlingit,305.6435674204923,300.1813596379611,0.8407460246173252,NA
7,Tsimshian,331.1155811176207,321.29031478803734,0.883208314328801,NA
7,Wampanoag,295.4754131851462,291.3920413104953,0.8462855091811861,NA
7,Yupik,360.4921131813684,343.7299966980256,0.7777691564178283,NA
8,Abenaki,393.3335059754941,382.47011952191235,1.0782308830321512,NA
8,Bella Coola,299.47926701422284,295.7295248403049,1.0867801584457777,NA
8,Central Salish,331.03815297008435,319.3352311572558,1.507591481963326,NA
8,Cree,325.5581395013447,311.16685807633837,1.050425828488707,NA
8,Haida,332.91294530773797,325.28865190631416,1.3677594710658803,NA
8,Inuit-Inupiaq,306.63651604873013,300.89970043705443,1.512324180150277,NA
8,Kwakiutl,303.8493015177271,293.43519484077825,1.219577074906134,NA
8,Micmac,344.79030599161905,327.0351050823864,1.419896150690606,NA
8,Montagnais-Naskapi,374.0839530057233,367.03355897526245,0.9149596041673493,NA
8,Nootkan,298.13645593351464,302.4682449604162,1.6017996845034101,NA
8,Tlingit,300.8643694095371,297.8090892344182,1.2874095264721832,NA
8,Tsimshian,326.7410570820311,316.9624436488167,1.3304162483560737,NA
8,Wampanoag,290.48429709853247,289.15662650602405,1.2789834989591324,NA
8,Yupik,357.59192376395913,342.87279712114946,1.1539722967967097,NA
9,Abenaki,390.9980746017278,383.50123665586307,2.0321112357196096,NA
9,Bella Coola,296.1704819705001,293.94196193103585,2.091022715407701,NA
9,Central Salish,325.3661548991801,314.62039035326035,2.98436467011878,NA
9,Cree,323.08397765083345,310.3968991385676,2.0330905101775882,NA
9,Haida,329.88835293541445,321.1132872631224,2.7271414448317914,NA
9,Inuit-Inupiaq,301.2099905927311,292.0093469684774,3.0116150014881375,NA
9,Kwakiutl,300.40966881754684,290.13232722252053,2.3707218375385537,NA
9,Micmac,342.22863348434373,324.53223299213323,2.8349332491190826,NA
9,Montagnais-Naskapi,372.1382273247054,367.4039500976985,1.7352491344518528,NA
9,Nootkan,291.984739274309,299.5073677843992,3.2840771353299156,NA
9,Tlingit,297.151100830956,295.21575013011767,2.5809029641576426,NA
9,Tsimshian,323.3666780704261,313.9229256777802,2.629510990402514,NA
9,Wampanoag,286.68949913045185,286.7002942544432,2.522221849270177,NA
9,Yupik,355.3863764975921,342.73644825293945,2.244717307659843,NA
10,Abenaki,389.1543602122444,383.79705400982,5.7567008216332365,NA
10,Bella Coola,293.5569384350407,293.97114813312976,6.038190407674326,NA
10,Central Salish,320.693638811057,306.34895868937326,8.854572789604472,NA
10,Cree,321.1753293441703,307.15160583178374,5.930003227552747,NA
10,Haida,327.42501751383145,319.4863782575459,8.188357533807388,NA
10,Inuit-Inupiaq,296.9321244111536,280.95142135875517,8.986574493011254,NA
10,Kwakiutl,297.58589309900105,289.105187178796,6.9265062523739385,NA
10,Micmac,340.25784608354365,324.7064987505205,8.54005678297388,NA
10,Montagnais-Naskapi,370.7087089010765,370.96380238090467,4.9337935566442574,NA
10,Nootkan,286.73463291125717,297.34208900821096,10.114760802162113,NA
10,Tlingit,294.17526580846635,297.953459789363,7.793869465733631,NA
10,Tsimshian,320.6856081163609,308.51883884041706,7.834402082630165,NA
10,Wampanoag,283.7360463256911,283.5488345341197,7.462789295284838,NA
10,Yupik,353.6358340766531,341.06073040726596,6.579519311105862,NA
1,global,913.193985452117,463.3204633204633,24.419096944833964,NA
2,global,417.47474795790265,332.52887877471875,1.7293053105936806,NA
3,global,335.17932825948833,294.96510950617903,0.6125628947158734,NA
4,global,295.67390137881245,272.469252601703,0.37802554192602456,NA
5,global,270.60917084955724,253.74321589961784,0.3024073710462593,NA
6,global,252.6124393167287,236.79796532001697,0.30087498449512945,NA
7,global,238.7626972737506,221.41138466213897,0.36851402619051654,NA
8,global,227.65017329380234,208.87410331395705,0.5633890333384117,NA
9,global,218.4825522905527,201.2774283471269,1.1268481337810874,NA
10,global,210.7484794244502,192.44242471179746,3.3776004573183345,NA
1,global40,551.9056205227591,400,12.382352604655745,NA
2,global40,379.42564083573814,324.0169460862803,3.8319789705189495,NA
3,global40,315.5512510894257,289.7436867048018,1.7473587185739774,NA
4,global40,281.57496674019177,266.37069922308547,1.0915651685833094,NA
5,global40,259.2503791566343,245.61084326389522,0.8730044486274904,NA
6,global40,242.87744509295132,227.17212489146067,0.8639921780766441,NA
7,global40,230.0657839206945,216.29488277359442,1.0503964847687546,NA
8,global40,219.6814341747114,210.98709953141827,1.59205915640347,NA
9,global40,211.1436578491145,209.1453682289885,3.152650760664784,NA
10,global40,204.1423750903087,205.97805630184263,9.366612905610115,NA
1,20,604.1731355277217,366.6666666666667,NA,20
1,25,895.8379828094992,700.3904676857348,NA,25
1,29,588.8337786845661,487.1794871794872,NA,29
1,57,580.4604325610059,382.97872340425533,NA,57
2,20,369.5340430020191,326.53061224489795,NA,20
2,25,548.2486806363269,520.2315897627093,NA,25
2,29,393.4245549646075,320.78425334257196,NA,29
2,57,385.52522510150527,325.82134129785504,NA,57
3,20,308.80544178143765,287.5128382468745,NA,20
3,25,456.0776558105905,456.57707428672063,NA,25
3,29,316.3749386621244,285.4248610772886,NA,29
3,57,328.14722060354205,298.75518672199166,NA,57
4,20,279.9135525016824,267.2517999230367,NA,20
4,25,402.51345816876704,418.41363699703044,NA,25
4,29,275.33437642095845,260.3411467487219,NA,29
4,57,300.0916128591142,283.0105246998386,NA,57
5,20,261.4444733308445,258.2866982350409,NA,20
5,25,365.0797807503348,394.91013490788396,NA,25
5,29,248.89422862287927,240.25714933741577,NA,29
5,57,282.8952965742754,270.7581227436823,NA,57
6,20,247.46903511662586,252.72025272025274,NA,20
6,25,335.9991281789768,348.1204763610699,NA,25
6,29,230.00798307070616,219.80242649284202,NA,29
6,57,271.1986945312926,261.17868990631763,NA,57
7,20,235.8662913823274,248.35106516758034,NA,20
7,25,311.6692268908767,213.28569205504516,NA,25
7,29,215.6604362191064,195.07830374953394,NA,29
7,57,262.6950744728568,252.11082791995358,NA,57
8,20,225.73199892798655,243.76803891401022,NA,20
8,25,290.35252353431525,202.51503044022874,NA,25
8,29,204.31646686994236,185.34605372853144,NA,29
8,57,256.27674780369665,243.5260543282951,NA,57
9,20,216.62955264708123,239.04071623126893,NA,20
9,25,271.29423130523924,199.29672647422697,NA,25
9,29,195.0993782847058,183.86572704107385,NA,29
9,57,251.32338407043636,237.42144366043726,NA,57
10,20,208.36968537807203,234.25684567453283,NA,20
10,25,254.0338530022845,190.69869634439272,NA,25
10,29,187.48811127781119,180.1412328338587,NA,29
10,57,247.46126484241978,232.1230029901158,NA,57
1,40,564.02229397534,382.97872340425533,NA,40
2,40,360.8029665822625,306.9053708439898,NA,40
3,40,299.90583136579875,271.0843373493976,NA,40
4,40,266.77543227669537,249.5605487650215,NA,40
5,40,244.90568565133634,234.73477389050578,NA,40
6,40,228.96719504726107,217.61191676271955,NA,40
7,40,216.6988994561361,202.37731043383573,NA,40
8,40,206.9176787894547,193.8365112888685,NA,40
9,40,198.88434465218558,187.45873580298775,NA,40
10,40,192.04178615365367,184.95350912175167,NA,40
