Length,AgeMatMin,DepthRangeDeep,part,bulk_trophic_level,EnvTemp,feeding_mode,nutrient,BodyShapeI,concentration,feeding_level,species1,DemersPelag,common_name
82.00000000000001,NA,NA,NA,4.13,NA,hunting macrofauna (predator),fapun_all_g,NA,0.2861661,mainly animals (troph. 2.8 and up),Centroscyllium fabricii,NA,NA
119.99999999999997,NA,NA,NA,4.19,NA,hunting macrofauna (predator),fapun_all_g,NA,0.356882335,mainly animals (troph. 2.8 and up),Centroscymnus coelolepis,NA,NA
100.00000000000004,2,10,NA,3.36,tropical,hunting macrofauna (predator),fapun_all_g,elongated,0.07483759999999999,mainly animals (troph. 2.8 and up),Channa striata,benthopelagic,NA
100.00000000000004,2,10,NA,3.36,tropical,hunting macrofauna (predator),fapun_all_g,elongated,0.360357272,mainly animals (troph. 2.8 and up),Channa striata,benthopelagic,NA
100.00000000000004,2,10,NA,3.36,tropical,hunting macrofauna (predator),fapun_all_g,elongated,0.383777372,mainly animals (troph. 2.8 and up),Channa striata,benthopelagic,NA
100.00000000000004,2,10,NA,3.36,tropical,hunting macrofauna (predator),fapun_all_g,elongated,0.379874022,mainly animals (troph. 2.8 and up),Channa striata,benthopelagic,NA
74.99999999999997,NA,NA,NA,3.58,NA,hunting macrofauna (predator),fapun_all_g,NA,0.404680848,mainly animals (troph. 2.8 and up),Chelidonichthys lucerna,NA,NA
74.99999999999997,NA,NA,NA,3.58,NA,hunting macrofauna (predator),fapun_all_g,NA,0.04468989200000001,mainly animals (troph. 2.8 and up),Chelidonichthys lucerna,NA,NA
74.99999999999997,NA,NA,NA,3.58,NA,hunting macrofauna (predator),fapun_all_g,NA,0.04754072,mainly animals (troph. 2.8 and up),Chelidonichthys lucerna,NA,NA
74.99999999999997,NA,NA,NA,3.58,NA,hunting macrofauna (predator),fapun_all_g,NA,0.36594831,mainly animals (troph. 2.8 and up),Chelidonichthys lucerna,NA,NA
92.00000000000001,2,NA,NA,2.59,subtropical,browsing on substrate,fapun_all_g,NA,0.292913062,plants/detritus+animals (troph. 2.2-2.79),Chelon labrosus,NA,NA
