run,fdis,sample,nt,s
1,0.49024188578687955,17_5,2,4
1,0.569567150346617,17_6,2,4
1,0.5382832267543881,17_7,2,4
1,0.5490629567209913,17_8,3,4
1,0.5668209855571281,170_4,2,4
1,0.5213643322144657,170_5,1,4
1,0.4935225050693162,170_6,1,4
1,0.5668209855571281,171_4,1,4
1,0.5056490492289516,171_5,1,4
1,0.4935225050693162,171_6,5,4
1,0.46076758270431334,172_4,5,4
1,0.5448672774487725,172_5,5,4
1,0.5261287346717242,172_6,4,4
1,0.46076758270431334,173_4,5,4
1,0.5323597228572033,173_5,3,4
1,0.5355029654823197,173_6,4,4
1,0.46076758270431334,174_4,4,4
1,0.5448672774487725,174_5,4,4
1,0.5261287346717242,174_6,4,4
1,0.46076758270431334,175_4,4,4
1,0.5323597228572033,175_5,4,4
1,0.5261287346717242,175_6,4,4
1,0.5344564401990325,176_4,4,4
1,0.5448672774487725,176_5,4,4
1,0.45993404769809737,176_6,4,4
1,0.5344564401990325,177_4,5,5
1,0.5323597228572033,177_5,4,5
1,0.49352250506931633,177_6,3,5
1,0.5344564401990325,178_4,3,5
1,0.4734277371452952,178_5,3,5
1,0.504404569131886,178_6,3,5
1,0.5344564401990325,179_4,3,5
1,0.48935948728950035,179_5,3,5
1,0.4935225050693164,179_6,3,5
1,0.5299472854662852,18_3,3,5
1,0.45927932677184585,18_4,2,5
1,0.5075202271603618,18_5,2,5
1,0.5589527635771157,18_6,4,5
1,0.546424208437648,18_7,2,5
1,0.5428879307185484,18_8,2,5
1,0.5114696779386526,180_4,1,5
1,0.4734277371452952,180_5,1,5
1,0.4935225050693164,180_6,2,5
1,0.5114696779386526,181_4,2,5
1,0.4734277371452952,181_5,2,5
1,0.40815588832269084,181_6,2,5
1,0.5114696779386526,182_4,2,5
1,0.5213643322144657,182_5,1,5
1,0.45993404769809737,182_6,4,5
1,0.5114696779386526,183_4,2,5
1,0.5056490492289519,183_5,1,5
1,0.5853122871574238,183_6,2,5
1,0.5114696779386526,184_4,2,5
1,0.5213643322144657,184_5,2,5
1,0.5853122871574238,184_6,2,5
1,0.5114696779386526,185_4,1,5
1,0.5056490492289519,185_5,5,5
1,0.5853122871574238,185_6,5,5
1,0.5186721240949423,186_4,5,5
1,0.5213643322144657,186_5,3,5
1,0.5853122871574238,186_6,5,5
1,0.5186721240949423,187_4,5,5
1,0.5056490492289518,187_5,5,5
1,0.5853122871574238,187_6,5,5
1,0.5186721240949423,188_4,5,5
1,0.411156461069237,188_5,5,5
1,0.5853122871574238,188_6,4,5
1,0.5186721240949423,189_4,5,5
1,0.4274249699320619,189_5,4,5
1,0.5496599581139473,189_6,4,5
1,0.5299472854662852,19_3,3,5
1,0.5351156695954989,19_4,4,5
1,0.49024188578687955,19_5,4,5
1,0.569567150346617,19_6,4,5
1,0.5382832267543881,19_7,4,5
1,0.5428879307185484,19_8,4,5
1,0.5186721240949423,190_4,4,5
1,0.4111564610692369,190_5,4,5
1,0.5496599581139473,190_6,4,5
1,0.5186721240949423,191_4,4,5
1,0.4111564610692369,191_5,4,5
1,0.5496599581139473,191_6,4,5
1,0.46076758270431334,192_4,4,5
1,0.4734277371452952,192_5,4,5
1,0.5496599581139473,192_6,4,5
1,0.46076758270431334,193_4,4,5
1,0.48935948728950035,193_5,4,5
1,0.5679630751784309,193_6,3,5
1,0.46076758270431334,194_4,4,5
1,0.4734277371452952,194_5,4,5
1,0.5679630751784309,194_6,3,5
1,0.46076758270431334,195_4,3,5
1,0.4734277371452952,195_5,3,5
1,0.5679630751784309,195_6,3,5
1,0.5114696779386524,196_4,2,5
1,0.36213203435596414,196_5,3,5
1,0.5679630751784309,196_6,4,5
1,0.5114696779386524,197_4,3,5
1,0.5842760973477352,197_5,4,5
1,0.5174922177072376,197_6,3,5
1,0.5114696779386524,198_4,3,5
1,0.5842760973477352,198_5,4,5
1,0.549659958113947,198_6,3,5
1,0.5114696779386524,199_4,3,5
1,0.5842760973477352,199_5,3,5
1,0.549659958113947,199_6,3,5
1,0.5299472854662852,2_3,3,5
1,0.5096083874053143,2_4,3,5
1,0.5708221591068001,2_5,4,5
1,0.569567150346617,2_6,3,5
1,0.5871780616769222,2_7,4,5
1,0.5764515867298157,2_8,3,5
1,0.572678951876406,2_9,2,5
1,0.5299472854662852,20_3,2,5
1,0.5351156695954989,20_4,3,5
1,0.5075202271603618,20_5,2,5
1,0.5167125730433453,20_6,2,5
1,0.5382832267543881,20_7,1,5
1,0.48967062509264914,20_8,1,5
1,0.5114696779386524,200_4,2,5
1,0.5842760973477352,200_5,2,5
1,0.549659958113947,200_6,2,5
1,0.5114696779386524,201_4,2,5
1,0.5712547703657962,201_5,2,5
1,0.549659958113947,201_6,2,5
1,0.3822205981925247,202_4,2,5
1,0.5712547703657962,202_5,2,5
1,0.47066323969263496,202_6,2,5
1,0.3822205981925247,203_4,1,5
1,0.5712547703657962,203_5,2,5
1,0.5174922177072376,203_6,2,5
1,0.3822205981925247,204_4,2,5
1,0.5712547703657962,204_5,1,5
1,0.5355029654823193,204_6,5,5
1,0.3822205981925247,205_4,5,5
1,0.5712547703657962,205_5,5,5
1,0.5355029654823193,205_6,5,5
1,0.46076758270431334,206_4,2,5
1,0.5712547703657962,206_5,5,5
1,0.5355029654823193,206_6,5,5
1,0.46076758270431334,207_4,5,5
1,0.5737966015886334,207_5,5,5
1,0.5355029654823193,207_6,5,5
1,0.46076758270431334,208_4,5,5
1,0.5737966015886334,208_5,5,5
1,0.47066323969263496,208_6,5,5
1,0.46076758270431334,209_4,5,5
1,0.5737966015886334,209_5,5,5
1,0.506473775333974,209_6,3,5
1,0.5299472854662852,21_3,5,5
1,0.5114696779386525,21_4,5,5
1,0.49024188578687955,21_5,5,5
1,0.5051114830397684,21_6,4,5
1,0.5610014538999117,21_7,4,5
1,0.5253847774739524,21_8,4,5
1,0.30618621784789724,210_4,4,5
1,0.5737966015886334,210_5,4,5
