Order,Family,Species,Occurrence,FishBase name,Name
Clupeiformes,Engraulidae,Anchoa cubana,native ,Cuban anchovy ,
Clupeiformes,Engraulidae,Anchoa delicatissima,native ,Slough anchovy ,Anchovy 
Clupeiformes,Engraulidae,Anchoa hepsetus,native ,Broad-striped anchovy ,Anchovy 
Clupeiformes,Engraulidae,Anchoa lamprotaenia,native ,Big-eye anchovy ,Longnose anchovy 
Clupeiformes,Engraulidae,Anchoa lyolepis,native ,Shortfinger anchovy ,Longnose anchovy 
Clupeiformes,Engraulidae,Anchoa mitchilli,native ,Bay anchovy ,Anchovy 
Clupeiformes,Engraulidae,Anchoviella perfasciata,native ,Poey's anchovy ,Grubber broadhead 
Pleuronectiformes,Paralichthyidae,Ancylopsetta dilecta,native ,Three-eye flounder ,
Pleuronectiformes,Paralichthyidae,Ancylopsetta ommata,native ,Gulf of Mexico ocellated flounder ,
Anguilliformes,Anguillidae,Anguilla rostrata,native ,American eel ,Freshwater eel 
Perciformes,Haemulidae,Anisotremus davidsonii,native ,Xantic sargo ,Grunt 
Perciformes,Haemulidae,Anisotremus surinamensis,native ,Black margate ,Grunt 
Perciformes,Haemulidae,Anisotremus virginicus,native ,Porkfish ,Atlantic porkfish 
Scorpaeniformes,Agonidae,Anoplagonus inermis,native ,Smooth alligatorfish ,Smooth poacher 
Perciformes,Stichaeidae,Anoplarchus insignis,native ,Slender cockscomb ,
Perciformes,Stichaeidae,Anoplarchus purpurescens,native ,High cockscomb ,
Beryciformes,Anoplogastridae,Anoplogaster cornuta,native ,Common fangtooth ,Common sabertooth 
Scorpaeniformes,Anoplopomatidae,Anoplopoma fimbria,native ,Sablefish ,
Aulopiformes,Anotopteridae,Anotopterus nikparini,native ,North Pacific daggertooth ,
Lophiiformes,Antennariidae,Antennarius multiocellatus,native ,Longlure frogfish ,
Lophiiformes,Antennariidae,Antennarius pauciradiatus,native ,Dwarf frogfish ,
Lophiiformes,Antennariidae,Antennarius striatus,native ,Striated frogfish ,Black angler 
Perciformes,Serranidae,Anthias nicholsi,native ,Yellowfin bass ,
Perciformes,Serranidae,Anthias woodsi,native ,Swallowtail bass ,
Perciformes,Caproidae,Antigonia capros,native ,Deepbody boarfish ,Boarfish 
Perciformes,Caproidae,Antigonia combatia,native ,Shortspine boarfish ,Boarfish 
Gadiformes,Moridae,Antimora microlepis,native ,Finescale mora ,
Gadiformes,Moridae,Antimora rostrata,native ,Blue antimora ,Blue hake 
Gasterosteiformes,Gasterosteidae,Apeltes quadracus,native ,Fourspine stickleback ,
Perciformes,Trichiuridae,Aphanopus arigato,native ,Pacific black scabbardfish ,
Perciformes,Trichiuridae,Aphanopus carbo,native ,Black scabbardfish ,Black espada 
Percopsiformes,Aphredoderidae,Aphredoderus sayanus,endemic ,Pirate perch ,
Perciformes,Sciaenidae,Aplodinotus grunniens,native ,Freshwater drum ,
Perciformes,Pholidae,Apodichthys flavidus,native ,Penpoint gunnel ,
Perciformes,Pholidae,Apodichthys fucorum,native ,Rockweed gunnel ,
Perciformes,Apogonidae,Apogon atricaudus,native ,Plain cardinalfish ,
Perciformes,Apogonidae,Apogon aurolineatus,native ,Bridle cardinalfish ,
Perciformes,Apogonidae,Apogon binotatus,native ,Barred cardinalfish ,
Perciformes,Apogonidae,Apogon guadalupensis,native ,Guadalupe cardinalfish ,
Perciformes,Apogonidae,Apogon lachneri,native ,Whitestar cardinalfish ,
Perciformes,Apogonidae,Apogon leptocaulus,native ,Slendertail cardinalfish ,
Perciformes,Apogonidae,Apogon maculatus,native ,Flamefish ,
Perciformes,Apogonidae,Apogon phenax,native ,Mimic cardinalfish ,
Perciformes,Apogonidae,Apogon pillionatus,native ,Broadsaddle cardinalfish ,Broadscale cardinal fish 
Perciformes,Apogonidae,Apogon planifrons,native ,Pale cardinalfish ,
Perciformes,Apogonidae,Apogon pseudomaculatus,native ,Twospot cardinalfish ,
Perciformes,Apogonidae,Apogon quadrisquamatus,native ,Sawcheek cardinalfish ,
Perciformes,Apogonidae,Apogon townsendi,native ,Belted cardinalfish ,
Carcharhiniformes,Scyliorhinidae,Apristurus brunneus,native ,Brown catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus kampae,native ,Longnose catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus laurussonii,native ,Iceland catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus manis,native ,Ghost catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus melanoasper,native ,Black roughscale catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus parvipinnis,native ,Smallfin catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus profundorum,native ,Deep-water catshark ,
Carcharhiniformes,Scyliorhinidae,Apristurus riveri,native ,Broadgill catshark ,
Anguilliformes,Ophichthidae,Aprognathodon platyventris,native ,Stripe eel ,
Anguilliformes,Ophichthidae,Apterichtus ansp,native ,Academy eel ,
Anguilliformes,Ophichthidae,Apterichtus kendalli,native ,Finless eel ,
Scorpaeniformes,Cottidae,Archistes biseriatus,native ,Scaled sculpin ,
Perciformes,Centrarchidae,Archoplites interruptus,endemic ,Sacramento perch ,
Perciformes,Sparidae,Archosargus probatocephalus,native ,Sheepshead ,Convictt fish 
Perciformes,Sparidae,Archosargus rhomboidalis,native ,Western Atlantic seabream ,
Aulopiformes,Paralepididae,Arctozenus risso,native ,Spotted barracudina ,White barracudina 
Osmeriformes,Argentinidae,Argentina georgei,native ,Blackbelly Argentine ,
Osmeriformes,Argentinidae,Argentina sialis,native ,North-Pacific argentine ,
Osmeriformes,Argentinidae,Argentina silus,native ,Greater argentine ,Great silver smelt 
Osmeriformes,Argentinidae,Argentina striata,native ,Striated argentine ,Argentine 
Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,native ,Lovely hatchetfish ,Atlantic silver hatchetfish 
Stomiiformes,Sternoptychidae,Argyropelecus affinis,native ,Pacific hatchet fish ,Slender hatchetfish 
Stomiiformes,Sternoptychidae,Argyropelecus gigas,native ,Hatchetfish ,
Stomiiformes,Sternoptychidae,Argyropelecus hemigymnus,native ,Half-naked hatchetfish ,Spurred hatchetfish 
Stomiiformes,Sternoptychidae,Argyropelecus lychnus,native ,Tropical hatchetfish ,Silver hatchetfish 
Stomiiformes,Sternoptychidae,Argyropelecus sladeni,native ,Sladen's hatchet fish ,Silvery hatchetfish 
Perciformes,Ariommatidae,Ariomma bondi,native ,Silver-rag driftfish ,
Perciformes,Ariommatidae,Ariomma melanum,native ,Brown driftfish ,
Perciformes,Ariommatidae,Ariomma regulus,native ,Spotted driftfish ,
Siluriformes,Ariidae,Ariopsis felis,native ,Hardhead sea catfish ,Hardhead 
Anguilliformes,Congridae,Ariosoma anale,native ,Longtrunk conger ,
Anguilliformes,Congridae,Ariosoma balearicum,native ,Bandtooth conger ,Conger eel 
Stomiiformes,Stomiidae,Aristostomias grimaldii,native ,,
Stomiiformes,Stomiidae,Aristostomias lunifer,native ,,
Stomiiformes,Stomiidae,Aristostomias polydactylus,native ,,
Stomiiformes,Stomiidae,Aristostomias scintillans,native ,Shiny loosejaw ,Shiny loosejaw 
Stomiiformes,Stomiidae,Aristostomias tittmanni,native ,Loosejaw ,
Scorpaeniformes,Cottidae,Artediellus atlanticus,native ,Atlantic hookear sculpin ,
Scorpaeniformes,Cottidae,Artediellus uncinatus,native ,Arctic hookear sculpin ,Arctic sculpin 
Scorpaeniformes,Cottidae,Artedius corallinus,native ,Coralline sculpin ,
Scorpaeniformes,Cottidae,Artedius fenestralis,native ,Padded sculpin ,
Scorpaeniformes,Cottidae,Artedius harringtoni,native ,Scalyhead sculpin ,
Scorpaeniformes,Cottidae,Artedius lateralis,native ,Smoothhead sculpin ,
Scorpaeniformes,Cottidae,Artedius notospilotus,native ,Bonehead sculpin ,
Scorpaeniformes,Cottidae,Ascelichthys rhodorus,native ,Rosylip sculpin ,
Scorpaeniformes,Cottidae,Asemichthys taylori,native ,Spinynose sculpin ,
Scorpaeniformes,Agonidae,Aspidophoroides monopterygius,native ,Alligatorfish ,
Perciformes,Trichiuridae,Assurger anzac,native ,Razorback scabbardfish ,
Perciformes,Apogonidae,Astrapogon alutus,native ,Bronze cardinalfish ,
Perciformes,Apogonidae,Astrapogon puncticulatus,native ,Blackfin cardinalfish ,
Perciformes,Apogonidae,Astrapogon stellatus,native ,Conchfish ,
Stomiiformes,Stomiidae,Astronesthes cyaneus,native ,,
Stomiiformes,Stomiidae,Astronesthes gemmifer,native ,,
Stomiiformes,Stomiidae,Astronesthes macropogon,native ,,
Stomiiformes,Stomiidae,Astronesthes micropogon,native ,,
Stomiiformes,Stomiidae,Astronesthes niger,native ,,
Stomiiformes,Stomiidae,Astronesthes similus,native ,,
Perciformes,Cichlidae,Astronotus ocellatus,introduced ,Oscar ,Marble cichlid 
Perciformes,Uranoscopidae,Astroscopus guttatus,native ,Northern stargazer ,
Perciformes,Uranoscopidae,Astroscopus y-graecum,native ,Southern stargazer ,
Perciformes,Uranoscopidae,Astroscopus zephyreus,native ,Pacific stargazer ,
Characiformes,Characidae,Astyanax mexicanus,native ,Mexican tetra ,
Pleuronectiformes,Pleuronectidae,Atheresthes stomias,native ,Arrow-tooth flounder ,Arrowtooth flounder 
Atheriniformes,Atherinidae,Atherinomorus stipes,native ,Hardhead silverside ,
Atheriniformes,Atherinopsidae,Atherinops affinis,native ,Topsmelt silverside ,
Atheriniformes,Atherinopsidae,Atherinopsis californiensis,native ,Jack silverside ,
Perciformes,Sciaenidae,Atractoscion nobilis,native ,White weakfish ,Seatrout 
Lepisosteiformes,Lepisosteidae,Atractosteus spatula,native ,Alligator gar ,Gemfish 
Aulopiformes,Aulopidae,Aulopus filamentosus,native ,Royal flagfin ,
Gasterosteiformes,Aulorhynchidae,Aulorhynchus flavidus,native ,Tube-snout ,
Syngnathiformes,Aulostomidae,Aulostomus maculatus,native ,Trumpetfish ,Caribbean trumpetfish 
Perciformes,Scombridae,Auxis brachydorax,native ,,
Perciformes,Scombridae,Auxis eudorax,native ,,
Perciformes,Scombridae,Auxis rochei,native ,Bullet tuna ,Bullet tuna 
Perciformes,Scombridae,Auxis thazard,native ,Frigate tuna ,Bullet mackerel 
Anguilliformes,Nemichthyidae,Avocettina bowersii,native ,,Smalleye snipe eel 
Anguilliformes,Nemichthyidae,Avocettina infans,native ,Avocet snipe eel ,Snipe eel 
Perciformes,Gobiidae,Awaous banana,native ,River goby ,River goby 
Siluriformes,Ariidae,Bagre panamensis,native ,Chilhuil sea catfish ,
Perciformes,Sciaenidae,Bairdiella chrysoura,native ,Silver perch ,
Perciformes,Sciaenidae,Bairdiella icistia,introduced ,Ronco croaker ,
Osmeriformes,Alepocephalidae,Bajacalifornia burragei,native ,Sharpchin slickhead ,Sharpchin slickhead 
Osmeriformes,Alepocephalidae,Bajacalifornia megalops,native ,Bigeye smooth-head ,
Perciformes,Serranidae,Baldwinella aureorubens,native ,Streamer bass ,
Perciformes,Serranidae,Baldwinella vivanus,native ,Red barbier ,
Tetraodontiformes,Balistidae,Balistes capriscus,native ,Grey triggerfish ,
Tetraodontiformes,Balistidae,Balistes polylepis,native ,Finescale triggerfish ,
Tetraodontiformes,Balistidae,Balistes vetula,native ,Queen triggerfish ,
Ophidiiformes,Aphyonidae,Barathronus bicolor,native ,,
Ophidiiformes,Aphyonidae,Barathronus unicolor,native ,,
Cypriniformes,Cyprinidae,Barbonymus schwanenfeldii,introduced ,Tinfoil barb ,Goldfoil barb 
Cetomimiformes,Barbourisiidae,Barbourisia rufa,native ,Velvet whalefish ,Velvet whalefish 
Perciformes,Gobiidae,Barbulifer ceuthoecus,native ,Bearded goby ,
Anguilliformes,Ophichthidae,Bascanichthys bascanium,native ,Sooty eel ,
Anguilliformes,Ophichthidae,Bascanichthys scuticaris,native ,Whip eel ,Sooty eel 
Ophidiiformes,Ophidiidae,Bassogigas gillii,native ,,
Ophidiiformes,Ophidiidae,Bassozetus normalis,native ,,
Stomiiformes,Stomiidae,Bathophilus brevis,native ,,
Stomiiformes,Stomiidae,Bathophilus filifer,native ,Sparing ,
Stomiiformes,Stomiidae,Bathophilus flemingi,native ,Highfin dragonfish ,Highfin dragonfish 
Stomiiformes,Stomiidae,Bathophilus longipinnis,native ,,
Stomiiformes,Stomiidae,Bathophilus nigerrimus,native ,Scaleless dragonfish ,
Stomiiformes,Stomiidae,Bathophilus vaillanti,native ,,
Scorpaeniformes,Agonidae,Bathyagonus alascanus,native ,Gray starsnout ,Gray starsnout poacher 
Scorpaeniformes,Agonidae,Bathyagonus infraspinatus,native ,Spinycheek starsnout ,
Scorpaeniformes,Agonidae,Bathyagonus nigripinnis,native ,Blackfin poacher ,Blackfin starsnout poacher 
Scorpaeniformes,Agonidae,Bathyagonus pentacanthus,native ,Bigeye poacher ,Bigeye starsnout poacher 
Perciformes,Serranidae,Bathyanthias mexicanus,native ,Yellowtail bass ,
Anguilliformes,Congridae,Bathycongrus dubius,native ,Dubious conger ,
Gadiformes,Macrouridae,Bathygadus favosus,native ,,
Gadiformes,Macrouridae,Bathygadus macrops,native ,Bullseye grenadier ,
Gadiformes,Macrouridae,Bathygadus melanobranchus,native ,Vaillant's grenadier ,
Perciformes,Gobiidae,Bathygobius curacao,native ,Notchtongue goby ,
Perciformes,Gobiidae,Bathygobius geminatus,native ,Twin-spotted frillfin ,Twin-spotted frillfin 
Perciformes,Gobiidae,Bathygobius mystacium,native ,Island frillfin ,
Perciformes,Gobiidae,Bathygobius soporator,native ,Frillfin goby ,
Osmeriformes,Alepocephalidae,Bathylaco nigricans,native ,Black warrior ,Boneythroat 
Osmeriformes,Bathylagidae,Bathylagoides wesethi,native ,Snubnose blacksmelt ,Snubnose blacksmelt 
Osmeriformes,Bathylagidae,Bathylagus pacificus,native ,Slender blacksmelt ,
Osmeriformes,Opisthoproctidae,Bathylychnops exilis,native ,Javelin spookfish ,
Perciformes,Bathymasteridae,Bathymaster signatus,native ,Searcher ,
Aulopiformes,Ipnopidae,Bathypterois bigelowi,native ,,
Aulopiformes,Ipnopidae,Bathypterois grallator,native ,Tripodfish ,
Aulopiformes,Ipnopidae,Bathypterois longipes,native ,Abyssal spiderfish ,
Aulopiformes,Ipnopidae,Bathypterois phenax,native ,Blackfin spiderfish ,
Aulopiformes,Ipnopidae,Bathypterois quadrifilis,native ,,
Aulopiformes,Ipnopidae,Bathypterois viridensis,native ,,
Rajiformes,Arhynchobatidae,Bathyraja aleutica,native ,Aleutian skate ,
Rajiformes,Arhynchobatidae,Bathyraja interrupta,native ,Sandpaper skate ,Bering skate 
Rajiformes,Arhynchobatidae,Bathyraja spinicauda,native ,Spinytail skate ,
Rajiformes,Arhynchobatidae,Bathyraja spinosissima,native ,Spiny skate ,
Rajiformes,Arhynchobatidae,Bathyraja trachura,native ,Roughtail skate ,Black skate 
Aulopiformes,Bathysauridae,Bathysaurus ferox,native ,Deep-sea lizardfish ,Deepsea lizardfish 
Aulopiformes,Bathysauridae,Bathysaurus mollis,native ,Highfin lizardfish ,
Osmeriformes,Alepocephalidae,Bathytroctes michaelsarsi,native ,Michael Sars smooth-head ,
Osmeriformes,Alepocephalidae,Bathytroctes microlepis,native ,Smallscale smooth-head ,
Aulopiformes,Ipnopidae,Bathytyphlops marionae,native ,Marion's spiderfish ,
Scorpaeniformes,Triglidae,Bellator brachychir,native ,Shortfin searobin ,
Scorpaeniformes,Triglidae,Bellator egretta,native ,Streamer searobin ,
Scorpaeniformes,Triglidae,Bellator militaris,native ,Horned searobin ,
Scorpaeniformes,Triglidae,Bellator xenisma,native ,Splitnose searobin ,
Ophidiiformes,Bythitidae,Bellottia robusta,native ,,
Cyprinodontiformes,Poeciliidae,Belonesox belizanus,introduced ,Top minnow ,Pike livebearer 
Perciformes,Percophidae,Bembrops anatirostris,native ,Duckbill flathead ,
Perciformes,Percophidae,Bembrops gobioides,native ,Goby flathead ,
Aulopiformes,Scopelarchidae,Benthalbella dentata,native ,Northern pearleye ,
Aulopiformes,Scopelarchidae,Benthalbella linguidens,native ,Longfin pearleye ,
Torpediniformes,Narcinidae,Benthobatis marcida,native ,Blind torpedo ,Deepsea electric ray 
Perciformes,Trichiuridae,Benthodesmus pacificus,native ,North-Pacific frostfish ,
Perciformes,Trichiuridae,Benthodesmus simonyi,native ,Simony's frostfish ,
Perciformes,Trichiuridae,Benthodesmus tenuis,native ,Slender frostfish ,Ribbon scabbardfish 
Myctophiformes,Myctophidae,Benthosema glaciale,native ,Glacier lantern fish ,Glacier lanterfish 
Myctophiformes,Myctophidae,Benthosema suborbitale,native ,Smallfin lanternfish ,
Scorpaeniformes,Hemitripteridae,Blepsias cirrhosus,native ,Silverspotted sculpin ,
Perciformes,Labridae,Bodianus pulchellus,native ,Spotfin hogfish ,Hogfish 
Perciformes,Labridae,Bodianus rufus,native ,Spanish hogfish ,Hogfish 
Myctophiformes,Myctophidae,Bolinichthys indicus,native ,Lanternfish ,
Myctophiformes,Myctophidae,Bolinichthys photothorax,native ,Spurcheek lanternfish ,
Perciformes,Gobiidae,Bollmannia boqueronensis,native ,White-eye goby ,
Perciformes,Gobiidae,Bollmannia communis,native ,Ragged goby ,
Perciformes,Gobiidae,Bollmannia eigenmanni,native ,Shelf goby ,
Stomiiformes,Gonostomatidae,Bonapartia pedaliota,native ,Longray fangjaw ,
Stomiiformes,Stomiidae,Borostomias elucens,native ,,
Stomiiformes,Stomiidae,Borostomias mononema,native ,Sickle snaggletooth ,
Stomiiformes,Stomiidae,Borostomias panamensis,native ,Panama snaggletooth ,Panama snaggletooth 
Scorpaeniformes,Agonidae,Bothragonus swanii,native ,Rockhead ,Deep-pitted poacher 
Perciformes,Zoarcidae,Bothrocara brunneum,native ,Twoline eelpout ,
Perciformes,Zoarcidae,Bothrocara molle,native ,Soft eelpout ,
Pleuronectiformes,Bothidae,Bothus lunatus,native ,Plate fish ,Flounder 
Pleuronectiformes,Bothidae,Bothus ocellatus,native ,Eyed flounder ,Flounder 
Pleuronectiformes,Bothidae,Bothus robinsi,native ,Twospot flounder ,Spottail flounder 
Perciformes,Embiotocidae,Brachyistius frenatus,native ,Kelp perch ,
Perciformes,Bramidae,Brama brama,native ,Atlantic pomfret ,Ray's bream 
Perciformes,Bramidae,Brama caribbea,native ,Caribbean pomfret ,
Perciformes,Bramidae,Brama dussumieri,native ,Lesser bream ,
Perciformes,Bramidae,Brama japonica,native ,Pacific pomfret ,
