species	code	area	site	part	MERCURY	LEAD	 CADMIUM	ARSENIC	selenium	silver	chromium	copper	zinc	nickel	molyb	vanadium	mang	antimony	tin
Morone americana	7001	area-north atlantic	site-m8	muscle	0.112	0.752	0.068	1.704	1.47	0.078	0.535	1.027	7.23	0.283	0.155	0.7	0.598	0.95	1.01
Morone americana	7001	area-north atlantic	site-m9	muscle	0.141	0.606	0.073	1.6	0.946	0.048	0.208	0.951	8.27	0.24	0	0	0.392	0.605	0.567
Morone americana	7001	area-north atlantic	site-r5	muscle	0.176	0.763	0.095	1.976	0.463	0.028	0.188	0.383	4.81	0.182	0.147	0.273	0.398	0.798	0.553
Morone americana	7001	area-north atlantic	site-r6	muscle	0.216	0.401	0.075	2.133	0.738	0.039	0.185	0.527	4.13	0.274	0.493	0.18	0.528	0.935	0.892
Morone saxatilis	7004	area-north atlantic	site-m6	muscle	0.052	0.268	0.055	2.02	0.916	0.026	0.237	0.32	3.46	0.265	0	0.155	0.167	0	0.526
Morone saxatilis	7004	area-north atlantic	site-n7	muscle	0.495	0.53	0.075	1.456	0.693	0.2	0.13	0.345	3.75	0.225	0	0	0.135	0.72	0.42
Morone saxatilis	7004	area-north atlantic	site-r5	muscle	0.17	0.482	0.069	1.702	0.596	0.037	0.138	0.355	5.23	0.218	0.338	0.37	0.17	0.629	0.59
Morone saxatilis	7004	area-north atlantic	site-r5	liver	0.14	0.64	1.53	1.225	1.22	0.07	0.392	2.285	15.89	0.36	0.39	0	1.75	1.88	0.4
Morone saxatilis	7004	area-north atlantic	site-r8	muscle	0.097	0.482	0.084	3.599	0.321	0.026	0.302	0.286	4.66	0.205	0	0.38	0.136	0.719	0.501
Morone saxatilis	7004	area-north atlantic	site-f1	muscle	0.617	0.363	0.051	1.316	0.557	0.026	0.093	0.289	3.78	0.172	0.13	0	0.086	0.625	0.528
Morone saxatilis	7004	area-north atlantic	site-f2	muscle	0.432	0.387	0.068	1.981	0.494	0.028	0.151	0.305	3.73	0.188	0.187	0.2	0.112	0.587	0.461
Morone saxatilis	7004	area-california	site-f4	muscle	0.539	0.546	0.068	1.47	0.69	0.023	0.157	0.379	3.54	0.135	0.25	0.4	0.114	0.665	0.534
Morone saxatilis	7004	area-pacific-northwest	site-r5	muscle	0.858	0.442	0.062	2.289	0.464	0.028	0.151	0.204	4.23	1.81	0.13	0.315	0.111	0.604	0.46
Istiophorus platypterius	11001	area-north atlantic	site-h9	muscle	0.245	0.405	0.085	3.025	0.64	0.02	0.25	0.35	4.66	0.19	0	0	0.085	0.75	0.41
Istiophorus platypterius	11001	area-north atlantic	site-r6	muscle	0.135	0.595	0.09	3.266	0.39	0.025	0.13	0.305	4.93	0.21	0	0	0.09	0.595	0.28
Istiophorus platypterius	11001	area-north atlantic	site-r9	muscle	0.687	0.438	0.071	3.657	0.806	0.03	0.188	0.221	6.43	0.172	0	0.25	0.131	0.615	0.568
Istiophorus platypterius	11001	area-south atlantic	site-c2	muscle	0.345	0.455	0.075	3.113	0.79	0.03	0.095	0.21	6.49	0.108	0	0	0.105	0.535	0.415
Istiophorus platypterius	11001	area-south atlantic	site-m1	muscle	0.555	0.314	0.145	3.145	0.771	0.024	0.145	0.725	6.95	0.212	0.425	0.68	0.165	0.581	0.511
Istiophorus platypterius	11001	area-south atlantic	site-m4	muscle	0.314	0.462	0.088	2.917	0.985	0.022	0.129	0.23	5.15	0.178	0	0	0.102	0.582	0.448
Istiophorus platypterius	11001	area-gult	site-e4	muscle	0.815	0.296	0.061	2.502	0.704	0.02	0.119	0.491	5.49	0.193	0	0	0.096	0.63	0.52
Istiophorus platypterius	11001	area-gult	site-l5	muscle	0.411	0.374	0.117	5.294	0.768	0.17	0.1	0.558	4.67	0.075	0	0.327	1.51	0.515	0.412
Makaira nigricans	11002	area-north atlantic	site-r9	muscle	1.643	0.255	0.073	3.116	1.156	0.028	0.131	0.133	5.5	0.095	0	0	0.089	0.358	0.342
Makaira nigricans	11002	area-south atlantic	site-b5	muscle	3.775	0.215	0.07	2.7	1.99	0.04	0.06	0.36	5.84	0.125	0	0	0.98	0.5	0.46
Makaira nigricans	11002	area-south atlantic	site-c2	muscle	9.453	0.416	0.071	2.731	2.423	0.052	0.131	0.323	8.78	0.258	0.37	0.577	0.107	0.83	0.429
Makaira nigricans	11002	area-south atlantic	site-m1	muscle	1.162	0.312	0.077	1.595	1.39	0.018	0.057	0.248	5.44	0.137	0.235	0	0.12	0.522	0.417
Makaira nigricans	11002	area-south atlantic	site-m4	muscle	3.65	0.16	0.08	5.15	1.7	0	0.06	0.07	6.88	0.09	0	0	0.14	0.56	0.56
Makaira nigricans	11002	area-hawaii	site-d5	muscle	1.785	0.321	0.109	1.91	1.23	0.026	0.12	0.459	4.49	0.155	0.12	0	0.089	0.357	0.545
Makaira nigricans	11002	area-hawaii	site-h4	muscle	2.776	0.404	0.144	3.563	2.216	0.052	0.171	0.22	5.97	0.341	0.44	0.403	0.12	0.781	0.468
Makaira nigricans	11002	area-hawaii	site-j5	muscle	5.062	0.359	0.335	1.292	2.305	0.046	0.191	0.54	6.98	0.227	0	0	0.195	0.685	0.53
Tetrapturus albidus	11003	area-north atlantic	site-m9	muscle	0.69	0.52	0.106	3.08	0.788	0.026	0.208	0.259	6.42	0.153	0.47	0.08	0.114	0.57	0.438
Tetrapturus albidus	11003	area-north atlantic	site-r6	muscle	0.69	0.43	0.1	2.1	1.12	0.01	0.06	0.19	6.3	0.15	0.12	0	0.1	0.37	0.37
Tetrapturus albidus	11003	area-north atlantic	site-r9	muscle	0.599	0.524	0.081	2.367	0.815	0.032	0.173	0.227	5.6	0.292	0.215	0.1	0.084	0.779	0.418
Tetrapturus albidus	11003	area-north atlantic	site-c2	muscle	0.29	0.38	0	1.55	0.78	0	0.13	0.42	6.19	0.17	0	0	0.11	0.63	0.36
Tetrapturus albidus	11003	area-south atlantic	site-m1	muscle	0.731	0.415	0.122	3.08	0.895	0.038	0.95	0.318	5.93	0.195	0.493	0.203	0.098	0.714	0.663
Tetrapturus albidus	11003	area-south atlantic	site-n1	muscle	0.87	0.69	0.18	4.1	0.58	0.04	0.12	0.69	5.31	0.24	0	0	0.19	0.81	0
Tetrapturus albidus	11003	area-gulf	site-d6	muscle	0.5	0.81	2.61	8.25	0.147	0.06	0.18	2	14.25	0.25	0	0.09	0.25	1.38	0
Tetrapturus albidus	11003	area-gulf	site-e4	muscle	1.114	0.306	0.076	3.721	1.086	0.024	0.136	0.141	5.91	0.129	0	0	0.103	0.458	0.443
TETRAPTURUS ANGUSTIROSTRIS	11004	area-hawaii	site-d5	muscle	0.34	0.42	0.05	2.274	0.668	0.05	0.14	0.578	6.65	0.27	0.16	0.265	0.14	0.8	0.57
TETRAPTURUS AUDAX	11005	area-hawaii	site-d5	muscle	1.529	0.853	0.123	2.813	0.932	0.027	0.202	0.282	4.83	0.187	0	0	0.113	0.697	0.547
