EEZ_Name,Taxonkey,Taxon_name,Common_name
Morocco (Mediterranean),690283,Crassostrea gigas,Pacific cupped oyster
Morocco (Central),690123,Ostrea edulis,European flat oyster
Morocco (Central),690166,Ruditapes decussatus,Grooved carpet shell
Morocco (Central),690241,Mytilus galloprovincialis,Mediterranean mussel
Montenegro,690241,Mytilus galloprovincialis,Mediterranean mussel
Mexico (Pacific),2572,Haliotis corrugata,
Mexico (Pacific),2573,Haliotis fulgens,
Mexico (Pacific),48869,Chione cancellata,
Mexico (Pacific),690094,Crassostrea corteziensis,Cortez oyster
Mexico (Pacific),690282,Argopecten circularis,Pacific calico scallop
Mexico (Pacific),690283,Crassostrea gigas,Pacific cupped oyster
Mexico (Pacific),690317,Haliotis rufescens,Red abalone
Mexico (Atlantic),690009,Crassostrea virginica,American cupped oyster
Mexico (Atlantic),690283,Crassostrea gigas,Pacific cupped oyster
Mauritius,84403,Crassostrea plicatula,
Malaysia (Sarawak),690060,Perna viridis,Brown mussel
Malaysia (Sabah),690050,Anadara granosa,Blood cockle
Malaysia (Sabah),690060,Perna viridis,Brown mussel
Malaysia (Sabah),690283,Crassostrea gigas,Pacific cupped oyster
Malaysia (Peninsula West),690050,Anadara granosa,Blood cockle
Malaysia (Peninsula West),690060,Perna viridis,Brown mussel
Malaysia (Peninsula West),690283,Crassostrea gigas,Pacific cupped oyster
Malaysia (Peninsula East),690050,Anadara granosa,Blood cockle
Malaysia (Peninsula East),690060,Perna viridis,Brown mussel
Malaysia (Peninsula East),690283,Crassostrea gigas,Pacific cupped oyster
Korea (South),690050,Anadara granosa,Blood cockle
Korea (South),690169,Scapharca subcrenata,Half-crenated ark
Korea (South),690191,Scapharca broughtonii,Inflated ark
Korea (South),690195,Haliotis discus,Japanese abalone
Korea (South),690196,Ruditapes philippinarum,Japanese carpet shell
Korea (South),690199,Meretrix lusoria,Japanese hard clam
Korea (South),690218,Mytilus coruscus,Korean mussel
Korea (South),690283,Crassostrea gigas,Pacific cupped oyster
Korea (South),690445,Pecten yessoensis,Yesso scallop
Korea (South),690695,Cyclina sinensis,Oriental cyclina
Japan (main islands),84430,Pinctada radiata,
Japan (main islands),690196,Ruditapes philippinarum,Japanese carpet shell
Japan (main islands),690283,Crassostrea gigas,Pacific cupped oyster
Japan (main islands),690445,Pecten yessoensis,Yesso scallop
Japan (main islands),690630,Venerupis pullastra,Pullet carpet shell
Jamaica,690232,Crassostrea rhizophorae,Mangrove cupped oyster
Italy,690123,Ostrea edulis,European flat oyster
Italy,690166,Ruditapes decussatus,Grooved carpet shell
Italy,690196,Ruditapes philippinarum,Japanese carpet shell
Italy,690241,Mytilus galloprovincialis,Mediterranean mussel
Italy,690283,Crassostrea gigas,Pacific cupped oyster
Ireland,690053,Mytilus edulis,Blue mussel
Ireland,690123,Ostrea edulis,European flat oyster
Ireland,690156,Pecten maximus,Great Atlantic scallop
Ireland,690195,Haliotis discus,Japanese abalone
Ireland,690196,Ruditapes philippinarum,Japanese carpet shell
Ireland,690283,Crassostrea gigas,Pacific cupped oyster
Ireland,690420,Haliotis tuberculata,Tuberculate abalone
Indonesia (Indian Ocean),690300,Pteria penguin,Penguin wing oyster
Indonesia (Eastern),690363,Pinctada maxima,Silver-lip pearl oyster
Indonesia (Central),690300,Pteria penguin,Penguin wing oyster
India (mainland),690186,Crassostrea madrasensis,Indian backwater oyster
India (mainland),690374,Perna perna,South American rock mussel
Iceland,690053,Mytilus edulis,Blue mussel
Iceland,690317,Haliotis rufescens,Red abalone
Hong Kong (China),690283,Crassostrea gigas,Pacific cupped oyster
Greece,690123,Ostrea edulis,European flat oyster
Greece,690241,Mytilus galloprovincialis,Mediterranean mussel
Germany (North Sea),690053,Mytilus edulis,Blue mussel
Germany (North Sea),690283,Crassostrea gigas,Pacific cupped oyster
Germany (North Sea),690605,Cerastoderma edule,Cerastoderma edule
Germany (Baltic Sea),690053,Mytilus edulis,Blue mussel
Germany (Baltic Sea),690283,Crassostrea gigas,Pacific cupped oyster
Germany (Baltic Sea),690605,Cerastoderma edule,Cerastoderma edule
France (Mediterranean),590147,Tapes,Tapes
France (Mediterranean),690053,Mytilus edulis,Blue mussel
France (Mediterranean),690123,Ostrea edulis,European flat oyster
France (Mediterranean),690241,Mytilus galloprovincialis,Mediterranean mussel
France (Mediterranean),690283,Crassostrea gigas,Pacific cupped oyster
France (Atlantic Coast),590147,Tapes,Tapes
France (Atlantic Coast),690053,Mytilus edulis,Blue mussel
France (Atlantic Coast),690123,Ostrea edulis,European flat oyster
France (Atlantic Coast),690156,Pecten maximus,Great Atlantic scallop
France (Atlantic Coast),690241,Mytilus galloprovincialis,Mediterranean mussel
France (Atlantic Coast),690283,Crassostrea gigas,Pacific cupped oyster
France (Atlantic Coast),690605,Cerastoderma edule,Cerastoderma edule
Fiji,690147,Tridacna gigas,Giant clam
Falkland Isl. (UK),690053,Mytilus edulis,Blue mussel
Falkland Isl. (UK),690283,Crassostrea gigas,Pacific cupped oyster
Ecuador,690303,Argopecten purpuratus,Peruvian calico scallop
