PageID,Level 1,Level 2,Common Name,Latin Name,Part,Preparation,Reference,Sample Size kCal,kCal (unit/100g),Sample Size H2O,H2O (g/100g),Sample Size Ash,Ash (g/100g),Sample Size CHO-T,CHO-T (g/100g),Sample Size Protein,Protein (g/100g),Sample Size Fat,Fat (g/100g),Sample Size PUFA,Total PUFA (g/100g),Sample Size Omega-3,Total Omega-3 (g/100g),Sample Size 18:3n3,Omega-3 18:3n3 (g/100g),Sample Size 20:3n3,Omega-3 20:3n3 (g/100g),Sample Size 20:5n3,Omega-3 20:5n3 (g/100g),Sample Size 22:3n3,Omega-3 22:3n3 (g/100g),Sample Size 22:6n3,Omega-3 22:6n3 (g/100g),Sample Size Omega-6,Total Omega-6 (g/100g),Sample Size 18:2n6,Omega-6 18:2n6 (g/100g),Sample Size 18:3n6,Omega-6 18:3n6 (g/100g),Sample Size 20:2n6,Omega-6 20:2n6 (g/100g),Sample Size 20:3n6,Omega-6 20:3n6 (g/100g),Sample Size 20:4n6,Omega-6 20:4n6 (g/100g),Sample Size 22:2n6,Omega-6 22:2n6 (g/100g),Sample Size 22:4n6,Omega-6 22:4n6 (g/100g),Sample Size MUFA,Total MUFA (g/100g),Sample Size 12:1,MUFA 12:1 (g/100g),Sample Size 14:1,MUFA 14:1 (g/100g),Sample Size 16:1,MUFA 16:1 (g/100g),Sample Size 18:1,MUFA 18:1 (g/100g),Sample Size 20:1,MUFA 20:1 (g/100g),Sample Size 22:1,MUFA 22:1 (g/100g),Sample Size 24:1,MUFA 24:1 (g/100g),Sample Size SFA,Total SFA (g/100g),Sample Size 8:0,SFA 8:0 (g/100g),Sample Size 10:0,SFA 10:0 (g/100g),Sample Size 12:0,SFA 12:0 (g/100g),Sample Size 14:0,SFA 14:0 (g/100g),Sample Size 16:0,SFA 16:0 (g/100g),Sample Size 18:0,SFA 18:0 (g/100g),Sample Size 20:0,SFA 20:0 (g/100g),Sample Size 22:0,SFA 22:0 (g/100g),Sample Size 24:0,SFA 24:0 (g/100g),Sample Size CHOL,CHOL (mg/100g),Sample Size A,A (units/100g),Sample Size D,D (units/100g),Sample Size E,Vitamin E (units/100g),Sample Size C,C (mg/100g),Sample Size THIA,THIA (mg/100g),Sample Size RIBO,RIBO (mg/100g),Sample Size NIAC,NIAC (mg/100g),Sample Size BIOT,BIOT (ug/100g),Sample Size B5/PA,B5/PA (mg/100g),Sample Size B6,B6 (mg/100g),Sample Size FOLA,FOLA (ug/100g),Sample Size B12,B12 (ug/100g),Sample Size Ca,Ca (mg/100g),Sample Size Fe,Fe (mg/100g),Sample Size Cu,Cu (mg/100g),Sample Size Zn,Zn (mg/100g),Sample Size P,P (mg/100g),Sample Size Mg,Mg (mg/100g),Sample Size Na,Na (mg/100g),Sample Size Mn,Mn (mg/100g),Sample Size K,K (mg/100g),Sample Size Se,Se (mg/100g)
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",liver,raw,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,flesh,raw,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61.0 µg (SD 58.6 µg),3,19.7 µg (SD 16.7 µg),4,0.23 mg (SD 0.458 mg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,flesh,raw,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.11 (SD 0.11),3,5.3 (SD 0.11),,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,23,,,,,,,,,,,,9.7,,3.4,,,,0.4,,,,0.5,,,,"1,1",,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,"1,7",,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,82,,107,,75.6,,1.2,,0,,20.5,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,9.0 ug,,,,0,,0.16,,0.09,,,,,,,,,,22,,,,,,0.75,,0.04,,0.44,,260,,30,,80,,,,370,,0.014
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,24,2,126,2,75 (SD 0.6),2,1.2 (SD 0.03),2,0,2,21 (SD 0.4),2,3.9 (SD 0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7 (SD 1.7),2,0.5 (SD 0.06),2,0.05 (SD 0.001),2,0.4 (SD 0.02),2,231 (SD 4),2,27 (SD 0.1),2,45 (SD 0.8),2,0.01 (SD 0.000),2,440 (SD 20),,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,20,,,,,,,,,,,2,3.9 (SD 0.06),,,,,2,0.1 (SD 0.06),,,2,0.1 (SD 0.05),,,2,,,,2,,,,2,trace,2,trace,2,,,,2,trace,,,,,2,trace,2,,2,,2,trace,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,60,,,,,,,,,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,43,8,"85,7",8,79,8,0.6,8,5.5,8,12,8,1.4,8,1,8,0.6,,,,,,,,,,,8,0.4,,,,,,,,,,,,,,,8,1.6,,,,,,,,,,,,,,,8,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,8,0.2,8,0.03,8,0.4,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,32,,126,,75.4,,,,,,22.4,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19 RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,2,,,,,,,,,8,20.9 (SD 1.7),8,1.4 (SD 0.2),,,,,,,,,8,0.072 (SD 0.0108),,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3.9 IU (SD 2.9 IU),8,890 IU,,,,,,,,,,,,,,,,,,,,,8,6.1 (SD 2.3),8,0.3 (SD 0.1),,,8,0.4 (SD 0.03),8,209 (SD 6.8),8,20.8 (SD 0.9),,,,,,,8,0.08 (SD 0.02)
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.478,3,0.022,,0.21,,240,,,,24,,0.026,,154,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,offal,raw,27,,225,,64.2,,3.3,,0,,15.6,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,liver,raw,43,5,"95,5",5,78.1,5,0.82,5,9.2,5,9.7,5,2.2,5,1.2,5,0.92,,,,,,,,,,,5,0.23,,,,,,,,,,,,,,,5,1.8,,,,,,,,,,,,,,,5,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8.7,5,6,5,0.4,5,8.2,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,eggs,raw,43,5,138,5,67.6,5,1,5,9.1,5,19.6,5,2.6,5,3.3,5,2.4,,,,,,,,,,,5,0.87,,,,,,,,,,,,,,,5,5.5,,,,,,,,,,,,,,,5,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41.2,5,0.4,5,0.52,5,4.3,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,fillet,raw,56,,,4,72.4 (SD 2.8),4,1.1 (SD 0.1),,,4,18.6 (SD 0.4),4,7.2 (SD 2.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,fillet,raw,79,,162,,,,,,,,18.1,,9.4,,2.6,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"1,2",,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,0.01,,0.36,,3.9,,,,,,,,,,,,44,,0.7,,,,0.7,,202,,,,40,,,,286,,
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,whole,raw,73,,,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,3,67,,,3,401,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,11,,,,72.9,,1.2,,0,,24.4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,5,,0.07,,0.15,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,33,,,,72.9,,1.2,,0,,24.4,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trace,,,,,,5,,0.07,,0.18,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,23,,,,,,,,,,,,3.4,,1.2,,,,0.1,,,,0.1,,,,"0,4",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"0,6",,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,82,,135,,73.6,,1.3,,0,,18.4,,6.7,,2.02,,,,0.073,,,,0.32,,,,"1,16",,,,"0,26",,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,"1,49",,,,,,0,,"0,37",,"0,982",,"0,14",,,,,,,,57,,18 RE,,13 ug,,1.6 mg AT,,0,,0.1,,0.21,,5.2,,,,,,"0,69",,,,3,,127,,0.4,,0.05,,0.48,,260,,25,,52,,0.02,,420,,0.026
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,8,,122,2,74.4,2,1.4,2,<0.1,2,20,2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,2,<30 RE,,,,,2,1.8,2,0.14,2,0.08,2,5.48,,,2,"0,97",2,"0,41",2,10,2,"4,8",,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,13,,118,26,71.5 (SE 0.924),23,1.30 (SE 0.020),,0,24,20.5 (SE 0.356),46,3.36 (SE 0.235),,1.2,,,,,,,13,0.138,,,16,"0,43",,,16,"0,249",,,,,,,14,"0,114",,,,,,1.03,,,,,16,"0,158",16,"0,618",8,0.128,3,0.131,,,,"0,649",,,,,1,0.01,15,"0,068",16,"0,384",16,"0,132",,,,,,,3,,18,19 RE,,,,,2,3.6 (SE 1.40),1,0.07,1,0.18,,,,,,,,,,,,,2,67 (SE 13.0),1,1.9,165,0.110 (SE 0.026),168,1.09 (SE 0.045),1,250,18,31 (SE 0.452),18,27 (SE 1.12),1,0.7,18,495 (SE 5.22),,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,63,,119,30,71.9 (SE 0.823),27,1.31 (SE 0.019),,0,28,20.5 (SE 0.309),50,3.46 (SE 0.226),,1.24,,,,,,,20,0.167,,,20,"0,42",,,,,,,,,,,,,,,,,,1.13,,,,,20,"0,203",20,"0,614",20,0.112,20,0.138,,,,"0,722",,0,,0,20,0.011,20,"0,079",20,"0,421",20,"0,139",,,,,,,7,,22,62 IU (SE 7.24 IU),,,,0.200 mg ATE,6,2.4 (SE 0.534),5,0.12 (SE 0.01),5,0.10 (SE 0.02),5,5.4 (SE 0.28),,,5,,5,,3,,5,,2,67,5,0.70 (SE 0.311),169,0.109 (SE 0.025),172,1.08 (SE 0.044),5,271 (SE 8.11),22,31 (SE 0.416),22,31 (SE 2.18),5,0.158 (SE 0.136),22,481 (SE 7.78),,0.013
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,59,,,,,,,,,,,,,,,,,4,0.117,,,4,0.377,,,4,"1,05",,,4,"0,631",,,4,0.04,,,4,"0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"0,317",4,"1,09",4,"0,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9",,"0,69",,,,5,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720 IU,,,,,,15,,0.28,,0.88,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720 IU,,,,,,15,,0.29,,0.88,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,29,,,,73,,,,,,13.7,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,27,,154,15,72,10,1.3,,0,13,20.7,29,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,20.00 IU,,,,,,2.2,2,0.11,3,0.18,,5,,,,,,,,,2,3,2,32,4,2.37,,0.223,,1.28,3,196,,,,52,,0.21,,488,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.018
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,whole,raw,27,,159,5,71.6,4,2.7,,0,3,18.9,6,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.392,,0.388,,11.8,,,,,,,,0.77,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,roe,raw,27,,192,5,62.9,3,1.6,,0,2,27.8,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,roe,raw,59,,,,,,,,,,,,,,,,,4,0.05,,,4,0.459,,,4,"1,44",,,4,"0,212",4,0.014,4,0.061,4,0.022,4,"0,072",,,,,,,,,4,0.004,,,,,,,,,,,,,,,,,,,4,"0,187",4,"0,872",4,"0,322",4,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
